ID,POL,SPA,PoS,score
719,osiągnąć,tener éxito,verbs,4.05
720,kampania,mono,nouns,0.05
721,pianino,armonía,nouns,0.3
722,wóz,envase,nouns,0.05
723,sukno,ropa,nouns,1.4
724,absorbować,retirar,verbs,0.1
725,dzielić,multiplicar,verbs,0.45
726,po,antes de,adverbs,0.25
727,słownik,enciclopedia,nouns,2.25
728,płacić,tratar,verbs,0.3
729,uczęszczać,llegar,verbs,2.1
730,śpiewać,reír,verbs,0.3
731,wspaniały,estupendo,adjectives,5.5
732,kompilator,subrutina,nouns,1.4
733,parasol,calentador,nouns,0.1
734,zmartwić,herir,verbs,1.5
735,dążyć,ejecutar,verbs,0.35
736,jednoczyć,casar,verbs,2.4
737,facet,niña,nouns,0.6
738,przystępny,barato,adjectives,4.3
739,pytać,alegar,verbs,1.25
740,nieść,entregar,verbs,2.75
741,pobieżnie,fácilmente,adverbs,0.25
742,ubrania,armario,nouns,0.85
743,przedpokój,pasillo,nouns,1.15
744,wolność,oasis,nouns,0.4
745,automobil,coche,nouns,5.45
746,bieda,riqueza,nouns,0.2
747,blaknąć,erosionar,verbs,1.1
748,mierny,aburrido,adjectives,1.05
749,słyszeć,hablar,verbs,0.75
750,ptak,pavo,nouns,2.85
751,zezować,deslumbrar,verbs,0.25
752,rywalizować,terminar,verbs,0.15
753,sączyć,beber,verbs,3.35
754,źródło,caja,nouns,0.1
755,zima,temporada,nouns,3.25
756,wybrzeże ,litoral,nouns,4.75
757,wyjaśniać,definir,verbs,4.0
758,styl,elegancia,nouns,4.35
759,wyjście,sufragio,nouns,0.1
760,zapominać,saber,verbs,0.1
761,krzak,flor,nouns,1.6
762,nauczyciel,estudiante,nouns,0.4
763,chleb,queso,nouns,0.25
764,płakać,lloriquear,verbs,4.85
765,oskarżać,mentir,verbs,0.25
766,łóżko,hospital,nouns,0.5
767,uparty,estúpido,adjectives,0.65
768,narodowy,conocido,adjectives,0.45
769,pudełko,ascensor,nouns,0.25
770,demon,ángel,nouns,0.6
771,kamień,madera,nouns,0.55
772,kursor,patatas fritas,nouns,0.0
773,helikopter,avión,nouns,1.25
774,niedawny,nuevo,adjectives,3.85
775,piłka,esfera,nouns,2.65
776,przyłączyć się,participar,verbs,2.6
777,wskaźnik,diapositiva,nouns,0.25
778,szeptać,hablar,verbs,1.85
779,czasopismo,artículo,nouns,1.5
780,osądzać,acusar,verbs,3.6
781,poślubić,involucrarse,verbs,0.9
782,normalny,extraño,adjectives,0.1
783,ptak,halcón,nouns,2.95
784,ramię,músculo,nouns,1.35
785,kwiat,arbusto,nouns,1.6
786,pokornie,orgullosamente,adverbs,0.15
787,pragnąć,querer,verbs,4.95
788,katastrofa,accidente,nouns,3.95
789,woda,sal,nouns,0.5
790,fantazja,realidad,nouns,0.15
791,informacja,entropía,nouns,0.5
792,poeta,periodista,nouns,0.7
793,pasywnie,seguramente,adverbs,0.1
794,wymieszać,cocinar,verbs,0.7
795,kłamać,acusar,verbs,0.25
796,drzwi,bodega,nouns,0.25
797,ksiądz,dios,nouns,1.1
798,uczciwy,culpable,adjectives,0.05
799,śniadanie,tocino,nouns,0.7
800,zyskać,recoger,verbs,1.2
801,wół,caballo,nouns,1.5
802,gąsienica,gusano de seda,nouns,3.0
803,behawioryzm,terapia,nouns,1.25
804,córka,bebé,nouns,2.75
805,sensor,radiador,nouns,0.65
806,rytm,melodía,nouns,2.7
807,opowieść,lápiz,nouns,0.45
808,dokuczać,herir,verbs,2.35
809,szczęśliwy,joven,adjectives,0.2
810,oczywiście,discretamente,adverbs,0.2
811,papieros,tabaco,nouns,3.2
812,biznes,sociedad,nouns,2.15
813,mężczyzna,guerrero,nouns,1.1
814,znaleźć,escapar,verbs,0.15
815,kolano,hueso,nouns,1.15
816,przekonanie,impresión,nouns,2.15
817,kino,televisión,nouns,1.6
818,ignorować,olvidar,verbs,1.9
819,piosenkarz,coro,nouns,0.95
820,ogłaszać,proclamar,verbs,4.15
821,zespół,orquesta,nouns,4.0
822,spokojny,neutral,adjectives,1.3
823,motyl,rosa,nouns,0.25
824,ryż,frijol,nouns,0.85
825,zabawa,fútbol,nouns,1.2
826,sierżant,pistola,nouns,0.4
827,syn,hermano,nouns,0.9
828,konsorcjum,caña de azúcar,nouns,0.25
829,notatka,pago,nouns,0.35
830,kapelusz,caja,nouns,0.25
831,róg,tambor,nouns,0.6
832,łyżka,vaso,nouns,0.8
833,norka,piel,nouns,1.45
834,głęboko,significativamente,adverbs,2.3
835,żona,cañita,nouns,0.15
836,puszka,botella,nouns,0.45
837,przejąć,esforzarse,verbs,0.35
838,noga,brazo,nouns,0.65
839,żołądek,habitación,nouns,0.1
840,nos,garganta,nouns,0.6
841,miękki,violento,adjectives,0.1
842,decydować,pensar,verbs,1.85
843,klif,cola,nouns,0.0
844,jezioro,nube,nouns,0.35
845,śmierć,catástrofe,nouns,1.6
846,zęby,martillo,nouns,0.05
847,sędzia,corte,nouns,1.3
848,poważny,gracioso,adjectives,0.0
849,przyjęcie,gente,nouns,0.65
850,mówić,reconocer,verbs,0.65
851,marihuana,hierba,nouns,4.9
852,uwaga,conciencia,nouns,2.05
853,prysznic,monasterio,nouns,0.0
854,brać,llevar,verbs,0.35
855,wektor,matriz,nouns,1.2
856,chłopiec,arroz,nouns,0.0
857,starożytny,moderno,adjectives,0.1
858,parlament,congreso,nouns,3.0
859,bydło,oveja,nouns,2.0
860,ładowarka,disco,nouns,0.4
861,zastępstwo,intercambio,nouns,3.15
862,mieszany,conjunto,adjectives,1.95
863,ulica,callejón,nouns,3.4
864,wiza,globalismo,nouns,0.4
865,niebo,universo,nouns,1.4
866,operacja,álgebra,nouns,0.95
867,wybaczać,excusar,verbs,3.35
868,wysyłać,recibir,verbs,0.55
869,patologia,hematología,nouns,0.85
870,zasadniczo,críticamente,adverbs,0.95
871,morał,leyenda,nouns,0.7
872,szyja,brazo,nouns,0.45
873,łóżko,silla,nouns,0.85
874,wesoły,encantador,adjectives,1.8
875,zaczynać,originar,verbs,3.7
876,pomocnik,mucama,nouns,2.0
877,północ,oeste,nouns,0.65
878,łóżko,mueble,nouns,2.2
879,zwycięzca,candidato,nouns,1.2
880,mozaika,basílica,nouns,0.4
881,matka,esposa,nouns,1.6
882,manuskrypt,artículo,nouns,1.65
883,odrzucić,aceptar,verbs,0.1
884,pobieżnie,groseramente,adverbs,0.45
885,niedrogi,barato,adjectives,5.45
886,miły,cruel,adjectives,0.05
887,mięso,pan,nouns,0.25
888,dyrektor,jefe,nouns,4.8
889,książka,texto,nouns,2.25
890,przełykać,sorber,verbs,1.3
891,kokpit,copiloto,nouns,0.45
892,ręka,muñeca,nouns,2.0
893,telefon,víctima,nouns,0.0
894,zatrzymywać,olvidar,verbs,0.45
895,brandy,vino,nouns,1.5
896,mózg,mente,nouns,3.65
897,whisky,champán,nouns,1.1
898,kuzyn,tío,nouns,0.9
899,piąty,parte superior,adjectives,0.05
900,razić,ojear,verbs,0.25
901,pobieżnie,obviamente,adverbs,0.5
902,bawełna,suéter,nouns,0.8
903,era,década,nouns,2.6
904,braterstwo,hombres,nouns,1.1
905,robić,ocurrir,verbs,0.55
906,debatować,discutir,verbs,3.6
907,ponowny pochówek,tumba,nouns,1.0
908,kupować,robar,verbs,0.1
909,sierpień,mes,nouns,2.6
910,współbieżność,moneda,nouns,0.15
911,tata,madre,nouns,1.7
912,deszcz,tormenta de nieve,nouns,0.85
913,pojazd,autobús,nouns,2.95
914,ludzie,población,nouns,4.15
915,przewidywać,asumir,verbs,3.1
916,ogar,zorro,nouns,0.7
917,książka,historia,nouns,1.75
918,chmura,tormenta,nouns,0.95
919,deszcz,niebla,nouns,0.9
920,okropny,genial,adjectives,0.1
921,ruszać,tejer,verbs,0.15
922,gromadzić się,asistir,verbs,1.4
923,przyjazny,generoso,adjectives,1.35
924,pozwalać,aprobar,verbs,3.55
925,jawny,no revelado,adjectives,0.0
926,bęben,guitarra,nouns,0.85
927,ustalać,exigir,verbs,0.4
928,siewka,hoja,nouns,0.85
929,motor,bote,nouns,0.5
930,argumentować,racionalizar,verbs,2.5
931,dzisiaj wieczorem,mañana,adverbs,0.2
932,chmura,calina,nouns,1.25
933,wrzechświat,cielo,nouns,1.4
934,szpik,sangre,nouns,1.0
935,zbadać,perseguir,verbs,0.7
936,życzliwie,generosamente,adverbs,2.75
937,intuicja,sentido,nouns,3.8
938,rzadko,nunca,adverbs,1.15
939,tragedia,muerte,nouns,2.6
940,reszta,diferencia,nouns,1.0
941,kobieta,pantalones,nouns,0.15
942,krokodyl,lagartija,nouns,1.95
943,mucha,hormiga,nouns,0.85
944,irytować,enemistarse,verbs,1.6
945,podziwiać,adorar,verbs,3.5
946,cząsteczka,matriz,nouns,0.3
947,smutek,vergüenza,nouns,0.65
948,klif,colina,nouns,1.9
949,zakładać,predecir,verbs,3.1
950,wysyłać,asistir,verbs,0.35
951,zdać sobie sprawę,descubrir,verbs,4.35
952,list,párrafo,nouns,0.55
953,głodny,cansado,adjectives,0.65
954,przywrócić,traer,verbs,0.85
955,pić,tragar,verbs,2.4
956,triumfator,hombre,nouns,0.5
957,rozkoszny,maravilloso,adjectives,3.15
958,dziwny,ordinario,adjectives,0.1
959,mąż,hombre,nouns,1.95
960,oficjalnie,en tono rimbombante,adverbs,1.0
961,kość,músculo,nouns,0.3
962,ubrania,tela,nouns,1.75
963,organizować,gestionar,verbs,4.0
964,usta,nariz,nouns,0.75
965,zachód,norte,nouns,0.65
966,funkcjonariusz,diputado,nouns,1.5
967,pokojowo,caóticamente,adverbs,0.05
968,odmawiać,aceptar,verbs,0.0
969,być dłużnym,entrar,verbs,0.0
970,nieśmiały,asustado,adjectives,2.15
971,ojciec,hija,nouns,0.45
972,biegacz,atleta,nouns,2.95
973,ocena,colegio,nouns,1.1
974,zaczynać,comenzar,verbs,5.25
975,prosić,complacer,verbs,0.35
976,karłowaty,pequeñito,adjectives,4.05
977,ofiara,teléfono,nouns,0.0
978,róża,mariposa,nouns,0.25
979,służący,esclavo,nouns,3.1
980,niewinny,gratis,adjectives,0.6
981,głośno,locamente,adverbs,0.85
982,towarzyski,entrante,adjectives,0.6
983,partner,niño,nouns,0.75
984,praca,herramienta,nouns,0.75
985,opakowanie,puerto,nouns,0.1
986,artykuł,manuscrito,nouns,1.65
987,kręgosłup,cuello,nouns,0.5
988,rozprawa,prueba,nouns,1.15
989,płachta,avión,nouns,0.25
990,zamieszki,dibujo,nouns,0.05
991,uczyć  ,educar,verbs,5.2
992,samochód,puente,nouns,0.1
993,smartfon,piña,nouns,0.0
994,zauważyć,criticar,verbs,1.05
995,dieta,ensalada,nouns,0.7
996,łódź,motor,nouns,0.5
997,otrzymywać,enviar,verbs,0.55
998,muzyka,melodía,nouns,3.95
999,opłata,pago,nouns,4.7
1000,powiedzieć,recordar,verbs,1.1
1001,ciężki,difícil,adjectives,2.85
1002,przynieść,enviar,verbs,0.5
1003,cielę,toro,nouns,2.15
1004,film,teatro,nouns,0.9
1005,wydarzyć się,suceder,verbs,4.4
1006,mocny,poderoso,adjectives,4.05
1007,ekosystem,economía,nouns,0.25
1008,uczęszczać,discutir,verbs,0.1
1009,dostać,poner,verbs,0.1
1010,mięso,filete,nouns,3.8
1011,daleko,a casa,adverbs,0.05
1012,zmęczony,hambriento,adjectives,0.65
1013,złączyć,adjuntar,verbs,3.0
1014,nauka,psicología,nouns,1.4
1015,wzgórze,acantilado,nouns,1.9
1016,zgadywać,irritar,verbs,0.15
1017,złączyć,adquirir,verbs,0.5
1018,kościół,catedral,nouns,4.2
1019,chłopiec,soldado,nouns,0.2
1020,przyjść,asistir,verbs,2.4
1021,wytrzymałość,fuerza,nouns,2.8
1022,kaplica,campanario,nouns,0.7
1023,wysypka,eczema,nouns,2.55
1024,emocjonalnie,tristemente,adverbs,1.3
1025,marzenie,cielo,nouns,0.25
1026,hel,aire,nouns,1.3
1027,głupi,crédulo,adjectives,2.35
1028,talia,estómago,nouns,0.75
1029,chrześcijanin,protestante,nouns,1.55
1030,zależeć,confiar,verbs,1.7
1031,łódź,cubierta,nouns,1.6
1032,żyła,brazo,nouns,0.3
1033,chcieć,desear,verbs,4.95
1034,brać,aprovechar,verbs,1.3
1035,zadowolony,feliz,adjectives,4.45
1036,udusić,abrazar,verbs,0.35
1037,skromny,avergonzado,adjectives,1.05
1038,pojawić się,salir,verbs,0.55
1039,ciężarówka,paquete,nouns,0.8
1040,burza,nieve,nouns,1.0
1041,najwyraźniej,simplemente,adverbs,0.85
1042,diament,dinero,nouns,0.6
1043,drewno,papel,nouns,0.95
1044,futro,visón,nouns,1.45
1045,struś,huerta,nouns,0.2
1046,strumień,río,nouns,2.35
1047,kobieta,esposa,nouns,2.55
1048,ratować,proteger,verbs,3.0
1049,podbój,himno,nouns,0.15
1050,wielce,brillantemente,adverbs,0.4
1051,wyznanie,negación,nouns,0.75
1052,przekonywać,perseguir,verbs,1.15
1053,wypadek,catástrofe,nouns,3.95
1054,szkło,cristal,nouns,1.75
1055,prawdziwy,0,adjectives,0.05
1056,potężny,potente,adjectives,4.05
1057,winda,coche,nouns,0.15
1058,awaria,accidente,nouns,2.9
1059,dziwacznie,diferentemente,adverbs,1.7
1060,hematologia,patología,nouns,0.85
1061,noga,miembro,nouns,4.35
1062,niesprawiedliwie,justamente,adverbs,0.05
1063,łóżko,manta,nouns,0.8
1064,wyjaśniać,explicar,verbs,5.25
1065,dowiadywać się,pensar,verbs,0.55
1066,zachować,perder,verbs,0.05
1067,śnieg,hielo,nouns,2.55
1068,zainteresowanie,atención,nouns,3.85
1069,słoń,dinosaurio,nouns,0.7
1070,katedra,iglesia,nouns,4.2
1071,kwiat,creencia,nouns,0.05
1072,odkryć,darse cuenta de,verbs,4.35
1073,trunek,banda,nouns,0.25
1074,pielęgniarka,científico,nouns,0.2
1075,krowa,cabra,nouns,1.2
1076,religia,materialista,nouns,0.1
1077,błędny,preciso,adjectives,0.05
1078,sesja,paciente,nouns,0.35
1079,argumentować,debate,verbs,3.6
1080,wymieszać,beber,verbs,0.35
1081,argument,acuerdo,nouns,0.8
1082,osobisty,privado,adjectives,4.75
1083,mąż,esposa,nouns,1.1
1084,biodro,labio,nouns,0.35
1085,grzejnik,paraguas,nouns,0.1
1086,rozmiar,truco,nouns,0.0
1087,pieniądze,perla,nouns,0.6
1088,tkać,empatar,verbs,0.75
1089,zmartwiony,avergonzado,adjectives,0.7
1090,narzędzie,trabajo,nouns,0.75
1091,trymestr,semestre,nouns,1.4
1092,bydło,yogur,nouns,0.45
1093,prosty,fácil,adjectives,5.05
1094,obrazić,ofender,verbs,4.8
1095,piłka,cesta,nouns,0.45
1096,oczywiście,aparentemente,adverbs,3.0
1097,krytykować,observar,verbs,1.05
1098,matryca,molécula,nouns,0.3
1099,pisarz,novela,nouns,0.95
1100,głównie,mayormente,adverbs,4.75
1101,ząb,boca,nouns,1.15
1102,cyfra,número,nouns,4.75
1103,biedny,orgulloso,adjectives,0.2
1104,udawać,retratar,verbs,0.55
1105,dach,piso,nouns,0.8
1106,nigdy,generosamente,adverbs,0.0
1107,aeronautyka,aviónica,nouns,2.65
1108,kardigan,camisa,nouns,1.3
1109,nerka,órgano,nouns,3.35
1110,zestresowany,relajado,adjectives,0.1
1111,specjalnie,significativamente,adverbs,2.7
1112,rzadko,generalmente,adverbs,0.1
1113,spadać,disminución,verbs,2.1
1114,chmura,niebla,nouns,1.95
1115,podobny,igual,adjectives,3.45
1116,język,mejilla,nouns,0.5
1117,pszczoła,reina,nouns,0.75
1118,kalendarz,vacaciones,nouns,1.1
1119,zachować,proteger,verbs,1.75
1120,później,nunca,adverbs,0.5
1121,giętki,grande,adjectives,0.0
1122,nigdy,raramente,adverbs,1.15
1123,konstruować,destruir,verbs,0.1
1124,myśleć,decidir,verbs,1.85
1125,prezydent,contaminación,nouns,0.35
1126,pewność siebie,yo,nouns,1.05
1127,wiec,reunión,nouns,5.3
1128,uderzyć,castigar,verbs,1.25
1129,gwóźdź,mano,nouns,0.6
1130,radar,palanca de mando,nouns,0.2
1131,ostry,aburrido,adjectives,0.0
1132,szczęśliwy,contento,adjectives,4.45
1133,robić,destruir,verbs,0.1
1134,posiadać,mantener,verbs,2.35
1135,tępy,agudo,adjectives,0.0
1136,nurkować,crear,verbs,0.0
1137,piwnica,puerta,nouns,0.25
1138,karać,obedecer,verbs,0.9
1139,prymitywny,feo,adjectives,0.7
1140,pożyczać,vender,verbs,0.2
1141,ogromny,tonto,adjectives,0.0
1142,wanna,habitación,nouns,0.45
1143,robić,volverse,verbs,0.3
1144,kciuk,uña,nouns,1.4
1145,posiąść,absorber,verbs,1.15
1146,smutno,emocionalmente,adverbs,1.3
1147,pojemnik,vagón,nouns,0.05
1148,otrzymywać,tomar,verbs,1.9
1149,drukować,ignorar,verbs,0.0
1150,zadowolony,enfadado,adjectives,0.1
1151,zmartwić,desalentar,verbs,1.0
1152,słoik,vaso,nouns,1.9
1153,plaża,costa,nouns,3.45
1154,dzielenie,multiplicación,nouns,0.35
1155,butelka,tarro,nouns,1.65
1156,wiedzieć,entender,verbs,2.95
1157,krew,virus,nouns,0.85
1158,gwałtowny,enojado,adjectives,2.2
1159,chłopiec,condición,nouns,0.05
1160,burza,nube,nouns,0.95
1161,alkohol,cóctel,nouns,2.45
1162,książka,artículo,nouns,1.0
1163,pomagać,proteger,verbs,1.95
1164,cytryna,té,nouns,0.3
1165,skończyć,competir,verbs,0.15
1166,zabraniać,detener,verbs,2.0
1167,ogromny,minúsculo,adjectives,0.1
1168,erodować,descolorarse,verbs,1.1
1169,robótka szydełkowa,uniforme,nouns,0.15
1170,odrzucić,condenar,verbs,2.45
1171,trudny,tedioso,adjectives,2.85
1172,kolano,brazo,nouns,0.55
1173,prawnik,banquero,nouns,0.9
1174,prosty,curvo,adjectives,0.15
1175,dolina,cañón,nouns,2.65
1176,neutralny,indeciso,adjectives,1.95
1177,cenzura,libertad,nouns,0.1
1178,chcieć,escoger,verbs,1.4
1179,wokalista,personal,nouns,0.3
1180,język,garganta,nouns,1.0
1181,akapit,carta,nouns,0.55
1182,usprawiedliwiać,discutir,verbs,2.5
1183,snowboard,esquí,nouns,2.2
1184,budować,crear,verbs,4.15
1185,realistycznie,recientemente,adverbs,0.0
1186,pobieżnie,impacientemente,adverbs,0.65
1187,muzeum,menta,nouns,0.05
1188,pożyczać,dar,verbs,1.4
1189,inteligencja,destreza,nouns,2.2
1190,świat,globo,nouns,3.75
1191,skromny,puro,adjectives,0.7
1192,mechanik,obrero,nouns,2.3
1193,wiązać,tejer,verbs,0.75
1194,polować,buscar,verbs,2.15
1195,wiek,belleza,nouns,0.25
1196,świadomość,atención,nouns,2.05
1197,astronomiczny,masivo,adjectives,2.0
1198,matematyk,show,nouns,0.05
1199,nadzwyczajnie,extrañamente,adverbs,2.05
1200,przestrzegać,castigar,verbs,0.9
1201,nerw,intestino,nouns,0.6
1202,porozumienie,pacto,nouns,5.05
1203,pokój,edificio,nouns,0.85
1204,kuchnia,baño,nouns,0.6
1205,prestiż,riqueza,nouns,1.35
1206,tworzyć,hacer,verbs,3.55
1207,huragan,tormenta,nouns,2.75
1208,zamarzać,temblar,verbs,0.75
1209,wujek,hombre,nouns,2.0
1210,koc,cama,nouns,0.8
1211,cenny,perezoso,adjectives,0.0
1212,ilustracja,ampolla,nouns,0.0
1213,korytarz,pasillo,nouns,5.35
1214,papier,cartulina,nouns,3.5
1215,dom,alfombra,nouns,0.25
1216,szkoła,grado,nouns,1.1
1217,piłka nożna,divertido,nouns,1.2
1218,wynik,nivel,nouns,2.9
1219,śniadanie,cena,nouns,0.95
1220,hołubić,mantener,verbs,0.25
1221,bawełna,poliéster,nouns,1.0
1222,pasywnie,silenciosamente,adverbs,0.8
1223,krytycznie,esencialmente,adverbs,0.95
1224,mieszać,mezcla,verbs,3.35
1225,hojny,bonito,adjectives,0.45
1226,sałatka,vinagre,nouns,0.7
1227,pewnie,claramente,adverbs,3.25
1228,dążyć,persuadir,verbs,1.15
1229,skromny,humilde,adjectives,4.05
1230,koktajl,alcohol,nouns,2.45
1231,szef,director,nouns,4.8
1232,stanowczo,herméticamente,adverbs,0.45
1233,ogromnie,abiertamente,adverbs,0.25
1234,ukazywać,pretender,verbs,0.55
1235,poziom,puntuación,nouns,2.9
1236,uzasadniać,verificar,verbs,1.75
1237,wojownik,hombre,nouns,1.1
1238,kotwica,bote,nouns,1.0
1239,przytulić,sostener,verbs,1.05
1240,kalendarz,fecha,nouns,1.45
1241,ołówek,historia,nouns,0.45
1242,pręt,cortina,nouns,0.2
1243,zapominać,perdonar,verbs,2.15
1244,dolar,gente,nouns,0.05
1245,ubrania,capa,nouns,2.0
1246,poniżać,comodidad,verbs,0.0
1247,nielegalny,inmoral,adjectives,1.5
1248,roślina,agricultura,nouns,0.6
1249,lekcja,caos,nouns,0.15
1250,droga,autopista,nouns,4.8
1251,rozwój,recaudación de fondos,nouns,0.45
1252,silnik,máquina,nouns,3.5
1253,medium,noticias,nouns,1.65
1254,kompletnie,puramente,adverbs,2.25
1255,bielizna,cuerpo,nouns,0.45
1256,szeroki,estrecho,adjectives,0.1
1257,gniewny,vacilante,adjectives,0.6
1258,egzema,dermatitis,nouns,2.55
1259,pocieszać,humillar,verbs,0.0
1260,duży,nacional,adjectives,0.15
1261,zakryć,disfrazar,verbs,0.9
1262,zwyczajny,frío,adjectives,0.05
1263,ukazywać,decidir,verbs,0.35
1264,sugerować,asesorar,verbs,4.05
1265,dąb,arce,nouns,1.5
1266,wielkość,tamaño,nouns,5.1
1267,ekscytujący,aburrido,adjectives,0.1
1268,atom,molécula,nouns,2.95
1269,brew,ojo,nouns,0.55
1270,frytki,cursor,nouns,0.0
1271,normalny,diferente,adjectives,0.2
1272,przykryć,enterrar,verbs,3.05
1273,arcybiskup,obispo,nouns,2.5
1274,leniwy,precioso,adjectives,0.0
1275,drzewo,bote,nouns,0.25
1276,zniknąć,encontrar,verbs,0.15
1277,łatwo,aproximadamente,adverbs,0.25
1278,mężczyzna,víctor,nouns,0.5
1279,powieść się,tratar,verbs,0.3
1280,piosenka,bailarín,nouns,0.7
1281,placek,chocolate,nouns,0.9
1282,nabiał,miel,nouns,0.3
1283,przyjść,traer,verbs,0.35
1284,wygięty,torcido,adjectives,4.2
1285,kurs,estómago,nouns,0.05
1286,rodzic,padre,nouns,5.0
1287,śpieszyć,darse prisa,verbs,5.35
1288,regularnie,ocasionalmente,adverbs,1.15
1289,zezwalać,ir,verbs,0.3
1290,wybrzeże,playa,nouns,3.45
1291,guzik,ropa,nouns,1.0
1292,drzwi,fraternidad,nouns,0.25
1293,trik,tamaño,nouns,0.0
1294,ważny,crucial,adjectives,4.9
1295,demokracja,monarquía,nouns,0.95
1296,cygaro,caja,nouns,0.35
1297,łagodnie,amablemente,adverbs,2.15
1298,chleb,harina,nouns,0.85
1299,winda,caja,nouns,0.25
1300,rozumieć,satisfacer,verbs,0.5
1301,stać się,hacer,verbs,0.3
1302,bóg,sacerdote,nouns,1.1
1303,mechanicznie,idealmente,adverbs,0.4
1304,czuć,creer,verbs,1.7
1305,pistolet,truco,nouns,0.15
1306,iść,viajar,verbs,2.85
1307,konieczny,esencial,adjectives,5.25
1308,wycofać,absorber,verbs,0.1
1309,podróż,conquista,nouns,0.7
1310,teoria,hipótesis,nouns,4.0
1311,melodia,música,nouns,3.95
1312,pałac,rascacielos,nouns,0.8
1313,wspaniały,hermoso,adjectives,3.35
1314,wytrzymałość,banda,nouns,0.05
1315,małpa,campaña,nouns,0.05
1316,nagrzewać,recalentamiento,verbs,1.6
1317,jednolity,desformado,adjectives,0.35
1318,rower,coche,nouns,0.5
1319,skłaniać,parcialidad,verbs,2.4
1320,cel,búsqueda,nouns,1.3
1321,brzęk,ruido,nouns,3.2
1322,wycierać,deteriorarse,verbs,0.4
1323,poślubić,unirse,verbs,2.25
1324,startować,empezar,verbs,5.25
1325,kompletnie,ligeramente,adverbs,0.15
1326,rzadki,exótico,adjectives,4.3
1327,ostrożnie,de manera segura,adverbs,3.8
1328,rakieta,pelota,nouns,0.75
1329,odgrzewać,precalentamiento,verbs,1.6
1330,brzeg,costa,nouns,4.75
1331,zauważalny,obvio,adjectives,3.1
1332,chodzić,estar,verbs,0.1
1333,supremacja,omnipotencia,nouns,2.2
1334,doktor,profesor,nouns,1.05
1335,wzgardliwy,despreciativo,adjectives,3.65
1336,konstrukcja,destrucción,nouns,0.15
1337,dziecko,adulto,nouns,0.25
1338,cząsteczka,átomo,nouns,2.95
1339,monitor,pantalla,nouns,5.1
1340,ojciec,dios,nouns,2.05
1341,perła,dinero,nouns,0.6
1342,jabłko,dieta,nouns,0.5
1343,nawalić,confiar,verbs,0.1
1344,klatka,bar,nouns,0.4
1345,wyrzec się,negar,verbs,1.35
1346,jałowcówka,whisky,nouns,1.0
1347,bilioner,indigente,nouns,0.1
1348,odchodzić,esperar,verbs,0.2
1349,biologia,anatomía,nouns,2.25
1350,rzadki,tonto,adjectives,0.1
1351,ukraść,adquirir,verbs,0.75
1352,warga,boca,nouns,3.05
1353,anioł,demonio,nouns,0.6
1354,taniec,vestir,nouns,0.15
1355,uczyć się,evaluar,verbs,1.3
1356,zaprzeczać,aceptar,verbs,0.05
1357,zrelaksowany,calma,adjectives,3.75
1358,nowatorski,creativo,adjectives,4.25
1359,ból,daño,nouns,2.65
1360,dom ,llave,nouns,0.4
1361,dzisiaj wieczorem,hoy,adverbs,2.4
1362,gliniarz,sheriff,nouns,3.65
1363,piękno,años,nouns,0.25
1364,wyraźnie,seguramente,adverbs,3.25
1365,piwo,alcohol,nouns,3.05
1366,dostać,permanecer,verbs,0.0
1367,chłopiec,pareja,nouns,0.75
1368,film,película,nouns,5.05
1369,zachowywać się,obedecer,verbs,2.75
1370,giętki,fácil,adjectives,1.1
1371,uwielbiać,admirar,verbs,3.5
1372,uniwersytet,campus,nouns,3.45
1373,prawo wyborcze,salida,nouns,0.1
1374,czysty,sucio,adjectives,0.45
1375,ser,un pan,nouns,0.25
1376,obłąkany,feliz,adjectives,0.1
1377,pić,mezcla,verbs,0.35
1378,młyn,semilla,nouns,0.8
1379,perfekcyjnie,verdaderamente,adverbs,0.95
1380,otrzymywać,aceptar,verbs,2.2
1381,wanna,truco,nouns,0.0
1382,kryminalista,delincuente,nouns,4.85
1383,samochód,bote,nouns,0.6
1384,akapit,página,nouns,1.1
1385,wzrost,fertilizante,nouns,0.7
1386,prawnik,abogado,nouns,4.6
1387,skóra,bicicleta,nouns,0.2
1388,zwycięstwo,triunfo,nouns,5.75
1389,ewakuować,determinar,verbs,0.35
1390,bogactwo,fama,nouns,1.15
1391,oszustwo,delito,nouns,3.65
1392,zadowalać,entretener,verbs,1.95
1393,gwizdać,detener,verbs,0.3
1394,most,coche,nouns,0.1
1395,nierozsądnie,sucio,adverbs,0.75
1396,robić,ganar,verbs,0.7
1397,zły,mediocre,adjectives,2.55
1398,skakanie,cerca,nouns,0.3
1399,pociągać,golpear,verbs,0.05
1400,syn,niño,nouns,2.75
1401,osoba,personaje,nouns,2.2
1402,łagodny,medio,adjectives,1.5
1403,mężczyzna,niño,nouns,0.45
1404,mit,sátira,nouns,1.9
1405,ciało,hombro,nouns,1.0
1406,dziwnie,extraordinariamente,adverbs,2.05
1407,student,profesor,nouns,0.55
1408,polityk,policía,nouns,0.25
1409,szalony,enfermos,adjectives,1.8
1410,silny,orgulloso,adjectives,0.9
1411,historyk,historiógrafo,nouns,2.45
1412,udusić,quemar,verbs,0.15
1413,mistrz,ganador,nouns,4.75
1414,ojciec,hombre,nouns,2.15
1415,wystraszyć,cazar,verbs,0.6
1416,zawstydzony,culpable,adjectives,1.05
1417,właściwy,cortés,adjectives,2.3
1418,inny,opuesto,adjectives,1.35
