ID,ENG,HEB,PoS,score
750,steal,לחטוף,verbs,2.23
751,presence,היעדרות,nouns,0.61
752,box,מקור,nouns,0.0
753,island,חוף,nouns,1.15
754,permit,לאשר,verbs,4.73
755,obey,להתנהג,verbs,1.81
756,daily,בדרך כלל,adverbs,3.21
757,steal,לרכוש,verbs,1.39
758,tough,ערמומי,adjectives,0.25
759,choice,כלא,nouns,0.35
760,cop,טייס,nouns,0.64
761,basically,לחלוטין,adverbs,0.59
762,door,חלון,nouns,0.94
763,building,חדר,nouns,1.01
764,learn,לספוג,verbs,1.83
765,incoming,יוצא,adjectives,0.59
766,nice,נדיב,adjectives,1.47
767,string,שקיעה,nouns,0.0
768,brain,תודעה,nouns,2.52
769,sign,סמל,nouns,4.73
770,poor,בודד,adjectives,0.79
771,topic,ספר,nouns,0.42
772,learn,להקשיב,verbs,1.19
773,enter,לחוב,verbs,0.0
774,myth,סאטירה,nouns,0.63
775,attack,בליץ,nouns,3.15
776,unique,הפוך,adjectives,0.54
777,accept,להמליץ,verbs,0.55
778,mouse,חולדה,nouns,2.61
779,journey,כיבוש,nouns,1.23
780,menu,הזמנה,nouns,0.91
781,belief,פרח,nouns,0.12
782,bridge,מכונית,nouns,0.4
783,box,כובע,nouns,0.09
784,sticky,מלוכלך,adjectives,0.95
785,nervous,בטוח,adjectives,0.15
786,organize,לסדר,verbs,4.99
787,judge,להחליט,verbs,2.64
788,museum,מינט,nouns,0.24
789,door,כניסה,nouns,2.36
790,creator,מחבר,nouns,3.79
791,volleyball,כדור,nouns,1.95
792,hero,גיבורה,nouns,3.42
793,clue,מילה,nouns,0.35
794,note,משימה,nouns,0.46
795,kill,להילחם,verbs,0.84
796,leave,לקחת,verbs,0.19
797,discourage,להרגיז,verbs,0.64
798,mad,שמח,adjectives,0.5
799,beautifully,באלגנטיות,adverbs,2.76
800,partner,ילד,nouns,0.57
801,stupid,מטומטם,adjectives,5.09
802,criticism,טיעון,nouns,1.73
803,magma,הר געש,nouns,1.3
804,wipe,להתדרדר,verbs,0.0
805,offering,תרומה,nouns,3.3
806,pupil,נשיא,nouns,0.2
807,shiver,לקפוא,verbs,1.44
808,fog,ענן,nouns,2.67
809,brandy,אלכוהול,nouns,1.94
810,sky,יקום,nouns,1.29
811,foreigner,מתרגם,nouns,0.45
812,send,לקבל,verbs,0.49
813,bring,לשלוח,verbs,0.59
814,profession,מכללה,nouns,0.79
815,wave,מזג אוויר,nouns,0.3
816,bunch,קהל,nouns,2.87
817,collect,לנער,verbs,0.1
818,beer,משקה,nouns,1.84
819,avoid,להתעלם,verbs,2.27
820,hallway,כיתה,nouns,0.44
821,base,חומצה,nouns,0.87
822,lawful,לא חוקי,adjectives,0.54
823,fur,אישה,nouns,0.2
824,arm,רגל,nouns,1.26
825,strength,יכולת,nouns,2.5
826,arm,עצם,nouns,0.77
827,champagne,בירה,nouns,1.6
828,word,ביטוי,nouns,2.16
829,kick,לפגוע,verbs,1.16
830,aeronautics,אוויוניקה,nouns,2.69
831,hole,הסכם,nouns,0.0
832,fashion,סגנון,nouns,3.9
833,ballad,שיר,nouns,3.71
834,man,אבא,nouns,2.46
835,make,להפוך,verbs,0.62
836,cabin,מחנה,nouns,0.99
837,confession,הכחשה,nouns,0.62
838,mist,ענן,nouns,2.63
839,carefully,בבטחה,adverbs,1.98
840,squint,לבהות,verbs,1.29
841,exit,כניסה,nouns,1.85
842,kill,לתלות,verbs,1.23
843,value,אמונה,nouns,2.41
844,ball,תותח,nouns,0.81
845,feasible,בלתי אפשרי,adjectives,0.54
846,dissolve,לערבב,verbs,1.59
847,add,לבנות,verbs,1.84
848,sunset,זריחה,nouns,1.27
849,offend,להטריד,verbs,1.83
850,push,להאשים,verbs,0.2
851,sofa,כיסא,nouns,2.5
852,lady,ג'נטלמן,nouns,0.91
853,modest,ענו,adjectives,5.4
854,unnaturally,בטבעיות,adverbs,0.49
855,beast,חיה,nouns,3.6
856,fundraiser,ארוע,nouns,1.79
857,amazingly,באופן פנטסטי,adverbs,5.39
858,arm,וריד,nouns,0.59
859,ask,להתעלם,verbs,0.35
860,movement,פעילות,nouns,2.54
861,long,צר,adjectives,1.05
862,band,מצעד,nouns,1.22
863,sword,כס,nouns,0.38
864,sticky,רטוב,adjectives,0.82
865,photophone,הומופון,nouns,0.54
866,get,לשים,verbs,0.44
867,maturely,בחוכמה,adverbs,1.67
868,demon,מלאך,nouns,0.77
869,task,עבודה,nouns,4.09
870,delightful,משמח,adjectives,3.09
871,hymn,קש,nouns,0.0
872,monster,שד,nouns,4.41
873,unhappy,משוגע,adjectives,1.02
874,hard,קל,adjectives,0.54
875,bacon,ארוחה,nouns,1.01
876,never,שלילי,adjectives,1.05
877,bowl,זנב,nouns,0.0
878,gun,פרווה,nouns,0.0
879,tsunami,ים,nouns,1.15
880,butter,תפוד,nouns,0.61
881,listen,לשמוע,verbs,4.02
882,funny,משעמם,adjectives,0.45
883,canyon,עמק,nouns,3.92
884,dumb,טיפשי,adjectives,4.37
885,loud,חצוף,adjectives,0.59
886,criticize,לשנוא,verbs,0.59
887,area,פינה,nouns,0.96
888,insane,משוגע,adjectives,5.22
889,accomplish,לנצח,verbs,2.29
890,baby,בת,nouns,2.53
891,rude,ביקורתי,adjectives,0.93
892,arrogant,גאה,adjectives,3.7
893,happily,נורא,adverbs,0.15
894,keep,להפסיד,verbs,0.35
895,agreement,חוזה,nouns,5.1
896,blanket,מיטה,nouns,1.01
897,car,מד,nouns,0.4
898,unfair,אכזר,adjectives,1.39
899,bottle,קנקן,nouns,3.05
900,player,מאמן,nouns,0.81
901,strongly,רשמית,adverbs,0.15
902,poorly, בענווה,adverbs,0.44
903,cab,מכונית,nouns,2.78
904,football,כיף,nouns,0.4
905,college,כיתה,nouns,1.01
906,mix,להתמוסס,verbs,1.59
907,other,הפוך,adjectives,0.57
908,glad,כועס,adjectives,0.5
909,trick,משחק,nouns,1.09
910,infection,חולי,nouns,2.79
911,foot,בסיס,nouns,1.74
912,attitude,אמון,nouns,1.31
913,carbon,אטום,nouns,1.56
914,sure,ודאי,adjectives,5.19
915,blue,אדום,adjectives,1.06
916,hungry,צמא,adjectives,1.18
917,chart,גרף,nouns,4.09
918,gum,מנטה,nouns,0.94
919,awful,רע,adjectives,3.99
920,fairly,באופן לא הוגן,adverbs,0.54
921,juice,חלב,nouns,1.06
922,reliably,באופן סביל,adverbs,0.5
923,powerful,עוצמתי,adjectives,5.3
924,truck,חבילה,nouns,0.35
925,magnitude,עומק,nouns,2.06
926,bottom,צד,nouns,1.04
927,bee,מלכה,nouns,0.94
928,staff,זמר,nouns,0.05
929,noise,המולה,nouns,4.13
930,ankle,עצם,nouns,1.21
931,noticeable,ברור,adjectives,3.84
932,judge,להעיד,verbs,0.84
933,cow,בקר,nouns,4.07
934,irregularly,לרוב,adverbs,0.57
935,subtract,להפסיד,verbs,2.12
936,money,משכורת,nouns,3.19
937,important,הכרחי,adjectives,3.65
938,know,לתת,verbs,0.04
939,bite,לריב,verbs,0.94
940,dictionary,מילה,nouns,1.29
941,bee,נמלה,nouns,1.11
942,nerve,מעי,nouns,0.84
943,fever,שפעת,nouns,1.71
944,shrink,להיעלם,verbs,1.44
945,graduate,לסיים,verbs,1.92
946,congress,פרלמנט,nouns,3.51
947,become,להשיג,verbs,0.19
948,bed,מרפאה,nouns,0.5
949,jeans,אישה,nouns,0.3
950,telephone,תא,nouns,0.57
951,employer,מועסק,nouns,0.96
952,scared,ביישן,adjectives,1.59
953,shoulder,זרוע,nouns,1.33
954,honestly,לעולם לא,adverbs,0.0
955,busy,עצלן,adjectives,0.4
956,seem,להתחזות,verbs,1.24
957,prove,להתווכח,verbs,1.77
958,newspaper,מידע,nouns,1.21
959,shuffle,לרכב,verbs,0.4
960,laugh,לבכות,verbs,0.49
961,night,יום,nouns,0.66
962,star,אסטרואיד,nouns,1.72
963,ideally,מכנית,adverbs,0.15
964,clothes,מגירה,nouns,0.71
965,actively,בשמחה,adverbs,0.45
966,split,לנתק,verbs,2.38
967,maker,בורא,nouns,5.37
968,try,לחשוב,verbs,0.25
969,ask,להתחנן,verbs,3.11
970,poor,גאה,adjectives,0.1
971,illustration,שלפוחית,nouns,0.0
972,big,לאומי,adjectives,0.46
973,truthful,שקרן,adjectives,0.54
974,cherry,תות,nouns,1.33
975,bed,כיסא,nouns,0.87
976,opposite,אחר,adjectives,0.57
977,ruler,מלך,nouns,3.72
978,cancer,מחלה,nouns,2.42
979,baseball,אחווה,nouns,0.25
980,violation,פשע,nouns,2.42
981,discreetly,בוודאי,adverbs,0.14
982,please,לבדר,verbs,1.19
983,crazy,מטורף,adjectives,5.22
984,strange,ערמומי,adjectives,0.42
985,rare,מטומטם,adjectives,0.1
986,death,טרגדיה,nouns,1.97
987,breathe,לחנוק,verbs,0.5
988,sadly,נורא,adverbs,0.54
989,tomb,קבורה מחדש,nouns,0.91
990,goal,מנצח,nouns,0.66
991,telephone,טלפון סלולרי,nouns,3.92
992,importantly,רשמית,adverbs,1.45
993,needy,חסר ביטחון,adjectives,1.34
994,hurt,ליפול,verbs,0.91
995,harmony,פסנתר,nouns,0.61
996,ceiling,גג,nouns,3.75
997,tail,קערה,nouns,0.0
998,realistically,לאחרונה,adverbs,0.1
999,iris,אצטילכולין,nouns,0.3
1000,cricket,אוהד,nouns,0.3
1001,dishonest,רע,adjectives,1.07
1002,sometimes,לעיתים קרובות,adverbs,1.04
1003,importantly,באמת,adverbs,0.57
1004,comprehend,לקרוא,verbs,1.44
1005,inch,מטר,nouns,1.39
1006,belief,רושם,nouns,1.66
1007,vein,זרוע,nouns,0.59
1008,formula,משוואה,nouns,4.54
1009,angry,אלים,adjectives,1.58
1010,booth,תיבה,nouns,2.38
1011,descend,לצמצם,verbs,1.04
1012,text,ספר,nouns,2.46
1013,comfort,להשפיל,verbs,0.39
1014,death,קבורה,nouns,1.68
1015,beauty,סונטה,nouns,0.32
1016,teach,לחנך,verbs,4.82
1017,glass,קריסטל,nouns,2.13
1018,cotton,סוודר,nouns,0.81
1019,road,כביש מהיר,nouns,3.95
1020,journalist,משורר,nouns,1.11
1021,job,כלי,nouns,0.48
1022,lifestyle,ציוויליזציה,nouns,0.76
1023,song,מבצע,nouns,0.59
1024,verify,להגיד,verbs,0.74
1025,cattle,כבש,nouns,2.07
1026,tightly,בנחישות,adverbs,3.13
1027,carriage,מכונית,nouns,2.27
1028,negotiation,דיפלומטיה,nouns,2.21
1029,coat,כובע,nouns,0.71
1030,accuse,לשקר,verbs,0.48
1031,actress,שחקן,nouns,3.54
1032,ball,סל,nouns,0.5
1033,great,רע,adjectives,0.49
1034,weapon,קסדה,nouns,0.94
1035,guess,להרגיז,verbs,0.05
1036,mill,זרע,nouns,0.57
1037,immature,בוגר,adjectives,0.54
1038,sell,להשאיל,verbs,0.74
1039,precisely,באופן לא מדויק,adverbs,0.54
1040,give,לנשל,verbs,0.49
1041,punch,לצבוט,verbs,0.52
1042,bird,תרנגולת,nouns,1.82
1043,stomach,מותן,nouns,1.41
1044,waste,לדאוג,verbs,0.1
1045,blade,דשא,nouns,0.59
1046,mundane,רגיל,adjectives,5.34
1047,appliance,סיר,nouns,0.84
1048,bad,איום,adjectives,3.65
1049,apocalypse,שריפה,nouns,0.69
1050,stamen,האבקה,nouns,1.34
1051,dirty,צר,adjectives,0.0
1052,bad,נורא,adjectives,3.99
1053,leave,להישאר,verbs,0.61
1054,scared,לא בטוח,adjectives,1.13
1055,sincerely,ביושר,adverbs,5.25
1056,opposite,ייחודי,adjectives,0.54
1057,contemptuous,לעגני,adjectives,4.04
1058,blend,להכות,verbs,0.21
1059,god,טרף,nouns,0.05
1060,crochet,מדים,nouns,0.15
1061,turkey,תרנגולת,nouns,1.38
1062,cooperate,להצטרף,verbs,1.44
1063,suspect,איש,nouns,0.48
1064,smooth,חד,adjectives,0.45
1065,bean,קפה,nouns,1.04
1066,whiskey,אלכוהול,nouns,1.91
1067,magnitude,מידה,nouns,4.31
1068,cheese,לחם,nouns,0.63
1069,course,בטן,nouns,0.0
1070,father,בן,nouns,1.09
1071,tedious,מוגן,adjectives,0.14
1072,arithmetic,היגיון,nouns,1.58
1073,television,תסריטאי,nouns,0.92
1074,weird,תמוה,adjectives,4.23
1075,wear,לקרוע,verbs,0.46
1076,remain,לעזוב,verbs,0.61
1077,pay,לקנות,verbs,1.91
1078,leaf,נבט,nouns,1.25
1079,learn,לבלבל,verbs,0.3
1080,way,אופן,nouns,3.92
1081,fail,להצליח,verbs,0.54
1082,illness,חום,nouns,2.22
1083,screen,מוניטור,nouns,4.18
1084,lawyer,משפטן,nouns,4.94
1085,bank,מושב,nouns,0.05
1086,acetaminophen,ברונכיטיס,nouns,0.69
1087,create,לבנות,verbs,3.89
1088,evacuate,לקבוע,verbs,0.1
1089,ball,כפפה,nouns,0.77
1090,bad,אשם,adjectives,1.14
1091,buy,לגנוב,verbs,0.46
1092,precious,עצלן,adjectives,0.0
1093,relaxed,רגוע,adjectives,4.88
1094,admit,להכחיש,verbs,0.54
1095,loop,חגורה,nouns,0.99
1096,window,גג,nouns,0.71
1097,wire,תיל,nouns,3.71
1098,inform,לעדכן,verbs,4.85
1099,charcoal,פחם,nouns,2.15
1100,win,לשלוט,verbs,1.71
1101,timber,קורה,nouns,2.31
1102,cord,כבל,nouns,3.71
1103,peppermint,מסטיק,nouns,0.94
1104,chaos,שיעור,nouns,0.1
1105,cattle,יוגורט,nouns,0.77
1106,sadly,רגשית,adverbs,1.38
1107,spirit,אל,nouns,1.71
1108,catch,לרדוף,verbs,1.17
1109,thirsty,רעב,adjectives,1.18
1110,promise,להישבע,verbs,4.92
1111,abnormally,בדרך כלל,adverbs,0.49
1112,spicy,טוב,adjectives,0.45
1113,announce,להצהיר,verbs,4.72
1114,brother,ילד,nouns,2.15
1115,baseball,ספה,nouns,0.1
1116,currency,חליפין,nouns,1.39
1117,blood,מוח,nouns,1.01
1118,gap,פתח,nouns,3.9
1119,boat,מנוע,nouns,0.96
1120,duke,רפובליקה,nouns,0.49
1121,sculptor,אחוזה,nouns,0.25
1122,vocalist,צוות,nouns,0.05
1123,assault,לעצבן,verbs,0.88
1124,cameo,הופעה,nouns,0.74
1125,crib,מיטת תינוק,nouns,4.77
1126,sly,מוזר,adjectives,0.42
1127,legend,מוסר,nouns,0.27
1128,help,לבקש,verbs,1.05
1129,smart,מטומטם,adjectives,0.54
1130,water,בצורת,nouns,0.39
1131,window,ענן,nouns,0.3
1132,mind,נוירוזה,nouns,1.02
1133,pact,תנאי,nouns,1.04
1134,lose,לבשל,verbs,0.0
1135,grass,טחב,nouns,1.71
1136,fire,אפוקליפסה,nouns,0.69
1137,foolish,מטומטם,adjectives,4.37
1138,crude,מכוער,adjectives,1.16
1139,reflection,תמונה,nouns,1.86
1140,avoid,לדחות,verbs,0.82
1141,drum,קרן,nouns,0.6
1142,friendly,לא סביר,adverbs,0.0
1143,syllable,למה,nouns,0.81
1144,intelligence,תבונה,nouns,4.53
1145,buy,לשלם,verbs,1.91
1146,accept,לסלוח,verbs,1.25
1147,leave,להופיע,verbs,0.34
1148,gun,תעלול,nouns,0.1
1149,husband,אישה,nouns,1.62
1150,story,עפרון,nouns,0.3
1151,bed,שמיכה,nouns,1.01
1152,style,אלגנטיות,nouns,2.66
1153,dreary,משעמם,adjectives,4.07
1154,ox,סוס,nouns,1.19
1155,advance,לקדם,verbs,2.24
1156,save,להגן,verbs,2.67
1157,naturally,באופן לא טבעי,adverbs,0.49
1158,madly,בקול רם,adverbs,0.48
1159,hurricane,סערה,nouns,3.46
1160,laugh,לשיר,verbs,0.51
1161,date,יומן,nouns,1.21
1162,rabbi,מורה,nouns,2.06
1163,flute,מוזיקה,nouns,1.2
1164,mouse,חתול,nouns,0.91
1165,inn,מוטל,nouns,4.11
1166,entropy,מידע,nouns,1.19
1167,tree,עלה,nouns,1.11
1168,take,למסור,verbs,0.81
1169,generous,חברותי,adjectives,0.71
1170,enter,ללכת,verbs,1.15
1171,millionaire,דולר,nouns,0.71
1172,shine,לזהור,verbs,3.91
1173,arm,שריר,nouns,1.04
1174,discourage,להיכשל,verbs,0.36
1175,word,מילון,nouns,1.29
1176,pollution,אטמוספירה,nouns,0.45
1177,men,אחוה,nouns,0.84
1178,unusual,נדיר,adjectives,4.64
1179,body,זרוע,nouns,0.91
1180,mob,קהל,nouns,4.47
1181,neck,גב,nouns,1.52
1182,innocent,חופשי,adjectives,0.91
1183,go,להיכנס,verbs,1.15
1184,zone,שטח,nouns,4.95
1185,hesitant,זועם,adjectives,0.55
1186,combat,לוחמנות,nouns,2.51
1187,closet,בגדים,nouns,0.86
1188,pearl,כסף,nouns,0.57
1189,lock-up,תא,nouns,1.69
1190,log,עץ,nouns,2.24
1191,hurt,לבעוט,verbs,1.16
1192,background,טפט,nouns,3.14
1193,danger,מחלה,nouns,0.76
1194,absence,נוכחות,nouns,0.61
1195,presence,דלת,nouns,0.15
1196,dawn,לילה,nouns,0.94
1197,orthodontist,רופא,nouns,1.91
1198,cover,להסוות,verbs,2.54
1199,fry,לבשל,verbs,2.21
1200,hose,מכונית,nouns,0.25
1201,aluminium,מתכת,nouns,1.91
1202,flower,סיגלית,nouns,1.99
1203,god,כומר,nouns,0.84
1204,nature,צמחייה,nouns,2.42
1205,arm,צוואר,nouns,0.64
1206,highway,משימה,nouns,0.0
1207,erode,לאפשר,verbs,0.05
1208,job,הנהלה,nouns,1.02
1209,naturally,בשקט,adverbs,0.24
1210,tea,לימון,nouns,0.49
1211,north,מערב,nouns,1.45
1212,actor,טלויזיה,nouns,0.69
1213,clothes,ארון,nouns,0.86
1214,reduce,לספוג,verbs,0.25
1215,borrow,למכור,verbs,0.74
1216,sing,לרחף,verbs,0.2
1217,cell,מעצר,nouns,1.69
1218,bridge,קלף,nouns,0.7
1219,sister,אח,nouns,2.29
1220,dad,אם,nouns,1.7
1221,sharp,חלק,adjectives,0.45
1222,think,לזכור,verbs,1.27
1223,bone,שיניים,nouns,1.84
1224,national,גדול,adjectives,0.46
1225,search,לצוד,verbs,2.62
1226,sunset,שולחן,nouns,0.0
1227,obey,להעניש,verbs,0.4
1228,erode,לדהות,verbs,2.62
1229,cruel,נחמד,adjectives,0.4
1230,glad,שמח,adjectives,5.22
1231,anchor,סירה,nouns,0.85
1232,baggage,הקפת כדור הארץ,nouns,0.17
1233,regular,בור,adjectives,0.13
1234,rarely,לרוב,adverbs,0.96
1235,infinity,אפס,nouns,0.91
1236,snow,תחזית,nouns,0.96
1237,battery,אנרגיה,nouns,1.82
1238,king,נסיך,nouns,2.11
1239,friend,מורה,nouns,0.6
1240,god,אב,nouns,0.54
1241,orchard,יען,nouns,0.1
1242,lip,פה,nouns,1.47
1243,beg,להשאיל,verbs,0.57
1244,rain,סופת שלגים,nouns,1.15
1245,jar,בקבוק,nouns,3.05
1246,boil,לטגן,verbs,1.62
1247,keep,להחזיק,verbs,2.94
1248,mouth,אף,nouns,0.94
1249,legal,בטוח,adjectives,0.83
1250,bicycle,חדר שינה,nouns,0.15
1251,globalism,ויזה,nouns,0.54
1252,drink,לבלוע,verbs,1.79
1253,terrible,רע,adjectives,3.65
1254,dermatitis,אקזמה,nouns,2.44
1255,flour,לחם,nouns,1.09
1256,bread,גבינה,nouns,0.63
1257,mind,מוח,nouns,2.52
1258,punish,לציית,verbs,0.4
1259,border,תחום,nouns,4.57
1260,sunshine,קרן,nouns,1.07
1261,birthday,שנה,nouns,0.92
1262,eye,גבה,nouns,1.17
1263,finger,יד,nouns,1.19
1264,cannon,כדור,nouns,0.81
1265,argument,הסכמה,nouns,0.54
1266,secretly,בבטחה,adverbs,0.72
1267,payment,הערה,nouns,0.31
1268,evening,דמדומים,nouns,3.69
1269,meter,יארד,nouns,2.51
1270,brandy,יין,nouns,1.84
1271,era,עשור,nouns,2.13
1272,mild,חד,adjectives,0.45
1273,take,לשאת,verbs,1.41
1274,cathedral,תקרה,nouns,0.4
1275,elevator,מכונית,nouns,0.44
1276,officer,סגן,nouns,1.99
1277,explain,להבהיר,verbs,4.48
1278,silkworm,זחל,nouns,2.08
1279,possess,לספוג,verbs,0.29
1280,easy,פגיע,adjectives,0.44
1281,daughter,תינוקת,nouns,2.53
1282,goal,חיפוש,nouns,1.52
1283,vulnerable,נוח,adjectives,0.44
1284,deadly,באושר,adverbs,0.15
1285,secure,מעיק,adjectives,0.14
1286,meaningfully,במיוחד,adverbs,2.26
1287,concurrency,מטבע,nouns,0.64
1288,princess,אי,nouns,0.3
1289,servant,עבד,nouns,3.79
1290,banker,פרקליט,nouns,0.87
1291,bedroom,מיטה,nouns,1.36
1292,neat,נקי,adjectives,3.25
1293,large,עצום,adjectives,4.96
1294,insight,עובדה,nouns,2.03
1295,singer,מקהלה,nouns,1.54
1296,image,רעיון,nouns,0.83
1297,friend,אמא,nouns,1.21
1298,poverty,עושר,nouns,0.61
1299,diet,סלט,nouns,1.13
1300,steal,לתת,verbs,0.44
1301,disguise,לכסות,verbs,2.54
1302,humbly,בגאווה,adverbs,0.77
1303,god,רוח,nouns,1.71
1304,car,מונית,nouns,2.78
1305,recommend,לקבל,verbs,0.55
1306,crown,מפתח,nouns,0.0
1307,exam,סילבוס,nouns,0.96
1308,reader,סופר,nouns,0.91
1309,journal,כתבה,nouns,1.95
1310,burial,מוות,nouns,1.68
1311,allow,להפריך,verbs,0.1
1312,economy,מערכת אקולוגית,nouns,0.69
1313,vexillology,דגל,nouns,1.36
1314,sometimes,בוודאי,adverbs,0.09
1315,convention,חוק,nouns,2.83
1316,proud,יהיר,adjectives,3.7
1317,flower,שיח,nouns,1.85
1318,think,לברר,verbs,1.1
1319,naive,תמים,adjectives,5.38
1320,yell,להתווכח,verbs,1.89
1321,mediocre,משעמם,adjectives,1.52
1322,cheap,מלוכלך,adjectives,0.44
1323,proud,עצוב,adjectives,0.25
1324,growth,דשן,nouns,0.84
1325,cruel,לא הוגן,adjectives,1.39
1326,modest,טהור,adjectives,0.87
1327,participate,להגיד,verbs,0.45
1328,choose,להצביע,verbs,4.0
1329,alcohol,ג'ין,nouns,2.06
1330,piano,הרמוניה,nouns,0.61
1331,passion,רגש,nouns,2.86
1332,appear,לעזוב,verbs,0.34
1333,hang,להניח,verbs,0.94
1334,whip,להכות,verbs,3.33
1335,book,סיפור,nouns,1.91
1336,cover,לקבור,verbs,2.35
1337,brightly,מאוד,adverbs,0.42
1338,remind,למכור,verbs,0.0
1339,find,לאבד,verbs,0.5
1340,fun,משחק,nouns,1.46
1341,later,לעולם לא,adverbs,0.62
1342,valuable,מיוחד,adjectives,2.82
1343,liberty,חרות,nouns,5.42
1344,hug,להחזיק,verbs,1.85
1345,map,כיכר,nouns,0.45
1346,replacement,החלפה,nouns,3.4
1347,source,קופסה,nouns,0.0
1348,retreat,לעזוב,verbs,3.16
1349,engagement,טבעת,nouns,1.71
1350,new,לא משומש,adjectives,4.27
1351,cat,עכבר,nouns,0.91
1352,mixed,ישן,adjectives,0.0
1353,honey,מחלבה,nouns,0.41
1354,old,טרי,adjectives,0.54
1355,word,ספרות,nouns,1.56
1356,racket,רעש,nouns,4.13
1357,blood,גוף,nouns,0.71
1358,chemistry,תיאוריה,nouns,0.29
1359,often,לעיתים רחוקות,adverbs,0.67
1360,seem,להפוך,verbs,0.17
1361,give,לדעת,verbs,0.04
1362,wealth,תהילה,nouns,1.46
1363,gather,לאסוף,verbs,4.92
1364,weather,ענן,nouns,1.02
1365,differ,להסכים,verbs,0.59
1366,pen,אלפבית,nouns,0.44
1367,tank,מכונית,nouns,1.06
1368,actively,במדוייק,adverbs,0.69
1369,bone,זרוע,nouns,0.77
1370,decide,לחשוב,verbs,1.22
1371,go,לאפשר,verbs,0.09
1372,wind,סופה,nouns,2.37
1373,aviation,טיסה,nouns,2.91
1374,search,לתשאל,verbs,2.0
1375,glove,כדור,nouns,0.77
1376,princess,לחמניה,nouns,0.0
1377,upset,לדכא,verbs,0.64
1378,palm,אצבע,nouns,1.19
1379,choose,להחליט,verbs,3.73
1380,uncovered,מכוסה,adjectives,0.54
1381,sound,אקוסטיקה,nouns,2.8
1382,diet,תפוח,nouns,0.69
1383,cup,כף,nouns,1.09
1384,trip,מסע,nouns,4.71
1385,doorway,דלת,nouns,2.36
1386,door,נוכחות,nouns,0.15
1387,giggle,לצחוק,verbs,4.13
1388,ignore,לעזוב,verbs,1.02
1389,scream,לצרוח,verbs,4.0
1390,business,תאגיד,nouns,3.49
1391,fee,תשלום,nouns,3.19
1392,dull,מצחיק,adjectives,0.45
1393,flexible,גדול,adjectives,0.1
1394,cinema,פופקורן,nouns,0.61
1395,door,פעמון,nouns,0.67
1396,saint,חוטא,nouns,0.53
1397,rush,להזדרז,verbs,5.0
1398,money,יהלום,nouns,0.71
1399,run,לרכב,verbs,0.69
1400,protect,לעזור,verbs,1.59
1401,seldom,לעולם לא,adverbs,2.13
1402,hound,שועל,nouns,1.33
1403,head,רגל,nouns,0.59
1404,poet,עיתונאי,nouns,1.11
1405,activity,תנועה,nouns,2.54
1406,lion,חתול,nouns,1.94
1407,begin,התחיל,verbs,5.24
1408,crime,תקיפה,nouns,2.15
1409,book,כתב יד,nouns,2.21
1410,argue,להוכיח,verbs,1.77
1411,fault,מערכת,nouns,0.32
1412,passively,באופן אמין,adverbs,0.5
1413,acoustics,קול ,nouns,2.8
1414,hospital,מיטה,nouns,0.5
1415,ball,תחפושת,nouns,0.2
1416,violent,רך,adjectives,0.35
1417,attach,להפריד,verbs,0.54
1418,horse,סוסון,nouns,2.45
1419,bring,להגיע,verbs,0.29
1420,yard,מטר,nouns,2.51
1421,roof,חלון,nouns,0.71
1422,fluid,זרבובית,nouns,0.49
1423,logic,אינטליגנציה,nouns,2.7
1424,special,בעל ערך,adjectives,2.82
1425,obvious,בולט,adjectives,3.84
1426,optimistically,ייתכן,adverbs,0.54
1427,school,חוק,nouns,0.57
1428,root,דשא,nouns,0.96
1429,walk,לצלוע,verbs,1.41
1430,jail,בחירה,nouns,0.35
1431,shrink,לצמוח,verbs,0.69
1432,adult,תינוק,nouns,0.85
1433,card,ברידג',nouns,0.7
1434,coat,בגדים,nouns,1.77
1435,destroy,להציל,verbs,0.3
1436,cat,ארנב,nouns,0.96
1437,punish,להכות,verbs,1.26
1438,perhaps,כנראה,adverbs,3.75
1439,cottage,ביתן,nouns,3.64
1440,gullible,טיפשי,adjectives,2.49
1441,coach,שחקן,nouns,0.81
1442,writer,רומן,nouns,0.91
1443,peacefully,בגאווה,adverbs,0.26
1444,topic,סולמית,nouns,0.58
1445,light,מקלדת,nouns,0.0
1446,spoon,מיץ,nouns,0.25
1447,man,לוחם,nouns,1.17
1448,uniform,קרושה,nouns,0.15
1449,legion,צבא,nouns,3.02
1450,bath,בלון,nouns,0.05
1451,car,אופניים,nouns,1.25
1452,cheek,לשון,nouns,0.99
1453,army,צי,nouns,2.74
1454,side,פסגה,nouns,0.41
1455,grass,להב,nouns,0.59
1456,apartment,רהיט,nouns,0.66
1457,sick,משוגע,adjectives,0.76
1458,lake,ביצה,nouns,1.27
1459,succeed,לנסות,verbs,1.23
1460,grass,שורש,nouns,0.96
1461,demon,מפלצת,nouns,4.41
1462,lose,לשמור,verbs,0.35
1463,discussion,טיעון,nouns,2.14
1464,holiday,לוח שנה,nouns,0.86
1465,make,לבנות,verbs,3.3
1466,date,יום הולדת,nouns,1.65
1467,bother,לפגוע,verbs,1.83
1468,mad,מעולה,adjectives,0.3
1469,car,כביש,nouns,0.85
1470,blanket,סערה,nouns,0.4
1471,yogurt,בקר,nouns,0.77
1472,tradition,עבודת יד,nouns,0.71
1473,horse,סוסה,nouns,3.08
1474,give,להניח,verbs,0.56
1475,fry,להרתיח,verbs,1.62
