ID,HEB,POL,PoS,score
689,שעון,spódnica,nouns,0.3
690,להפריך,zezwalać,verbs,0.1
691,ציור,zamieszki,nouns,0.1
692,להיפצע,upaść,verbs,0.9
693,אריה,kot,nouns,2.35
694,מצב,chłopiec,nouns,0.0
695,מוניטור,ekran,nouns,4.7
696,פטרוזיליה,babeczka,nouns,0.4
697,ללמוד,zapominać,verbs,0.45
698,לצייר,tworzyć,verbs,2.0
699,משימה,zlecenie,nouns,5.15
700,מפרק,ręka,nouns,1.75
701,מטבע,współbieżność,nouns,0.6
702,חוק,szkoła,nouns,0.6
703,מתבייש,winny,adjectives,0.55
704,מוזר,cudaczny,adjectives,4.9
705,וירוס,krew,nouns,0.8
706,לברר,wymagać,verbs,0.75
707,מסיכה,impreza,nouns,0.7
708,אב,brat,nouns,1.1
709,תרבות,społeczeństwo,nouns,1.45
710,להחליט,osądzać,verbs,1.7
711,גיבורה,bohater,nouns,4.2
712,מוות,pochówek,nouns,1.75
713,משוגע,chory,adjectives,1.7
714,אינטליגנציה,mądrość,nouns,4.85
715,לסלוח,akceptować,verbs,1.95
716,שוביניסט,uprzedzenie,nouns,2.0
717,דם,żyła,nouns,2.25
718,לבנות,dodawać,verbs,1.6
719,פאסיבי,gwałtowny,adjectives,0.3
720,אלוף,zwycięzca,nouns,4.2
721,משעמם,ekscytujący,adjectives,0.45
722,מילון,encyklopedia,nouns,2.2
723,בן,chłopiec,nouns,3.0
724,הצגה,matematyk,nouns,0.05
725,רשמית,znacząco,adverbs,1.25
726,שטח,strefa,nouns,5.15
727,חשוב,konieczny,adjectives,3.75
728,השתקפות,wizerunek,nouns,2.3
729,חרדל,nasienie,nouns,0.7
730,טבק,papieros,nouns,2.25
731,קינמון,cukierek,nouns,0.65
732,ג'נטלמן,dama,nouns,1.2
733,נכנס,towarzyski,adjectives,1.05
734,ארוחה,talia,nouns,0.45
735,רב,nauczyciel,nouns,2.25
736,תיאטרון,film,nouns,1.35
737,הבדל,reszta,nouns,1.65
738,ליצור,nurkować,verbs,0.1
739,חקלאות,roślina,nouns,1.0
740,לשלוח,iść,verbs,0.35
741,להיכנס,wychodzić,verbs,0.7
742,בית משפט,sędzia,nouns,1.7
743,לסדר,organizować,verbs,4.2
744,להשאיל,sprzedawać,verbs,0.7
745,פוליטיקאי,policjant,nouns,0.4
746,נינוח,zestresowany,adjectives,0.5
747,להתעלם,zostawić,verbs,1.2
748,להונות,oszukać,verbs,5.15
749,לעשות,rezygnować,verbs,0.35
750,יוצא דופן,rzadki,adjectives,4.7
751,להגיע,iść,verbs,1.6
752,סופני,głównie,adverbs,0.0
753,חיבור,książka,nouns,1.25
754,בודד,biedny,adjectives,1.2
755,עמלה,pensja,nouns,1.05
756,לעזוב,wchodzić,verbs,0.7
757,פרי הדר,pomarańcza,nouns,3.25
758,להצטרף,nabyć,verbs,0.25
759,לעצור,zabraniać,verbs,1.8
760,עצם,mięsień,nouns,0.55
761,עפרון,opowieść,nouns,0.35
762,חתן,panna młoda,nouns,1.35
763,מנצח,mężczyzna,nouns,0.55
764,אחווה,baseball,nouns,0.25
765,ניתוח,serce,nouns,0.6
766,לצמוח,kurczyć się,verbs,0.65
767,כבל,kaplica,nouns,0.05
768,תיאוריה,hipoteza,nouns,4.75
769,להרוס,ratować,verbs,0.3
770,להפריד,przyłączać,verbs,0.5
771,ארוחה,bekon,nouns,1.25
772,לחשוק,chcieć,verbs,4.7
773,לטבוע,ratować,verbs,0.55
774,להנות,zabawiać,verbs,1.0
775,סוס,źrebak,nouns,2.8
776,חשוף,zakryty,adjectives,0.55
777,הסכמה,argument,nouns,0.7
778,בזוי,pogardliwy,adjectives,3.7
779,דם,ciało,nouns,0.8
780,סופת שלגים,deszcz,nouns,1.35
781,משרה,kierownictwo,nouns,1.0
782,מרק,kolacja,nouns,1.7
783,איום,zły,adjectives,2.95
784,לברך,spotykać,verbs,0.8
785,ילדותי,dorosły,adjectives,0.5
786,לחפש,wędrować,verbs,1.25
787, בענווה,marnie,adverbs,0.3
788,בערך,niezawodnie,adverbs,0.3
789,לדחות,odrzucać,verbs,4.55
790,חשוד,mężczyzna,nouns,0.65
791,תחתית,wierzch,nouns,0.5
792,זר,tłumacz,nouns,0.5
793,ילד,warunek,nouns,0.0
794,לעזוב,pozostać,verbs,0.5
795,מעסיק,robotnik,nouns,1.05
796,נהדר,błyskotliwy,adjectives,2.1
797,רעב,zmęczony,adjectives,0.6
798,לשמור,stracić,verbs,0.35
799,חוזק,wytrzymałość,nouns,2.65
800,כוח,moc,nouns,4.6
801,כעס,frustracja,nouns,3.55
802,ישר,wygięty,adjectives,0.5
803,דגל,słup,nouns,0.9
804,לעדכן,informować,verbs,5.45
805,מקהלה,piosenkarz,nouns,0.95
806,ללחוץ,uwalniać,verbs,0.45
807,עין,łza,nouns,1.05
808,לבנות,niszczyć,verbs,0.5
809,חצי אי,wyspa,nouns,1.8
810,להסית,skłaniać,verbs,3.3
811,כביש מהיר,droga,nouns,4.8
812,מעסיק,pracownik,nouns,1.3
813,הכחשה,wyznanie,nouns,0.5
814,שיכור,trzeźwy,adjectives,0.5
815,תקרה,podłoga,nouns,0.65
816,במקור,kreatywnie,adverbs,0.55
817,להצדיע,występować,verbs,0.35
818,רחב,świeży,adjectives,0.05
819,מים,sól,nouns,0.85
820,להנמיך,redukować,verbs,4.3
821,לנשוך,walczyć,verbs,1.05
822,כפתור,ubrania,nouns,0.95
823,לבקר,nienawidzić,verbs,1.05
824,צמיחה,nawóz,nouns,0.95
825,זעם,gniew,nouns,4.7
826,להתחנן,prosić,verbs,4.55
827,לשתות,wymieszać,verbs,0.5
828,לבהות,zezować,verbs,0.75
829,לנחור,budzić się,verbs,0.5
830,מעיק,pewny,adjectives,0.1
831,לטפטף,nalewać,verbs,1.9
832,חשבון,logika,nouns,1.0
833,שמח,wesoły,adjectives,4.95
834,לשלם,kupować,verbs,2.4
835,יוצא,przychodzący,adjectives,1.05
836,באופן פנטסטי,niesamowicie,adverbs,5.4
837,קישוט,ściana,nouns,0.55
838,גוף,bielizna,nouns,0.35
839,פרק,ogon,nouns,0.2
840,שמן,norka,nouns,0.15
841,למכור,handlować,verbs,4.65
842,אפשרי,niemożliwy,adjectives,0.5
843,חזון,percepcja,nouns,2.4
844,שד,anioł,nouns,0.75
845,חרד,wystraszony,adjectives,4.25
846,סיומת,afiks,nouns,2.4
847,באופן לא הוגן,sprawiedliwie,adverbs,0.5
848,משפט,test,nouns,1.05
849,לרוקן,eksmitować,verbs,2.85
850,גדול,ciężki,adjectives,1.35
851,עתיק,nowy,adjectives,0.5
852,לבדר,lubić,verbs,1.0
853,בעל,żona,nouns,1.2
854,גשם,mgiełka,nouns,1.4
855,בעיקר,głęboko,adverbs,0.5
856,להשיג,próbować,verbs,0.65
857,מכונית,taksówka,nouns,3.1
858,סיגריה,tytoń,nouns,2.25
859,לקפוא,drżeć,verbs,1.2
860,גרף,diagram,nouns,4.7
861,לפטופ,notebook,nouns,5.35
862,לעזור,chronić,verbs,2.05
863,באופן לא סדיר,zwykle,adverbs,0.5
864,מיטה,meble,nouns,2.5
865,לבחור,mianować,verbs,1.4
866,תכנית,pomysł,nouns,2.5
867,סירה,motor,nouns,0.95
868,מנצח,mistrz,nouns,4.2
869,מורה,przyjaciel,nouns,0.55
870,לרצות,prosić,verbs,0.3
871,מגדל,dzwon,nouns,0.75
872,צר,szeroki,adjectives,0.5
873,פשוט,najwyraźniej,adverbs,0.95
874,עושר,bieda,nouns,0.6
875,מסטיק,mięta,nouns,0.75
876,צפון,zachód,nouns,1.35
877,לחשוב,usprawiedliwiać,verbs,0.8
878,לפגוע,zmartwić,verbs,1.5
879,תלותי,niepewny,adjectives,0.85
880,ליפול,boleć,verbs,0.9
881,להשאיל,chcieć,verbs,0.35
882,חום,schorzenie,nouns,1.65
883,לשמור,bronić,verbs,4.65
884,לתת,wiedzieć,verbs,0.1
885,משמעותי,pomniejszy,adjectives,0.45
886,חרב,środowisko,nouns,0.0
887,לחוב,wchodzić,verbs,0.0
888,קיר,dekoracja,nouns,0.55
889,בבית,daleko,adverbs,0.55
890,סטייק,mięso,nouns,3.75
891,בקול רם,subtelnie,adverbs,0.2
892,גרון,język,nouns,1.0
893,ללגום,pić,verbs,4.25
894,לנשל,zaniedbać,verbs,1.1
895,מדוייק,błędny,adjectives,0.5
896,לרדת,obniżać,verbs,1.5
897,לספוג,uczyć się,verbs,1.35
898,להתכווץ,rosnąć,verbs,0.65
899,ודאי,pewny siebie,adjectives,5.05
900,לפגוע,chybić,verbs,0.55
901,לגדל,pić,verbs,0.1
902,ים,delta,nouns,1.2
903,חבר,gość,nouns,1.65
904,חזק,dumny,adjectives,0.55
905,לגיון,armia,nouns,2.95
906,לבחור,chcieć,verbs,1.3
907,מכרה,skała,nouns,1.1
908,שופט,sąd,nouns,1.7
909,להרוס,tworzyć,verbs,0.5
910,קופסה,źródło,nouns,0.0
911,נשיא,aparat,nouns,0.05
912,בית,stan,nouns,0.65
913,לחסוך,wydawać,verbs,0.5
914,להתחתן,angażować,verbs,1.45
915,שליט,król,nouns,4.9
916,סנט,konstytucja,nouns,0.95
917,אריג,ubrania,nouns,1.7
918,באדיבות,miło,adverbs,4.1
919,אנשים,pistolet,nouns,0.3
920,לעזוב,iść,verbs,2.15
921,חיטה,zboże ,nouns,3.75
922,בכנות,zwykle,adverbs,0.35
923,לקלוט,rozumieć,verbs,4.45
924,זהירות,troska,nouns,2.55
925,לאמת,powiedzieć,verbs,0.65
926,סבולת,siła,nouns,2.65
927,לרסק,rozwalić,verbs,4.35
928,סופר,kompozytor,nouns,1.4
929,הרבה,dwukrotnie,adverbs,0.95
930,קוף,kampania,nouns,0.0
931,חימום מראש,odgrzewać,nouns,2.1
932,ענן,mgła,nouns,2.05
933,ילד,brat,nouns,1.85
934,מלח,woda,nouns,0.85
935,קובייה,zabawka,nouns,0.8
936,להיכשל,polegać,verbs,0.2
937,להחסיר,stracić,verbs,1.7
938,בהחלט,pewnie,adverbs,5.45
939,עובד,pracodawca,nouns,1.05
940,תפוח,sos,nouns,0.4
941,גג,podłoga,nouns,1.0
942,אמונה,wrażenie,nouns,1.45
943,כתף,głowa,nouns,1.05
944,טייס,kierowca,nouns,2.25
945,לדבר,słyszeć,verbs,0.9
946,אחיין,ciotka,nouns,1.1
947,כן,winny,adjectives,0.3
948,מטרייה,grzejnik,nouns,0.55
949,טיפשי,dziecinny,adjectives,2.05
950,מיץ,łyżka,nouns,0.25
951,בז,orzeł,nouns,2.3
952,חכם,tępy,adjectives,0.5
953,להזכיר,sprzedawać,verbs,0.0
954,אשם,zły,adjectives,1.45
955,סיגלית,kwiat,nouns,2.85
956,בוודאי,pobieżnie,adverbs,0.5
957,ליצור,robić,verbs,3.65
958,להתווכח,debatować,verbs,3.25
959,להצליח,osiągnąć,verbs,2.75
960,להסביר,udowodnić,verbs,1.7
961,רעיה,słoma,nouns,0.1
962,אמבטיה,polano,nouns,0.1
963,חיישן,kaloryfer,nouns,0.45
964,נייר,karton,nouns,3.0
965,ליצור,niszczyć,verbs,0.5
966,טלה,owca,nouns,3.75
967,מבוהל,podekscytowany,adjectives,0.85
968,ניטרלי,spokojny,adjectives,1.55
969,מלאך,demon,nouns,0.75
970,בחשאיות,śmiało,adverbs,0.45
971,בבגרות,bystrze,adverbs,1.85
972,לחוץ,zrelaksowany,adjectives,0.5
973,גב,szyja,nouns,1.0
974,שמיים,marzenie,nouns,0.4
975,סמל,znak,nouns,5.2
976,היגיון,arytmetyka,nouns,1.0
977,בקרוב,natychmiast,adverbs,1.6
978,לנגב,pogorszyć się,verbs,0.2
979,עץ,liść,nouns,1.15
980,מורה,pomocnik,nouns,0.95
981,קורא,autor,nouns,0.6
982,לעזוב,pojawić się,verbs,0.55
983,תרנגולת,kolacja,nouns,0.6
984, קפלה,kabel,nouns,0.05
985,צוות,wokalista,nouns,0.1
986,עקום,wygięty,adjectives,4.7
987,רגל,ramię,nouns,1.3
988,יכולת,kompetencja,nouns,4.15
989,להתלונן,kłócić się,verbs,1.7
990,קמח,chleb,nouns,1.05
991,בערך,łatwo,adverbs,0.3
992,מידע,gazeta,nouns,1.55
993,יום הולדת,data,nouns,1.75
994,מצלמה,soczewka,nouns,1.25
995,תחפושת,bal,nouns,0.4
996,בערך,oczywiście,adverbs,0.5
997,ללא הגיון,niesprawiedliwie,adverbs,1.5
998,לחבר,oddzielać,verbs,0.5
999,נוכחות,nieobecność,nouns,0.5
1000,לשתות,sączyć,verbs,4.25
1001,גזענות,ksenofobia,nouns,2.5
1002,עוף,ryż,nouns,0.6
1003,נסיכה,panna młoda,nouns,0.8
1004,נדיב,miły,adjectives,1.1
1005,להסכים,kłócić się,verbs,0.45
1006,לשנוא,krytykować,verbs,1.05
1007,מאמן,gracz,nouns,1.0
1008,לסרב,akceptować,verbs,0.45
1009,קמע,występ,nouns,0.2
1010,מורה,rabin,nouns,2.25
1011,להופיע,pozdrawiać,verbs,0.35
1012,בנאמנות,szczerze,adverbs,2.15
1013,תפוד,masło,nouns,0.7
1014,נורמלי,inny,adjectives,0.55
1015,מתוק,elektryczny,adjectives,0.0
1016,לא משומש,nowy,adjectives,4.6
1017,כלב,kot,nouns,0.8
1018,הססן,gniewny,adjectives,0.7
1019,עסק,korporacja,nouns,2.5
1020,תוף,róg,nouns,0.7
1021,סוס,pies,nouns,0.95
1022,חומרה,futerał,nouns,0.5
1023,בעדינות,spokojnie,adverbs,2.55
1024,מיידית,raz,adverbs,0.3
1025,להאמין,czuć,verbs,1.35
1026,מבוגר,rodzic,nouns,2.1
1027,מלוכה,demokracja,nouns,1.1
1028,קר,zwyczajny,adjectives,0.2
1029,צי,armia,nouns,3.5
1030,בטוח,nerwowy,adjectives,0.15
1031,תולעת משי,gąsienica,nouns,2.65
1032,ריאה,wątroba,nouns,1.15
1033,לפעמים,kiedykolwiek,adverbs,1.7
1034,לטעון,różnić się,verbs,2.5
1035,אנתרופולוגיה,archeologia,nouns,1.7
1036,סופר,czytelnik,nouns,0.6
1037,אישי,prywatny,adjectives,5.25
1038,כתבה,czasopismo,nouns,1.6
1039,ויזה,globalizm,nouns,0.35
1040,תפוז,cytrus,nouns,3.25
1041,להצטרף,odchodzić,verbs,0.5
1042,תלמיד,prezydent,nouns,0.2
1043,לכווץ,redukować,verbs,3.25
1044,מצעד,tłum ,nouns,1.8
1045,לטפל,płacić,verbs,0.4
1046,קרסול,okno,nouns,0.0
1047,טיפש,tępy,adjectives,5.15
1048,מרתף,drzwi,nouns,0.55
1049,לבוא,przybywać,verbs,4.8
1050,להרתיח,smażyć,verbs,2.1
1051,צופר,samochód,nouns,0.75
1052,לתלות,zabić,verbs,1.75
1053,רצון,intencja,nouns,3.95
1054,אנשים,balon,nouns,0.15
1055,באופן יצירתי,początkowo,adverbs,0.55
1056,עץ,klon,nouns,2.7
1057,מתכת,aluminium,nouns,2.3
1058,מדריך,nauczyciel,nouns,4.5
1059,מלח,kapitan,nouns,3.6
1060,ארכיאולוגיה,antropologia,nouns,1.7
1061,להגיד,uczestniczyć,verbs,0.3
1062,אחוזה,rzeźbiarz,nouns,0.25
1063,מנצח,cel,nouns,0.6
1064,עט,alfabet,nouns,0.45
1065,כבד,płuco,nouns,1.15
1066,זרוע,żyła,nouns,0.6
1067,ברנדי,alkohol,nouns,2.9
1068,לצרוח,krzyczeć,verbs,4.95
1069,בת,ojciec,nouns,0.9
1070,כיסא,taboret,nouns,3.2
1071,כדורסל,baseball,nouns,1.95
1072,בייסבול,koszykówka,nouns,1.95
1073,בירה,napój,nouns,2.5
1074,להרשות,pozwalać,verbs,5.2
1075,מאהב,towarzysz,nouns,1.85
1076,חשוב,oficjalnie,adverbs,1.25
1077,תעלול,wanna,nouns,0.0
1078,להפסיד,odejmować,verbs,1.7
1079,משורר,dziennikarz,nouns,1.05
1080,גמיש,elastyczny,adjectives,5.45
1081,אטמוספירה,ozon,nouns,2.8
1082,להקה,orkiestra,nouns,3.75
1083,דובדבן,truskawka,nouns,2.1
1084,לחוב,pożyczyć,verbs,2.1
1085,הפרה,przestępstwo,nouns,2.75
1086,ענק,duży,adjectives,4.7
1087,אלכוהול,koniak,nouns,2.9
1088,סופר,dar,nouns,0.65
1089,להתחזות,wydawać się,verbs,1.1
1090,להניח,udawać,verbs,0.1
1091,מטבע,płatność,nouns,1.75
1092,אזור,obszar,nouns,5.03
1093,כומר,mnich,nouns,3.05
1094,מכונית,miernik,nouns,0.4
1095,בדרך כלל,nienormalnie,adverbs,0.45
1096,קל,sztywny,adjectives,0.4
1097,גאה,smutny,adjectives,0.25
1098,בערך,niecierpliwie,adverbs,0.7
1099,עכבר,pokład,nouns,0.05
1100,כדור,kosz,nouns,0.8
1101,סירה,kotwica,nouns,1.2
1102,לדבר,szeptać,verbs,2.2
1103,דוד,mężczyzna,nouns,1.6
1104,עבודת יד,tradycja,nouns,0.55
1105,המנון,biblia,nouns,0.55
1106,מעורבב,połączony,adjectives,2.4
1107,בשמחה,aktywnie,adverbs,0.55
1108,לשאת,przynieść,verbs,2.15
1109,מכונית,samochód,nouns,5.65
1110,שמחה,smutek,nouns,0.55
1111,חוקי,dozwolony,adjectives,4.5
1112,להבין,pojmować,verbs,4.45
1113,בבטחה,szczęśliwie,adverbs,1.2
1114,זיהום,dolegliwość,nouns,2.65
1115,מדהים,zwykły,adjectives,0.45
1116,אולם,przejście,nouns,1.35
1117,להישאר,zatrzymywać,verbs,0.95
1118,שמחה,duma,nouns,1.75
1119,ילדותי,niemądry,adjectives,2.05
1120,ללכת,wysyłać,verbs,0.35
1121,קשוח,przebiegły,adjectives,0.9
1122,לציית,karać,verbs,0.8
1123,תגמול,zapłata,nouns,5.0
1124,חושש,zaniepokojony,adjectives,4.25
1125,סנוברד,narciarstwo,nouns,2.3
1126,פרקליט,bankier,nouns,0.8
1127,הלילה,jutro,adverbs,0.55
1128,עכבר,pojemnik,nouns,0.05
1129,תמוה,dziwny,adjectives,4.75
1130,כנראה,może,adverbs,4.4
1131,בחירה,opinia,nouns,1.0
1132,בכנות,uczciwie,adverbs,5.2
1133,מכוער,prymitywny,adjectives,1.15
1134,טנק,samochód,nouns,0.95
1135,מכונית,rower,nouns,1.1
1136,היפותזה,teoria,nouns,4.75
1137,סילבוס,egzamin,nouns,0.6
1138,קש,żona,nouns,0.1
1139,ביקורתי,niegrzeczny,adjectives,0.8
1140,מעי,nerw,nouns,0.55
1141,בשלווה,spokojnie,adverbs,4.45
1142,ציפור,kura,nouns,2.6
1143,מבוגר,dziecko,nouns,0.7
1144,לעשות,tworzyć,verbs,3.65
1145,גבר,kobieta,nouns,0.9
1146,עצרת,zgromadzenie,nouns,5.4
1147,צמיגות,plusk,nouns,0.25
1148,מכללה,zawód,nouns,0.6
1149,בלון,wanna,nouns,0.05
1150,חסר ישע,potrzebujący,adjectives,2.6
1151,עצב,ciało,nouns,0.7
1152,אגורה,okazja,nouns,0.3
1153,חליל,muzyka,nouns,1.05
1154,לתת,pożyczyć,verbs,1.7
1155,חתול,pies,nouns,0.8
1156,זעיר,istotny,adjectives,0.45
1157,חשוב,prawdziwie,adverbs,1.1
1158,פופקורן,kino,nouns,0.7
1159,לטאה,rząd,nouns,0.05
1160,להכות,karać,verbs,1.55
1161,כימיה,teoria,nouns,0.5
1162,לצמצם,spadać,verbs,1.5
1163,כלה,pan młody,nouns,1.35
1164,ליקר,stulecie,nouns,0.05
1165,משוגע,straszliwy,adjectives,1.25
1166,ליצור,niszczyć,verbs,0.5
1167,סמן,frytki,nouns,0.15
1168,לרוץ,jeździć,verbs,0.6
1169,התעמלות,szermierka,nouns,1.05
1170,לשחרר,naciskać,verbs,0.45
1171,אחרת,nieuleczalnie,adverbs,0.4
1172,בגאווה,pokojowo,adverbs,0.1
1173,מבוגר,niemowlę,nouns,0.7
1174,להטריד,urazić,verbs,1.9
1175,נורא,smutny,adjectives,0.8
1176,הורה,dorosły,nouns,2.1
1177,להצטרף,współpracować,verbs,1.05
1178,ללחוש,mówić,verbs,2.2
1179,להבין,wiedzieć,verbs,2.45
1180,מפורסם,znany,adjectives,4.7
1181,פרטי,osobisty,adjectives,5.25
1182,עניין,świadomość,nouns,2.0
1183,לבחוש,trząść,verbs,2.2
1184,לתפוס,pojmać,verbs,5.5
1185,כיסא,łóżko,nouns,0.75
1186,חכם,inteligentny,adjectives,5.2
1187,לרסק,demolować,verbs,4.6
1188,לסגור,wymiotować,verbs,0.05
1189,מלון,mieszkanie,nouns,1.4
1190,רופא,ortodonta,nouns,4.65
1191,אמבטיה,żona,nouns,0.05
1192,ספר,wypadek,nouns,0.0
1193,כיף,piłka nożna,nouns,1.0
1194,חיידק,patogen,nouns,3.7
1195,ציוויליזציה,styl życia,nouns,0.8
1196,קיסר,konstytucja,nouns,0.3
1197,מכונית,klakson,nouns,0.75
1198,דרך,akcja,nouns,1.45
1199,ארוחה,kanapka,nouns,1.0
1200,לשלם,traktować,verbs,0.4
1201,לשלוח,uczęszczać,verbs,0.45
1202,חורף,lato,nouns,1.05
1203,ללמד,edukować,verbs,4.7
1204,לטפס,wędrować,verbs,1.3
1205,בצורת,woda,nouns,0.35
1206,תותח,bal,nouns,0.55
1207,תה,cytryna,nouns,0.5
1208,מוסיקה,melodia,nouns,3.75
1209,טבעת,zaręczyny,nouns,1.4
1210,פרח,przekonanie,nouns,0.0
1211,ילד,syn,nouns,3.0
1212,לתאר,decydować,verbs,0.25
1213,להיכחד,znikać,verbs,4.6
1214,להעמיד פנים,kłamać,verbs,3.05
1215,להקשיב,uczyć się,verbs,1.05
1216,קודם,przeszłość,nouns,1.75
1217,גוף,bark,nouns,1.3
1218,תהילה,bogactwo,nouns,1.15
1219,תפיסה,wizja,nouns,2.4
1220,לעצור,jechać,verbs,0.45
1221,נפש,neuroza,nouns,0.9
1222,עצלן,cenny,adjectives,0.0
1223,לדעת,rozumieć,verbs,2.45
1224,עצבני,pewien,adjectives,0.15
1225,אלון,klon,nouns,1.9
1226,בקר,wołowina,nouns,3.65
1227,בלבול,histeria,nouns,0.9
1228,פרה,bydło,nouns,3.65
1229,באופן אחראי,niezawodnie,adverbs,2.25
1230,מצחיק,poważny,adjectives,0.45
1231,ייתכן,prawdopodobnie,adverbs,4.8
1232,טיעון,dyskusja,nouns,1.8
1233,לעזוב,wycofywać się,verbs,3.4
1234,ספר,esej,nouns,1.25
1235,באושר,śmiertelnie,adverbs,0.15
1236,פרק,wybór,nouns,0.25
1237,אופי,osoba,nouns,1.15
1238,לשון,policzek,nouns,0.95
1239,להינשא,jednoczyć,verbs,2.35
1240,במדוייק,dokładnie,adverbs,5.4
1241,פעמיים,wielokrotnie,adverbs,0.95
1242,אגדה,morał,nouns,0.55
1243,פרח,krzak,nouns,1.75
1244,מסדרון,drzwi,nouns,0.8
1245,לפני,po,adverbs,0.7
1246,סנט,rozmiar,nouns,0.1
1247,להעיד,osądzać,verbs,0.7
1248,לעצור,podejrzewać,verbs,1.0
1249,להשפיל,pocieszać,verbs,0.35
1250,בנייה,destrukcja,nouns,0.5
1251,חריף,dobry,adjectives,0.7
1252,ערפל,chmura,nouns,1.97
1253,לעיתים רחוקות,często,adverbs,0.55
1254,מעלית,samochód,nouns,0.4
1255,צפוף,tępy,adjectives,0.1
1256,בהמה,zwierzę,nouns,2.85
1257,מורכב,ciężki,adjectives,3.3
1258,מוט,flaga,nouns,0.9
1259,מעוקל,prosty,adjectives,0.5
1260,מכוסה,ubrany,adjectives,2.6
1261,קמפוס,uniwersytet,nouns,2.8
1262,אקדח,sierżant,nouns,0.35
1263,לצחוק,chichotać,verbs,4.85
1264,חרק,pszczoła,nouns,2.35
1265,להיפגש,pozdrawiać,verbs,0.8
1266,מעולה,szalony,adjectives,1.25
1267,לשלוח,przynieść,verbs,0.55
1268,קהל,grupa,nouns,3.15
1269,לחלוק,walczyć,verbs,1.75
1270,לא אמין,pokrętny,adjectives,2.0
1271,סדין,płaszczyzna,nouns,0.25
1272,מבחן,rozprawa,nouns,1.05
1273,נושא,książka,nouns,0.6
1274,מנוע,łódź,nouns,0.95
1275,להוסיף,mnożyć,verbs,0.75
1276,מאמר מערכת,wiadomości,nouns,1.55
1277,עייף,głodny,adjectives,0.6
1278,ביישן,drogi,adjectives,0.05
1279,להרוס,rozwalić,verbs,4.6
1280,מטומטם,inteligentny,adjectives,0.45
1281,עצמי,pewność siebie,nouns,0.8
1282,כבד,duży,adjectives,1.35
1283,סלע,kopalnia,nouns,1.1
1284,רובה,działo,nouns,2.0
1285,לקחת,otrzymywać,verbs,1.6
1286,תחתית,bok,nouns,1.05
1287,דלת,okno,nouns,1.25
1288,מטוס,płachta,nouns,0.25
1289,פול,kawa ,nouns,1.25
1290,בטבעיות,nienaturalnie,adverbs,0.45
1291,חבר,przyjaciel,nouns,4.5
1292,לספוג,wycofać,verbs,0.2
1293,אוניית קרב,pancernik,nouns,4.75
1294,שור,cielę,nouns,2.3
1295,קנה סוכר,konsorcjum,nouns,0.3
1296,וויסקי,szampan,nouns,1.7
1297,להחזיק,zachować,verbs,3.2
1298,מציאות,fantazja,nouns,0.65
1299,לעמוד,chodzić,verbs,0.65
1300,ביולוגיה,biotop,nouns,1.0
1301,קיץ,zima,nouns,1.05
1302,מלכה,pszczoła,nouns,0.95
1303,מייפל,dąb,nouns,1.9
1304,סיגר,pudełko,nouns,0.35
1305,החלפה,zastępstwo,nouns,3.45
1306,נזק,ból,nouns,2.45
1307,לקבל,stracić,verbs,0.4
1308,בוודאי,wyraźnie,adverbs,3.5
1309,מנוע,tłok,nouns,1.85
1310,לחטוף,kraść,verbs,2.15
1311,לשקר,udawać,verbs,3.05
1312,ליידע,polerować,verbs,0.0
1313,מונית,samochód,nouns,3.1
1314,הסכם,pakt,nouns,5.0
1315,להינות,nienawidzić,verbs,0.2
1316,כשירות,zdolność,nouns,4.2
1317,לצוד,szukać,verbs,2.3
1318,שקופית,wskaźnik,nouns,0.2
1319,דמעה,oko,nouns,1.05
1320,יצירה,artysta ,nouns,1.25
1321,מצב,okoliczność,nouns,4.55
1322,זיהום,prezydent,nouns,0.15
1323,סירה,drzewo,nouns,0.65
1324,שח,szachy,nouns,2.9
1325,ראוי,grzeczny,adjectives,1.3
1326,עושר,prestiż,nouns,2.1
1327,פרטי,publiczny,adjectives,0.5
1328,לעזוב,przyłączyć się,verbs,0.5
1329,להתבונן,oglądać,verbs,5.0
1330,צפוף,twardy,adjectives,0.45
1331,תסריטאי,telewizja,nouns,0.7
1332,לשפוט,zeznawać,verbs,0.7
1333,לאמוד,uczyć się,verbs,1.15
1334,להעליב,urazić,verbs,4.4
1335,צלחת,miska,nouns,2.95
1336,לבחור,odrzucić,verbs,0.3
1337,ספירה,piłka,nouns,2.6
1338,לצמוח,wzrosnąć,verbs,2.0
1339,טקסי,taksówka,nouns,5.65
1340,קשה,łatwy,adjectives,0.5
1341,לדמיין,udawać,verbs,1.5
1342,לגחך,śmiać się,verbs,4.85
1343,מסע,podbój,nouns,0.95
1344,מחוץ לנישואין,niecenzuralny,adjectives,0.2
1345,להזדרז,śpieszyć,verbs,5.15
1346,כסף,perła,nouns,0.55
1347,לברר,myśleć,verbs,0.8
1348,ניטרלי,niezdecydowany,adjectives,1.65
1349,סערה,koc,nouns,0.4
1350,אובך,chmura,nouns,1.75
1351,לחלוטין,zasadniczo,adverbs,1.15
1352,מונית,taxi,nouns,5.65
1353,אדום,niebieski,adjectives,0.75
1354,עץ,wanna,nouns,0.1
1355,תרומה,ofiara,nouns,1.95
1356,לדחות,obierać,verbs,0.3
1357,משעמם,zmęczony,adjectives,0.65
1358,אופניים,sypialnia,nouns,0.15
1359,לחנוק,spalić,verbs,0.45
1360,לשון,gardło,nouns,1.0
