ID,FRA,SWA,PoS,score
714,élève,rais,nouns,0.65
715,rare,mpumbavu,adjectives,0.15
716,neige,hali ya hewa,nouns,1.35
717,dictionnaire,neno,nouns,2.2
718,divertir,kujipendekeza,verbs,0.65
719,lard,nyama,nouns,3.8
720,cave,mlango,nouns,0.6
721,honnêtement,kwa kweli,adverbs,1.92
722,restaurer,kuleta,verbs,0.75
723,pacifiquement,kwa amani,adverbs,0.5
724,août,mwezi,nouns,3.2
725,lire,kusoma,verbs,0.0
726,maïs,mahindi,nouns,3.35
727,prévision,utabiri,nouns,0.65
728,moteur,mashine,nouns,3.6
729,poignée,mpini,nouns,0.25
730,appareil photo,mfanyakazi,nouns,0.05
731,persil,pasile,nouns,0.3
732,rejeter,kuepa,verbs,1.8
733,apprendre,kuchambua,verbs,1.05
734,clé,nyumba,nouns,1.15
735,thé,limau,nouns,0.9
736,croyance,ua,nouns,0.05
737,crochet,krocheti,nouns,0.05
738,chalet,kambi,nouns,0.9
739,prépuce,govi,nouns,2.1
740,atmosphère,hali ya anga,nouns,3.45
741,blanc,nyeupe,adjectives,0.05
742,cheval,farasi wa kiume,nouns,4.15
743,tâche,mwanamke,nouns,0.1
744,souris,sitaha,nouns,0.05
745,aller,kuuza,verbs,0.2
746,minute,sekunde,nouns,3.0
747,longévité,bendi,nouns,0.1
748,structure,muundo,nouns,3.6
749,hésitant,sitasita,adjectives,0.4
750,ongle,kichwa,nouns,0.7
751,journal,kuoga,nouns,0.0
752,voyager,kusafiri,verbs,3.45
753,terrifiant,wa ajabu,adjectives,1.35
754,disparaître,kutoweka,verbs,5.5
755,femme,mwanamke,nouns,0.05
756,incroyablement,kwa umaradufu,adverbs,0.75
757,cerveau,bongo,nouns,4.55
758,camion,lori,nouns,3.6
759,saluer,kutoa heshima,verbs,0.15
760,habit,kabati,nouns,1.05
761,tour,kengele,nouns,0.95
762,portail,mlango,nouns,4.95
763,dîner,chakula,nouns,4.1
764,alcool,brandi,nouns,3.3
765,mélodie,muziki,nouns,4.85
766,berceau,kitanda,nouns,4.35
767,découvert,haijafunikwa,adjectives,0.95
768,malhonnête,si mwaminifu,adjectives,0.55
769,marque,ishara,nouns,0.25
770,croire,kukubali,verbs,2.8
771,organiser,panga,verbs,1.9
772,faire,kujenga,verbs,4.5
773,réinhumation,zika upya,nouns,1.9
774,lycée,weledi,nouns,0.95
775,marrant,mwenye huzuni,adjectives,0.65
776,déjeuner,ugali,nouns,2.4
777,protéine,protini,nouns,0.25
778,rationnel,kueleweka,adjectives,0.8
779,fermement,kwa ukakamavu,adverbs,0.75
780,mettre,kuning'inia,verbs,0.55
781,crédit,mkopo,nouns,1.5
782,manuscrit,muswada,nouns,2.1
783,journaliste,mwanahabari,nouns,1.1
784,détruire,kutengeneza,verbs,0.75
785,vendre,kuuza,verbs,0.4
786,encourager,kukanya,verbs,0.95
787,drapeau,bendera,nouns,1.35
788,provenir,kuanza,verbs,0.7
789,suspect,mshukiwa,nouns,0.75
790,représenter,kujifanya,verbs,0.4
791,couverture,kitanda,nouns,1.85
792,électrique,chenye umeme,adjectives,0.2
793,étoile,nyota,nouns,2.05
794,appareil photo,rais,nouns,0.05
795,saleté,matope,nouns,3.7
796,faute,kosa,nouns,0.2
797,en phase terminale,mwisho,adverbs,0.1
798,étain,tini,nouns,2.45
799,profondément,kwa undani,adverbs,0.75
800,paille,nyimbo,nouns,0.1
801,heureux,wa ghadhabu,adjectives,0.85
802,légitime,halali,adjectives,0.75
803,anniversaire,siku ya kuzaliwa,nouns,2.15
804,pull-over,jaketi,nouns,3.65
805,prêtre,kasisi,nouns,2.8
806,ballon,mpira,nouns,2.3
807,scénariste,mwandishi wa filamu,nouns,1.0
808,industrie,biashara,nouns,2.3
809,jus,juisi,nouns,0.5
810,propre,safi,adjectives,5.4
811,tuyau,gari,nouns,0.1
812,ciel,jua,nouns,1.75
813,confiance,nafsi,nouns,1.05
814,tabouret,kigoda,nouns,3.65
815,historien,mtalaamu wa historia,nouns,5.0
816,nuit,sura,nouns,0.1
817,précis,uhakika,adjectives,0.25
818,incurvé,pinda,adjectives,0.9
819,mordre,kung'ata,verbs,1.05
820,évidemment,ni dhahiri,adverbs,3.5
821,rive,pwani,nouns,4.4
822,personne,idadi ya watu,nouns,3.75
823,histoire,wimbo,nouns,1.4
824,obtenir,kushindwa,verbs,0.8
825,évêque,askofu mkuu,nouns,4.6
826,tirer,kuvuta,verbs,1.7
827,voiture,baisikeli,nouns,1.55
828,recevoir,kupa,verbs,1.05
829,femme,manyoya,nouns,0.25
830,passion,hisia,nouns,3.3
831,rappeler,kusahau,verbs,0.8
832,nuage,wingu,nouns,0.45
833,menthe,mti wa minti,nouns,0.5
834,emploi,kazi,nouns,1.1
835,mode de vie,mtindo wa maisha,nouns,2.2
836,visa,mhuri,nouns,0.65
837,enterrer,kuzika,verbs,2.95
838,cône,kikombe,nouns,0.4
839,camion,gari la mzigo,nouns,0.1
840,porter,kuleta,verbs,3.05
841,grandement,umuhimu zaidi,adverbs,0.6
842,argent,fedha,nouns,5.2
843,vin,kileo,nouns,3.9
844,calendrier,tarehe,nouns,3.25
845,légion,jeshi,nouns,3.6
846,manette,joystiki,nouns,0.4
847,venir,kuleta,verbs,0.8
848,décourager,kutia moyo,verbs,0.95
849,obtenir,kubaki,verbs,0.3
850,uniforme,sare,nouns,0.3
851,chalet,kibanda,nouns,3.55
852,crépuscule,jioni,nouns,4.75
853,mort,mazishi,nouns,3.3
854,secrétaire,mwanamke,nouns,1.1
855,journal,taarifa,nouns,2.85
856,injustement,si kwa haki,adverbs,0.85
857,ouvrier,mwajiri,nouns,1.35
858,ronger,kumomonyoka,verbs,0.15
859,yaourt,mgando,nouns,0.2
860,censure,udhibiti,nouns,1.05
861,anxieux,ogopa,adjectives,3.85
862,triste,wa kuchekesha,adjectives,0.65
863,colline,jabali,nouns,3.05
864,aller,kuanza,verbs,0.7
865,livre,hadithi,nouns,2.4
866,président,kamera,nouns,0.05
867,permettre,kuruhusu,verbs,1.47
868,gros,kubwa,adjectives,0.2
869,voiture,gari,nouns,3.48
870,unique,ya pekee,adjectives,0.5
871,avalanche,maporomoko ya theluji,nouns,3.0
872,spécial,maalumu,adjectives,3.0
873,sable,mchanga,nouns,0.3
874,expliquer,kujadili,verbs,2.2
875,simulation,onyesho,nouns,0.75
876,infraction,udanganyifu,nouns,3.8
877,examen,mtihani,nouns,1.05
878,large,mbivu,adjectives,0.1
879,insulter,kutukana,verbs,3.9
880,programme,mtaala,nouns,1.05
881,limite,mpaka,nouns,4.85
882,port,bandari,nouns,0.45
883,tuyau,bustani,nouns,0.6
884,salaire,hela,nouns,3.75
885,humilier,kuaibisha,verbs,0.45
886,chœur,kanisa,nouns,2.1
887,dépenser,kuokoa,verbs,0.45
888,rapidement,kwa haraka,adverbs,4.55
889,devenir,kutengeneza,verbs,0.6
890,régime,matofaa,nouns,0.65
891,mépriser,kuchukia,verbs,1.1
892,profession,chuo,nouns,0.95
893,archéologie,akiolojia,nouns,3.05
894,ouverture,mlango,nouns,3.3
895,tranchant,kali,adjectives,0.7
896,enthousiasmé,sisimka,adjectives,1.0
897,prendre sa retraite,kustaafu,verbs,0.85
898,reconnaître,kujulisha,verbs,0.95
899,poitrine,mwili,nouns,2.2
900,application,programu tumishi,nouns,0.1
901,beauté,umri,nouns,0.7
902,manteau,nguo,nouns,3.15
903,scientifique,muuguzi,nouns,0.85
904,menace,hatari,nouns,4.95
905,retenir,kusahau,verbs,0.8
906,tapis,nyumba,nouns,0.75
907,métal,chuma,nouns,3.0
908,essayer,kutimiza,verbs,0.95
909,jupe,sketi,nouns,0.35
910,prince,mfalme,nouns,3.6
911,champion,mshindi,nouns,5.25
912,maison,jimbo,nouns,0.15
913,article,makala,nouns,2.1
914,laisser,kuingia,verbs,0.25
915,ruelle,bakuli,nouns,0.05
916,usine,gari,nouns,0.6
917,âge,urembo,nouns,0.7
918,évident,wa kuonekana,adjectives,4.7
919,météore,meteor,nouns,0.7
920,éblouir,kukondoa macho,verbs,0.3
921,grêle,mvua ya mawe,nouns,3.65
922,smartphone,simu mahiri,nouns,0.0
923,pomme,juisi,nouns,1.65
924,parasite,wadudu,nouns,1.45
925,pollution,rais,nouns,0.35
926,viande,nyama,nouns,3.4
927,groupe,pombe,nouns,0.2
928,conversion,uongofu,nouns,0.2
929,occasion,maafikiano,nouns,0.15
930,salle de cours,ushoroba,nouns,0.6
931,écouter,kusikia,verbs,4.85
932,courroucé,mkali,adjectives,0.4
933,impatiemment,bila subira,adverbs,0.45
934,siroter,kukunywa,verbs,4.55
935,taureau,ndama,nouns,2.65
936,boîtier,kesi,nouns,0.65
937,obtenir,kuweka,verbs,0.4
938,altérer,kubadilisha,verbs,5.4
939,dissertation,kitabu,nouns,0.9
940,voiture,mkokoteni,nouns,4.45
941,secourir,okoa,verbs,5.3
942,haut,juu,adjectives,0.15
943,coucher de soleil,macheo,nouns,2.4
944,brique,ukuta,nouns,2.0
945,fâché,mwenye furaha,adjectives,0.85
946,table,meza,nouns,0.0
947,défendre,kuua,verbs,0.7
948,danger,tishio,nouns,4.95
949,aider,kufadhili,verbs,5.25
950,philosophe,mphilisophia,nouns,0.15
951,âme,kaka,nouns,0.35
952,responsablement,kwa uwajibikaji,adverbs,1.2
953,acteur,mwigaji,nouns,0.5
954,mot,ishara,nouns,1.0
955,attacher,kubandika,verbs,0.75
956,gravité,mvuto,nouns,0.7
957,être d'accord,kutofautiana,verbs,0.75
958,dangereusement,kwa uhatari,adverbs,0.4
959,estomac,chumba cha kulala,nouns,0.05
960,nerveusement,kwa woga,adverbs,5.3
961,activement,kwa juhudi,adverbs,0.45
962,épouse,mwanamke,nouns,4.35
963,parapluie,mwavuli,nouns,0.05
964,parlement,bunge,nouns,3.35
965,se produire,kufanya,verbs,1.05
966,contraire,kinyume,adjectives,0.5
967,sans abri,wasio na makazi,nouns,0.75
968,conquête,nyimbo,nouns,0.45
969,rétrécir,kupotea,verbs,1.35
970,idéalement,walau,adverbs,0.45
971,tasse,kijiko,nouns,1.3
972,notifier,kufahamisha,verbs,5.5
973,typhon,dhoruba,nouns,4.8
974,psychologie,sayansi,nouns,2.5
975,planète,mwezi,nouns,1.85
976,boiter,kuchechemea,verbs,2.75
977,semis,miche,nouns,1.3
978,errer,kutangatanga,verbs,1.8
979,évaluer,kuchanganua,verbs,4.5
980,population,watu,nouns,3.75
981,étreindre,kumbatia,verbs,5.25
982,prier,kuwasiliana,verbs,0.65
983,week-end,wikiendi,nouns,0.25
984,fiablement,kwa kuaminika,adverbs,0.45
985,centime,saizi,nouns,0.1
986,tâche,kazi,nouns,3.35
987,généralement,kawaida,adverbs,0.45
988,fragile,baridi,adjectives,0.3
989,whisky,jini,nouns,2.95
990,génial,mbaya,adjectives,0.35
991,soleil,matofaa,nouns,0.35
992,offenser,kukashifu,verbs,3.9
993,moteur,injini,nouns,4.25
994,bible,kitabu,nouns,3.25
995,organiser,kupanga,verbs,4.5
996,timide,aibu,adjectives,0.1
997,prédire,kudhani,verbs,2.5
998,mélanger,kuchanganya,verbs,4.9
999,lentille,kamera,nouns,2.35
1000,armée,kikosi,nouns,3.6
1001,paisiblement,kwa amani,adverbs,0.45
1002,jambe,mkono,nouns,2.25
1003,esprit,mungu,nouns,2.6
1004,calmement,kwa utulivu,adverbs,2.55
1005,guerrier,mwanaume,nouns,1.6
1006,émotionnellement,kwa hisia,adverbs,1.9
1007,essayer,kufanikiwa,verbs,1.6
1008,région,eneo,nouns,3.6
1009,fraude,uhalifu,nouns,3.8
1010,mourir,kufariki,verbs,2.05
1011,os,shingo,nouns,1.25
1012,furieux,bila furaha,adjectives,2.65
1013,anormalement,si asili,adverbs,0.75
1014,dîner,kuku,nouns,1.1
1015,communiquer,kusali,verbs,0.65
1016,bière,kileo,nouns,4.4
1017,voiture,geji,nouns,0.4
1018,frontière,ukingo,nouns,4.85
1019,boussole,dira,nouns,0.0
1020,fiction,wasifu,nouns,1.6
1021,bourse d'étude,ufadhili wa elimu,nouns,2.1
1022,jeune,mwenye furaha,adjectives,0.45
1023,presser,kuvyombo vya habari,verbs,0.2
1024,justement,kwa ,adverbs,0.65
1025,lutter,kujitahidi,verbs,0.4
1026,éléphant,ndovu,nouns,0.0
1027,doux,tamu,adjectives,0.2
1028,donner,kujua,verbs,0.3
1029,orthodontiste,daktari,nouns,3.2
1030,aider,kusaidia,verbs,0.8
1031,yard,mita,nouns,3.55
1032,surface,kona,nouns,0.8
1033,événement,tukio,nouns,0.85
1034,différer,kukubali,verbs,0.75
1035,longévité,ua,nouns,0.2
1036,laïc,mwanaisilamu,nouns,1.8
1037,mouton,mifugo,nouns,3.65
1038,rabbin,mwalimu,nouns,1.65
1039,passionnant,sisimsha,adjectives,0.3
1040,xénophobie,ubaguzi,nouns,4.7
1041,danger,ugonjwa,nouns,1.05
1042,câble,amari,nouns,0.03
1043,fracasser,kuharibu,verbs,4.2
1044,attirer,kuvutia,verbs,0.55
1045,criquet,kriketi,nouns,0.35
1046,persuader,kugombana,verbs,0.5
1047,ananas,nanasi,nouns,0.0
1048,information,gazeti,nouns,2.85
1049,étudiant,mwanafunzi,nouns,1.85
1050,satire,satire,nouns,2.2
1051,décider,kufikiria,verbs,2.35
1052,coupable,mbaya,adjectives,2.25
1053,portable,daftari,nouns,0.1
1054,flexible,mkubwa sana,adjectives,0.3
1055,prévenir,onya,verbs,0.75
1056,négativement,kwa ubaya,adverbs,0.75
1057,stylo,kalamu,nouns,0.55
1058,agrume,machungwa,nouns,5.15
1059,terminer,kumaliza,verbs,0.2
1060,boucle,mkanda,nouns,2.05
1061,couronne,taji,nouns,0.05
1062,livre,fasihi,nouns,2.65
1063,uniformément,sawa,adverbs,0.35
1064,gouverneur,gavana,nouns,3.8
1065,marcher,kutembea,verbs,2.75
1066,roi,mtoto wa mfalme,nouns,3.6
1067,déchirer,kuchana,verbs,0.15
1068,rétracter,kutoa,verbs,0.85
1069,avec optimisme,kwa matuamini,adverbs,0.85
1070,mentir,kudanganya,verbs,0.5
1071,pomme,sosi,nouns,0.8
1072,collecter,kukusanya,verbs,1.9
1073,mûrement,kiukomavu,adverbs,0.65
1074,amusement,mchezo,nouns,4.15
1075,décider,kuonyesha,verbs,0.8
1076,créer,kuunda,verbs,4.6
1077,frère,roho ,nouns,0.35
1078,viscosité,mnato,nouns,0.3
1079,fermer,kufunga,verbs,0.05
1080,généreusement,kwa ukarimu,adverbs,0.05
1081,fenêtre,mlango,nouns,1.85
1082,sérieusement,kwa umakini,adverbs,2.3
1083,discrètement,kwa siri,adverbs,0.55
1084,lèvre,nyonga,nouns,0.6
1085,énorme,mkubwa sana,adjectives,5.1
1086,idéalement,walau,adverbs,1.25
1087,acquérir,kujiunga,verbs,0.65
1088,fraternité,wanaume,nouns,1.3
1089,impossible,kutowekana,adjectives,0.95
1090,tennis,tenisi,nouns,0.25
1091,lycée,darasa,nouns,2.75
1092,réfuter,kukanusha,verbs,0.25
1093,robe,gauni,nouns,0.45
1094,huile,ngozi,nouns,0.1
1095,câliner,kukumbatia,verbs,5.25
1096,soleil couchant,machweo,nouns,0.0
1097,garçon,kijana,nouns,4.1
1098,merveilleux,mkubwa sana,adjectives,1.35
1099,ignorer,kuuliza,verbs,0.6
1100,cockpit,chumba cha rubani,nouns,1.2
1101,équitablement,kwa haki,adverbs,0.85
1102,s'écraser,kumgongano,verbs,3.6
1103,nier,kukana,verbs,1.4
1104,parfois,muda mwingine,adverbs,0.5
1105,convocation,mkutano,nouns,3.95
1106,registre,kitabu,nouns,0.3
1107,déterminer,kutambulisha,verbs,0.2
1108,prendre,kupeleka,verbs,0.6
1109,coin,eneo,nouns,0.8
1110,astéroïde,kimondo,nouns,3.3
1111,moteur,boti,nouns,1.9
1112,lever de soleil,machweo,nouns,2.4
1113,fabricant,muumbaji,nouns,5.05
1114,mois,agosti,nouns,3.2
1115,boîte,kofia,nouns,0.7
1116,jardin,mpira wa maji,nouns,0.6
1117,république,jamhuri,nouns,0.3
1118,avion,uwanja wa ndege,nouns,2.2
1119,calibre,kaliba,nouns,0.05
1120,statistique,takwimu,nouns,0.25
1121,choix,chaguo,nouns,3.4
1122,certainement,hakika,adverbs,5.25
1123,accomplir,kutimiza,verbs,5.15
1124,gagnant,lengo,nouns,0.7
1125,influencer,kubagua,verbs,2.95
1126,rêve,ndoto,nouns,0.45
1127,doucement,kwa ulaini,adverbs,0.7
1128,ronfler,kung'orota,verbs,0.75
1129,désordonné,chafu,adjectives,0.9
1130,bronchite,ugonja wa bronchitis,nouns,0.9
1131,homme,baba,nouns,3.0
1132,radiateur,kipasha joto,nouns,0.25
1133,circumnavigation,mzunguko,nouns,0.5
1134,radiateur,radiator,nouns,0.8
1135,choix,jela,nouns,0.25
1136,centime,mke,nouns,0.05
1137,épargnant,saver,nouns,3.35
1138,prophète,nabii,nouns,2.8
1139,mort,balaa,nouns,2.4
1140,vainqueur,mgombea wa uchaguzi,nouns,1.85
1141,croître,kupungua,verbs,0.85
1142,plaisir,mpira wa miguu,nouns,0.8
1143,mur,tofali,nouns,2.0
1144,naturellement,kwa uhalisia,adverbs,1.05
1145,rencontrer,kupatana,verbs,0.35
1146,phonologie,fonolojia,nouns,0.2
1147,marais,ziwa,nouns,2.9
1148,ceinture,kitanzi,nouns,2.05
1149,échouage,saratanji,nouns,2.3
1150,donner,kukopesha,verbs,3.2
1151,chaise,benchi,nouns,4.1
1152,humble,mnyenyekevu,adjectives,5.5
1153,faire,kutukia,verbs,1.05
1154,logique,akili,nouns,3.4
1155,attroupement,umati,nouns,4.95
1156,roi,mfalme,nouns,4.8
1157,national,kitaifa,adjectives,0.2
1158,maison,banda,nouns,2.6
1159,marrant,wa kuchosha,adjectives,0.3
1160,tasse,koni,nouns,0.4
1161,estomac,kiuno,nouns,0.6
1162,chasser,kukimbiza,verbs,0.95
1163,marteau,nyundo,nouns,0.0
1164,taille,mbinu,nouns,0.0
1165,rugueux,baridi,adjectives,0.15
1166,chasser,kimbiza,verbs,2.4
1167,objectif,mshindi,nouns,0.7
1168,revêtement,ngozi,nouns,0.2
1169,delta,delta,nouns,1.55
1170,ozone,ozoni,nouns,3.45
1171,bois,gogo,nouns,3.2
1172,aller,kutuma,verbs,0.5
1173,acheter,kupata,verbs,1.0
1174,frais,mzee,adjectives,0.2
1175,brouillard,wingu,nouns,3.5
1176,fier,kujivunia,adjectives,0.3
1177,gin,wiski,nouns,2.95
1178,jamais,kamwe,adverbs,0.05
1179,rapide,wa haraka,adjectives,5.05
1180,pomme,mpangilio wa chakula,nouns,0.65
1181,roi,mtoto wa mfalme,nouns,3.1
1182,doux,vuguvugu,adjectives,0.72
1183,libre,huru,adjectives,2.25
1184,femme,tundu,nouns,0.1
1185,accord,makubaliano,nouns,5.45
1186,se renseigner,kuhitaji,verbs,0.5
1187,ministre,rabai,nouns,1.15
1188,hématologie,hematolojia,nouns,2.8
1189,pluie,manyunyu,nouns,4.65
1190,élever,kulea,verbs,0.05
1191,livrer,kukubali,verbs,0.55
1192,vêtement,kitambaa,nouns,3.25
1193,taille,senti,nouns,0.1
1194,mot-clé,nenokuu,nouns,1.0
1195,voie-rapide,barabara kuu,nouns,4.4
1196,attaque,shambulio,nouns,1.7
1197,donation,mchango,nouns,3.4
1198,magnitude,saizi,nouns,4.45
1199,échouer,kushindwa,verbs,5.0
1200,fourrure,bunduki,nouns,0.05
1201,téléphone,kibanda cha simu,nouns,1.95
1202,regarder,kuangalia,verbs,5.6
1203,jauge,gari,nouns,0.4
1204,dentiste,daktari wa meno,nouns,5.05
1205,instamment,haraka,adverbs,4.55
1206,vendre,kukumbusha,verbs,0.2
1207,dollar,watu,nouns,0.4
1208,ouvrier,mfanyakazi,nouns,0.75
1209,pâlir,kufifia,verbs,0.8
1210,agriculture,kilimo,nouns,2.48
1211,oublier,kukumbusha,verbs,0.8
1212,partenaire,mvulana,nouns,1.05
1213,corps,neva,nouns,1.2
1214,anthropologie,anthropolojia,nouns,3.05
1215,imiter,kuiga,verbs,0.25
1216,frire,kukaanga,verbs,3.55
1217,angle,tao,nouns,2.0
1218,expliquer,kufafanua,verbs,5.1
1219,critiquer,kulaumu,verbs,0.2
1220,bois,gogo,nouns,3.75
1221,sonnet,ushairi,nouns,0.4
1222,ami,mama,nouns,0.95
1223,rigide,ngumu,adjectives,0.35
1224,candidat,mwombaji,nouns,2.55
1225,corridor,ushoroba,nouns,4.85
1226,rivaliser,kushindana,verbs,0.2
1227,guitare,ngoma,nouns,2.55
1228,sincèrement,kwa ukweli,adverbs,0.2
1229,souris,chombo,nouns,0.05
1230,flotter,kuelea,verbs,0.1
1231,queue,mkia,nouns,2.8
1232,cyclone,kimbunga,nouns,4.8
1233,garder,kushindwa,verbs,0.75
1234,garder,kutunza,verbs,2.65
1235,mal,ana hatia,adjectives,2.25
1236,ongle,kidole gumba,nouns,2.05
1237,communication,televisheni,nouns,2.0
1238,délicatement,kwa uangalifu,adverbs,0.15
1239,mère,rafiki,nouns,0.95
1240,siècle,pombe,nouns,0.05
1241,femme,sekretari,nouns,1.1
1242,capital,hela,nouns,5.2
1243,accuser,laumu,verbs,4.85
1244,dire,kuhakikisha,verbs,0.55
1245,éviter,kujiweka mbali,verbs,1.4
1246,avocat,mwanasheria,nouns,2.35
1247,être d'accord,kukubali,verbs,2.63
1248,errer,kuondoka,verbs,0.6
1249,positivement,vyema,adverbs,0.7
1250,assister,kuhudhuria,verbs,0.55
1251,échouer,kushidwa,verbs,0.25
1252,organe,ini,nouns,2.8
1253,machine,injini,nouns,3.6
1254,chaîne,uzi,nouns,0.0
1255,sujet,kitabu,nouns,0.9
1256,propre,nadhifu,adjectives,5.55
1257,adulte,umekua,adjectives,0.7
1258,côte,ufuko,nouns,3.8
1259,canonnière,meli ya vita,nouns,0.3
1260,évident,wa kuona,adjectives,2.85
1261,livre,mada,nouns,0.9
1262,alcool,bendi,nouns,0.2
1263,construire,kujumlisha,verbs,0.85
1264,concrètement,kwelikweli,adverbs,0.15
1265,couloir,darasa,nouns,0.6
1266,sauver,kuokoa,verbs,3.02
1267,voiture,mtaa,nouns,0.65
1268,matrice,matriksi,nouns,0.2
1269,enseigner,kufundisha,verbs,2.82
1270,stupide,mjanja,adjectives,0.85
1271,président,mwanachuo,nouns,0.65
1272,session,kikao,nouns,0.1
1273,pot,kifaa,nouns,0.35
1274,arrêter,kuacha,verbs,0.58
1275,inexactement,si kwa usahihi,adverbs,0.75
1276,élever,kunyanyua,verbs,4.6
1277,gamin,mtoto wa kike,nouns,1.85
1278,candidature,maombi,nouns,2.55
1279,se disputer,kulalamika,verbs,1.55
1280,frère,kaka,nouns,2.4
1281,violent,kigomvi,adjectives,0.5
1282,emprunter,kutaka,verbs,0.8
1283,trou,mke,nouns,0.1
1284,intelligent,mpumbavu,adjectives,0.9
1285,avocat,mfanyakazi wa benki,nouns,1.15
1286,voiture,lifti,nouns,0.7
1287,porte,mlangoni,nouns,3.3
1288,mari,mwanaume,nouns,4.4
1289,maison,kapeti,nouns,0.75
1290,paire,vitu viwili,nouns,5.8
1291,bain,chumba,nouns,0.8
1292,excuser,samehea,verbs,5.35
1293,mètre,yadi,nouns,3.55
1294,informer,arifu,verbs,0.1
1295,voler,kupa,verbs,0.7
1296,recevoir,kuchukua,verbs,3.2
1297,crocodile,mamba,nouns,2.95
1298,bouilli,chemshwa,adjectives,3.95
1299,présence,mshindi,nouns,0.3
1300,chaise,kiti,nouns,3.65
1301,faux,kosa,adjectives,0.25
1302,lit,kiti,nouns,1.35
1303,geyser,chemchemi ya maji ya moto,nouns,3.3
1304,demander,kuuliza,verbs,0.8
1305,écrivain,muandishi,nouns,0.25
1306,courbe,pembe,nouns,2.0
1307,globalisation,utandawazi,nouns,0.65
1308,liqueur,divai,nouns,3.5
1309,autobus,teksi,nouns,2.75
1310,spectacle,onyesha,nouns,0.1
1311,frais,malipo,nouns,4.1
1312,chapitre,chaguo,nouns,0.45
1313,chercher,tafuta,verbs,1.8
1314,stupide,mpumbavu,adjectives,1.45
1315,gorge,ulimi,nouns,1.8
1316,fièvre,mafua,nouns,3.85
1317,capitaine,mwanamaji,nouns,2.7
1318,empereur,mtawala,nouns,2.27
1319,fenêtre,dirisha,nouns,0.4
1320,maladie,ugonjwa wa kuambukiza ,nouns,4.2
1321,réservoir,tenki,nouns,1.05
1322,château,nyumba,nouns,0.3
1323,belligérance,ubishani,nouns,4.35
1324,définir,kufafanua,verbs,4.75
1325,rythme,mahadhi,nouns,1.5
1326,falaise,kilima,nouns,3.05
1327,vin,pombe,nouns,3.5
1328,emprunter,kuuza,verbs,0.6
1329,se dissiper,kupotea,verbs,5.5
1330,palais,jumba la kubwa,nouns,2.35
1331,pain,unga,nouns,1.9
1332,coeur,upasuaji,nouns,1.2
1333,prendre,kupokea,verbs,3.2
1334,évacuer,kuondoka,verbs,0.2
1335,éviter,kukataa,verbs,1.8
1336,confession,kanusho,nouns,0.95
1337,apeuré,wa wasiwasi,adjectives,3.85
1338,statue,kinyagu,nouns,4.8
1339,sortie,mahali ya kutokea,nouns,0.3
1340,protéger,kukinga,verbs,5.1
1341,parapsychologie,parasaikolojia,nouns,3.05
1342,oublier,kujifunza,verbs,0.9
1343,élection,uchaguzi,nouns,3.4
1344,bateau,sitaha,nouns,1.05
1345,verser,kumwaga,verbs,1.15
1346,saisir,kukuifungia,verbs,0.4
1347,supposer,kutabiri,verbs,2.5
1348,wagon,gari la farasi,nouns,4.45
1349,envoyer,kwenda,verbs,0.5
1350,officiellement,rasmi,adverbs,0.4
1351,plafond,kanisa kuu,nouns,0.35
1352,campement,kibanda,nouns,0.9
1353,pollinisation,uchavushi,nouns,2.3
1354,cigarette,tumbaku,nouns,4.45
1355,centime,peni,nouns,0.15
1356,biotope,ekolojia,nouns,1.4
1357,couvrir,kufunika,verbs,3.1
1358,monoculture,kilima cha zao moja,nouns,3.25
1359,veine,tumbo,nouns,0.75
1360,capteur,sensa,nouns,0.8
1361,texte,kitabu,nouns,3.8
1362,blé,nafaka,nouns,3.35
1363,vison,mafuta,nouns,0.1
1364,île,mtoto wa mfalme,nouns,0.25
1365,tiroir,nguo,nouns,1.05
1366,heureux,mchanga,adjectives,0.45
1367,bacon,maharagwe,nouns,0.75
1368,planète,sayari,nouns,3.5
1369,nier,kupa,verbs,0.25
1370,bain,gogo,nouns,0.0
1371,confiserie,matofaa,nouns,1.1
1372,représenter,kuamua,verbs,0.8
1373,frère,mvulana,nouns,2.7
1374,penser,kujaribu,verbs,0.15
1375,porte,jiko,nouns,0.5
1376,pouce,ukucha,nouns,2.05
1377,singe,nyani,nouns,0.05
1378,n'importe quand,kila wakati,adverbs,0.3
1379,stratège,mkakati,nouns,2.9
1380,donner,kukana,verbs,0.25
1381,convenable,sawa,adjectives,1.3
1382,doucement,kwa upole,adverbs,0.55
1383,père,mzazi,nouns,4.4
1384,globe,dunia,nouns,5.3
1385,molécule,atomu,nouns,3.35
1386,tempête,upepo mkali,nouns,0.05
1387,exiger,kutafiti,verbs,0.5
1388,aluminium,alumini,nouns,2.73
1389,employeur,mfanyakazi,nouns,1.35
1390,se renseigner,kuwaza,verbs,0.8
1391,danse,densi,nouns,0.45
1392,parent,baba,nouns,4.4
1393,téléphone,simu,nouns,2.55
1394,incroyable,maradufu,adjectives,0.7
1395,faire,kuharibu,verbs,0.75
1396,rat,panya,nouns,4.1
1397,irrégulièrement,isivyo kawaida,adverbs,0.7
1398,confidentiel,haijafichuliwa,adjectives,0.55
1399,supporter,msaidizi,nouns,0.35
1400,bagage,mzigo,nouns,0.5
1401,chanson,hadithi,nouns,1.4
1402,personne,mnyama,nouns,1.0
1403,sobre,makini,adjectives,0.8
1404,remuer,kukoroga,verbs,4.9
