ID,RUS,SPA,PoS,score
752,автобус,taxi,nouns,1.4
753,математик,show,nouns,0.05
754,плохой,horrible,adjectives,3.2
755,скульптура,estatua,nouns,4.6
756,эластичный,flexible,adjectives,4.2
757,бронхит,acetaminofeno,nouns,0.8
758,легкий,grande,adjectives,0.0
759,конверт,decoración,nouns,0.15
760,сокол,águila,nouns,1.8
761,язык,mejilla,nouns,0.7
762,значительный,menor,adjectives,0.15
763,поглощать,retirar,verbs,0.1
764,неотъемлемый,necesario,adjectives,4.35
765,молоко,jugo,nouns,0.45
766,ушибить,patear,verbs,1.8
767,мягкий,violento,adjectives,0.1
768,протирать,deteriorarse,verbs,0.2
769,телефон,víctima,nouns,0.0
770,молочные продукты,miel,nouns,0.35
771,вселенная,cielo,nouns,1.25
772,великолепный,maravilloso,adjectives,4.9
773,редко,generalmente,adverbs,0.05
774,верить,sentir,verbs,1.55
775,узкий,blanco,adjectives,0.0
776,получать,perder,verbs,0.1
777,бабочка,rosa,nouns,0.45
778,звезда,asteroide,nouns,2.35
779,рука,cuerpo,nouns,1.1
780,наклонять,parcialidad,verbs,1.2
781,видимо,obviamente,adverbs,3.45
782,земля,mundo,nouns,2.5
783,заканчивать,graduarse,verbs,1.9
784,смеяться,cantar,verbs,0.3
785,спутник,amante,nouns,1.5
786,стул,taburete,nouns,3.05
787,обосновывать,verificar,verbs,2.45
788,слышать,hablar,verbs,0.5
789,счастье,tristeza,nouns,0.45
790,угождать,alegar,verbs,0.85
791,певец,coro,nouns,1.6
792,бежать,montar,verbs,0.4
793,дрожать,congelar,verbs,1.15
794,меч,trono,nouns,0.3
795,лед,agua,nouns,1.55
796,выбор,opinión,nouns,1.1
797,окно,puerta,nouns,0.75
798,критиковать,observar,verbs,1.45
799,спальня,estómago,nouns,0.1
800,заканчивать,aplazar,verbs,0.3
801,останавливаться,silbar,verbs,0.25
802,захватить,agarrar,verbs,2.7
803,образ,idea,nouns,1.65
804,коридор,clase,nouns,0.55
805,позвоночник,cuerpo,nouns,0.95
806,иначе,terminalmente,adverbs,0.05
807,сахароза,carbohidrato,nouns,1.85
808,разум,cerebro,nouns,3.05
809,надёжно,pasivamente,adverbs,0.0
810,танец,vestir,nouns,0.5
811,штат сотрудников,vocalista,nouns,0.25
812,реалистично,idealmente,adverbs,0.55
813,работа,herramienta,nouns,0.8
814,герцог,república,nouns,0.25
815,бродить,vagar,verbs,4.65
816,сонет,belleza,nouns,0.3
817,противодействовать,irritar,verbs,0.95
818,останавливать,controlar,verbs,0.75
819,армия,legión,nouns,2.5
820,обычный,frío,adjectives,0.05
821,никогда,honestamente,adverbs,0.1
822,жена,cañita,nouns,0.15
823,учитель,estudiante,nouns,0.75
824,десятилетие,era,nouns,1.85
825,посредственный,aburrido,adjectives,1.55
826,обычный,increíble,adjectives,0.2
827,опера,cine,nouns,0.9
828,самообладание,médico,nouns,0.3
829,слушать,aprender,verbs,0.85
830,отделяться,absorber,verbs,0.1
831,размер,truco,nouns,0.05
832,легкий,difícil,adjectives,0.15
833,слуга,esclavo,nouns,2.3
834,занимать,vender,verbs,0.25
835,счастливо,sin peligro,adverbs,0.35
836,антропология,arqueología,nouns,0.95
837,объединяться,cooperar,verbs,3.05
838,шторм,manta,nouns,0.05
839,ручка,alfabeto,nouns,0.65
840,приличный,cortés,adjectives,2.75
841,мать,papá,nouns,1.75
842,обои,fondo,nouns,1.75
843,выход,sufragio,nouns,0.05
844,операция,álgebra,nouns,0.75
845,флот,isla,nouns,0.55
846,шляпа,capa,nouns,0.75
847,самолет,aeropuerto,nouns,1.25
848,тяжелый,simple,adjectives,0.1
849,трон,espada,nouns,0.3
850,язык,músculo,nouns,1.4
851,пол,puerta,nouns,0.75
852,тоннель,camino,nouns,1.65
853,коронация,agua,nouns,0.0
854,пушка,pelota,nouns,0.8
855,точно,inexactamente,adverbs,0.05
856,учащийся,alumno,nouns,5.45
857,трудный,sencillo,adjectives,0.1
858,искусства,artista,nouns,1.4
859,чувство,intuición,nouns,3.65
860,объединяться,casar,verbs,2.4
861,учиться,absorber,verbs,0.95
862,ритм,poema,nouns,1.2
863,тупой,listo,adjectives,0.15
864,течь,deambular,verbs,0.75
865,настроение,emoción,nouns,2.8
866,обнаруживать,explorar,verbs,2.7
867,гитара,tambor,nouns,0.85
868,совершенный,terminado,adjectives,3.1
869,колено,brazo,nouns,0.6
870,грубо,fácilmente,adverbs,0.1
871,кисть,pulgar,nouns,1.2
872,спор,conversación,nouns,3.25
873,получать,captura,verbs,0.4
874,заболевание,infección,nouns,3.05
875,давать,robar,verbs,0.05
876,действительно,en tono rimbombante,adverbs,0.25
877,необходимый,innecesario,adjectives,0.15
878,нарушение,crimen,nouns,3.6
879,дверь,campana,nouns,0.65
880,сумасшедший,enfermos,adjectives,1.45
881,угол,zona,nouns,0.3
882,свитер,algodón,nouns,0.75
883,голодный,sediento,adjectives,1.15
884,наверное,quizás,adverbs,4.0
885,забывать,saber,verbs,0.15
886,активно,precisamente,adverbs,0.5
887,луковица,flor,nouns,1.05
888,навряд ли,simpático,adverbs,0.0
889,беспорядочный,ordenado,adjectives,0.25
890,мозаика,basílica,nouns,0.35
891,цунами,mar,nouns,1.35
892,идти,venir,verbs,1.25
893,пожертвование,ofrecimiento,nouns,3.8
894,бедствие,accidente,nouns,3.55
895,метр,yarda,nouns,1.9
896,проверка,juicio,nouns,1.25
897,бок,fondo,nouns,0.7
898,необычный,único,adjectives,3.6
899,дверь,bodega,nouns,0.45
900,раздражать,enemistarse,verbs,0.95
901,пустяк,tarea,nouns,0.1
902,презрительный,desdeñoso,adjectives,3.75
903,бихевиоризм,terapia,nouns,0.7
904,экран,fonología,nouns,0.05
905,симуляция,robótica,nouns,0.9
906,присутствие,puerta,nouns,0.4
907,курятина,arroz,nouns,0.55
908,удивлять,celebrar,verbs,0.6
909,убивать,colgar,verbs,0.95
910,биология,biotopo,nouns,0.75
911,грудь,cuerpo,nouns,1.25
912,здесь,ahora,adverbs,1.5
913,дом,apartamento,nouns,4.15
914,убежище,choza,nouns,0.75
915,небо,sol,nouns,1.0
916,уксус,ensalada,nouns,0.85
917,запястье,brazo,nouns,1.15
918,жить,sobrevivir,verbs,1.95
919,строить,destruir,verbs,0.1
920,бриллиант,dinero,nouns,0.75
921,зрелый,sofisticado,adjectives,0.95
922,приходить,llegar,verbs,2.5
923,зима,verano,nouns,0.55
924,гордый,arrogante,adjectives,3.1
925,ястреб,pájaro,nouns,2.05
926,образ,reflexión,nouns,1.7
927,кровать,mueble,nouns,2.0
928,спрашивать,pensar,verbs,0.7
929,солнце,rayo,nouns,1.35
930,мальчик,soldado,nouns,0.7
931,волейбол,pelota,nouns,1.15
932,белок,asa,nouns,0.15
933,шах,ajedrez,nouns,0.9
934,священник,dios,nouns,1.35
935,курица,pájaro,nouns,1.8
936,псалом,conquista,nouns,0.15
937,спорить,convencer,verbs,1.4
938,месяц,agosto,nouns,2.85
939,соглашаться,negar,verbs,0.1
940,посещать,ven,verbs,2.15
941,скот,ternera,nouns,3.2
942,покупать,robar,verbs,0.1
943,после,antes de,adverbs,0.05
944,стиль,moda,nouns,3.4
945,дредноут,buque,nouns,2.75
946,офицер,diputado,nouns,1.8
947,тратить,preocuparse,verbs,0.05
948,сегодня ночью,mañana,adverbs,0.4
949,микроскоп,biólogo,nouns,1.2
950,комбайн,caña de azúcar,nouns,0.3
951,радиатор,sensor,nouns,0.8
952,султан,ministerio,nouns,0.2
953,открывать,originar,verbs,0.8
954,миф,sátira,nouns,1.35
955,гордый,triste,adjectives,0.1
956,допущенный,legal,adjectives,3.65
957,учить,castigar,verbs,0.25
958,корень,hierba,nouns,0.95
959,юг,norte,nouns,0.45
960,вино,brandy,nouns,1.45
961,книга,biblia,nouns,1.8
962,президент,político,nouns,2.3
963,зуб,boca,nouns,1.2
964,риф,playa,nouns,1.25
965,очевидный,perceptible,adjectives,2.8
966,завтрак,cena,nouns,0.7
967,идти,empezar,verbs,0.45
968,аэропорт,avión,nouns,1.25
969,триумф,victoria,nouns,5.1
970,взрослый,padre,nouns,1.4
971,оплата,nota,nouns,0.35
972,монах,sacerdote,nouns,3.35
973,осматривать,examinar,verbs,4.2
974,подавлять,renunciar,verbs,0.55
975,восхищаться,adorar,verbs,3.9
976,плавиться,disolver,verbs,2.25
977,нога,brazo,nouns,0.6
978,ключ,corona,nouns,0.1
979,внебрачный,inmencionable,adjectives,0.2
980,испуганный,nervioso,adjectives,1.8
981,драгоценный,sagrado,adjectives,2.15
982,ярость,enfado,nouns,4.3
983,слово,diccionario,nouns,1.0
984,невежество,inteligencia,nouns,0.6
985,выиграть,golpear,verbs,0.55
986,кухня,puerta,nouns,0.75
987,известный,bien,adjectives,0.3
988,невероятно,herméticamente,adverbs,0.0
989,микроб,patógeno,nouns,3.65
990,действовать,ocurrir,verbs,1.25
991,коридор,pasillo,nouns,4.6
992,гневный,vacilante,adjectives,0.5
993,рекомендовать,asesorar,verbs,4.85
994,история,tema,nouns,0.75
995,молекула,matriz,nouns,0.7
996,область,esquina,nouns,0.3
997,средний,templado,adjectives,1.6
998,скот,oveja,nouns,2.95
999,твердый,denso,adjectives,2.45
1000,авария,catástrofe,nouns,3.55
1001,игнорировать,imprimir,verbs,0.0
1002,бедро,labio,nouns,0.55
1003,сегодня ночью,hoy,adverbs,2.0
1004,широкий,estrecho,adjectives,0.15
1005,доход,impuesto,nouns,0.7
1006,популярный,conocido,adjectives,4.35
1007,эмоция,estado animico,nouns,2.8
1008,рукопись,artículo,nouns,2.8
1009,жертва,dios,nouns,0.15
1010,поезд,tranvía,nouns,2.4
1011,бедность,riqueza,nouns,0.2
1012,коктейль,alcohol,nouns,2.05
1013,флаг,vexilología,nouns,1.25
1014,загробный мир,purgatorio,nouns,2.15
1015,бейсбол,baloncesto,nouns,1.25
1016,тетрадь,pistola,nouns,0.05
1017,художник,obra de arte,nouns,1.4
1018,пассивный,violento,adjectives,0.15
1019,объявлять,anunciar,verbs,4.6
1020,щека,lengua,nouns,0.7
1021,взрослый,bebé,nouns,0.7
1022,искренне,generalmente,adverbs,0.45
1023,герцогство,principado,nouns,2.3
1024,побережье,playa,nouns,2.65
1025,посылка,camión,nouns,0.45
1026,аппара́тное обеспече́ние,caso,nouns,0.45
1027,приходящий,saliente,adjectives,0.15
1028,длинный,corto,adjectives,0.15
1029,флаг,polo,nouns,0.5
1030,коммуникация,televisión,nouns,1.85
1031,самость,confianza,nouns,1.8
1032,массивный,astronómico,adjectives,1.2
1033,шампанское,cerveza,nouns,1.2
1034,бал,disfraz,nouns,0.6
1035,кисть,uña,nouns,1.25
1036,трамвай,tren,nouns,2.4
1037,создавать,construir,verbs,3.65
1038,беспорядок,clase,nouns,0.2
1039,орава,multitud,nouns,3.6
1040,зонтик,calentador,nouns,0.1
1041,воды,coronación,nouns,0.0
1042,смерть,tragedia,nouns,2.15
1043,отсутствие,presencia,nouns,0.4
1044,барабан,cuerno,nouns,0.7
1045,холодный,ordinario,adjectives,0.05
1046,полковник,dentista,nouns,0.15
1047,хотеть,escoger,verbs,1.05
1048,погребение,muerte,nouns,1.45
1049,вулкан,magma,nouns,1.85
1050,спокойный,relajado,adjectives,3.1
1051,создавать,destruir,verbs,0.15
1052,брать,llevar,verbs,0.5
1053,хранить,apreciar,verbs,0.95
1054,нож,pistola,nouns,1.4
1055,циклон,tifón,nouns,4.05
1056,мальчик,arroz,nouns,0.0
1057,ружье,amanecer,nouns,0.0
1058,мнение,impresión,nouns,2.65
1059,молиться,comunicar,verbs,0.45
1060,точный,incorrecto,adjectives,0.05
1061,палуба,ratón,nouns,0.4
1062,колледж,profesión,nouns,0.85
1063,демон,monstruo,nouns,3.9
1064,форма,tejer,nouns,0.35
1065,режиссер,cinematografía,nouns,1.65
1066,рыдать,llorar,verbs,4.55
1067,потом,nunca,adverbs,0.2
1068,смиренно,orgullosamente,adverbs,0.15
1069,рукопись,libro,nouns,2.25
1070,обращаться,ignorar,verbs,0.1
1071,пить,sorber,verbs,2.6
1072,колено,hueso,nouns,1.05
1073,плакать,sollozar,verbs,4.3
1074,обычно,irregularmente,adverbs,0.35
1075,прокурор,abogado,nouns,1.85
1076,журнал,artículo,nouns,1.55
1077,горло,nariz,nouns,0.65
1078,завтрак,tocino,nouns,0.55
1079,исследовать,examinar,verbs,4.7
1080,рассерженный,feliz,adjectives,0.15
1081,великодушный,simpático,adjectives,2.3
1082,точно,activamente,adverbs,0.5
1083,плотный,difícil,adjectives,2.45
1084,брать,entregar,verbs,0.65
1085,неправильный,preciso,adjectives,0.05
1086,молоток,dientes,nouns,0.1
1087,приобретать,unirse,verbs,0.5
1088,яркость,estrella,nouns,2.05
1089,отец,progenitor,nouns,4.25
1090,раскалывать,despegar,verbs,1.35
1091,собираться,reunirse,verbs,3.4
1092,плечо,cuerpo,nouns,1.2
1093,расти,encoger,verbs,0.1
1094,игнорировать,pedir,verbs,0.1
1095,решать,juzgar,verbs,2.05
1096,жестокий,injusto,adjectives,1.85
1097,пляж,costa,nouns,3.0
1098,монета,pago,nouns,1.65
1099,век,década,nouns,0.5
1100,механизм,motor,nouns,2.5
1101,плакат,papel,nouns,1.95
1102,громко,suavemente,adverbs,0.05
1103,идеально,de modo realista,adverbs,0.55
1104,храпеть,despierto,verbs,0.25
1105,острый,suave,adjectives,0.3
1106,снег,hielo,nouns,2.75
1107,дантист,ortodoncista,nouns,4.25
1108,красный,azul,adjectives,0.3
1109,топология,estructura,nouns,2.05
1110,помнить,pensar,verbs,1.2
1111,минимально,aproximadamente,adverbs,0.2
1112,стакан,cono,nouns,0.9
1113,приносить,venir,verbs,0.6
1114,работник,mecánico,nouns,2.1
1115,невеста,princesa,nouns,0.8
1116,активно,pasivamente,adverbs,0.15
1117,народ,pistola,nouns,0.1
1118,луна,planeta,nouns,1.9
1119,самолет,hoja,nouns,0.0
1120,ложка,jugo,nouns,0.25
1121,сильный,orgulloso,adjectives,1.0
1122,доказывать,explicar,verbs,2.6
1123,история,canción,nouns,0.35
1124,остаток,diferencia,nouns,1.1
1125,национальный,conocido,adjectives,0.25
1126,известный,popular,adjectives,4.35
1127,сахар,miel,nouns,1.25
1128,виски,champán,nouns,1.0
1129,читать,morder,verbs,0.0
1130,дешевый,económico,adjectives,5.0
1131,реальность,fantasía,nouns,0.4
1132,дождь,granizo,nouns,1.25
1133,улица,coche,nouns,0.55
1134,узнавать,olvidar,verbs,0.15
1135,участвовать,decir,verbs,0.9
1136,свитер,chaqueta,nouns,1.85
1137,дверь,presencia,nouns,0.4
1138,богатство,fama,nouns,1.35
1139,счастливый,enojado,adjectives,0.1
1140,гнаться,seguir,verbs,3.2
1141,доллар,gente,nouns,0.05
1142,уменьшить,empapar,verbs,0.0
1143,автомобиль,autopista,nouns,1.25
1144,философ,carreras,nouns,0.15
1145,кузен,tío,nouns,1.05
1146,щедро,amablemente,adverbs,2.75
1147,победа,triunfo,nouns,5.1
1148,норка,piel,nouns,2.05
1149,старинный,moderno,adjectives,0.15
1150,ортодонт,dentista,nouns,4.25
1151,мох,hierba,nouns,1.8
1152,зрело,inteligentemente,adverbs,0.8
1153,неаккуратно,precisamente,adverbs,0.05
1154,пассивно,activamente,adverbs,0.15
1155,сценарист,televisión,nouns,1.05
1156,шкаф,ropa,nouns,1.15
1157,охранник,hombre,nouns,1.0
1158,книга,materia,nouns,1.25
1159,захватывающий,aburrido,adjectives,0.15
1160,нелегальный,inmoral,adjectives,0.75
1161,огромный,minúsculo,adjectives,0.1
1162,биотоп,biología,nouns,0.75
1163,убежище,envoltura,nouns,0.15
1164,священник,rabino,nouns,1.7
1165,дорогой,tímido,adjectives,0.2
1166,ум,visión,nouns,1.55
1167,камера,continuación,nouns,0.1
1168,расслабленный,calma,adjectives,3.1
1169,пиво,bebida,nouns,2.1
1170,определить,evacuar,verbs,0.45
1171,робототехника,simulación,nouns,0.9
1172,героиня,héroe,nouns,2.8
1173,собирать,sacudir,verbs,0.2
1174,пруток,cárcel,nouns,0.1
1175,грешник,smo,nouns,0.15
1176,приходить,traer,verbs,0.6
1177,метель,lluvia,nouns,0.7
1178,терять,obtener,verbs,0.1
1179,маффин,perejil,nouns,0.35
1180,хлебать,tragar,verbs,2.15
1181,дверь,cocina,nouns,0.75
1182,кот,conejo,nouns,0.6
1183,забывать,recordar,verbs,0.05
1184,муха,hormiga,nouns,0.55
1185,естественно,tranquilamente,adverbs,0.75
1186,рука,cuello,nouns,0.55
1187,усталый,aburrido,adjectives,1.0
1188,мозг,nervio,nouns,1.0
1189,объединять,dividir,verbs,0.15
1190,практиковаться,repetir,verbs,2.25
1191,мусульман,obispo,nouns,0.35
1192,человек,hermano,nouns,0.65
1193,правдивый,deshonesto,adjectives,0.05
1194,рожок,vaso,nouns,0.9
1195,приворяться,parecer,verbs,2.9
1196,тема,historia,nouns,0.75
1197,корова,ganado,nouns,2.55
1198,легенда,moral,nouns,0.6
1199,быстро,urgentemente,adverbs,3.95
1200,пытаться,convencer,verbs,1.05
1201,возраст,belleza,nouns,0.55
1202,кость,mandíbula,nouns,1.1
1203,пистолет,sargento,nouns,0.65
1204,волдырь,ilustración,nouns,0.0
1205,обсуждать,discutir,verbs,2.9
1206,воин,hombre,nouns,1.15
1207,убеждать,discutir,verbs,1.4
1208,глава,alcalde,nouns,2.25
1209,отбивать,ganar,verbs,0.55
1210,идея,esquema,nouns,2.35
1211,чип,cursor,nouns,0.1
1212,гибкий,suelto,adjectives,1.05
1213,пенни,ganga,nouns,0.25
1214,умереть,enterrar,verbs,0.9
1215,лгать,acusar,verbs,0.35
1216,душить,abrumar,verbs,1.15
1217,жена,madre,nouns,2.0
1218,пристыженный,trastornado,adjectives,0.8
1219,салат,dieta,nouns,0.85
1220,логика,aritmética,nouns,1.65
1221,кость,tobillo,nouns,1.15
1222,брюшко,abdomen,nouns,4.65
1223,желудок,cintura,nouns,0.9
1224,растворяться,derretir,verbs,2.25
1225,десятилетие,siglo,nouns,0.5
1226,новый,antiguo,adjectives,0.1
1227,один раз,dos veces,adverbs,0.3
1228,спорить,pedir,verbs,0.75
1229,ткань,lino,nouns,2.6
1230,один раз,instantáneamente,adverbs,0.5
1231,факультет,derecho,nouns,0.8
1232,луч,sol,nouns,1.35
1233,появляться,salir,verbs,0.35
1234,болезнь,infección,nouns,2.55
1235,в основном,terminalmente,adverbs,0.35
1236,выговаривать,pedir,verbs,0.5
1237,завод,coche,nouns,0.4
1238,требовать,reñir,verbs,0.5
1239,изморось,lluvia,nouns,1.5
1240,проваливать,perder,verbs,2.2
1241,текст,libro,nouns,2.25
1242,дерево,hoja,nouns,1.15
1243,работник,empleador,nouns,1.0
1244,пол,cubierta,nouns,1.05
1245,трагедия,muerte,nouns,2.15
1246,беспорядочный,organizado,verbs,0.05
1247,приблизительно,groseramente,adverbs,0.5
1248,запускать,enviar,verbs,2.4
1249,чувствовать,creer,verbs,1.55
1250,дьявол,dios,nouns,0.5
1251,бороться,matar,verbs,0.4
1252,украшение,sobre,nouns,0.15
1253,брать,robar,verbs,0.75
1254,ужасный,genial,adjectives,0.1
1255,ворота,puerta,nouns,4.25
1256,обезьяна,campaña,nouns,0.05
1257,вечер,oscuridad,nouns,2.85
1258,пара,pareja,nouns,4.9
1259,мускул,brazo,nouns,1.25
1260,разъедать,vestir,verbs,0.0
1261,смиренно,mal,adverbs,0.1
1262,брат,padre,nouns,0.6
1263,хромать,caminar,verbs,0.9
1264,лыжи,snowboard,nouns,2.35
1265,запад,norte,nouns,0.4
1266,неестественно,naturalmente,adverbs,0.1
1267,подчиняться,comportarse,verbs,3.1
1268,пассивно,silenciosamente,adverbs,1.2
1269,класс,colegio,nouns,1.2
1270,обижать,molestar,verbs,2.15
1271,фильм,nihilismo,nouns,0.1
1272,восприятие,visión,nouns,4.6
1273,широкий,grande,adjectives,1.65
1274,отец,hombre,nouns,1.7
1275,словарь,enciclopedia,nouns,2.2
1276,игра,divertido,nouns,1.25
1277,работник,oficina,nouns,0.55
1278,ночь,día,nouns,0.6
1279,вера,flor,nouns,0.1
1280,гипотеза,teoría,nouns,3.3
1281,рациональный,sobrio,adjectives,1.7
1282,фальшивый,real,adjectives,0.2
1283,дочь,bebé,nouns,2.15
1284,обрезание,prepucio,nouns,2.4
1285,мальчик,pareja,nouns,0.6
1286,милый,cruel,adjectives,0.05
1287,продавать,pedir prestado,verbs,0.25
1288,символ,código,nouns,1.7
1289,церемония,celebracion,nouns,3.95
1290,народ,población,nouns,3.25
1291,король,princesa,nouns,1.35
1292,берег,playa,nouns,3.0
1293,невежественный,regular,adjectives,0.05
1294,талия,estómago,nouns,0.9
1295,ангел,demonio,nouns,0.6
1296,грустно,emocionalmente,adverbs,1.25
1297,боб,café,nouns,0.5
1298,хранить,proteger,verbs,1.85
1299,друг,compañero,nouns,3.85
1300,кольцо,compromiso,nouns,1.7
1301,творческий,innovador,adjectives,3.95
1302,угроза,peligro,nouns,4.55
1303,в восторге,asustado,adjectives,0.45
1304,печь,freír,verbs,1.4
1305,умный,tonto,adjectives,0.15
1306,угождать,estar de acuerdo,verbs,1.2
1307,карниз,cortina,nouns,0.6
1308,коррупция,fraude,nouns,3.35
1309,платеж,cuota,nouns,4.05
1310,спиртное,siglo,nouns,0.05
1311,слон,dinosaurio,nouns,0.7
1312,вишня,fresa,nouns,1.05
1313,готовить,mezclar,verbs,0.65
1314,помогать,pedir,verbs,0.35
1315,план,idea,nouns,2.35
1316,слабый,poderoso,adjectives,0.2
1317,ружье,gente,nouns,0.1
1318,действие,juego,nouns,1.8
1319,щедро,nunca,adverbs,0.0
1320,обмен,reemplazo,nouns,3.95
1321,свободный,flexible,adjectives,1.05
1322,ружье,truco,nouns,0.15
1323,помощник,profesor,nouns,1.6
1324,управление,ratón,nouns,0.35
1325,просить,rezar,verbs,1.7
1326,шоссе,carretera,nouns,4.4
1327,безопасный,legal,adjectives,1.3
1328,беспокойный,impaciente,adjectives,3.45
1329,виски,ginebra,nouns,1.3
1330,смешной,triste,adjectives,0.05
1331,музей,menta,nouns,0.0
1332,предрешать,esforzarse,verbs,0.35
1333,древесина,tronco,nouns,3.45
1334,архиепископ,obispo,nouns,2.85
1335,кушетка,béisbol,nouns,0.1
1336,конституция,emperador,nouns,0.8
1337,вера,valor,nouns,1.35
1338,хлопок,suéter,nouns,0.75
1339,уточнить,definir,verbs,3.75
1340,скорость,enviar,nouns,0.2
1341,подозревать,arrestar,verbs,0.55
1342,пост,velocidad,nouns,0.2
1343,пялиться,ojear,verbs,0.6
1344,свежий,nuevo,adjectives,3.7
1345,просить,mendigar,verbs,3.55
1346,неприличный,extramatrimonial,adjectives,0.2
1347,арестовывать,sospechar,verbs,0.55
1348,душ,monasterio,nouns,0.0
1349,мех,mujer,nouns,0.35
1350,ступня,mano,nouns,0.75
1351,инфекция,dolencia,nouns,2.55
1352,небоскреб,palacio,nouns,0.75
1353,шептать,hablar,verbs,1.35
1354,жена,agujero,nouns,0.0
1355,братство,hombres,nouns,0.75
1356,печень,órgano,nouns,2.1
1357,словарь,palabra,nouns,1.0
1358,избирать,rechazar,verbs,0.3
1359,поглощать,aprender,verbs,0.95
1360,бок,parte superior,nouns,0.8
1361,повидло,manzana,nouns,0.8
1362,друг,huésped,nouns,1.4
1363,бумага,madera,nouns,0.9
1364,вектор,matriz,nouns,1.7
1365,кабель,capilla,nouns,0.0
1366,противоречить,estar de acuerdo,verbs,0.45
1367,сноровка,juego,nouns,1.45
1368,неизвестный,abierto,adjectives,0.15
1369,инструмент,violín,nouns,2.7
1370,включают,implicar,verbs,3.1
1371,факторизация,descomposición,nouns,1.3
1372,игрок в боулинг,bolos,nouns,2.0
1373,гелий,aire,nouns,1.5
1374,двигаться,tejer,verbs,0.15
1375,таксомотор,taxi,nouns,3.3
1376,акции,activo,nouns,2.4
1377,позволять,permitir,verbs,5.05
1378,дважды,siempre,adverbs,0.1
1379,поршень,motor,nouns,2.0
1380,мех,pistola,nouns,0.1
1381,сок,cuchara,nouns,0.25
1382,приложение,solicitante,nouns,0.95
1383,форель,guitarra,nouns,0.0
1384,актер,poliedro,nouns,0.0
1385,удар,marco,nouns,0.15
1386,курица,pavo,nouns,0.9
1387,нечестный,veraz,adjectives,0.05
1388,ванная,cocina,nouns,0.65
1389,змея,lagartija,nouns,1.1
1390,искать,cazar,verbs,1.6
1391,стекло,placa,nouns,0.35
1392,боб,tocino,nouns,0.25
1393,упускать,hacer huelga,verbs,0.1
1394,верх,lado,nouns,0.8
1395,коридор,puerta,nouns,0.65
1396,бестелесный,espiritual,adjectives,3.25
1397,гостиница,apartamento,nouns,0.95
1398,отстаивать,proteger,verbs,4.55
1399,информация,periódico,nouns,2.1
1400,канонерская лодка,costa,nouns,0.45
1401,часто,raramente,adverbs,0.45
1402,предшествующее,pasado,nouns,3.65
1403,дерево,tronco,nouns,3.55
1404,хрусталь,vaso,nouns,2.05
1405,останавливаться,conducir,verbs,0.35
1406,квартира,hotel,nouns,0.95
1407,грубо,ligeramente,adverbs,0.2
1408,глиняная посуда,cerámico,nouns,4.4
1409,брать,obtener,verbs,2.25
1410,ритм,aritmética,nouns,0.55
1411,продолжение,cámara,nouns,0.1
1412,узкий,sucio,adjectives,0.0
1413,колокол,torre,nouns,1.25
1414,дверь,pasillo,nouns,0.65
1415,абзац,página,nouns,1.3
1416,плакать,reír,verbs,0.1
1417,глубина,magnitud,nouns,1.15
1418,формула,ecuación,nouns,3.35
1419,пиво,alcohol,nouns,2.35
1420,сжиматься,reducir,verbs,3.75
1421,спокойный,neutral,adjectives,1.55
1422,контейнер,vagón,nouns,0.05
1423,сезон,invierno,nouns,2.3
1424,привлекать,golpear,verbs,0.05
1425,питание,programa,nouns,0.3
1426,мнение,elección,nouns,1.1
1427,класть,colgar,verbs,1.25
1428,делать,volverse,verbs,0.6
1429,лодыжка,codo,nouns,0.45
1430,синтаксис,palabra principal,nouns,0.6
1431,радар,palanca de mando,nouns,0.45
1432,гематология,patología,nouns,1.1
1433,год,cumpleaños,nouns,1.45
1434,конфеты,canela,nouns,0.6
1435,счастливый,joven,adjectives,0.15
1436,обычно,raramente,adverbs,0.05
1437,давать показания,juez,verbs,0.5
1438,комната,célula,nouns,0.65
1439,квартира,mueble,nouns,0.7
1440,одежда,capa,nouns,1.5
1441,мышь,administración,nouns,0.35
1442,безнравственный,malo,adjectives,2.35
1443,женщина,esposa,nouns,2.45
1444,увеличивать,crecer,verbs,3.6
1445,настоящий,0,adjectives,0.2
1446,неудачно,humildemente,adverbs,0.1
1447,работодатель,obrero,nouns,1.0
1448,эссе,libro,nouns,1.6
1449,отделять,salir,verbs,0.35
1450,джинн,lámpara,nouns,0.6
1451,ум,ignorancia,nouns,0.6
1452,рубашка,cárdigan,nouns,0.95
1453,вешать,poner,verbs,1.25
1454,выступ,montaña,nouns,0.7
1455,давать,permitir,verbs,1.2
1456,мир,globo,nouns,2.5
1457,хлеб,harina,nouns,1.2
1458,кот,león,nouns,0.9
1459,соглашение,discusión,nouns,0.85
1460,преступление,fraude,nouns,2.45
1461,комната,bañera,nouns,1.1
1462,шея,espina,nouns,1.0
1463,дверь,portal,nouns,2.7
1464,бутерброд,almuerzo,nouns,1.05
1465,рубеж,frontera,nouns,4.75
1466,экзотичный,raro,adjectives,4.55
1467,находить,escapar,verbs,0.15
1468,жар,gripe,nouns,1.65
1469,думать,decidir,verbs,1.7
1470,общество,cultura,nouns,1.35
1471,свистеть,detener,verbs,0.25
1472,штурман,cabina,nouns,0.55
1473,ключ,casa,nouns,0.7
1474,конечно,a veces,adverbs,0.6
1475,рак,enfermedad,nouns,2.3
1476,ступня,cabeza,nouns,0.55
1477,провал,bancarrota,nouns,2.5
1478,сообщать,informar,verbs,4.7
1479,образ жизни,civilización,nouns,0.95
