ID,CMN,HEB,PoS,score
737,批评,חצוף,adjectives,0.82
738,沙拉,דיאטה,nouns,0.97
739,灵活,צנוע,adjectives,0.42
740,愤怒,תסכול,nouns,2.73
741,否定,לעולם לא,adjectives,1.85
742,也许,כנראה,adverbs,3.92
743,显著的,ברור,adjectives,3.74
744,争论,לשכנע,verbs,2.13
745,喉咙,אף,nouns,0.74
746,狡猾,מוזר,adjectives,0.67
747,航空,טיסה,nouns,2.95
748,唱,לצחוק,verbs,0.35
749,成年人,תינוק,nouns,0.97
750,窗口,קרסול,nouns,0.0
751,信心十足地,בחשאיות,adverbs,0.45
752,乱,נקי,adjectives,0.49
753,眼睛,גבה,nouns,0.88
754,肺,כבד,nouns,1.02
755,首领,ראש,nouns,3.73
756,不道德,רע,adjectives,2.51
757,雪,סערה,nouns,1.46
758,重要的,רשמית,adverbs,0.95
759,反驳,להרשות,verbs,0.1
760,骨髓,דם,nouns,0.88
761,购买,לקבל,verbs,1.01
762,恶魔,מלאך,nouns,0.79
763,统治者,מלך,nouns,4.65
764,生日,תאריך,nouns,1.52
765,衣服,מגירה,nouns,0.6
766,表达,לומר,verbs,3.79
767,说,לאמת,verbs,0.4
768,播放机,מאמן,nouns,0.65
769,向外,נכנס,adjectives,0.6
770,天花板,קתדרלה,nouns,0.45
771,医院,מיטה,nouns,0.72
772,宣布,להודיע,verbs,4.71
773,家牛,פרה,nouns,3.35
774,马,סוסון,nouns,2.83
775,路径,מנהרה,nouns,2.07
776,病人,פגישה,nouns,0.73
777,不经常,לעיתים קרובות,adverbs,0.73
778,胸部,גוף,nouns,1.8
779,翻译者,זר,nouns,0.48
780,狭窄,רחב,adjectives,0.59
781,好斗,קרב,nouns,3.05
782,判断,להעיד,verbs,0.59
783,接受,לסרב,verbs,0.63
784,妻子,קש,nouns,0.19
785,情感,מצב רוח,nouns,3.19
786,皇帝,חוקה,nouns,0.34
787,电话,טלפון סלולרי,nouns,4.42
788,副手,קצין,nouns,1.83
789,沙发,כיסא,nouns,2.24
790,碗,סמטה,nouns,0.0
791,最近,רענן,adjectives,3.06
792,收集,לסדר,verbs,1.54
793,地板,גג,nouns,0.74
794,选举,לבחור,verbs,3.01
795,谢绝,לסרב,verbs,4.68
796,气球,אנשים,nouns,0.1
797,现在,כאן,adverbs,2.45
798,坦克,מכונית,nouns,1.07
799,容易,גמיש,adjectives,0.88
800,给,להניח,verbs,0.54
801,屋顶,חלון,nouns,0.69
802,神经,גוף,nouns,1.41
803,代码,סמל,nouns,2.66
804,门,אחווה,nouns,0.0
805,代数,פעולה,nouns,0.5
806,单身牢房,מעצר,nouns,1.35
807,简单,קל,adjectives,3.83
808,主意,תמונה,nouns,0.45
809,使满意,לבדר,verbs,0.67
810,给,לגנוב,verbs,0.58
811,说明,להבהיר,verbs,3.88
812,煤,אבן,nouns,1.84
813,梦想,שמיים,nouns,0.49
814,运动,פעילות,nouns,2.41
815,可靠,באופן אחראי,adverbs,3.13
816,星,בהירות,nouns,0.83
817,教育,ללמד,verbs,4.14
818,雪,מפולת שלגים,nouns,1.77
819,冬天,קיץ,nouns,0.74
820,米饭,שעועית,nouns,0.97
821,建议,להמליץ,verbs,3.31
822,女佣,נערה,nouns,1.35
823,停止,לשלוט,verbs,0.43
824,裂开,לנתק,verbs,2.59
825,上校,רופא,nouns,0.39
826,角,אזור,nouns,0.88
827,玫瑰,פרפר,nouns,0.53
828,天空,שמש,nouns,1.16
829,雪茄,מקטרת,nouns,2.36
830,耐力,חוזק,nouns,2.63
831,箭头,מטרה,nouns,1.11
832,自然地,בשקט,adverbs,0.48
833,异常地,בדרך כלל,adverbs,0.45
834,心靈,אל,nouns,0.55
835,学习,לבלבל,verbs,0.3
836,管弦乐队,להקה,nouns,3.85
837,锅,מכשיר,nouns,1.73
838,不诚实,רע,adjectives,0.91
839,显然,בחשאי,adverbs,0.28
840,狮子,חתול,nouns,1.51
841,圣经,ספר,nouns,1.98
842,参与,לשתף,verbs,1.11
843,鼓,קרן,nouns,0.49
844,大,כבד,adjectives,0.97
845,碳,אטום,nouns,1.13
846,说,להשתתף,verbs,0.3
847,对抗,לעצבן,verbs,4.74
848,很少,לעולם לא,adverbs,2.19
849,大概,ייתכן,adverbs,3.92
850,能力,כשירות,nouns,5.0
851,普通,מוזר,adjectives,0.55
852,经常,לפעמים,adverbs,1.94
853,机场,מטוס,nouns,1.25
854,可悲的是,נורא,adverbs,0.59
855,手表,חצאית,nouns,0.25
856,长大,ילדותי,adjectives,0.68
857,沐浴,חדר,nouns,0.7
858,犯罪,גניבה,nouns,2.88
859,炒,לאפות,verbs,1.55
860,河,עמק,nouns,1.46
861,选择,פרק,nouns,0.15
862,申请人,מועמדות,nouns,1.83
863,米饭,עוף,nouns,0.55
864,想,לזכור,verbs,1.03
865,拿,להחזיק,verbs,1.08
866,组织,להפוך,verbs,0.55
867,愤怒,אלים,adjectives,1.65
868,猫,אריה,nouns,1.51
869,伤心,נורא,adjectives,0.97
870,保护,להגן,verbs,4.1
871,拉比,שר,nouns,0.55
872,女儿,ילדה,nouns,3.35
873,可能,אפשרי,adverbs,4.58
874,新,עתיק,adjectives,0.59
875,非法,מושחת,adjectives,2.19
876,兄弟会,דלת,nouns,0.0
877,面具,מסיבה,nouns,0.54
878,喧闹声,המולה,nouns,4.38
879,枪,תותח,nouns,2.17
880,内衣褲,גוף,nouns,0.2
881,邮包,משאית,nouns,0.39
882,没用过,חדש,adjectives,3.82
883,长笛,מוזיקה,nouns,1.25
884,出席,להופיע,verbs,3.54
885,次要,משמעותי,adjectives,0.54
886,奇怪,נורמלי,adjectives,0.59
887,溺爱,להריח,verbs,0.05
888,强硬,קשה,adjectives,3.64
889,发烧,מחלה,nouns,2.08
890,航空学,אוויוניקה,nouns,2.54
891,尾巴,קערה,nouns,0.0
892,分界线,גבול,nouns,3.74
893,失去,להחסיר,verbs,1.91
894,限制,להקטין,verbs,2.08
895,滨,חוף,nouns,2.96
896,好,חריף,adjectives,0.45
897,正式,בחוזקה,adverbs,0.32
898,骑,לדשדש,verbs,0.4
899,岛,חיל הים,nouns,0.24
900,货币,תמימות דעים,nouns,0.65
901,异常,באופן מוזר,adverbs,4.21
902,笨,עצום,adjectives,0.15
903,喷嘴,נוזל,nouns,0.45
904,乘,להוסיף,verbs,0.88
905,晚餐,תרנגולת,nouns,0.54
906,文学,ספר,nouns,1.95
907,每月,שבועי,adjectives,1.62
908,宣告,להכריז,verbs,4.71
909,歌手,מקהלה,nouns,1.67
910,在家里,הרחק,adverbs,0.73
911,运输,מכונית,nouns,1.96
912,酸奶,בקר,nouns,0.78
913,门,שער,nouns,4.92
914,作家,רומן,nouns,0.8
915,南,צפון,nouns,0.84
916,钱,מזומן,nouns,3.54
917,罐子,כוס,nouns,2.1
918,稻草,המנון,nouns,0.0
919,兄弟会,גברים,nouns,1.18
920,面包,בשר,nouns,0.54
921,地板,דלת,nouns,0.5
922,大主教,בישוף,nouns,3.68
923,商业,תעשייה,nouns,1.46
924,没打中,לפגוע,verbs,0.68
925,虚无主义,סרט,nouns,0.43
926,尝试,לשכנע,verbs,0.92
927,苏丹,כהונה,nouns,0.55
928,光线电话机,הומופון,nouns,0.5
929,笨,נדיר,adjectives,0.1
930,姊妹,אח,nouns,2.5
931,付款,מטבע,nouns,1.45
932,參加,לעזוב,verbs,0.68
933,书,מאמר,nouns,2.68
934,蜜蜂,חרק,nouns,2.45
935,侧面,פסגה,nouns,0.39
936,听见,לדבר,verbs,0.72
937,米,אינץ',nouns,2.18
938,大致地,בקלות,adverbs,0.15
939,望远镜,סיעור מוחות,nouns,0.0
940,高速公路,מכונית,nouns,0.74
941,纸,פוסטר,nouns,2.15
942,救援,להציל,verbs,5.21
943,工作者,מעסיק,nouns,0.89
944,负面地,באופן לא טבעי,adverbs,0.59
945,留,לעזוב,verbs,0.59
946,统治,להתגבר,verbs,0.49
947,參加,לשתף,verbs,0.87
948,吉他,כינור,nouns,1.32
949,派,שוקולד,nouns,0.72
950,狡猾,קשוח,adjectives,0.29
951,申请,מועמד,nouns,1.83
952,力量,יכולת,nouns,2.81
953,父亲,אל,nouns,0.24
954,猴子,קמפיין,nouns,0.0
955,行星,ירח,nouns,2.37
956,忘记,לדעת,verbs,0.5
957,标志,סמל,nouns,4.85
958,现实地,לאחרונה,adverbs,0.1
959,羊,בקר,nouns,1.98
960,老鼠,חתול,nouns,0.89
961,行为主义,טיפול,nouns,0.65
962,平滑,חד,adjectives,0.54
963,任命,לבחור,verbs,1.17
964,相反,ייחודי,adjectives,0.65
965,机器,מנוע,nouns,2.33
966,打,לשלב,verbs,0.05
967,毁灭,לבנות,verbs,0.68
968,科学,פסיכולוגיה,nouns,2.35
969,器具,סיר,nouns,1.73
970,忘记,ללמוד,verbs,0.45
971,能力,כשירות,nouns,4.19
972,不同意,לריב,verbs,0.75
973,得到,להפסיד,verbs,0.58
974,硬纸板,נייר,nouns,2.75
975,教育,ללמוד,verbs,2.08
976,啤酒,משקה,nouns,2.27
977,嘴巴,שפה,nouns,1.93
978,柔软,אלים,adjectives,0.35
979,极好,נפלא,adjectives,4.26
980,书,ספרות,nouns,1.95
981,平庸,טוב,adjectives,0.78
982,储蓄者,חיסכון,nouns,0.78
983,使心烦,לפגוע,verbs,0.65
984,调查,לרדוף,verbs,0.69
985,特别,באופן משמעותי,adverbs,2.8
986,喇叭,תוף,nouns,0.49
987,媒介,חדשות,nouns,2.54
988,脾气,דוקטור,nouns,0.0
989,果汁,כף,nouns,0.25
990,猫,ארנב,nouns,0.93
991,说明,לשוחח,verbs,1.65
992,掌握,להבין,verbs,4.08
993,薄雾,ענן,nouns,2.71
994,沉思,לחשוב,verbs,4.27
995,大炮,כדור,nouns,0.5
996,玩,לריב,verbs,1.03
997,危险地,בזהירות,adverbs,0.63
998,钱,הון,nouns,3.98
999,炒,להרתיח,verbs,1.21
1000,工作,משימה,nouns,3.58
1001,谈判,דיפלומטיה,nouns,1.81
1002,追求,לחקור,verbs,0.69
1003,房间,מיטה,nouns,0.49
1004,购买,לשלם,verbs,2.66
1005,父亲,גבר,nouns,2.73
1006,学校,ציון,nouns,1.35
1007,磨坊,זרע,nouns,0.54
1008,分离,לעזוב,verbs,2.54
1009,坦白,הכחשה,nouns,0.35
1010,得分,שלב,nouns,0.81
1011,喜爱,לשנוא,verbs,0.29
1012,清洁,מבולגן,adjectives,0.49
1013,喝醉,פיכח,adjectives,0.59
1014,不准确地,בדיוק,adverbs,0.68
1015,货车,מכונית,nouns,2.86
1016,刀,אקדח,nouns,1.94
1017,肉,דם,nouns,0.88
1018,新教,נוצרי,nouns,2.85
1019,走廊,מעבר,nouns,4.7
1020,门,נוכחות,nouns,0.15
1021,疯,חולה,adjectives,1.05
1022,指甲,ראש,nouns,0.35
1023,隧道,שביל,nouns,2.07
1024,起泡,הדגמה,nouns,0.0
1025,仪式,חגיגה,nouns,2.74
1026,创建,לבנות,verbs,4.37
1027,粗糙,מכוער,adjectives,0.92
1028,悄悄地,בטבעיות,adverbs,0.48
1029,事件,התרמה,nouns,1.43
1030,眉头,עין,nouns,0.88
1031,胆大,גאה,adjectives,0.67
1032,菠萝,טלפון סללורי,nouns,0.0
1033,做,לבנות,verbs,2.53
1034,对抗,להרגיז,verbs,0.1
1035,动物,בהמה,nouns,3.38
1036,事实,הוכחה,nouns,1.21
1037,倾向,להסית,verbs,3.03
1038,原谅,להבין,verbs,0.92
1039,完成,לדחות,verbs,0.44
1040,节约,לבזבז,verbs,0.82
1041,给,לשמור,verbs,0.39
1042,骨头,שיניים,nouns,1.12
1043,沈闷,משעמם,adjectives,3.91
1044,生态系统,כלכלה,nouns,0.5
1045,埋葬,למות,verbs,1.65
1046,朋友,חבר,nouns,4.25
1047,常规地,בדרך כלל,adverbs,4.2
1048,分子,אוויר,nouns,1.03
1049,说谎,להכחיש,verbs,1.02
1050,危险,איום,nouns,3.87
1051,争论,לצעוק,verbs,1.54
1052,头脑风暴,טלסקופ,nouns,0.0
1053,观察,להסתכל,verbs,4.88
1054,群落生境,ביולוגיה,nouns,1.39
1055,果汁,חלב,nouns,1.07
1056,找到,לברוח,verbs,0.4
1057,腹部,בטן,nouns,3.66
1058,韵律,קצב,nouns,4.2
1059,拿,לגנוב,verbs,1.65
1060,保留,להרוס,verbs,0.39
1061,未预见到,בלתי צפוי,adjectives,5.29
1062,肠子,עצב,nouns,0.39
1063,关闭,להקיא,verbs,0.05
1064,飞行员,נהג,nouns,1.92
1065,调查,לבחון,verbs,3.11
1066,谦虚,ענו,adjectives,5.54
1067,腐烂,להרוס,verbs,3.07
1068,杀,להרוס,verbs,2.54
1069,副驾驶,שוטר,nouns,0.65
1070,提醒,למכור,verbs,0.0
1071,得罪,להטריד,verbs,1.85
1072,和平地,בגאווה,adverbs,0.19
1073,硬件,מקרה,nouns,0.34
1074,毁灭,להציל,verbs,0.39
1075,困扰,להבהיל,verbs,0.57
1076,血液,בשר,nouns,0.88
1077,正直地,בבגרות,adverbs,0.8
1078,私人,אישי,adjectives,4.68
1079,圣歌,קש,nouns,0.0
1080,儿童,גבר,nouns,2.18
1081,大学,קמפוס,nouns,2.56
1082,今天,הלילה,adverbs,1.93
1083,自信,גישה,nouns,0.98
1084,戏法,משחק,nouns,1.07
1085,种族主义,קסנופוביה,nouns,2.79
1086,厨房,אמבטיה,nouns,0.84
1087,策略家,תחבולן,nouns,3.16
1088,精彩,מהנה,adjectives,2.83
1089,教堂,כבל,nouns,0.0
1090,成熟地,בצדקנות,adverbs,0.8
1091,雕像,פסל,nouns,4.73
1092,男孩,שותף,nouns,0.72
1093,立方体,צעצוע,nouns,0.84
1094,不同,נורמלי,adjectives,0.45
1095,辣,טוב,adjectives,0.45
1096,累,משעמם,adjectives,0.59
1097,促进,להתקדם,verbs,1.92
1098,犹豫,זועם,adjectives,0.78
1099,忽略,לעזוב,verbs,0.63
1100,接受,לדחות,verbs,1.13
1101,不负责任,ילדותי,adjectives,2.06
1102,股票,נכס,nouns,2.77
1103,笼子,סורג,nouns,2.21
1104,大象,מצפן,nouns,0.04
1105,无穷,אפס,nouns,0.6
1106,得到,להשאיר,verbs,0.39
1107,桥,מכונית,nouns,0.49
1108,指控,לגנות,verbs,2.88
1109,尾巴,צוק,nouns,0.0
1110,杯子,צנצנת,nouns,2.1
1111,天气,שלג,nouns,1.36
1112,日落,שולחן,nouns,0.0
1113,节目,מתמטיקאי,nouns,0.05
1114,抱怨,לטעון,verbs,1.99
1115,加冕礼,מים,nouns,0.1
1116,离开,להישאר,verbs,0.59
1117,抽屉,בגדים,nouns,0.6
1118,天神,כומר,nouns,0.79
1119,不定期地,לרוב,adverbs,0.68
1120,起源,לגלות,verbs,0.48
1121,英式足球,פוטבול,nouns,3.63
1122,哭泣,לבכות,verbs,5.31
1123,旗,חקר דגלים,nouns,1.11
1124,管理,מנהלה,nouns,3.01
1125,风暴,שלג,nouns,1.46
1126,手臂,שריר,nouns,1.29
1127,绊倒,ליפול,verbs,3.7
1128,工作者,מצלמה,nouns,0.15
1129,谷仓,בית,nouns,0.93
1130,邮件,מהירות,nouns,0.3
1131,艺术家,יצירה,nouns,1.16
1132,哭,להתייפח,verbs,5.41
1133,毛毛雨,גשם,nouns,3.23
1134,家伙,חבר,nouns,1.49
1135,进来,יוצא,adjectives,0.6
1136,电缆, קפלה,nouns,0.0
1137,珍贵,עצלן,adjectives,0.04
1138,牛仔裤,אישה,nouns,0.34
1139,妻子,בעל,nouns,0.98
1140,男孩,ילד,nouns,3.58
1141,晚上,יום,nouns,0.5
1142,负责可靠地,באופן עצמאי,adverbs,1.29
1143,海军,אי,nouns,0.24
1144,咬,לריב,verbs,1.46
1145,故事,ספר,nouns,2.38
1146,未成形,מדים,adjectives,0.1
1147,新鲜,רחב,adjectives,0.0
1148,气球,אמבטיה,nouns,0.05
1149,不公平,אכזר,adjectives,0.72
1150,晚上,פרק,nouns,0.05
1151,练习,לחזור,verbs,1.21
1152,发动机,שסתום,nouns,1.44
1153,拒绝,למנוע,verbs,1.18
1154,侄子,דודה,nouns,0.79
1155,便宜,בר השגה,adjectives,2.66
1156,踝,חלון,nouns,0.0
1157,脊柱,צוואר,nouns,0.97
1158,罪人,קדוש,nouns,0.49
1159,忽略,להדפיס,verbs,0.1
1160,椅子,טלסקופ,nouns,0.15
1161,合理的解释,לחשוב,verbs,0.88
1162,腰部,ארוחה,nouns,0.4
1163,老师,רב,nouns,1.47
1164,通常,יומיומי,adverbs,3.49
1165,爆玉米花,קולנוע,nouns,0.72
1166,朋友,בחור,nouns,1.49
1167,字,מילון,nouns,1.18
1168,军队,צי,nouns,3.61
1169,好斗,מעוקל,adjectives,0.14
1170,拉,לדחוף,verbs,0.72
1171,脏,זול,adjectives,0.72
1172,银行,מושב,nouns,0.14
1173,经济,מערכת אקולוגית,nouns,0.5
1174,纸币,תשלום,nouns,0.55
1175,简单,נוקשה,adjectives,0.49
1176,出现,לעזוב,verbs,0.3
1177,说话,להקשיב,verbs,0.72
1178,火鸡,תרנגולת,nouns,1.94
1179,坏,מעולה,adjectives,0.45
1180,交流,שפה,nouns,1.27
1181,偶然,בקביעות,adverbs,1.07
1182,空气,הליום,nouns,2.27
1183,值得,להשתכר,verbs,0.69
1184,乞求,להשאיל,verbs,0.55
1185,辩论,להתווכח,verbs,2.99
1186,静脉,בטן,nouns,0.54
1187,日常,בדרך כלל,adverbs,3.49
1188,茶,לימון,nouns,0.49
1189,无知,רגיל,adjectives,0.1
1190,出席,לשלוח,verbs,0.45
1191,威士忌酒,אלכוהול,nouns,2.92
1192,粗糙地,בערך,adverbs,1.41
1193,字,עיתון,nouns,1.57
1194,困难,קשה,adjectives,4.08
1195,联合,קומבינציה,nouns,2.72
1196,女人,פרווה,nouns,0.2
1197,公司,עסק,nouns,2.55
1198,在场,היעדרות,nouns,0.59
1199,仁慈地,בצורה יפה,adverbs,4.37
1200,房屋,מפתח,nouns,0.65
1201,受惊,נרגש,adjectives,0.93
1202,冷静,ניטרלי,adjectives,0.89
1203,疏忽,לנשל,verbs,0.5
1204,信念,פרח,nouns,0.09
1205,争论,לשכנע,verbs,2.04
1206,淋透,להקטין,verbs,0.25
1207,心烦,מובך,adjectives,0.69
1208,旧,טרי,adjectives,0.59
1209,喝,לבלוע,verbs,1.45
1210,终末,אחרת,adverbs,0.1
1211,减少,לספוג,verbs,0.25
1212,钝,חד,adjectives,0.89
1213,出租车,מכונית,nouns,3.08
1214,拒绝,לתת,verbs,0.05
1215,搜索,לצוד,verbs,1.36
1216,交付,לקחת,verbs,0.59
1217,强烈地,רשמית,adverbs,0.32
1218,人,סנט,nouns,0.65
1219,轻轻的,בקול רם,adverbs,0.25
1220,系统,אשמה,nouns,0.2
1221,支持者,קריקט,nouns,0.3
1222,蚂蚁,דבורה,nouns,1.03
1223,军官,סגן,nouns,1.83
1224,职业,מכללה,nouns,0.65
1225,做,להרוס,verbs,0.59
1226,发誓,להבטיח,verbs,4.46
1227,班级,מכללה,nouns,0.79
1228,坚固地,בחוזקה,adverbs,2.92
1229,徘徊,לעזוב,verbs,0.74
1230,布,בגדים,nouns,2.33
1231,学习,לאמוד,verbs,0.57
1232,残忍,לא הוגן,adjectives,0.72
1233,好的,בינוני,adjectives,0.78
1234,壁,מבצר,nouns,0.97
1235,猫,חיית מחמד,nouns,3.03
1236,竞争,לסיים,verbs,0.1
1237,逃走,להימלט,verbs,5.42
1238,猎物,אל,nouns,0.05
1239,吉他,פורל,nouns,0.05
1240,风尚,אופנה,nouns,2.98
1241,门,קומה,nouns,0.5
1242,奇怪地,אחרת,adverbs,0.33
1243,笨,אינטליגנטי,adjectives,0.54
1244,饥饿,צמא,adjectives,1.66
1245,搅拌, לנער,verbs,2.15
1246,米饭,ילד,nouns,0.2
1247,针织套衫,מעיל,nouns,2.59
1248,聪慧,מטומטם,adjectives,0.54
1249,面包,גבינה,nouns,0.69
1250,栅栏,כלוב,nouns,2.21
1251,芝士,לחם,nouns,0.69
1252,整齐,נקי,adjectives,3.1
1253,手臂,צוואר,nouns,0.69
1254,吵闹,רעש,nouns,4.38
1255,制服,לחנוק,verbs,0.29
1256,兄弟,אחות,nouns,2.5
1257,嫌疑人,איש,nouns,0.68
1258,火车,חשמלית,nouns,2.11
1259,电视,קולנוע,nouns,2.53
1260,愤怒,הססן,adjectives,0.78
1261,离开,להופיע,verbs,0.3
1262,甜,חשמלי,adjectives,0.0
1263,保持,להחזיק,verbs,3.04
1264,拿,לשאת,verbs,2.36
1265,交易,למכור,verbs,3.41
1266,周末,מרוץ,nouns,0.05
1267,喇叭,מכונית,nouns,0.74
1268,映像,תמונה,nouns,2.44
1269,明亮地,בקלות,adverbs,0.4
1270,推荐,לייעץ,verbs,3.31
1271,学生,תלמיד,nouns,4.6
1272,退休,לסגת,verbs,2.56
1273,雪,קרח,nouns,2.67
1274,正义,בית דין,nouns,1.56
1275,精确地,באופן לא מדויק,adverbs,0.68
1276,球,מחבט,nouns,0.83
1277,乘法,חילוק,nouns,1.41
1278,街,סמטה,nouns,3.44
1279,男孩,מצב,nouns,0.14
1280,手工业,מסורת,nouns,1.64
1281,手臂,עצם,nouns,0.88
1282,允许,לאפשר,verbs,4.18
1283,大致,באופן אמין,adverbs,0.29
1284,混合,לשתות,verbs,0.45
1285,笨,טיפשי,adjectives,4.88
1286,搏斗,לשחק,verbs,1.03
1287,纽扣,בגדים,nouns,0.88
1288,家俱,מיטה,nouns,2.83
1289,换算,גובה,nouns,0.49
1290,笔记本,לפטופ,nouns,4.89
1291,机械地,באופן אידיאלי,adverbs,0.24
1292,给,לדעת,verbs,0.0
1293,家牛,יוגורט,nouns,0.78
1294,嘴巴,אף,nouns,0.65
1295,控制,לעצור,verbs,0.43
1296,天花板,גג,nouns,3.49
1297,理解,לספק,verbs,0.38
1298,伟大,רע,adjectives,0.45
1299,传感器,רדיאטור,nouns,0.58
1300,需要,לסדר,verbs,0.15
1301,负责任,באופן אמין,adverbs,3.13
1302,满载,כבד,adjectives,1.06
1303,球,ספירה,nouns,3.35
1304,流感,חום,nouns,1.79
1305,男人,בעל,nouns,2.95
1306,咬,לקרוא,verbs,0.0
1307,容易,גדול,adjectives,0.35
1308,轻轻地,בבהירות,adverbs,0.4
1309,头脑,נוירוזה,nouns,0.69
1310,显微镜,ביולוג,nouns,0.64
1311,感觉,אינטואיציה,nouns,4.34
1312,感情上,בעצב,adverbs,0.91
1313,伙伴,ידיד,nouns,4.25
1314,蜜蜂,מלכה,nouns,0.6
1315,使气馁,לעודד,verbs,0.68
1316,冷淡,שביר,adjectives,0.3
1317,客串角色,הופעה,nouns,0.1
1318,大门,דלת,nouns,4.92
1319,暂停,להמתין,verbs,1.68
1320,篱笆,קפיצה,nouns,0.35
1321,毕业,לסיים,verbs,2.03
1322,停,לנהוג,verbs,0.49
1323,码,מטר,nouns,2.69
1324,害怕,ביישן,adjectives,1.35
1325,父亲,בת,nouns,0.79
1326,悬崖,זנב,nouns,0.0
1327,演员,שחקנית,nouns,3.38
1328,简单,קשה,adjectives,0.45
1329,煮,לערבב,verbs,0.83
1330,通知,לתאר,verbs,0.45
1331,显然,בערך,adverbs,0.68
1332,布料,בגדים,nouns,1.88
1333,手机,אננס,nouns,0.0
1334,灵魂,אח,nouns,0.1
1335,可怕,עצוב,adjectives,0.97
1336,浪费,לדאוג,verbs,0.1
1337,鼓励,לדכא,verbs,0.68
1338,古老,מודרני,adjectives,0.5
1339,快乐,שמח,adjectives,5.47
1340,柠檬,תה,nouns,0.49
1341,兄弟会,בייסבול,nouns,0.25
1342,工业,עסק,nouns,1.46
1343,衣服,בד,nouns,1.88
1344,征服,המנון,nouns,0.25
1345,人,אוכלוסייה,nouns,2.92
1346,生物学,ביוטופ,nouns,1.39
1347,承诺,להישבע,verbs,4.46
1348,相信,לדעת,verbs,0.91
1349,艺术品,אמן,nouns,1.16
1350,开心,כועס,adjectives,0.5
1351,自信,עצמי,nouns,0.63
1352,枪,אנשים,nouns,0.3
1353,星系,אסטרונום,nouns,0.84
1354,歇斯底里,בלבול,nouns,1.92
1355,混乱,בשלווה,adverbs,0.2
1356,裁判官,דין,nouns,2.97
1357,戏法,אמבטיה,nouns,0.0
1358,岛,משימה,nouns,0.0
1359,减少,להנמיך,verbs,3.76
1360,碗,זנב,nouns,0.0
1361,有攻击性的,חצוף,adjectives,1.19
1362,个人,פרטי,adjectives,4.68
1363,毛线衣,כותנה,nouns,1.02
1364,男人,שומר,nouns,1.3
1365,解决,לסיים,verbs,1.77
1366,蔑视,להאשים,verbs,0.4
1367,血液,גוף,nouns,1.01
1368,使惊奇,לחגוג,verbs,0.88
1369,保护,לכסות,verbs,1.39
1370,食物,תוכנית,nouns,0.25
1371,手指,יד,nouns,1.76
1372,大灾变,שריפה,nouns,0.91
1373,明显,בולט,adjectives,3.74
1374,意见,רעיון,nouns,3.21
1375,脖子,זרוע,nouns,0.69
1376,剑,סביבה,nouns,0.18
1377,成长,להתכווץ,verbs,0.74
1378,容易地,בנוחיות,adverbs,1.58
1379,数字,מספר,nouns,4.88
1380,报纸,מידע,nouns,1.61
1381,世纪,ליקר,nouns,0.0
1382,教室,פרוזדור,nouns,0.54
1383,离开,לנסוג,verbs,3.42
1384,害羞,יקר,adjectives,0.05
1385,重,גדול,adjectives,0.97
1386,主意,תכנית,nouns,2.56
1387,传统,עבודת יד,nouns,1.64
1388,争论,לדון,verbs,2.99
1389,恐龙,פיל,nouns,0.64
1390,生日,שנה,nouns,1.02
1391,培根,בשר,nouns,2.79
1392,成为,להופיע,verbs,0.23
1393,商业,חברה,nouns,2.55
1394,探索,להתעלם,verbs,0.25
1395,屋顶,קומה,nouns,0.74
1396,生病,משוגע,adjectives,1.05
1397,根,דשא,nouns,0.83
1398,男人,אחוה,nouns,1.18
1399,伤害,ליפול,verbs,1.02
1400,马,שור,nouns,1.07
1401,地图,כיכר,nouns,0.58
1402,快,מהיר,adjectives,5.2
1403,正义,זכות,nouns,0.78
1404,国境,תחום,nouns,3.74
1405,疯狂,שמח,adjectives,0.91
1406,父亲,הורה,nouns,3.88
1407,实现,לנסות,verbs,0.86
1408,自然地,באופן לא טבעי,adverbs,0.63
1409,狀師,פרקליט,nouns,3.79
1410,多,פעמיים,adverbs,0.64
1411,公式,יומן,nouns,0.2
1412,显然,באופן מקומי,adverbs,0.1
1413,女士,ג'נטלמן,nouns,0.73
1414,主教,ארכיבישוף,nouns,3.68
1415,年龄,יופי,nouns,0.68
1416,精确,שגוי,adjectives,0.59
1417,充电器,דיסק,nouns,0.2
1418,高速公路,משימה,nouns,0.0
1419,首词,תחביר,nouns,0.68
1420,大笑,לגחך,verbs,3.75
1421,加,לבנות,verbs,1.65
1422,差数,שארית,nouns,2.03
1423,句法,מילת מפתח,nouns,0.68
1424,自由,תמים,adjectives,0.15
1425,公共汽车,רכב,nouns,2.45
1426,字典,מילה,nouns,1.18
1427,提高,לשתות,verbs,0.0
1428,原谅,לשכוח,verbs,1.18
1429,苗条,רזה,adjectives,4.58
1430,自由,צנזורה,nouns,0.55
1431,语言,תקשורת,nouns,1.27
1432,牛,עז,nouns,1.07
1433,大教堂,כנסייה,nouns,4.88
1434,攻击,לפגוע,verbs,3.04
1435,罪犯,עבריין,nouns,5.21
1436,慷慨地,באדיבות,adverbs,2.57
1437,旧,חדש,adjectives,0.64
1438,肚子,גוף,nouns,1.81
1439,骨头,זרוע,nouns,0.88
1440,搜索,להסתכל,verbs,1.45
1441,暴动,ציור,nouns,0.15
1442,小巷,רחוב,nouns,3.44
1443,死亡,אסון,nouns,2.24
1444,舒服地,בקלות,adverbs,1.58
1445,争论,להסכים,verbs,0.63
1446,经理,מנהיג,nouns,2.6
1447,必须,מיותר,adjectives,0.64
