ID,HEB,YUE,PoS,score
729,להביס,贏,verbs,3.97
730,להרשות,給,verbs,2.72
731,להופיע,敬禮,verbs,0.3
732,באופן אמין,被動地,adverbs,0.5
733,צדק,法庭,nouns,2.42
734,רובוטיקה,模擬,nouns,0.82
735,בית,穀倉,nouns,1.02
736,שורש,草,nouns,0.88
737,בנימוס,謹慎地,adverbs,0.69
738,צמיגות,濺,nouns,0.25
739,כומר,預言家,nouns,1.18
740,שוקולד,派,nouns,0.64
741,צד,下面,nouns,1.03
742,סגנון,時裝,nouns,3.25
743,קרן,陽光,nouns,1.12
744,סמן,微晶片,nouns,0.2
745,להיכחד,消失,verbs,4.67
746,בזהירות,危險地,adverbs,0.54
747,להשאיל,乞求,verbs,0.32
748,נשיא,相機,nouns,0.05
749,נייר,木,nouns,0.92
750,להתערב,賭,verbs,3.4
751,צלחת,碗,nouns,2.58
752,קמפיין,猴子,nouns,0.09
753,טפטוף,雨,nouns,3.68
754,סיפון,老鼠,nouns,0.1
755,חלבון,柄,nouns,0.04
756,ילדותי,傻,adjectives,2.17
757,מטומטם,稀罕,adjectives,0.24
758,אלסטי,靈活的,adjectives,4.89
759,באופן שולי,大致,adverbs,0.95
760,במרץ,被動地,adverbs,0.29
761,עצם,頸,nouns,0.78
762,יצירתי,創新,adjectives,3.88
763,אטמוספירה,污染,nouns,0.62
764,משקה,啤酒,nouns,2.13
765,מבוגר,嬰兒,nouns,0.88
766,סבולת,樂隊,nouns,0.1
767,לעצור,哨,verbs,0.24
768,מטרה,赢家,nouns,0.68
769,בדיוק,不準確地,adverbs,0.55
770,כפתור,衣服,nouns,1.06
771,לדכא,失敗,verbs,0.43
772,מקרה,硬件,nouns,0.34
773,הכרחי,重要,adjectives,3.24
774,לברוח,搵到,verbs,0.4
775,לברוח,逃跑,verbs,5.23
776,להבחין,聽,verbs,1.26
777,מאמר,手稿,nouns,2.33
778,החלפה,替換,nouns,3.94
779,מעורבב,舊,adjectives,0.14
780,מטומטם,醒目,adjectives,0.73
781,מטען,環球航行,nouns,0.33
782,יין,酒,nouns,2.92
783,באופן מציאותי,最近,adverbs,0.42
784,רשמית,強烈地,adverbs,0.32
785,ביישן,昂貴,adjectives,0.05
786,לספוג,退出,verbs,0.24
787,בעצם,必然,adverbs,0.67
788,עתיק,新,adjectives,0.59
789,מאמן,播放機,nouns,0.65
790,פסיקה,審判,nouns,2.65
791,עניין,意識,nouns,2.11
792,מוזר,普通,adjectives,0.55
793,קיר,磚,nouns,1.26
794,בוודאי,清楚地,adverbs,3.89
795,מחשב,機器,nouns,2.62
796,אופנה,模式,nouns,0.35
797,מיטה,傢俱,nouns,2.42
798,גוף,神經,nouns,0.78
799,רחב,新鮮,adjectives,0.0
800,ביוגרפיה,小說,nouns,1.22
801,כתב יד,書,nouns,1.21
802,בדיל,鋁,nouns,2.08
803,שארית,差數,nouns,2.21
804,שונה,正常,adjectives,0.49
805,קל,靈活,adjectives,1.74
806,אב,天神,nouns,0.29
807,זרוע,膝蓋,nouns,0.93
808,לשלוח,接收,verbs,0.49
809,אוטו,車,nouns,5.95
810,קנקן,瓶子,nouns,3.13
811,קופסה,雪茄,nouns,0.39
812,פוטופון,同音詞,nouns,0.5
813,חלש,強大,adjectives,0.55
814,רגש,激情,nouns,2.59
815,להמתין,暫停,verbs,0.96
816,להיות ראוי,賺,verbs,0.14
817,ברונכיטיס,對乙酰氨基酚,nouns,0.65
818,ענן,霧,nouns,1.75
819,זמר,員工,nouns,0.23
820,רע,平庸,adjectives,0.35
821,גרון,舌頭,nouns,1.05
822,לקבור,死,verbs,1.1
823,גמיש,鬆動,adjectives,1.4
824,לספוג,擁有,verbs,0.24
825,להתעלם,離開,verbs,0.58
826,להסכים,接受,verbs,3.4
827,דירה,屋,nouns,4.29
828,קמע,性能,nouns,0.05
829,מילקשייק,果汁,nouns,1.32
830,ביטחון,自己,nouns,0.67
831,כלי,工作,nouns,0.54
832,ברצינות,重要的,adverbs,2.94
833,המשך,相機,nouns,0.04
834,דוד,男人,nouns,1.89
835,משאית,郵包,nouns,0.44
836,נהר,大海,nouns,2.19
837,רב,老師,nouns,1.6
838,זרוע,頸,nouns,0.88
839,במקור,創造性地,adverbs,0.44
840,מדבר,沙丘,nouns,2.23
841,להריח,溺愛,verbs,0.05
842,לסיים,解決,verbs,2.36
843,חסר גוף,心靈,adjectives,1.21
844,עץ,毯,nouns,0.15
845,עמוס,沉重,adjectives,1.11
846,לדבר,聽見,verbs,0.59
847,אמונה,花,nouns,0.0
848,צמיחה,肥料,nouns,0.97
849,היסטריה,混亂,nouns,1.78
850,קמח,麵包,nouns,1.07
851,מכני,電動,adjectives,1.97
852,רעד,地震,nouns,3.07
853,ראש,指甲,nouns,0.39
854,כניסה,門,nouns,3.31
855,לדבר,承認,verbs,0.68
856,להפריע,麻煩,verbs,0.65
857,לעצור,駕駛,verbs,0.49
858,פושע,犯罪者,nouns,5.57
859,להקטין,收縮,verbs,3.05
860,לשפוט,決定,verbs,2.45
861,חרדל,種子,nouns,1.25
862,בחור,夥伴,nouns,2.02
863,צעיר,開心,adjectives,0.39
864,צר,寬廣,adjectives,0.64
865,מצוין,壞,adjectives,0.34
866,רע,不誠實,adjectives,1.04
867,מצחיק,嚴肅,adjectives,0.54
868,קריסטל,玻璃,nouns,2.62
869,מקהלה,歌手,nouns,1.21
870,חיית מחמד,貓,nouns,2.71
871,שמן,貂,nouns,0.2
872,להתחזות,假設,verbs,0.28
873,לבדר,使滿意,verbs,0.34
874,יצירה,藝術家,nouns,1.16
875,סיעור מוחות,望遠鏡,nouns,0.04
876,בר השגה,便宜,adjectives,1.66
877,ארכיאולוגיה,人類學,nouns,2.13
878,לסיים,休會,verbs,0.39
879,פרח,紫羅蘭,nouns,2.97
880,דשא,根,nouns,0.88
881,מתון,尖,adjectives,0.45
882,לצעוד,站立,verbs,0.83
883,חשמלית,火車,nouns,2.52
884,נכנס,向外,adjectives,0.6
885,תיק,錢包,nouns,2.72
886,חגורה,環,nouns,1.79
887,חילוק,乘法,nouns,1.9
888,כיף,遊戲,nouns,0.88
889,חשוד,男人,nouns,0.58
890,מטרה,箭頭,nouns,1.25
891,גבר,叔叔,nouns,1.89
892,לזהור,照耀,verbs,3.83
893,פיל,指南針,nouns,0.04
894,מסודר,雜亂無章,verbs,0.55
895,אורח חיים,文明,nouns,0.77
896,תלמיד,總統,nouns,0.24
897,עצב,腸子,nouns,0.43
898,להפסיק,開始,verbs,0.55
899,אוניברסיטה,校園,nouns,2.33
900,חולה,瘋,adjectives,0.65
901,לדרוש,拗撬,verbs,0.45
902,נפש,神經官能症,nouns,0.82
903,לקרות,做,verbs,0.74
904,עסק,公司,nouns,3.31
905,אינסוף,零,nouns,0.82
906,להתדרדר,抹,verbs,0.09
907,הקפת כדור הארץ,行李,nouns,0.33
908,לעצבן,對抗,verbs,4.74
909,לא משומש,新,adjectives,4.22
910,מים,冰,nouns,2.34
911,שיכור,清醒,adjectives,0.59
912,אינץ',碼,nouns,2.69
913,ניצחון,凱旋,nouns,3.93
914,אח,男孩,nouns,2.75
915,להתחרות,完成,verbs,0.19
916,להרשות,贊成,verbs,4.03
917,תותח,槍,nouns,2.34
918,צוואר,骨頭,nouns,0.78
919,באופן לא טבעי,自然地,adverbs,0.49
920,אל,獵物,nouns,0.05
921,שדה תעופה,片,nouns,0.1
922,למסור,攞,verbs,1.0
923,אנשים,氣球,nouns,0.1
924,קשה,簡單,adjectives,0.45
925,תיאוריה,化學,nouns,0.24
926,חמישי,最佳,adjectives,0.34
927,תקרה,屋頂,nouns,3.54
928,ברך,手臂,nouns,0.93
929,הר,窗台,nouns,0.2
930,קורס,肚,nouns,0.0
931,להביא,發送,verbs,0.64
932,מכשיר,鍋,nouns,1.64
933,עוצמה,力量,nouns,4.08
934,זעיר,巨大,adjectives,0.55
935,בור,頻繁,adjectives,0.1
936,הורה,父親,nouns,3.25
937,להראות,假扮,verbs,0.73
938,לקבל,推介,verbs,0.55
939,ארוחת בוקר,晚餐,nouns,2.15
940,בעוני,謙遜地,adverbs,0.39
941,אי,半島,nouns,2.29
942,דודן,叔叔,nouns,2.27
943,זרוע,靜脈,nouns,0.64
944,להתחזות,想像,verbs,0.59
945,להודיע,聲明,verbs,3.56
946,לסמוך,依賴,verbs,3.97
947,להושיע,拯救,verbs,5.53
948,לחלק,團結,verbs,0.5
949,מבולגן,井然有序,adjectives,0.59
950,נסיכה,島,nouns,0.3
951,רדאר,操縱桿,nouns,0.19
952,אוכלוסייה,人,nouns,3.15
953,פטיש,牙,nouns,0.04
954,לבנות,創建,verbs,3.96
955,עייף,無聊,adjectives,0.55
956,לצעוק,叫喊,verbs,4.01
957,במדוייק,積極地,adverbs,1.2
958,בקפידה,謹慎地,adverbs,4.21
959,לעזוב,走開,verbs,3.13
960,ארוחת ערב,早餐,nouns,2.15
961,להסתמך,依靠,verbs,3.97
962,בחשאי,有禮貌地,adverbs,0.69
963,לעולם לא,慷慨地,adverbs,0.49
964,מקצב,韻律,nouns,4.7
965,מלאך,惡魔,nouns,0.79
966,רגל,肢體,nouns,2.67
967,מורה,拉比,nouns,1.6
968,לקבל,留,verbs,0.9
969,דירה,酒店,nouns,1.75
970,אקדח,刀,nouns,1.85
971,להגיע,離開,verbs,0.45
972,לחקור,追求,verbs,1.1
973,פרק,晚上,nouns,0.05
974,תחביר,首詞,nouns,0.73
975,גאה,堅強,adjectives,0.33
976,כיבוש,旅程,nouns,0.74
977,נכס,股票,nouns,3.13
978,להתעלם,忘記,verbs,1.93
979,ברית מילה,包皮,nouns,1.67
980,שמחה,悲傷,nouns,0.64
981,רגשית,傷心地,adverbs,0.77
982,חיה,野獸,nouns,3.33
983,לחלק,加,verbs,1.42
984,לצמוח,收縮,verbs,0.65
985,התרמה,事件,nouns,0.93
986,מטריצה,分子,nouns,0.56
987,סמטה,街,nouns,3.3
988,אנשים,槍,nouns,0.57
989,חשוף,冚住,adjectives,0.55
990,לאמת,說,verbs,0.4
991,מסורת,手工業,nouns,0.83
992,ללחוץ,放開,verbs,0.54
993,להסוות,偽裝,verbs,3.27
994,לרוב,真誠地,adverbs,0.28
995,מבולגן,井井有條,verbs,0.55
996,להכריז,宣告,verbs,4.48
997,לבזבז,保存,verbs,0.5
998,ביוטופ,生物學,nouns,0.94
999,לנבוע,發現,verbs,0.63
1000,שחר,白天,nouns,2.33
1001,מילה,提示,nouns,0.48
1002,שפה,臀部,nouns,0.79
1003,דת,世俗主義,nouns,0.69
1004,תקרה,大教堂,nouns,0.45
1005,תמיד,兩次,adverbs,0.58
1006,במהירות,紧急,adverbs,3.46
1007,לשכנע,追求,verbs,0.39
1008,עסק,公司,nouns,3.55
1009,מסכן,自豪,adjectives,0.1
1010,להחליט,想,verbs,0.77
1011,צבא,軍團,nouns,3.13
1012,להציל,淹,verbs,0.6
1013,ראש,鼻子,nouns,0.79
1014,סוודר,棉,nouns,0.93
1015,ביזארי,奇怪,adjectives,4.83
1016,צער,羞愧,nouns,1.73
1017,מים,鹽,nouns,0.55
1018,סוללה,能量,nouns,2.28
1019,כנסייה,合唱團,nouns,1.07
1020,לנתק,裂開,verbs,2.37
1021,ספרה,細胞質,nouns,0.25
1022,ידית,蛋白質,nouns,0.04
1023,לצלוע,步行,verbs,2.07
1024,ויטמין,鐵,nouns,0.98
1025,בקוצר רוח,大致,adverbs,0.28
1026,פרפר,玫瑰,nouns,0.29
1027,מדליה,運動鞋,nouns,0.55
1028,מערכת אקולוגית,經濟,nouns,0.64
1029,חד,平滑,adjectives,0.45
1030,דבש,乳製品,nouns,0.39
1031,זיהום,總統,nouns,0.05
1032,מצפן,大象,nouns,0.04
1033,כרכרה,汽車,nouns,1.59
1034,מוזר,狡猾,adjectives,0.76
1035,מחנה,艙,nouns,0.83
1036,עייף,飢餓,adjectives,0.73
1037,קורה,木材,nouns,2.68
1038,חדש,新,adjectives,2.75
1039,חדש,沒用過,adjectives,4.22
1040,להכחיש,承認,verbs,0.55
1041,חתן,新娘,nouns,2.13
1042,כיף,足球,nouns,0.58
1043,גמיש,大,adjectives,0.15
1044,לדחות,接受,verbs,1.08
1045,לשלוח,帶來,verbs,0.64
1046,בית,鎖匙,nouns,0.83
1047,הסכם,契約,nouns,4.46
1048,בחוזקה,堅固地,adverbs,2.7
1049,חשמל,案件,nouns,0.2
1050,חקלאות,植物,nouns,1.26
1051,טלפון,手提電話,nouns,4.33
1052,ממתק,肉桂,nouns,0.78
1053,מהירות,郵件,nouns,0.3
1054,שחקן כדורת,保齡球,nouns,2.37
1055,להאשים,推,verbs,0.43
1056,לכפול,加,verbs,1.02
1057,בהגינות,不公平,adverbs,0.55
1058,טלה,羊,nouns,3.62
1059,היגיון,算術,nouns,1.92
1060,למהר,匆忙,verbs,4.88
1061,כהונה,蘇丹,nouns,0.6
1062,לבכות,哭泣,verbs,5.04
1063,קודם,過去,nouns,2.65
1064,לפזול,怒視,verbs,0.8
1065,לרכוש,搵到,verbs,1.92
1066,חרב,王座,nouns,0.3
1067,לקבוע,撤離,verbs,0.1
1068,בירה,香檳,nouns,2.56
1069,מטרייה,暖爐,nouns,0.6
1070,קיסר,憲法,nouns,0.48
1071,מילה,頁,nouns,0.88
1072,לגנוב,購買,verbs,0.35
1073,לשמור,擁有,verbs,2.08
1074,לייבב,哭,verbs,5.04
1075,צנום,瘦,adjectives,4.76
1076,צמא,飢餓,adjectives,1.79
1077,חלק,飛機場,nouns,0.1
1078,רופא,上校,nouns,0.34
1079,מוט,窗帘,nouns,0.83
1080,להיכנס,欠,verbs,0.0
1081,במאי,攝影,nouns,1.23
1082,להתעלם,探索,verbs,0.25
1083,עגל,公牛,nouns,2.98
1084,ספר,資料,nouns,1.2
1085,הלילה,明天,adverbs,0.69
1086,עכבר,容器,nouns,0.0
1087,עצום,大規模,adjectives,4.41
1088,יום הולדת,日期,nouns,1.75
1089,אגם,雲,nouns,0.58
1090,טבע,植物群,nouns,1.78
1091,לערבב,喝,verbs,0.49
1092,פתולוגיה,血液學,nouns,2.42
1093,חופש,綠洲,nouns,0.25
1094,מכונית,運輸,nouns,1.59
1095,לימון,茶,nouns,0.58
1096,ביצה,湖,nouns,1.97
1097,אבא,男人,nouns,2.82
1098,להכות,混合,verbs,0.05
1099,קשה,容易,adjectives,0.68
1100,ברוגע,堅固地,adverbs,0.56
1101,לתת,放,verbs,0.72
1102,זווית,彎曲,nouns,2.31
1103,ענן,霧氣,nouns,2.22
1104,להצליח,實現,verbs,1.64
1105,המרה,高度,nouns,0.49
1106,מוסלמי,主教,nouns,0.74
1107,ארוחה,腰部,nouns,0.4
1108,להכות,吸引,verbs,0.45
1109,לחנוק,制服,verbs,0.47
1110,בטוח,確定,adjectives,5.04
1111,חלב,果汁,nouns,1.02
1112,זנב,懸崖,nouns,0.04
1113,בשקט,自然地,adverbs,0.48
1114,בגדים,布,nouns,2.24
1115,לשתות,混合,verbs,0.49
1116,תפוח,飲食,nouns,0.78
1117,פעולה,課程,nouns,1.27
1118,מודעות,注意,nouns,2.11
1119,אנטרופיה,信息,nouns,0.89
1120,מעסיק,員工,nouns,0.98
1121,קיר,城堡,nouns,0.83
1122,יהיר,自豪,adjectives,3.4
1123,רעידת אדמה,震,nouns,3.07
1124,סלע,礦,nouns,1.26
1125,עצם,踝,nouns,1.13
1126,יין,白蘭地,nouns,2.74
1127,צד,頂,nouns,0.47
1128,משרה,管理,nouns,0.92
1129,תמוה,奇怪,adjectives,5.08
1130,לתת,偷,verbs,0.45
1131,פשע,違反,nouns,2.63
1132,כיסא,床,nouns,1.51
1133,נץ,鳥,nouns,2.83
1134,הגדרה,字典,nouns,1.35
1135,משעמם,累,adjectives,0.55
1136,עץ,石,nouns,0.72
1137,דיסק,電腦,nouns,1.14
1138,להגן,保護,verbs,3.83
1139,חיבור,功課,nouns,1.71
1140,חוקי,非法,adjectives,0.59
1141,מושחת,壞,adjectives,1.56
1142,מוח,血液,nouns,1.02
1143,זול,付得起,adjectives,1.66
1144,בוודאי,本地,adverbs,0.19
1145,סרט,戲,nouns,3.97
1146,זהב,鋅,nouns,1.98
1147,מפתח,鎖,nouns,1.25
1148,עבר,前情,nouns,2.65
1149,מטרה,尋求,nouns,0.73
1150,ישן,新鮮,adjectives,0.5
1151,לברך,見面,verbs,0.81
1152,חיישן,散熱器,nouns,0.77
1153,חוף,濱,nouns,3.09
1154,הפוך,獨特,adjectives,0.29
1155,מכונה,電腦,nouns,2.62
1156,קוף,参加競選,nouns,0.09
1157,ברור,肯定地,adverbs,3.65
1158,שטח,地帶,nouns,4.45
1159,סלט,醋,nouns,0.78
1160,ריאה,肝,nouns,0.97
1161,איום,危險,nouns,4.13
1162,עלה,幼苗,nouns,1.45
1163,ענן,風暴,nouns,1.92
1164,לרחף,唱,verbs,0.2
1165,אכזרי,和藹,adjectives,0.4
1166,חלון,門,nouns,1.11
1167,לערבב,攪拌,verbs,4.88
1168,אינטואיציה,感覺,nouns,4.34
1169,אמבטיה,妻子,nouns,0.1
1170,בעיקרון,充分,adverbs,0.92
1171,פגיע,無助,adjectives,2.6
1172,חדר,大厦,nouns,0.83
1173,בינוני,溫和,adjectives,2.8
1174,משפטן,律師,nouns,4.47
1175,להשפיל,安慰,verbs,0.35
1176,לחלק,乘,verbs,0.89
1177,מטומטם,蠢,adjectives,5.04
1178,גוף,手臂,nouns,1.16
1179,לשחוק,穿,verbs,0.39
1180,לשלב,打,verbs,0.05
1181,מנוע,摩打,nouns,5.28
1182,לעזוב,分離,verbs,3.04
1183,רוטב,蘋果,nouns,0.53
1184,לשמור,保留,verbs,3.41
1185,לוח שנה,假日,nouns,1.07
1186,כיכר,地圖,nouns,0.63
1187,ארוחה,三文治,nouns,1.26
1188,גיטרה,鱒魚,nouns,0.05
1189,לרוב,不定期地,adverbs,0.63
1190,כביש,任務,nouns,0.0
1191,ספר,話題,nouns,0.35
1192,פסיכולוגיה,科學,nouns,1.4
1193,טיסה,航空,nouns,3.17
1194,גלובוס,世界,nouns,3.94
1195,מסע,征服,nouns,0.74
1196,סוודר,褸,nouns,2.46
1197,הבדל,剩餘,nouns,2.21
1198,לנחש,刺激,verbs,0.23
1199,מיטה,醫院,nouns,0.64
1200,דיודה,電容器,nouns,2.17
1201,לבשל,混合,verbs,0.88
1202,מפוחד,害羞,adjectives,2.13
1203,מכונית,橋,nouns,0.54
1204,לקבל,給予,verbs,1.08
1205,להישבע,承諾,verbs,4.32
1206,לצרוך,安排,verbs,0.24
1207,בעל,老婆,nouns,1.94
1208,צלב,僧侣,nouns,0.69
1209,אינטליגנציה,技巧,nouns,1.79
1210,להיכשל,使氣餒,verbs,0.43
1211,לקבל,放,verbs,0.4
1212,בקר,牛,nouns,4.0
1213,פילם,電影,nouns,3.97
1214,סיפון,船,nouns,1.3
1215,הברה,詞元,nouns,1.16
1216,לאפות,炒,verbs,2.28
1217,נווה מדבר,自由,nouns,0.25
1218,אנטומיה,生物學,nouns,2.77
1219,להסביר,討論,verbs,1.06
1220,יופי,年齡,nouns,0.55
1221,גלובליזם,簽證,nouns,0.53
1222,אגם,沼澤,nouns,1.97
1223,שור,小牛,nouns,2.98
1224,גג,地板,nouns,0.83
1225,לנשוך,讀,verbs,0.09
1226,שמיים,陽光,nouns,1.16
1227,רעיה,沖涼,nouns,0.1
1228,לרכב,拖著腳走,verbs,0.4
1229,לאומי,大,adjectives,0.35
1230,זיהום,感染,nouns,2.69
1231,מעורפל,不清楚,adjectives,4.03
1232,כעס,心情,nouns,0.63
1233,מדהים,普通,adjectives,0.4
1234,לגחך,大笑,verbs,3.93
1235,לסמוך,失敗,verbs,0.24
1236,מצב רוח,情感,nouns,3.19
1237,ללמוד,教育,verbs,2.45
1238,שיניים,鎚,nouns,0.04
1239,מכונית,電梯,nouns,0.49
1240,קיץ,冬天,nouns,0.79
1241,גלריה,律師,nouns,0.0
1242,אבץ,金,nouns,1.98
1243,טריק,尺寸,nouns,0.0
1244,להתחתן,加入,verbs,0.25
1245,חסר בית,億萬富翁,nouns,0.49
1246,להצדיק,想,verbs,0.7
1247,כסף,資本,nouns,4.07
1248,חצאית,手錶,nouns,0.34
1249,מדיה,新聞,nouns,2.91
1250,היעדרות,在场,nouns,0.59
1251,קשוח,狡猾,adjectives,0.25
1252,מכנית,理想地,adverbs,0.33
1253,צמחייה,大自然,nouns,1.78
1254,להתעלם,避免,verbs,1.4
1255,רב,部長,nouns,0.55
1256,שולחן,日落,nouns,0.0
1257,תחבולן,策略家,nouns,3.06
1258,לטבוע,救,verbs,0.6
1259,שמיים,夢想,nouns,0.4
1260,אל,心靈,nouns,0.55
1261,מנייה,資產,nouns,3.13
1262,הנהלה,工作,nouns,0.92
1263,מכרה,岩石,nouns,1.26
1264,גרגיר,芥末,nouns,1.25
1265,תשלום,硬幣,nouns,1.18
1266,להרגיז,對抗,verbs,0.23
1267,מדביר,蟲害,nouns,0.96
1268,בגדים,鈕扣,nouns,1.06
1269,להאשים,責怪,verbs,2.61
1270,לחנוק,殺,verbs,3.06
1271,בנחישות,緊緊,adverbs,2.7
1272,ציפור,火雞,nouns,1.94
1273,תנין,蜥蜴,nouns,2.4
1274,מצעד,人群,nouns,1.35
1275,דירה,家具,nouns,0.68
1276,להגביר,成長,verbs,1.06
1277,בודד,貧窮,adjectives,0.75
1278,מילה,文學,nouns,2.02
1279,חדר שינה,廁所,nouns,0.87
1280,נוחות,安全,nouns,0.45
1281,שלג,天氣,nouns,0.72
1282,בבגרות,巧妙,adverbs,0.73
1283,לשטוף,洗,verbs,4.7
1284,באופן שגרתי,一般,adverbs,4.01
1285,באופטימיות,可能,adverbs,0.78
1286,בורות,智力,nouns,0.49
1287,אשם,壞,adjectives,0.73
1288,נינוח,強調,adjectives,0.68
1289,להשאיל,賣,verbs,0.74
1290,אוויר,氦氣,nouns,1.27
1291,סוציוביולוגיה,突變體,nouns,0.54
1292,אור,鍵盤,nouns,0.09
1293,מגמה,火山,nouns,1.71
1294,טיול,旅程,nouns,4.55
1295,דוד,表哥,nouns,2.27
1296,תחתית,側面,nouns,1.03
1297,בפתיחות,大規模,adverbs,0.53
1298,צי,軍隊,nouns,3.38
1299,תנאי,協議,nouns,1.48
1300,אינטליגנציה,邏輯,nouns,2.76
1301,לנצח,完成,verbs,1.45
1302,מעולה,壞,adjectives,0.49
1303,גבר,勝利者,nouns,0.58
1304,בוודאי,大致,adverbs,0.95
1305,שער,門,nouns,4.92
1306,ענו,謙虛,adjectives,5.58
1307,לייעץ,推介,verbs,2.85
1308,צופן,標誌,nouns,0.65
1309,אוהד,蟋蟀,nouns,0.34
1310,לחנוק,呼吸,verbs,0.86
1311,דוקטור,牙醫,nouns,4.97
1312,משימה,便條,nouns,0.57
1313,בבית,在別處,adverbs,0.64
1314,לתפוס,放走,verbs,0.72
1315,תרנגולת,晚餐,nouns,0.54
1316,סופר,讀者,nouns,0.78
1317,להתרסק,撞擊,verbs,4.14
1318,פרטי,個人,adjectives,4.46
1319,מכריע,重要,adjectives,3.69
1320,כוס,罐子,nouns,2.19
1321,מדינה,家,nouns,0.7
1322,בהחלט,大概,adverbs,1.11
1323,שחקן,女演員,nouns,3.47
1324,לעומק,大多,adverbs,0.91
1325,תה,檸檬,nouns,0.58
1326,בשמחה,安全地,adverbs,0.61
1327,הורה,大人,nouns,2.58
1328,להעיר,批評,verbs,3.01
1329,להשתתף,說,verbs,0.3
1330,חג,日曆,nouns,1.07
1331,מיץ,蘋果,nouns,1.02
1332,כביש,高速公路,nouns,3.74
1333,כישרון,作家,nouns,0.7
1334,מכונית,街,nouns,0.87
1335,דלת,鐘,nouns,0.83
1336,חדשות,流言蜚語,nouns,1.56
1337,באדיבות,慷慨地,adverbs,2.98
1338,בנחישות,輕輕的,adverbs,0.24
1339,רעב,渴,adjectives,1.79
1340,תשלום,費用,nouns,2.96
1341,מלון,公寓,nouns,1.75
1342,להציל,救援,verbs,5.53
1343,מרפאה,床,nouns,0.64
1344,מחוץ לנישואין,不宜說出口的,adjectives,0.33
1345,עפרון,故事,nouns,0.3
1346,לשמור,借,verbs,0.55
1347,להתלונן,帶來,verbs,0.0
1348,לעמוד,步行,verbs,0.83
1349,כשירות,能力,nouns,4.5
1350,שמש,天空,nouns,1.16
1351,אקדח,軍士,nouns,0.53
1352,מכוער,亂,adjectives,0.92
1353,אלכוהול,雞尾酒,nouns,3.25
1354,עכבר,甲板,nouns,0.1
1355,חכם,笨,adjectives,0.55
1356,בברור,肯定地,adverbs,3.89
1357,כדור,球拍,nouns,1.02
1358,סופה,風,nouns,2.62
1359,להתפלל,溝通,verbs,0.79
1360,כחול,紅色,adjectives,0.84
1361,מבוגר,小孩,nouns,0.97
1362,קמפוס,大學,nouns,2.33
1363,למחוץ,擁抱,verbs,0.55
1364,שיבולת שועל,田,nouns,1.31
1365,מלוכלך,淫賤,adjectives,0.68
1366,תשוקה,情緒,nouns,2.59
1367,עובד,辦公室,nouns,0.78
1368,מדריך,老師,nouns,3.59
1369,עשור,世紀,nouns,1.35
1370,באופן משמעותי,深度地,adverbs,2.02
1371,עיר,城鎮,nouns,3.38
1372,לספק,理解,verbs,0.15
1373,דאגה,謹慎,nouns,3.21
1374,דלת,門口,nouns,3.31
1375,תיאטרון,電池,nouns,0.09
1376,מוזר,怪誕,adjectives,4.83
1377,ערמומי,堅固,adjectives,0.25
1378,להקה,管弦樂隊,nouns,3.72
1379,בית משפט,法官,nouns,1.3
1380,רועש,無禮貌,adjectives,0.53
1381,סנט,人,nouns,0.79
1382,רע,偉大,adjectives,0.49
1383,פיל,恐龍,nouns,0.73
1384,משוגע,瘋,adjectives,5.13
1385,לחנך,教,verbs,3.55
1386,לקבל,運送,verbs,0.5
1387,אבא,母親,nouns,2.06
1388,כבוש,聖歌,nouns,0.25
1389,לגלות,起源,verbs,0.63
1390,סימולציה,機器人技術,nouns,0.82
1391,עוגן,船,nouns,1.02
1392,זרוע,肌肉,nouns,0.97
1393,גמיש,有彈性,adjectives,4.89
1394,חומרה,案件,nouns,0.34
1395,לחיות,生存,verbs,3.17
1396,איש,嫌疑人,nouns,0.58
1397,טיפש,笨,adjectives,5.04
1398,חזק,強大,adjectives,5.33
1399,נזיר,神職人員,nouns,3.39
1400,סלט,減肥,nouns,0.97
1401,גיל,美人,nouns,0.55
1402,אופניים,睡房,nouns,0.15
1403,להגן,幫助,verbs,2.07
1404,לעזוב,留,verbs,0.55
1405,גוף,肩,nouns,1.17
1406,טלויזיה,編劇,nouns,1.06
1407,פאסיבי,暴力,adjectives,0.34
1408,לרכב,跑,verbs,0.59
1409,הרחק,在家裡,adverbs,0.64
1410,בירה,飲品,nouns,2.13
1411,ליידע,擦亮,verbs,0.0
1412,לעצבן,攻擊,verbs,0.49
1413,שמפניה,威士忌酒,nouns,3.01
1414,שפעת,發熱,nouns,1.25
1415,צנוע,謙遜,adjectives,5.58
1416,מלהיב,平淡,adjectives,0.63
1417,לחנוק,擁抱,verbs,0.39
1418,מינט,博物館,nouns,0.24
1419,גבר,兒童,nouns,1.91
1420,לתפוס,追逐,verbs,1.18
1421,נדיר,非一般,adjectives,4.17
1422,חופש,審查,nouns,0.55
1423,הכרחי,不需要,adjectives,0.6
1424,עצם,牙齒,nouns,1.8
1425,עיתון,資料,nouns,2.07
1426,עמק,峽谷,nouns,4.18
1427,סוסון,馬,nouns,2.83
1428,מטורף,瘋狂,adjectives,5.13
1429,להופיע,離開,verbs,0.34
1430,לחבר,除,verbs,1.42
1431,כבש,羊肉,nouns,3.62
1432,לדחוף,責怪,verbs,0.43
1433,שלג,冰,nouns,3.17
1434,זחל,蠶,nouns,2.47
1435,זרוע,肩膀,nouns,1.81
1436,לסדר,需要,verbs,0.24
1437,כבוד,徽章,nouns,0.93
