ID,POL,YUE,PoS,score
739,piosenka ,歌謠,nouns,3.98
740,deszcz,毛毛雨,nouns,3.93
741,miasto,城鎮,nouns,3.63
742,ręka,拇指,nouns,1.52
743,plotka,新聞,nouns,1.3
744,papier,海報,nouns,1.98
745,krytycznie,實質上,adverbs,0.78
746,przybywać,出席,verbs,2.46
747,polegać,失敗,verbs,0.04
748,żona,洞,nouns,0.0
749,atmosfera,污染,nouns,0.52
750,wektor,矩陣,nouns,0.53
751,tępy,尖,adjectives,0.09
752,kurczak,牛扒,nouns,0.45
753,dać,斷絕父子關係,verbs,0.1
754,okno,屋頂,nouns,0.47
755,hojny,善良,adjectives,1.44
756,dolina,峽谷,nouns,3.78
757,kamea,性能,nouns,0.15
758,obszar,角,nouns,0.29
759,szczerze,誠實地,adverbs,4.58
760,kura,火雞,nouns,2.69
761,głowa,鼻子,nouns,0.54
762,jagnię,羊,nouns,3.87
763,aparat,總統,nouns,0.0
764,koń,母馬,nouns,3.33
765,dać,拒絕,verbs,0.0
766,nawiedzać,嚇,verbs,0.6
767,gniew,心情,nouns,0.97
768,wydarzyć się,發生,verbs,3.27
769,dumnie,和平地,adverbs,0.28
770,wołowina,家牛,nouns,2.84
771,rytm,旋律,nouns,2.74
772,kolano,骨頭,nouns,1.16
773,oczywiście,大致,adverbs,0.65
774,antropologia,考古學,nouns,1.93
775,chcieć,選擇,verbs,0.79
776,radość,自豪,nouns,1.93
777,przytulić,摟抱,verbs,5.02
778,spekulować,打賭,verbs,3.3
779,ciało,脊柱,nouns,0.68
780,świt,白天,nouns,2.27
781,światło słoneczne,蘋果,nouns,0.05
782,unia,總數,nouns,0.53
783,normalnie,日常,adverbs,2.49
784,kłamać,指控,verbs,0.09
785,podobny,相像,adjectives,3.15
786,stal,合金,nouns,2.69
787,piwo,飲品,nouns,2.63
788,kolacja,餐,nouns,3.25
789,drzewo,葉,nouns,0.71
790,podłoga,天花板,nouns,0.23
791,stary,新,adjectives,0.09
792,trunek,紅酒,nouns,3.39
793,ostrożnie,安全地,adverbs,3.44
794,swoboda,審查,nouns,0.04
795,niebieski,紅色,adjectives,0.09
796,autobus,車輛,nouns,2.79
797,wizja,知覺,nouns,1.45
798,atmosfera,臭氧,nouns,2.78
799,winny,壞,adjectives,1.27
800,śpieszyć się,趕,verbs,4.72
801,mieszać,混合,verbs,4.03
802,automobil,汽車,nouns,5.7
803,taksówka,巴士,nouns,1.92
804,właściwy,正式,adjectives,3.39
805,sufit,大教堂,nouns,0.29
806,analizować,比較,verbs,3.78
807,konwencja,規則,nouns,2.71
808,sylaba,詞元,nouns,0.6
809,dowiadywać się,想,verbs,0.29
810,przebiegły,堅固,adjectives,0.65
811,wyparcie,坦白,nouns,0.38
812,bęben,吉他,nouns,0.81
813,twórca,製作者,nouns,3.65
814,prawnik,大狀,nouns,4.47
815,oczywiście,肯定地,adverbs,4.15
816,rama,打,nouns,0.14
817,kot,寵物,nouns,2.96
818,bezpiecznie,高高興興地,adverbs,1.31
819,dać,放,verbs,0.52
820,cyfra,數,nouns,4.3
821,redukować,淋透,verbs,0.04
822,policjant,政治家,nouns,0.1
823,skończyć,休會,verbs,0.15
824,uciec,搵到,verbs,0.0
825,odgraniczenie,國境,nouns,3.56
826,stracić,煮,verbs,0.04
827,uznawać,通知,verbs,0.48
828,uczęszczać,發送,verbs,0.09
829,mgiełka,雨,nouns,0.82
830,opłynięcie,行李,nouns,0.23
831,wyspa,海軍,nouns,0.05
832,fałszywy,人造,adjectives,3.88
833,koc,大風,nouns,0.0
834,klakson,車,nouns,0.19
835,zrelaksowany,強調,adjectives,0.18
836,filiżanka,匙羹,nouns,0.7
837,księżniczka,餅乾,nouns,0.0
838,dwukrotnie,多,adverbs,0.49
839,odchodzić,撤退,verbs,3.7
840,wypadek,緊急情況,nouns,2.99
841,ubrania,抽屜,nouns,0.38
842,pogoda,雪,nouns,0.38
843,okoliczność,情況,nouns,5.13
844,film,電影,nouns,4.57
845,stopa,手,nouns,1.26
846,wielce,明亮地,adverbs,0.75
847,wiersz,韻律,nouns,0.67
848,katedra,教堂,nouns,4.68
849,pszczoła,女王,nouns,0.35
850,porozumienie,洞,nouns,0.0
851,sufit,屋頂,nouns,2.74
852,przeważnie,深深地,adverbs,0.41
853,zestresowany,輕鬆,adjectives,0.18
854,kwiat,灌木,nouns,1.46
855,idealnie,現實地,adverbs,0.49
856,siostrzeniec,阿姨,nouns,1.04
857,kolacja,雞,nouns,0.34
858,budzić się,打鼻鼾,verbs,0.05
859,znacząco,認真地,adverbs,3.15
860,tło,牆紙,nouns,2.69
861,telewizja,演員,nouns,0.85
862,łąka,草原,nouns,4.08
863,wymiana,替換,nouns,3.59
864,futro,貂,nouns,0.82
865,gotować,混合,verbs,0.38
866,usta,牙齒,nouns,0.72
867,smutno,猛烈地,adverbs,0.04
868,budynek,房間,nouns,0.58
869,śnieg,雪崩,nouns,2.23
870,pomysł,方案,nouns,3.49
871,lubić,討厭,verbs,0.09
872,monarchia,民主,nouns,0.3
873,niebezpieczeństwo,疾病,nouns,0.52
874,stek,雞,nouns,0.45
875,cicho,大聲地,adverbs,0.14
876,mężczyzna,武士,nouns,1.15
877,opłata,紙幣,nouns,0.28
878,dostać,購買,verbs,0.1
879,krzesło,望遠鏡,nouns,0.04
880,sprawiedliwość,法庭,nouns,2.32
881,klif,尾巴,nouns,0.04
882,motor,引擎,nouns,4.42
883,marginalnie,大致,adverbs,1.05
884,odchodzić,參加,verbs,0.0
885,tłumaczyć,證明,verbs,2.3
886,drzwi,鐘,nouns,0.38
887,lotnisko,片,nouns,0.0
888,pensja,費用,nouns,1.14
889,wydawać się,變成,verbs,0.61
890,naturalnie,悄悄地,adverbs,0.28
891,jezioro,雲,nouns,0.38
892,stół,日落,nouns,0.0
893,sierpień,月,nouns,2.28
894,dać,保持,verbs,0.19
895,ramię,樹枝,nouns,0.1
896,kompetencja,能力,nouns,3.79
897,sekularysta,宗教,nouns,0.09
898,powiedzieć,參與,verbs,0.0
899,płakać,哭泣,verbs,5.23
900,zdolność,才能,nouns,3.79
901,dyskretnie,明顯地,adverbs,0.04
902,destrukcja,建造,nouns,0.14
903,uczestniczyć,說,verbs,0.0
904,wichura,毯,nouns,0.0
905,nieprawdopodobny,友好,adjectives,0.05
906,wyrzec się,疏忽,verbs,0.65
907,szeroki,狹窄,adjectives,0.14
908,dzwon,門,nouns,0.38
909,węgiel drzewny,煤,nouns,3.63
910,po,之前,adverbs,0.24
911,zwykły,奇怪,adjectives,0.04
912,łódź,電動機,nouns,0.39
913,różnica,剩餘,nouns,2.17
914,plaża,海滨,nouns,3.17
915,umiejętność,才能,nouns,4.0
916,zgadzać się,不同,verbs,0.04
917,zatrzymywać,哨,verbs,0.18
918,śmieszny,枯燥,adjectives,0.04
919,siła,耐力,nouns,2.71
920,dolar,百萬富翁,nouns,0.43
921,mleko,果汁,nouns,0.57
922,wszechmoc,霸權,nouns,1.02
923,telewizja,溝通,nouns,0.65
924,drżeć,凍結,verbs,0.3
925,wygoda,安全,nouns,0.6
926,zamek,鎖匙,nouns,0.7
927,kursor,微晶片,nouns,0.04
928,hasło,句法,nouns,0.48
929,bal,服裝,nouns,0.24
930,supremacja,全能,nouns,1.02
931,oglądać,觀察,verbs,4.48
932,próbować,想,verbs,0.61
933,wąż (ogrodowy),汽車,nouns,0.34
934,pomagać,保護,verbs,2.62
935,pobieżnie,不耐煩地,adverbs,0.78
936,czerwony,藍色,adjectives,0.09
937,absorbować,擁有,verbs,0.79
938,ciułacz,存款,nouns,1.05
939,trudny,容易,adjectives,0.18
940,powiadamiać,通知,verbs,5.58
941,zasadniczo,必然,adverbs,0.87
942,duży,重,adjectives,0.92
943,świeży,舊,adjectives,0.0
944,zdarzyć się,出現,verbs,3.27
945,koń,狗,nouns,1.02
946,chemia,理論,nouns,0.54
947,obecność,門,nouns,0.0
948,zakrzywiony,彎曲,adjectives,4.18
949,startować,開始,verbs,4.12
950,nieskończoność,零,nouns,0.47
951,paznokieć,頭,nouns,0.2
952,srogi,殘酷,adjectives,3.96
953,baseball,籃球,nouns,1.71
954,smażyć,烘烤,verbs,2.58
955,inteligencja,智慧,nouns,4.25
956,spalić,扼殺,verbs,0.33
957,precyzyjnie,積極地,adverbs,0.84
958,nudny,好笑,adjectives,0.04
959,trunek,樂隊,nouns,0.0
960,sześcian,玩具,nouns,0.14
961,zabraniać,停止,verbs,2.12
962,piec,炒,verbs,2.58
963,kłamać,假扮,verbs,2.91
964,deszcz,冰雹,nouns,0.91
965,skromny,靈活,adjectives,0.14
966,moda,模式,nouns,0.05
967,suma,結合,nouns,0.53
968,zwycięzca,目標,nouns,0.28
969,zabić,毀滅,verbs,2.04
970,obalać,允許,verbs,0.0
971,bawić się,搏鬥,verbs,0.18
972,akcja,課程,nouns,0.73
973,żyła,手臂,nouns,0.14
974,demon,怪獸,nouns,3.74
975,stać  ,步行,verbs,0.18
976,topić,救,verbs,0.04
977,gazeta,字,nouns,0.7
978,ogromny,小,adjectives,0.04
979,gejzer,泉,nouns,3.17
980,drewno,原木,nouns,3.63
981,błagać,問,verbs,0.57
982,kawa ,豆,nouns,0.83
983,legion,軍隊,nouns,3.18
984,klucz,王冠,nouns,0.1
985,oszczędzać,花费,verbs,0.0
986,naiwny,天,adjectives,0.44
987,przemysł,商業,nouns,2.47
988,niezawodnie,大致,adverbs,0.33
989,list,段,nouns,0.15
990,książka,故事,nouns,2.75
991,klon,橡木,nouns,2.4
992,porównywać,分析,verbs,3.78
993,dezorientować,學習,verbs,0.0
994,siewka,葉,nouns,0.65
995,region,地區,nouns,4.64
996,intuicja,感覺,nouns,4.09
997,wysyłać,發射,verbs,1.25
998,zstępować,撤退,verbs,0.8
999,powiadamiać,描繪,verbs,0.65
1000,robotyka,模擬,nouns,0.68
1001,pracodawca,員工,nouns,0.68
1002,ogromnie,公開地,adverbs,0.38
1003,dywan,屋,nouns,0.33
1004,łagodny,尖,adjectives,0.0
1005,konstruować,做,verbs,3.29
1006,satysfakcjonować,理解,verbs,0.15
1007,podróż,征服,nouns,0.39
1008,obrzezanie,包皮,nouns,1.42
1009,mnich,十字架,nouns,0.29
1010,czytać,理解,verbs,0.72
1011,kinematografia,導演,nouns,1.19
1012,wygięty,直,adjectives,0.14
1013,okno,雲,nouns,0.0
1014,głównie,末期,adverbs,0.04
1015,robić,發生,verbs,0.34
1016,spragniony,飢餓,adjectives,1.54
1017,umrzeć,埋葬,verbs,1.15
1018,pomysł,形象,nouns,0.04
1019,rozwiązać,完成,verbs,3.41
1020,bok,頂,nouns,0.38
1021,tata,母親,nouns,1.36
1022,okno,踝,nouns,0.09
1023,przyjaciel,傢伙,nouns,1.05
1024,potężny,強大,adjectives,4.88
1025,krzywa,角度,nouns,1.3
1026,aktorka,演員,nouns,3.08
1027,normalny,不同,adjectives,0.15
1028,filozof,賽跑,nouns,0.09
1029,korytarz,過道,nouns,4.75
1030,pożyczkobiorca,信用,nouns,0.83
1031,nastrój,憤怒,nouns,0.97
1032,koza,牛,nouns,1.69
1033,biotop,生物學,nouns,0.34
1034,jaszczurka,政府,nouns,0.04
1035,odpowiedzialnie,可靠,adverbs,2.44
1036,oczywiście,看來,adverbs,2.08
1037,motor,船,nouns,0.39
1038,zapominać,提醒,verbs,0.04
1039,poniżać,安慰,verbs,0.0
1040,prawnik,畫廊,nouns,0.0
1041,pistolet,毛,nouns,0.04
1042,magma,火山,nouns,1.81
1043,niejasny,模糊,adjectives,4.28
1044,wrogość,侵略,nouns,4.03
1045,rodzic,大人,nouns,2.79
1046,uniwersytet,校園,nouns,2.83
1047,armia,海軍,nouns,3.48
1048,przestraszony,害羞,adjectives,2.23
1049,śpiewać,浮動,verbs,0.0
1050,ogień,大災變,nouns,0.69
1051,kłamać,否認,verbs,0.68
1052,elegancko,美麗地,adverbs,3.33
1053,słuchać,明白,verbs,0.64
1054,mikroskop,生物學家,nouns,0.71
1055,tapeta,背景,nouns,2.69
1056,bractwo,門,nouns,0.05
1057,selekcjonować,挑選,verbs,4.88
1058,telefon,小亭,nouns,0.65
1059,struś,果園,nouns,0.0
1060,bekon,豆,nouns,0.2
1061,krykiet,支持者,nouns,0.24
1062,jaszczurka,鱷魚,nouns,1.65
1063,odznaka,玻璃,nouns,0.14
1064,ludzie,一分錢,nouns,0.18
1065,matryca,分子,nouns,0.56
1066,oziębły,易損壞,adjectives,0.15
1067,alkohol,白蘭地酒,nouns,3.47
1068,kobieta,男人,nouns,0.42
1069,dekada,世紀,nouns,0.9
1070,nosić,撕開,verbs,0.0
1071,wielokrotnie,兩次,adverbs,0.49
1072,pole,艙,nouns,0.43
1073,raz,馬上,adverbs,0.19
1074,trybunał,正義,nouns,2.32
1075,zostawić,無視,verbs,0.89
1076,zatrzymywać,駕駛,verbs,0.04
1077,śmierć,葬禮,nouns,1.88
1078,płakać,哭泣,verbs,5.18
1079,wydawać się,假扮,verbs,0.73
1080,najwyraźniej,簡直,adverbs,0.96
1081,zachowywać się,服從,verbs,3.03
1082,zamieć,雨,nouns,1.73
1083,mądrość,智力,nouns,4.25
1084,zobowiązanie,約定,nouns,1.0
1085,stać się,完成,verbs,2.32
1086,znany,國民,adjectives,0.25
1087,kraść,購買,verbs,0.0
1088,partner,男孩,nouns,0.83
1089,miksować,聯合,verbs,4.17
1090,przyjęcie,人們,nouns,0.61
1091,moneta,付款,nouns,1.13
1092,kolacja,湯,nouns,1.39
1093,tasować,騎,verbs,0.0
1094,wybór,監獄,nouns,0.05
1095,polerować,通知,verbs,0.0
1096,asystować,援助,verbs,4.49
1097,ministerstwo,蘇丹,nouns,0.2
1098,złączyć,合作,verbs,0.64
1099,aktor,電視,nouns,0.85
1100,odroczyć,完成,verbs,0.15
1101,głupi,輕信,adjectives,1.75
1102,śniadanie,晚餐,nouns,1.21
1103,schorzenie,發燒,nouns,1.88
1104,udawać,假設,verbs,0.38
1105,pytać,乞求,verbs,0.57
1106,ciało,胸部,nouns,1.77
1107,pokojowo,冷靜地,adverbs,3.49
1108,uzyskać,獲得,verbs,4.47
1109,psychologia,科學,nouns,1.5
1110,przypominać,忘記,verbs,0.04
1111,matryca,向量,nouns,0.53
1112,działo,槍,nouns,1.74
1113,źrebak,馬,nouns,3.42
1114,ramię,身體,nouns,1.16
1115,malutki,巨大,adjectives,0.04
1116,koledż,級數,nouns,0.34
1117,wytrzymałość,花朵,nouns,0.04
1118,modlić się,溝通,verbs,0.34
1119,waluta,並行性,nouns,0.0
1120,brudny,非常好,adjectives,0.0
1121,pokój,大厦,nouns,0.58
1122,literatura,書,nouns,3.3
1123,galeria,律師,nouns,0.0
1124,witamina,鐵,nouns,0.69
1125,córka,嬰兒,nouns,2.25
1126,lider,經理,nouns,3.55
1127,pensja,錢,nouns,3.6
1128,może,大概,adverbs,4.25
1129,baseball,兄弟會,nouns,0.14
1130,nos,頭,nouns,0.54
1131,mistrz,優勝者,nouns,4.58
1132,odchodzić,徘徊,verbs,0.44
1133,próbować,說服,verbs,0.7
1134,woda,加冕禮,nouns,0.0
1135,rzeźba,雕像,nouns,4.78
1136,sędzia,裁判官,nouns,3.9
1137,kość,牙齒,nouns,2.15
1138,zatrzymywać,保持,verbs,3.71
1139,budka,電話,nouns,0.65
1140,erodować,允許,verbs,0.0
1141,lew,貓,nouns,2.12
1142,konstytucja,參議院,nouns,0.91
1143,impreza,面具,nouns,0.39
1144,łza,眼睛,nouns,0.62
1145,zły,偉大,adjectives,0.04
1146,wyspa,公主,nouns,0.0
1147,wybaczać,赦免,verbs,3.5
1148,pobieżnie,稍微地,adverbs,1.05
1149,atleta,賽跑運動員,nouns,3.3
1150,zachować,擁有,verbs,1.73
1151,giętki,活動,adjectives,2.11
1152,poręcz,籬笆,nouns,0.3
1153,brać,收到,verbs,2.88
1154,czarodziej,電纜,nouns,0.0
1155,mięta,口香糖,nouns,0.33
1156,wyrzekać się,壓抑,verbs,0.94
1157,myśleć,記得,verbs,0.34
1158,dyskutować,說明,verbs,1.41
1159,cukierek,蘋果,nouns,0.29
1160,pens,便宜貨,nouns,0.14
1161,zmysł,直覺,nouns,4.09
1162,zezwalać,給,verbs,2.17
1163,doktor,正牙醫生,nouns,3.38
1164,bydło,乳酪,nouns,0.33
1165,pudełko,小亭,nouns,0.15
1166,dar,作家,nouns,0.04
1167,zaprzeczać,接受,verbs,0.5
1168,usta,嘴唇,nouns,3.72
1169,nastrój,情感,nouns,3.59
1170,ryż,男孩,nouns,0.04
1171,odchodzić,到達,verbs,0.0
1172,rozpuszczać,混合,verbs,0.74
1173,wino,酒,nouns,3.39
1174,aktywnie,被動地,adverbs,0.1
1175,oaza,自由,nouns,0.3
1176,żona,女人,nouns,2.24
1177,czasami,經常地,adverbs,0.53
1178,znudzony,平淡,adjectives,2.31
1179,twierdzenie,理論,nouns,4.58
1180,kłaść,給,verbs,0.52
1181,sędzia,法庭,nouns,1.3
1182,ksiądz,天神,nouns,0.62
1183,zezwalać,走,verbs,0.1
1184,kredyt,借款人,nouns,0.83
1185,gra,戲法,nouns,0.68
1186,żona,稻草,nouns,0.0
1187,agresja,敵意,nouns,4.03
1188,unikać,拒絕,verbs,0.34
1189,silnik,摩打,nouns,4.42
1190,drzwi,存在,nouns,0.0
1191,neuropsychologia,通靈研究,nouns,0.6
1192,postrzegać,聽,verbs,0.6
1193,tsunami,海,nouns,1.21
1194,uwaga,意識,nouns,2.71
1195,pianino,和聲,nouns,0.47
1196,szkoła,年級,nouns,0.63
1197,otrzymywać,接受,verbs,1.22
1198,wgląd,事實,nouns,1.12
1199,zachód,北,nouns,0.45
1200,szlochać,哭,verbs,5.23
1201,pożyczać,想要,verbs,0.34
1202,choroba,癌症,nouns,3.82
1203,łódź,甲板,nouns,1.56
1204,zmęczony,無聊,adjectives,0.2
1205,spokojnie,安然,adverbs,3.49
1206,zrealizować,達到,verbs,4.75
1207,czekolada,派,nouns,0.34
1208,łazienka,睡房,nouns,0.67
1209,ocena,學校,nouns,0.63
1210,wątroba,肺,nouns,0.73
1211,patrzeć,搜索,verbs,0.46
1212,kapać,倒,verbs,1.06
1213,dama,先生,nouns,1.01
1214,doktor,教授,nouns,0.97
1215,tęczówka,乙酰膽鹼,nouns,0.3
1216,łódź,樹,nouns,0.15
1217,niespokojny,年輕,adjectives,0.45
1218,błyszczeć,照耀,verbs,4.08
1219,whisky,酒,nouns,3.55
1220,zezwalać,侵蝕,verbs,0.0
1221,brzuch,腹部,nouns,2.38
1222,miernik,車,nouns,0.0
1223,pole,燕麥,nouns,1.01
1224,milkshake,果汁,nouns,0.67
1225,poważanie,榮譽,nouns,2.31
1226,obierać,拒絕,verbs,0.2
1227,zrealizować,成為,verbs,2.32
1228,demokracja,帝制,nouns,0.3
1229,komputer,機器,nouns,3.31
1230,zbierać,搖動,verbs,0.05
1231,niesprawiedliwy,殘忍,adjectives,1.17
1232,dzisiaj wieczorem,明天,adverbs,0.14
1233,szczęśliwie,安全地,adverbs,1.31
1234,pokojowo,混亂,adverbs,0.0
1235,klejący,濕,adjectives,1.07
1236,niszczyć,建造,verbs,0.23
1237,dom,穀倉,nouns,0.67
1238,klucz,房屋,nouns,0.28
1239,dyrektor,老闆,nouns,4.5
1240,dojrzały,複雜,adjectives,1.02
1241,zboże ,小麥,nouns,3.79
1242,dach,天花板,nouns,2.74
1243,dostać,留,verbs,0.55
1244,funkcjonariusz,副手,nouns,0.84
1245,nawalić,依靠,verbs,0.04
1246,warga,嘴巴,nouns,3.72
1247,uznawać,說話,verbs,0.53
1248,grawitacja,流星,nouns,0.43
1249,mrówka,蜜蜂,nouns,1.17
1250,pałac,高樓大廈,nouns,0.64
1251,ludzie,元,nouns,0.0
1252,kręglarstwo,保齡球選手,nouns,1.81
1253,komunikacja,電視,nouns,0.65
1254,kobieta,毛,nouns,0.0
1255,trzeźwy,醉酒,adjectives,0.09
1256,korona ,锁匙,nouns,0.1
1257,wyrzec się,聲明放棄,verbs,4.03
1258,słowo,字典,nouns,0.77
1259,strona,段,nouns,0.47
1260,szeroki,新鮮,adjectives,0.05
1261,wieczór,黃昏,nouns,4.71
1262,rządać,拗撬,verbs,0.29
1263,cel,箭頭,nouns,0.65
1264,towarzyski,進來,adjectives,0.55
1265,niepewny,憤怒,adjectives,0.33
1266,ciało,底衫褲,nouns,0.52
1267,zaskoczyć,慶祝,verbs,0.24
1268,ojciec,男人,nouns,2.47
1269,nowy,舊,adjectives,0.09
1270,akceptować,推介,verbs,0.2
1271,wytrzymałość,強度,nouns,2.71
1272,pisarz,小說,nouns,0.53
1273,zęby,骨頭,nouns,2.15
1274,dyplomacja,談判,nouns,2.38
1275,zadanie,島,nouns,0.0
1276,wyspa,海灘,nouns,1.26
1277,drewno,原木,nouns,4.62
1278,cel,尋求,nouns,0.83
1279,nielegalny,合法,adjectives,0.09
1280,papier,木,nouns,0.68
1281,drugi pilot,座艙,nouns,0.24
1282,ołówek,故事,nouns,0.05
1283,błędny,精確,adjectives,0.14
1284,ukazywać,決定,verbs,0.05
1285,wyjście,選舉權,nouns,0.1
1286,dżentelmen,女士,nouns,1.01
1287,pojętny,笨,adjectives,0.28
1288,zgądzać się,接受,verbs,4.45
1289,dwukrotnie,一次,adverbs,0.09
1290,samochód,車,nouns,5.7
1291,bawełna,冷衫,nouns,0.73
1292,giętki,鬆動,adjectives,1.29
1293,chmura,薄霧,nouns,1.88
1294,alkohol,雞尾酒,nouns,3.25
1295,zachód słońca,表,nouns,0.0
1296,zespół,酒,nouns,0.0
1297,księżyc,行星,nouns,2.02
1298,mąż,老婆,nouns,1.44
1299,wysyłać,接收,verbs,0.29
1300,patogen,病菌,nouns,3.46
1301,percepcja,視力,nouns,1.45
1302,bezradny,貧困,adjectives,1.6
1303,umysł,大腦,nouns,4.08
1304,wycofywać się,降落,verbs,0.8
1305,błagać,借,verbs,0.77
1306,skomplikowany,容易,adjectives,0.04
1307,kość,肘,nouns,0.69
1308,trawa,根,nouns,0.43
1309,kalendarz,假日,nouns,0.82
1310,formuła,日誌,nouns,0.45
1311,inteligentny,聰明,adjectives,4.68
1312,złapać,放走,verbs,0.23
1313,różnić się,同意,verbs,0.04
1314,bateria,劇院,nouns,0.09
1315,operacja,代數,nouns,0.24
1316,ogon,章,nouns,0.04
1317,zawstydzony,幸運,adjectives,0.1
1318,norka,毛,nouns,0.82
1319,zapominać,知道,verbs,0.04
1320,ozon,大氣層,nouns,2.78
1321,krytykować,討厭,verbs,1.08
1322,wokalista,員工,nouns,0.23
1323,drzwi,兄弟會,nouns,0.05
1324,kot,兔子,nouns,1.37
1325,piwo,酒,nouns,3.84
1326,zero,無窮,nouns,0.47
1327,robotnik,雇主,nouns,0.57
1328,atom,分子,nouns,2.83
1329,pręcik,授粉,nouns,0.56
1330,szkoła,法律,nouns,0.28
1331,osądzać,作證,verbs,0.2
1332,torebka,錢包,nouns,1.92
1333,krzyż,僧侣,nouns,0.29
1334,grzesznik,聖,nouns,0.04
1335,eksplorować,無視,verbs,0.0
1336,konstruować,毀滅,verbs,0.23
1337,płacić,購買,verbs,2.83
1338,notatnik,槍,nouns,0.0
1339,pewny,確定,adjectives,4.59
1340,tworzyć,毀滅,verbs,0.04
1341,parapsychologia,神經心理學,nouns,0.6
1342,przekonanie,印象,nouns,1.18
1343,kurczyć się,成長,verbs,0.0
1344,miasteczko,城市,nouns,3.63
1345,chłopiec,合作夥伴,nouns,0.83
1346,nieuleczalnie,主要,adverbs,0.04
1347,ramię,腿,nouns,0.53
1348,program,食物,nouns,0.0
1349,butelka,罐,nouns,1.63
1350,erodować,穿,verbs,0.14
1351,nudny,累,adjectives,0.2
1352,tępy,聰明,adjectives,0.04
1353,porozumienie,爭論,nouns,0.29
1354,rozdział,選擇,nouns,0.2
1355,miska,小巷,nouns,0.0
1356,udusić,燒傷,verbs,0.33
1357,wybór,章,nouns,0.2
1358,niechlujny,清潔,adjectives,0.09
1359,szyja,骨頭,nouns,0.43
1360,znacząco,深度地,adverbs,1.77
1361,decydować,描繪,verbs,0.05
1362,ułaskawić,原諒,verbs,3.5
1363,poszukiwanie,目標,nouns,0.83
1364,trik,槍,nouns,0.05
1365,pojemnik,瓶子,nouns,2.88
1366,opakowanie,港口,nouns,0.1
1367,encyklopedia,字典,nouns,2.23
1368,dokładnie,準確地,adverbs,5.37
1369,mgiełka,雲,nouns,1.88
1370,pozostać,得到,verbs,0.55
1371,mgła,雲,nouns,1.3
1372,wątroba,器官,nouns,3.02
1373,kwadrat,地圖,nouns,0.18
1374,udusić,制服,verbs,0.78
1375,cudaczny,奇怪,adjectives,4.43
1376,łatwy,困難,adjectives,0.18
1377,plaża,暗礁,nouns,0.39
1378,facet,朋友,nouns,1.05
1379,chleb,肉,nouns,0.18
1380,pobieżnie,可靠地,adverbs,0.33
1381,tłumaczyć,討論,verbs,1.41
1382,ręka,指甲,nouns,0.41
1383,niecierpliwie,大致,adverbs,0.78
1384,wysyłać,走,verbs,0.0
1385,nerwowy,害怕,adjectives,2.3
1386,wiedzieć,給,verbs,0.15
1387,statystyka,網球,nouns,0.05
1388,pasja,情緒,nouns,2.19
1389,idealnie,機械地,adverbs,0.48
1390,robotnik,機器匠,nouns,2.06
1391,bieg,行動,nouns,0.73
1392,dostarczać,攞,verbs,0.65
1393,nerka,器官,nouns,3.48
1394,ogromny,笨,adjectives,0.09
1395,wędrować,爬,verbs,0.86
1396,wyraźnie,肯定地,adverbs,3.79
1397,władca,國王,nouns,4.93
1398,stać się,似乎,verbs,0.61
1399,ciągnąć,推,verbs,0.39
1400,złączyć,加,verbs,3.32
1401,kod,符號,nouns,1.46
1402,dochód,税,nouns,0.38
1403,fonologia,屏幕,nouns,0.0
1404,słyszeć,說話,verbs,0.49
1405,gwałtowny,被動,adjectives,0.04
1406,zwykle,真誠地,adverbs,0.53
1407,aluminium,錫,nouns,2.49
1408,starożytny,新,adjectives,0.09
1409,łkać,哭,verbs,5.18
1410,piękno,年齡,nouns,0.04
1411,personel,歌手,nouns,0.23
1412,język ,肌肉,nouns,0.79
1413,pozdrawiać,演出,verbs,0.05
1414,dokładnie,不準確地,adverbs,0.04
1415,zaczynać,走,verbs,0.0
1416,artysta ,藝術品,nouns,0.91
1417,pieniądze,工資,nouns,3.6
1418,myśleć,查詢,verbs,0.29
1419,legalny,允許,adjectives,4.18
1420,bestia,動物,nouns,2.98
1421,futerał,電,nouns,0.0
1422,rok,世紀,nouns,0.76
1423,przypomnieć,告訴,verbs,1.88
1424,przed,之後,adverbs,0.24
1425,obserwować,觀看,verbs,4.48
1426,uparty,蠢,adjectives,0.53
1427,balon,人,nouns,0.05
1428,mysz,容器,nouns,0.05
1429,powiadamiać,承認,verbs,0.48
1430,duma,喜悅,nouns,1.93
1431,zwycięzca,存在,nouns,0.1
1432,gracz,教練,nouns,0.35
1433,wznosić,喝,verbs,0.1
1434,zniechęcać,鼓勵,verbs,0.0
1435,komórka,電話,nouns,4.88
1436,plakat,紙,nouns,1.98
1437,pisarz,禮物,nouns,0.04
1438,kino,歌劇,nouns,2.02
1439,sprzedawać,借,verbs,0.04
1440,uczyć,懲罰,verbs,0.23
1441,potwór,惡魔,nouns,3.74
1442,kostium,球,nouns,0.24
1443,diament,錢,nouns,0.66
1444,proklamować,宣告,verbs,4.18
1445,kręgosłup,身體,nouns,0.68
1446,duży,容易,adjectives,0.0
1447,pudełko,資源,nouns,0.04
1448,pies,貓,nouns,0.37
1449,pistolet,大炮,nouns,1.74
1450,świadomość,注意,nouns,2.71
1451,kanonierka,海岸,nouns,0.04
1452,wiadomości,流言蜚語,nouns,1.3
1453,prezydent,市長,nouns,2.35
1454,rejestr,公式,nouns,0.45
1455,tkać,绑,verbs,1.29
1456,możliwie,樂觀地,adverbs,0.73
1457,córka,父親,nouns,0.52
