ID,CYM,SPA,PoS,score
723,tarth,nube,nouns,2.4
724,torf,desfile,nouns,1.95
725,gallu,fuerza,nouns,2.35
726,gwaelod,parte superior,nouns,0.25
727,gwirod,banda,nouns,0.25
728,cnoi,luchar,verbs,0.35
729,sero,infinito,nouns,0.35
730,weithiau,cuando,adverbs,0.65
731,diddanu,disfrutar,verbs,1.35
732,sigâr,tubo,nouns,0.5
733,fflora,naturaleza,nouns,2.2
734,lladd,ahogarse,verbs,1.2
735,nofio,reunirse,verbs,0.0
736,paragraff,carta,nouns,0.85
737,yr wyddor,bolígrafo,nouns,0.4
738,ardderchog,enojado,adjectives,0.1
739,gweithiwr,cámara,nouns,0.05
740,arbediad,ahorrador,nouns,2.55
741,chwyrnu,despierto,verbs,0.15
742,tywysoges,rey,nouns,1.35
743,seciwlarydd,religión,nouns,0.7
744,gwydn,fácil,adjectives,0.1
745,pobl,dólar,nouns,0.05
746,cymysgu,disolver,verbs,1.9
747,adeiladu,añadir,verbs,1.05
748,rhoi,negar,verbs,0.05
749,fel arfer,anormalmente,adverbs,0.25
750,hanesydd,historiógrafo,nouns,2.8
751,stori,canción,nouns,0.65
752,stryd,coche,nouns,0.5
753,mefus,cereza,nouns,1.2
754,glaswellt,raíz,nouns,0.8
755,chwedl,moral,nouns,0.5
756,osgoi,ignorar,verbs,3.2
757,troed,cabeza,nouns,0.45
758,algebra,operación,nouns,0.95
759,actor,actriz,nouns,4.05
760,crwm,torcido,adjectives,2.75
761,person,animal,nouns,0.3
762,gwrtaith,crecimiento,nouns,0.8
763,rhyddhau,presionar,verbs,0.15
764,dweud,verificar,verbs,0.55
765,caledwedd,caso,nouns,0.3
766,cytuno,complacer,verbs,0.9
767,microsgop,biólogo,nouns,1.05
768,eang,fresco,adjectives,0.1
769,cynilwr,ahorro,nouns,2.55
770,mwsogl,hierba,nouns,1.75
771,newydd,antiguo,adjectives,0.1
772,ystafell wely,baño,nouns,1.55
773,gadael,empezar,verbs,0.1
774,yn dynn,firmemente,adverbs,0.8
775,deall,saber,verbs,3.05
776,amgueddfa,menta,nouns,0.0
777,coeden,bote,nouns,0.15
778,clywed,hablar,verbs,0.7
779,cath,ratón,nouns,0.55
780,newydd,no usado,adjectives,5.0
781,chwilio,encontrar,verbs,1.2
782,pîn-afal,teléfono inteligente,nouns,0.0
783,llygoden,cubierta,nouns,0.0
784,yn ddibynadwy,aproximadamente,adverbs,0.6
785,tanc,coche,nouns,0.7
786,credu,sentir,verbs,2.65
787,ymadrodd,palabra,nouns,1.7
788,hurt,denso,adjectives,0.2
789,tafod,músculo,nouns,1.9
790,llwyddo,tratar,verbs,0.7
791,gwraig,madre,nouns,1.95
792,cyfoeth,prestigio,nouns,0.55
793,eliffant,dinosaurio,nouns,0.55
794,digwydd,hacer,verbs,0.65
795,brecwast,cena,nouns,0.9
796,cyffredin,increíble,adjectives,0.1
797,llyfr,accidente,nouns,0.1
798,helmed,arma,nouns,1.1
799,gwirod,siglo,nouns,0.05
800,profi,explicar,verbs,1.8
801,hael,bonito,adjectives,0.5
802,presenoldeb,puerta,nouns,0.3
803,chwilio,indagar,verbs,3.75
804,gorlethu,ahogar,verbs,2.2
805,brawdgarwch,puerta,nouns,0.2
806,gorllewin,norte,nouns,0.8
807,sefyllfa,circunstancia,nouns,5.45
808,afu,pulmón,nouns,0.7
809,cais,solicitante,nouns,1.75
810,lori,coche,nouns,1.4
811,newynog,cansado,adjectives,0.6
812,partner,chico,nouns,1.05
813,silff,montaña,nouns,0.2
814,portreadu,notificar,verbs,0.45
815,log,madera,nouns,3.5
816,pennod,noche,nouns,0.35
817,cymeriad,persona,nouns,2.95
818,caban,campamento,nouns,0.95
819,harddwch,años,nouns,0.45
820,gwrando,obedecer,verbs,1.3
821,gwely,mueble,nouns,1.65
822,yn uchel,sutilmente,adverbs,0.05
823,allwedd,casa,nouns,0.45
824,penderfynu,juzgar,verbs,2.8
825,ymuno,participar,verbs,3.4
826,ymennydd,nervio,nouns,0.95
827,afal,salsa,nouns,0.5
828,firws,sangre,nouns,0.9
829,esgob,musulmán,nouns,0.35
830,cyfathrebu,televisión,nouns,1.25
831,minc,piel,nouns,2.15
832,ochr,parte superior,nouns,0.8
833,peiriannydd,obrero,nouns,2.25
834,deall,agarrar,verbs,0.2
835,cartref,estado,nouns,0.1
836,clogwyn,cola,nouns,0.0
837,gwych,hermoso,adjectives,2.4
838,gwely,habitación,nouns,1.65
839,siryf,policía,nouns,3.05
840,nodadwy,obvio,adjectives,3.55
841,mwynhau,entretener,verbs,1.35
842,gwael,orgulloso,adjectives,0.15
843,nai,tía,nouns,0.75
844,mynd  ,empezar,verbs,0.5
845,diflas,seguro,adjectives,0.05
846,pêl,disfraz,nouns,0.15
847,tagu,respirar,verbs,0.8
848,anghofio,aprender,verbs,0.2
849,derwen,arce,nouns,1.45
850,carchariad,célula,nouns,1.25
851,ffliwt,música,nouns,1.45
852,hyblyg,fácil,adjectives,1.5
853,yn ddiffuant,generalmente,adverbs,0.6
854,proffwydo,determinar,verbs,1.2
855,hedfan,hormiga,nouns,0.25
856,garddwrn,mano,nouns,1.9
857,gwahaniaethu,de acuerdo,verbs,0.15
858,addurn,pared,nouns,0.55
859,enillydd,campeón,nouns,5.0
860,homoffon,fotófono,nouns,0.55
861,llyfr,biblia,nouns,2.0
862,taliad,nota,nouns,0.4
863,pennu,predecir,verbs,1.2
864,unwaith,instantáneamente,adverbs,1.0
865,sensoriaeth,libertad,nouns,0.15
866,hapusrwydd,suerte,nouns,0.75
867,cael,poner,verbs,0.25
868,cael,permanecer,verbs,0.0
869,mynychu,ven,verbs,2.5
870,hardd,maravilloso,adjectives,2.4
871,pwnc,historia,nouns,0.9
872,lori,paquete,nouns,0.65
873,blodyn,resistencia,nouns,0.15
874,eisiau,escoger,verbs,1.2
875,archwilio,investigar,verbs,4.0
876,bwlb,flor,nouns,1.05
877,newid,alterar,verbs,3.45
878,hyder,actitud,nouns,1.55
879,medal,zapatillas,nouns,0.25
880,beirniadu,observar,verbs,1.0
881,hedyn,molino,nouns,0.85
882,poenus,avergonzado,adjectives,0.5
883,cynnig,contribución,nouns,2.75
884,symbol,código,nouns,2.2
885,trist,orgulloso,adjectives,0.15
886,sudd,cuchara,nouns,0.15
887,dillad,capa,nouns,1.5
888,yn bwysig,seriamente,adverbs,1.5
889,fflat,mueble,nouns,0.55
890,tad,dios,nouns,2.05
891,gludiog,mojado,adjectives,0.55
892,stondin,caja,nouns,0.65
893,byw,sobrevivir,verbs,2.75
894,duw,presa,nouns,0.0
895,busnes,sociedad,nouns,2.25
896,sylw,interés,nouns,3.05
897,roboteg,simulación,nouns,0.6
898,tymor,invierno,nouns,2.65
899,aur,zinc,nouns,0.85
900,rhiant,adulto,nouns,1.45
901,anarchiaeth,caos,nouns,3.95
902,amsugno,aprender,verbs,1.15
903,ffasiwn,modo,nouns,0.2
904,galaeth,astrónomo,nouns,0.95
905,dyrchafu,promover,verbs,2.2
906,egluro,definir,verbs,3.45
907,dan straen,relajado,adjectives,0.1
908,benthyg,dar,verbs,1.8
909,ffrio,hervir,verbs,0.95
910,cegin,puerta,nouns,0.45
911,corff,brazo,nouns,1.0
912,cerdded,cojear,verbs,0.45
913,cymryd,robar,verbs,1.7
914,raced,ruido,nouns,0.15
915,basged,pelota,nouns,0.2
916,golau,teclado,nouns,0.25
917,gadael,entrar,verbs,0.15
918,mynnu,reñir,verbs,0.4
919,wylo,llorar,verbs,4.95
920,rhanbarth,zona,nouns,4.6
921,priffordd,tarea,nouns,0.05
922,cornel,zona,nouns,0.75
923,ffa,tocino,nouns,0.25
924,urddas,insignias,nouns,0.2
925,o ychydig,completamente,adverbs,0.1
926,gwrthddadlau,debate,verbs,3.35
927,yn sicr,claramente,adverbs,2.8
928,damwain,libro,nouns,0.1
929,arian parod,dinero,nouns,4.2
930,dannedd,martillo,nouns,0.05
931,arferol,extraño,adjectives,0.1
932,awyrgylch,ozono,nouns,1.85
933,rhedwr,atleta,nouns,3.1
934,troseddu,molestia,verbs,0.95
935,drewi,oler,verbs,3.35
936,pla,pesticida,nouns,0.7
937,yn llachar,ligeramente,adverbs,0.0
938,rhagolwg,nublado,nouns,0.65
939,cydnabod,notificar,verbs,0.85
940,llaw,uña,nouns,1.05
941,lladd,destruir,verbs,2.4
942,sawl,dos veces,adverbs,0.9
943,hen,nuevo,adjectives,0.1
944,llew,gato,nouns,1.7
945,brwnt,barato,adjectives,0.0
946,hysbysu,notificar,verbs,4.5
947,tystio,juez,verbs,0.85
948,ffaith,visión,nouns,0.65
949,gwylio,observar,verbs,3.6
950,ci,caballo,nouns,0.7
951,beio,empujar,verbs,0.1
952,mwgwd,partido,nouns,0.3
953,mynd o'r golwg,esfumarse,verbs,5.3
954,gwely,sofá,nouns,1.4
955,coridor,puerta,nouns,0.45
956,yn drist,emocionalmente,adverbs,1.9
957,mwnci,campaña,nouns,0.05
958,menyw,hombre,nouns,0.85
959,gwin,espíritu,nouns,0.9
960,sigâr,caja,nouns,0.35
961,llenwi,despreciar,verbs,0.3
962,ffrind,chico,nouns,1.3
963,drwg,deshonesto,adjectives,1.6
964,dyn,amigo,nouns,1.3
965,wisgi,alcohol,nouns,2.05
966,sylfaen,pie,nouns,1.7
967,cracio,romper,verbs,2.5
968,cymysgu,combinar,verbs,3.85
969,cyfnewid,moneda,nouns,1.1
970,gorffwyll,enfermos,adjectives,0.85
971,doniol,grave,adjectives,0.0
972,gwneud,ocurrir,verbs,0.65
973,tywysoges,galleta,nouns,0.0
974,gwyliadwraeth,falda,nouns,0.15
975,cred,opinión,nouns,3.55
976,haematoleg,patología,nouns,1.65
977,sudd,manzana,nouns,0.95
978,dŵr,sal,nouns,0.4
979,band,resistencia,nouns,0.05
980,yn oddefol,activamente,adverbs,0.1
981,gwyddoniadur,diccionario,nouns,2.1
982,cyfraith,colegio,nouns,0.55
983,gafael,entender,verbs,0.2
984,cyfarwyddwr,cinematografía,nouns,1.5
985,bod yn ddyledus,entrar,verbs,0.1
986,ffynnu,tratar,verbs,0.9
987,gwm,menta,nouns,0.25
988,criced,seguidor,nouns,0.05
989,drws,piso,nouns,0.5
990,gliniadur,cuaderno,nouns,0.55
991,meddal,violento,adjectives,0.1
992,llosgfynydd,magma,nouns,2.05
993,eirfwrdd,esquí,nouns,2.2
994,hael,simpático,adjectives,1.65
995,aren,órgano,nouns,2.9
996,llwy,vaso,nouns,1.1
997,siampên,whisky,nouns,1.15
998,erfyn,pedir prestado,verbs,1.0
999,yn agored,macizamente,adverbs,0.4
1000,gair,pista,nouns,0.3
1001,medrydd,coche,nouns,0.25
1002,bustach,caballo,nouns,1.1
1003,caniatáu,ir,verbs,0.2
1004,storm,huracán,nouns,3.15
1005,ffêr,hueso,nouns,1.2
1006,trwyn,garganta,nouns,0.45
1007,pleidlais,salida,nouns,0.1
1008,ymuno,casarse,verbs,2.5
1009,cymysgu,montar,verbs,0.3
1010,potel,tarro,nouns,2.55
1011,ffôn,víctima,nouns,0.0
1012,anghenfil,demonio,nouns,2.85
1013,cwningen,gato,nouns,0.95
1014,ymosodol,curvo,adjectives,0.0
1015,cythraul,ángel,nouns,0.55
1016,cerdd,ritmo,nouns,1.1
1017,dryswch,histeria,nouns,1.8
1018,erthygl,manuscrito,nouns,1.55
1019,gwneuthurwr,creador,nouns,4.4
1020,methiant,bancarrota,nouns,1.5
1021,rhyddid,censura,nouns,0.15
1022,teledu,cine,nouns,1.7
1023,bri,riqueza,nouns,0.55
1024,melys,eléctrico,adjectives,0.0
1025,petrusgar,colérico,adjectives,0.5
1026,twp,crédulo,adjectives,1.6
1027,awyr,sueño,nouns,0.35
1028,canol,comida,nouns,0.25
1029,cystadlu,terminar,verbs,0.1
1030,glas,rojo,adjectives,0.6
1031,methu,confiar,verbs,0.25
1032,cario ,traer,verbs,1.3
1033,fforddiadwy,barato,adjectives,4.8
1034,anifail anwes,gato,nouns,3.0
1035,egni,batería,nouns,3.0
1036,hyblyg,suelto,adjectives,1.05
1037,drwm,guitarra,nouns,0.9
1038,yn gynnil,tranquilamente,adverbs,1.2
1039,arian,diamante,nouns,0.85
1040,ynys,tarea,nouns,0.05
1041,dweud celwydd,pretender,verbs,1.25
1042,maddau,excusar,verbs,2.5
1043,ymgeisydd,solicitud,nouns,1.75
1044,gofyn,ignorar,verbs,0.1
1045,gwaed,cuerpo,nouns,0.75
1046,smart,tonto,adjectives,0.1
1047,nendwr,palacio,nouns,0.4
1048,drôr,ropa,nouns,0.95
1049,deall,perdonar,verbs,0.85
1050,camera,presidente,nouns,0.45
1051,drws,pasillo,nouns,0.45
1052,cemeg,teoría,nouns,0.65
1053,polyhedron,actor,nouns,0.0
1054,rhesymoli,discutir,verbs,1.35
1055,beirniadol,grosero,adjectives,0.95
1056,llywodraethwr,emperador,nouns,2.65
1057,tŷ,granero,nouns,0.6
1058,diymadferth,vulnerable,adjectives,1.65
1059,oriel,abogado,nouns,0.1
1060,yn fanwl gywir,incorrecto,adjectives,0.1
1061,machlud haul,noche,nouns,2.15
1062,greddf,sentido,nouns,3.65
1063,penelin,tobillo,nouns,0.6
1064,amddiffyn,proteger,verbs,4.65
1065,gwenynen,reina,nouns,0.45
1066,cyfalaf,dinero,nouns,3.65
1067,anghenus,impotente,adjectives,1.05
1068,yn fras,impacientemente,adverbs,0.25
1069,yn amlwg,aproximadamente,adverbs,0.6
1070,cynorthwy-ydd,profesor,nouns,1.6
1071,offeryn,violín,nouns,2.65
1072,losin,manzana,nouns,0.4
1073,mêr,sangre,nouns,0.95
1074,cefnogwr,grillo,nouns,0.05
1075,saethydd,pionero,nouns,0.45
1076,galar,agonía,nouns,3.0
1077,colli,fallar,verbs,3.1
1078,llawr,techo,nouns,0.4
1079,gwrando,entender,verbs,1.1
1080,meddu ar,tomar,verbs,1.6
1081,yn wir,en tono rimbombante,adverbs,0.4
1082,dicter,furia,nouns,4.05
1083,saws,manzana,nouns,0.5
1084,drws,cocina,nouns,0.45
1085,llong,vena,nouns,0.0
1086,blin,feliz,adjectives,0.15
1087,cyfrifiadur,disco,nouns,1.05
1088,llywydd,alcalde,nouns,1.95
1089,cinio,comida,nouns,3.35
1090,blawd,pan,nouns,1.05
1091,ymwrthod,reprimir,verbs,0.6
1092,gafael,abrazar,verbs,1.55
1093,portreadu,decidir,verbs,0.3
1094,gwan,poderoso,adjectives,0.15
1095,cyw iâr,arroz,nouns,0.35
1096,yn ddi-drefn,pacíficamente,adverbs,0.05
1097,crud,moisés,nouns,1.75
1098,maddau,olvidar,verbs,1.7
1099,amaethyddiaeth,planta,nouns,0.75
1100,llywydd,cámara,nouns,0.45
1101,anghofio,conservar,verbs,0.15
1102,top,lado,nouns,0.8
1103,natur,flora,nouns,2.2
1104,cyflawni,volverse,verbs,0.5
1105,ymosod,herir,verbs,2.85
1106,ffotoffon,homófono,nouns,0.55
1107,crio,lloriquear,verbs,4.95
1108,mynd,entrar,verbs,1.65
1109,yn gyflym,urgentemente,adverbs,4.65
1110,diogelwch,comodidad,nouns,1.5
1111,ychwanegu,construir,verbs,1.05
1112,ysglyfaeth,dios,nouns,0.0
1113,osgoi,negar,verbs,1.4
1114,carbohydrad,sacarosa,nouns,1.5
1115,swydd,tarea,nouns,3.8
1116,athletwr,corredor,nouns,3.1
1117,afon,valle,nouns,1.65
1118,dyn,tío,nouns,1.65
1119,stumog,cintura,nouns,1.1
1120,diniwed,gratis,adjectives,0.05
1121,hyfforddwraig,jugador,nouns,0.45
1122,cleddyf,trono,nouns,0.55
1123,fisa,globalismo,nouns,0.5
1124,cynorthwyo,proteger,verbs,1.25
1125,pibell,jardín,nouns,0.25
1126,tad,hijo,nouns,1.25
1127,twyllo,hacer trampas,verbs,4.0
1128,hanfodol,necesario,adjectives,4.95
1129,brawd,hijo,nouns,0.95
1130,angel,demonio,nouns,0.55
1131,gŵr,esposa,nouns,1.75
1132,blwch  ,sombrero,nouns,0.15
1133,enfawr,minúsculo,adjectives,0.15
1134,cymryd rhan,unirse,verbs,3.4
1135,canrif,década,nouns,0.55
1136,tywysog,rey,nouns,1.65
1137,braich,cuello,nouns,0.4
1138,heb ei ddatgelu,abierto,adjectives,0.0
1139,injan,pistón,nouns,2.4
1140,blwyddyn,cumpleaños,nouns,1.25
1141,llawdriniaeth,corazón,nouns,0.6
1142,diffinio,aclarar,verbs,3.45
1143,gwirod,vino,nouns,0.9
1144,crosio,uniforme,nouns,0.15
1145,priodferch,princesa,nouns,1.0
1146,niwed,dolor,nouns,2.1
1147,llac,flexible,adjectives,1.05
1148,creu,destruir,verbs,0.1
1149,pennod,episodio,nouns,4.75
1150,rhoi,permitir,verbs,1.0
1151,herwgipio,robar,verbs,2.3
1152,beic,habitación,nouns,0.15
1153,nos,día,nouns,0.6
1154,absenoldeb,presencia,nouns,0.6
1155,blodyn,arbusto,nouns,1.6
1156,amddiffyn,mantener,verbs,1.5
1157,afal,caramelo,nouns,0.4
1158,gadael,llegar,verbs,0.25
1159,llo,toro,nouns,2.05
1160,negyddol,nunca,adjectives,1.0
1161,reis,pollo,nouns,0.35
1162,ffactorio,descomposición,nouns,1.35
1163,peilliad,estambre,nouns,1.05
1164,teiffŵn,ciclón,nouns,4.25
1165,balchder,alegría,nouns,1.45
1166,ffraeo,racionalizar,verbs,1.35
1167,car,carro,nouns,4.95
1168,tric,tamaño,nouns,0.0
1169,gwawdlyd,desdeñoso,adjectives,3.75
1170,swydd,administración,nouns,0.9
1171,hysbysu,limpiar,verbs,0.0
1172,atom,molécula,nouns,2.15
1173,tywynnu,ojear,verbs,0.25
1174,mwydyn,código malicioso,nouns,0.65
1175,carchar,bar,nouns,0.3
1176,wedi ymlacio,estresado,adjectives,0.1
1177,dathlu,sorprender,verbs,0.5
1178,rhoi,poner,verbs,1.25
1179,carbon,átomo,nouns,1.0
1180,ystafell wely,cama,nouns,1.65
1181,llen,barra,nouns,0.2
1182,ennill,realizar,verbs,2.1
1183,angen,organizar,verbs,0.15
1184,niweidio,atacar,verbs,2.85
1185,tŷ,alfombra,nouns,0.3
1186,dynwared,retratar,verbs,2.45
1187,dwyn,secuestrar,verbs,2.3
1188,ceryddu,pedir,verbs,0.4
1189,newydd,antiguo,adjectives,0.1
1190,caethwas,servidor,nouns,2.5
1191,gwersyll,cabina,nouns,0.95
1192,llenyddiaeth,libro,nouns,2.3
1193,ogleuo,apestar,verbs,3.35
1194,goddefol,violento,adjectives,0.1
1195,yn derfynol,principalmente,adverbs,0.6
1196,telesgop,reunión creativa,nouns,0.0
1197,bachgen,pareja,nouns,0.25
1198,crëwr,fabricante,nouns,4.4
1199,wal,castillo,nouns,0.55
1200,dichonadwy,imposible,adjectives,0.45
1201,cerbyd,autobús,nouns,2.75
1202,realiti,espejismo,nouns,0.2
1203,seren,capilla,nouns,0.5
1204,moleciwl,aire,nouns,0.65
1205,anghrybwylladwy,extramatrimonial,adjectives,0.15
1206,geiriadur,enciclopedia,nouns,2.1
1207,anwybodus,uniforme,adjectives,0.3
1208,trochion,burbuja,nouns,1.0
1209,soffa,silla,nouns,2.6
1210,gofyn,rezar,verbs,1.45
1211,cig eidion,carne,nouns,3.35
1212,eil,sala,nouns,0.4
1213,cyfarfod,nadar,verbs,0.0
1214,danfon,recibir,verbs,0.35
1215,cyhuddo,mentir,verbs,0.55
1216,perl,dinero,nouns,0.65
1217,wal,decoración,nouns,0.55
1218,tad,hombre,nouns,1.95
1219,miliwnydd,dólar,nouns,0.9
1220,hercio,caminar,verbs,0.45
1221,dŵr,coronación,nouns,0.0
1222,proffwydo,suponer,verbs,1.95
1223,gwyddbwyll,comprobar,nouns,0.1
1224,llyfr,materia,nouns,1.15
1225,cosbi,enseñar,verbs,0.3
1226,meddu ,mantener,verbs,2.7
1227,democratiaeth,monarquía,nouns,0.8
1228,blits,ataque,nouns,3.05
1229,anwybodaeth,inteligencia,nouns,0.4
1230,yn falch,pacíficamente,adverbs,0.15
1231,wastad,dos veces,adverbs,0.25
1232,yn syth,una vez,adverbs,1.0
1233,ysgol,grado,nouns,1.15
1234,coch,azul,adjectives,0.6
1235,priodi,unir,verbs,3.55
1236,cynhwysydd,botella,nouns,2.2
1237,myffin,perejil,nouns,0.3
1238,arllwys,gotear,verbs,1.95
1239,twnnel,camino,nouns,1.7
1240,cyfnod,década,nouns,1.95
1241,gorffen,graduarse,verbs,1.4
1242,bywyd wedi marwolaeth,purgatorio,nouns,2.1
1243,meddyg,templar,nouns,0.15
1244,gallu,competencia,nouns,3.55
1245,torf,populacho,nouns,3.95
1246,asteroid,estrella,nouns,2.35
1247,ffraeo,probar,verbs,0.3
1248,gwaelod,lado,nouns,1.0
1249,pont,coche,nouns,0.25
1250,cosbi,obedecer,verbs,0.7
1251,ffraeo,convencer,verbs,0.75
1252,bowlen,cola,nouns,0.1
1253,ysbryd,dios,nouns,1.4
1254,sobr,borracho,adjectives,0.15
1255,neigaredd,rey,nouns,1.0
1256,ffoi,escapar,verbs,5.3
1257,dod,ir,verbs,1.05
1258,sinema,televisión,nouns,1.7
1259,pryd bwyd,cintura,nouns,0.25
1260,rhifyddeg,ritmo,nouns,0.45
1261,ystadegau,tenis,nouns,0.25
1262,ymwrthod,desconocer,verbs,1.35
1263,oeraidd,áspero,adjectives,0.75
1264,llygredd,atmósfera,nouns,1.25
1265,poen,daño,nouns,2.1
1266,dillad,paño,nouns,1.25
1267,abdomen,vientre,nouns,4.4
1268,bachgen,condición,nouns,0.05
1269,trafferthu,ofender,verbs,0.95
1270,gadael,tomar,verbs,0.25
1271,methu,hacer huelga,verbs,0.15
1272,yn onest,nunca,adverbs,0.1
1273,disg,ordenador,nouns,1.05
1274,cario ,tomar,verbs,0.7
1275,sgwrs,comunicación,nouns,3.65
1276,dyn,padre,nouns,1.95
1277,dŵr,hielo,nouns,1.35
1278,gwesty,apartamento,nouns,0.65
1279,ofnus,nervioso,adjectives,2.85
1280,disgyrchiant,meteorito,nouns,1.0
1281,presenoldeb,ausencia,nouns,0.6
1282,grawnfwyd,trigo,nouns,1.95
1283,llaw,muñeca,nouns,1.9
1284,angenrheidiol,importante,adjectives,3.35
1285,menyn,patata,nouns,0.45
1286,crio,reír,verbs,0.2
1287,cab,coche,nouns,3.95
1288,annibynadwy,tortuoso,adjectives,1.1
1289,anifail,persona,nouns,0.3
1290,diflas,aburrido,adjectives,4.25
1291,lleng,ejército,nouns,3.35
1292,asgwrn cefn,cuerpo,nouns,0.6
1293,rhythm,poema,nouns,1.1
1294,seicoleg,ciencia,nouns,1.35
1295,jar,botella,nouns,2.55
1296,atgoffa,vender,verbs,0.0
1297,yn uchel,locamente,adverbs,0.55
1298,lemwn,manzana,nouns,0.85
1299,cerbyd,coche,nouns,4.95
1300,cynorthwy-ydd,mucama,nouns,2.2
1301,trefnu,desorganizado,verbs,0.1
1302,newynog,sediento,adjectives,1.4
1303,talu,tratar,verbs,0.1
1304,yn syml,aparentemente,adverbs,0.4
1305,agwedd,confianza,nouns,1.55
1306,yn arw,groseramente,adverbs,0.4
1307,yn ystyrlon,especialmente,adverbs,1.9
1308,cawl,cena,nouns,1.7
1309,cryf,orgulloso,adjectives,0.85
1310,deall,escucha,verbs,1.1
1311,yn wahanol,terminalmente,adverbs,0.0
1312,yn fras,fácilmente,adverbs,0.15
1313,diogel,tedioso,adjectives,0.05
1314,balŵn,bañera,nouns,0.05
1315,hurt,inteligente,adjectives,0.3
1316,mam,amigo,nouns,0.75
1317,lamp,genio,nouns,0.5
1318,cadw,olvidar,verbs,0.15
1319,boddi,salvar,verbs,0.2
1320,sŵn,raqueta,nouns,0.15
1321,chwerthin,cantar,verbs,0.4
1322,brwnt,estrecho,adjectives,0.0
1323,gwadu,confesión,nouns,0.75
1324,enfawr,astronómico,adjectives,1.0
1325,gofyn,alegar,verbs,1.4
1326,moleciwl,matriz,nouns,0.35
1327,beibl,himno,nouns,0.55
1328,meddyg,profesor,nouns,0.7
1329,codiad haul,puesta de sol,nouns,0.85
1330,gwialen,cortina,nouns,0.2
1331,cul,largo,adjectives,0.35
1332,canolig,aburrido,adjectives,0.45
1333,eisiau,pedir prestado,verbs,0.6
1334,pwffian chwerthin,reír,verbs,5.25
1335,mynach,cruzar,nouns,0.35
1336,tasg,asignación,nouns,4.85
1337,cwtsh,abrazo,verbs,4.2
1338,ymbarél,calibre,nouns,0.1
1339,sffer,pelota,nouns,3.45
1340,braich,rodilla,nouns,0.6
1341,dechrau,ir,verbs,0.5
1342,cenedlaethol,conocido,adjectives,0.2
1343,arsylwi,mirar,verbs,3.6
1344,clecian,crujir,verbs,1.8
1345,plymio,crear,verbs,0.0
1346,anghwrtais,ruidoso,adjectives,0.55
1347,mynach,sacerdote,nouns,2.65
1348,caled,sencillo,adjectives,0.1
1349,gwerth,tarifa,nouns,2.4
1350,miniog,suave,adjectives,0.4
1351,gwrthod,mentir,verbs,0.7
1352,gwawr,día,nouns,1.85
1353,dadlau,pedir,verbs,1.25
1354,trafod syniadau,telescopio,nouns,0.0
1355,perygl,amenaza,nouns,3.95
1356,gwefus,boca,nouns,2.45
1357,anystwyth,fácil,adjectives,0.05
1358,gwisgo,romper,verbs,0.0
1359,rhith,realidad,nouns,0.2
1360,encilio,descender,verbs,0.75
1361,aer,molécula,nouns,0.65
1362,yn sicr,obviamente,adverbs,2.45
1363,sinema,palomitas de maiz,nouns,1.4
1364,etholiad,decisión,nouns,3.55
1365,cul,ancho,adjectives,0.15
1366,difetha,oler,verbs,0.0
1367,derbyn,rechazar,verbs,0.15
1368,disgwyl,salir,verbs,0.2
1369,brest,cuerpo,nouns,1.05
1370,cadair,banco,nouns,3.25
1371,camera,continuación,nouns,0.1
1372,ymuno,adquirir,verbs,0.5
1373,creu,bucear,verbs,0.0
1374,dosbarthu,aceptar,verbs,0.25
1375,barnu,decidir,verbs,2.8
1376,rhesymeg,inteligencia,nouns,2.7
1377,cyffes,negación,nouns,0.75
1378,dillad,armario,nouns,1.2
1379,wisgi,ginebra,nouns,1.4
1380,deall,saber,verbs,2.55
1381,pibell,coche,nouns,0.15
1382,matrics,molécula,nouns,0.35
1383,wedi tyfu,inmaduro,adjectives,0.3
1384,bywgraffiad,ficción,nouns,0.35
1385,garw,frígido,adjectives,0.75
1386,chwerthin,reirse,verbs,5.25
1387,fel arfer,sinceramente,adverbs,0.6
1388,gadael,deambular,verbs,1.1
1389,allwedd,corona,nouns,0.1
1390,swil,asustado,adjectives,2.15
1391,gadael,hacer,verbs,0.2
1392,cae,avena,nouns,0.45
1393,asid,base,nouns,0.5
1394,caniatáu,erosionar,verbs,0.0
1395,cyhyr,brazo,nouns,1.0
1396,dyn,niño,nouns,0.5
1397,hawdd,rígido,adjectives,0.05
1398,terfyn,frontera,nouns,4.6
1399,danfon,asistir,verbs,0.35
1400,pili-pala,rosa,nouns,0.35
1401,gradd,colegio,nouns,1.15
1402,yn naturiol,antinaturalmente,adverbs,0.1
1403,rhif,dígito,nouns,5.15
1404,gwynt,chubasco,nouns,2.0
1405,ufuddhau,escuchar,verbs,1.3
1406,geiser,primavera,nouns,0.3
1407,plentyn,hombre,nouns,0.5
1408,glaw,tormenta de nieve,nouns,0.75
1409,hawdd,difícil,adjectives,0.1
1410,tagu,matar,verbs,1.2
1411,baner,polo,nouns,0.5
1412,top,fondo,nouns,0.25
1413,pencampwr,ganador,nouns,5.0
1414,osôn,atmósfera,nouns,1.85
1415,sylw,conciencia,nouns,1.9
1416,main,delgado,adjectives,3.5
1417,crynnu,congelar,verbs,1.3
1418,tywydd,nube,nouns,0.85
1419,derbyn,tomar,verbs,1.9
1420,cyflogwr,empleado,nouns,0.8
1421,sgwâr,mapa,nouns,0.25
1422,haeddu,ganar,verbs,1.1
1423,llyfn,agudo,adjectives,0.4
