ID,FRA,HEB,PoS,score
723,conduire,לדשדש,verbs,0.5
724,regarder,להתבונן,verbs,5.55
725,népotisme,מלך,nouns,1.7
726,souris,הנהלה,nouns,0.0
727,disque,מטען,nouns,0.75
728,principalement,סופני,adverbs,0.0
729,déchirer,ללבוש,verbs,0.25
730,agressif,מעוקל,adjectives,0.05
731,date,יומן,nouns,2.25
732,bois,נייר,nouns,2.0
733,corridor,פרוזדור,nouns,5.65
734,mettre,לקבל,verbs,0.65
735,entrer,לחוב,verbs,0.15
736,voiture,מונית,nouns,3.35
737,gin,וויסקי,nouns,3.25
738,connu,לאומי,adjectives,1.4
739,mal,איום,adjectives,3.0
740,accepter,להכחיש,verbs,1.05
741,dent,עצם,nouns,2.25
742,réduire,לספוג,verbs,0.3
743,bateau,עץ,nouns,0.75
744,demander,להתפלל,verbs,3.2
745,connu,טוב,adjectives,1.05
746,affreux,רע,adjectives,3.0
747,propre,מבולגן,adjectives,1.2
748,nuage,אגם,nouns,0.8
749,perspicacité,עובדה,nouns,1.6
750,perle,כסף,nouns,1.25
751,injustement,ללא הגיון,adverbs,2.2
752,moulin,זרע,nouns,1.6
753,nuit,שחר,nouns,2.0
754,sentir,לקלקל,verbs,0.15
755,mère,אבא,nouns,2.65
756,rejeter,למנוע,verbs,1.55
757,exactement,נמרצות,adverbs,0.9
758,intelligent,חכם,adjectives,5.05
759,drapeau,מוט,nouns,1.75
760,nouvelle,מאמר מערכת,nouns,2.75
761,ici,עכשיו,adverbs,2.4
762,fâché,שמח,adjectives,1.2
763,justifier,לטעון,verbs,2.1
764,développement,גיוס כספים,nouns,1.35
765,évidemment,באופן מקומי,adverbs,0.25
766,république,דוכס,nouns,0.75
767,canapé,מיטה,nouns,2.85
768,épée,כס,nouns,0.8
769,dense,מטומטם,adjectives,0.15
770,joie,גאווה,nouns,2.6
771,date,תאריך,nouns,2.25
772,scénariste,טלויזיה,nouns,1.5
773,à l'extérieur,בבית,adverbs,1.45
774,accident,חירום,nouns,2.6
775,berceau,מיטה,nouns,3.85
776,veine,זרוע,nouns,1.3
777,vin,ליקר,nouns,2.35
778,fou,שמח,adjectives,1.15
779,être d'accord,לרצות,verbs,1.65
780,innocent,נאיבי,adjectives,5.6
781,immoral,פלילי,adjectives,2.7
782,payer,לטפל,verbs,1.15
783,intelligent,ערמומי,adjectives,2.35
784,donner,להניח,verbs,1.3
785,dissertation,ספר,nouns,1.5
786,environnement,חרב,nouns,0.05
787,fermer,להקיא,verbs,0.1
788,suspect,איש,nouns,1.15
789,évidemment,בוודאי,adverbs,3.55
790,gymnastique,סיוף,nouns,1.9
791,bon,מוכר,adjectives,1.05
792,sale,מדהים,adjectives,0.5
793,petit déjeuner,בייקון,nouns,1.5
794,morale,אגדה,nouns,1.05
795,casser,לסדוק,verbs,3.75
796,atome,פחמן,nouns,2.45
797,gorge,אף,nouns,1.95
798,permettre,לאפשר,verbs,4.9
799,à domicile,הרחק,adverbs,1.45
800,ordinaire,מדהים,adjectives,1.05
801,chenille,תולעת משי,nouns,3.0
802,poète,עיתונאי,nouns,1.7
803,discrètement,בוודאי,adverbs,0.65
804,harmonie,פסנתר,nouns,1.5
805,religion,חילוניות,nouns,1.55
806,maison,שטיח,nouns,1.15
807,muffin,פטרוזיליה,nouns,0.7
808,année,יום הולדת,nouns,2.0
809,gagner,לקצור,verbs,2.85
810,population,אנשים,nouns,3.8
811,cloche,מגדל,nouns,1.3
812,comprendre,לדעת,verbs,2.9
813,lit,ספה,nouns,2.85
814,roi,נסיכה,nouns,2.65
815,conquête,המנון,nouns,0.65
816,atome,מולקולה,nouns,3.3
817,chirurgie,לב,nouns,1.35
818,se dépêcher,למהר,verbs,5.3
819,farine,לחם,nouns,2.05
820,mourir,לקבור,verbs,1.7
821,adulte,תינוק,nouns,1.8
822,étrange,ביזארי,adjectives,5.65
823,créer,להרוס,verbs,1.25
824,échapper,למצוא,verbs,0.7
825,barres,קפיצה,nouns,1.4
826,court,ארוך,adjectives,1.4
827,fermement,מאוד,adverbs,1.0
828,étranger,מתרגם,nouns,1.1
829,capturer,לחקות,verbs,0.4
830,d'habitude,לעיתים נדירות,adverbs,1.7
831,combat,לוחמנות,nouns,3.85
832,guerrier,גבר,nouns,2.05
833,football américain,פוטבול,nouns,3.6
834,programme,מבחן,nouns,1.4
835,instamment,במהירות,adverbs,3.75
836,signe,סמל,nouns,5.1
837,muscle,זרוע,nouns,2.0
838,jeu,פעילות,nouns,2.85
839,fastidieux,מוגן,adjectives,0.3
840,tennis,סטטיסטיקה,nouns,0.35
841,mélanger,לבחוש,verbs,5.05
842,coupable,כן,adjectives,0.9
843,sauce,תפוח,nouns,1.1
844,tête,כתף,nouns,2.05
845,agriculture,צמח,nouns,1.7
846,plafond,רצפה,nouns,1.65
847,procureur,עורך דין,nouns,2.75
848,tranchant,קהה,adjectives,0.85
849,boire,לגדל,verbs,0.05
850,cuillère,מיץ,nouns,0.75
851,vitamine,ברזל,nouns,2.2
852,iris,אצטילכולין,nouns,nan
853,radar,ג'ויסטיק,nouns,0.2
854,contrarier,לעצבן,verbs,5.25
855,monarchie,דמוקרטיה,nouns,2.15
856,deux fois,תמיד,adverbs,1.2
857,aube,לילה,nouns,2.0
858,pacifiquement,בהרס,adverbs,0.7
859,frère,אב,nouns,2.15
860,sang,וירוס,nouns,1.6
861,chauve-souris,ערפד,nouns,2.9
862,boeuf,בשר,nouns,3.05
863,activement,בשמחה,adverbs,0.55
864,lit,מרפאה,nouns,1.3
865,sûr,מעיק,adjectives,0.3
866,repas,סעודה,nouns,4.9
867,collecter,לסדר,verbs,1.85
868,supposer,לחזות,verbs,3.5
869,astuce,אמבטיה,nouns,0.0
870,statue,פסל,nouns,4.65
871,concrètement,לאחרונה,adverbs,0.25
872,organiser,לאסוף,verbs,1.85
873,appareil photo,עדשה,nouns,2.2
874,curseur,שבבים,nouns,0.25
875,rare,אקזוטי,adjectives,4.65
876,reconnaître,להסכים,verbs,4.7
877,jeu,טריק,nouns,1.95
878,attraper,לשחרר,verbs,0.7
879,zéro,אינסוף,nouns,1.7
880,porte,נוכחות,nouns,0.3
881,triste,נורא,adjectives,2.1
882,milk-shake,מיץ,nouns,2.3
883,exiger,לגעור,verbs,1.45
884,suffixe,מוספית,nouns,3.55
885,moniteur,מסך,nouns,4.8
886,avalanche,שלג,nouns,2.3
887,carbone,אטום,nouns,2.45
888,batterie,תיאטרון,nouns,0.05
889,venir,להגיע,verbs,5.05
890,chapitre,זנב,nouns,0.2
891,limite,תחום,nouns,4.95
892,câble,תיל,nouns,4.0
893,grossièrement,בוודאי,adverbs,0.85
894,bouche,שיניים,nouns,2.3
895,permettre,לתת,verbs,2.1
896,photophone,הומופון,nouns,0.75
897,légèrement,בבהירות,adverbs,0.7
898,paresseux,יקר ערך,adjectives,0.1
899,tabouret,כיסא,nouns,3.75
900,distance,פרספקטיבה,nouns,2.45
901,pont,קלף,nouns,0.95
902,lemme,הברה,nouns,1.8
903,haut,תחתית,nouns,1.75
904,grimper,לטייל,verbs,2.15
905,badge,זכוכית,nouns,0.45
906,briser,לרסק,verbs,5.3
907,avoine,שדה,nouns,1.85
908,croiseur,ספינת מלחמה,nouns,5.3
909,acteur,טלויזיה,nouns,1.45
910,courroucé,הססן,adjectives,0.95
911,fourrure,מינק,nouns,3.35
912,bras,רגל,nouns,2.4
913,groupe,ליקר,nouns,0.15
914,emploi,הנהלה,nouns,1.7
915,mètre,יארד,nouns,3.55
916,marque,מועדון,nouns,0.25
917,révision,תחזית,nouns,1.15
918,menu,הזמנה,nouns,1.75
919,régime,תפוח,nouns,1.1
920,alcool,ברנדי,nouns,3.05
921,stupide,טיפשי,adjectives,5.25
922,donner,לשמור,verbs,1.25
923,virus,דם,nouns,1.6
924,ordinaire,קר,adjectives,0.4
925,chèvre,פרה,nouns,2.15
926,rester,לשמור,verbs,1.25
927,moelle,דם,nouns,1.95
928,coton,סוודר,nouns,1.55
929,faute,מערכת,nouns,0.4
930,industrie,עסק,nouns,2.45
931,triste,גאה,adjectives,0.9
932,frigide,שביר,adjectives,0.5
933,fluide,זרבובית,nouns,1.3
934,corps,לבנים,nouns,1.05
935,action,נכס,nouns,3.5
936,croyance,דעה,nouns,4.3
937,jument,סוס,nouns,3.9
938,film,ניהיליזם,nouns,0.3
939,mal,מעולה,adjectives,0.75
940,épouse,אמא,nouns,2.9
941,détendu,רגוע,adjectives,5.1
942,pur,צנוע,adjectives,1.4
943,homophone,פוטופון,nouns,0.75
944,foule,חבורה,nouns,3.85
945,mélanger,לבשל,verbs,1.85
946,pied,יד,nouns,1.9
947,inexactement,בדיוק,adverbs,1.25
948,pousser,למשוך,verbs,1.7
949,constitution,קיסר,nouns,0.9
950,nerf,מעי,nouns,1.05
951,os,שיניים,nouns,2.25
952,tuer,להגן,verbs,1.05
953,étamine,האבקה,nouns,2.15
954,mot,עמוד,nouns,1.75
955,appareil photo,המשך,nouns,0.15
956,fiançailles,טבעת,nouns,2.25
957,suite,מצלמה,nouns,0.15
958,ouvertement,בעוצמה,adverbs,0.9
959,bras,שריר,nouns,2.0
960,impatient,חרד,adjectives,1.9
961,voiture,רחוב,nouns,1.2
962,promenade,מסע,nouns,4.0
963,ananas,טלפון סללורי,nouns,0.0
964,sembler,להפוך,verbs,0.85
965,être d'accord,לחלוק,verbs,1.35
966,prêter,לחוב,verbs,1.35
967,œil,דמעה,nouns,1.65
968,probablement,בהחלט,adverbs,1.45
969,envoyer,ללכת,verbs,0.8
970,fête,מסיכה,nouns,1.4
971,avocat,גלריה,nouns,0.05
972,têtu,טיפש,adjectives,1.4
973,pièce,אמבטיה,nouns,1.4
974,porter,לקרוע,verbs,0.25
975,disparaître,למצוא,verbs,0.7
976,rassembler,לאסוף,verbs,5.45
977,flexible,צנוע,adjectives,0.3
978,congrès,פרלמנט,nouns,4.1
979,communication,חדשות,nouns,3.15
980,port,עטיפה,nouns,1.4
981,trébucher,ליפול,verbs,4.5
982,ce soir,מחר,adverbs,1.55
983,tribunal,צדק,nouns,2.95
984,bébé,מבוגר,nouns,1.8
985,haïr,לתעב,verbs,5.05
986,porte,שער,nouns,4.55
987,campagne,קוף,nouns,0.05
988,confidentiel,גלוי,adjectives,0.9
989,fort,גאה,adjectives,1.05
990,unique,הפוך,adjectives,0.4
991,faux,אמיתי,adjectives,1.35
992,comparer,לנתח,verbs,2.75
993,satisfaire,לבדר,verbs,0.95
994,bouilli,מבושל,adjectives,3.55
995,os,זרוע,nouns,1.75
996,sujet,סיפור,nouns,1.7
997,différemment,באופן מוזר,adverbs,1.0
998,spécial,בעל ערך,adjectives,3.25
999,tour,משחק,nouns,1.95
1000,échouage,חדר,nouns,1.5
1001,hymne,תורה,nouns,0.55
1002,jouer,לריב,verbs,1.55
1003,donner,לגנוב,verbs,1.1
1004,parapsychologie,נוירופסיכולוגיה,nouns,1.95
1005,cabine,טלפון,nouns,1.05
1006,confiant,ודאי,adjectives,5.6
1007,trimestre,סמסטר,nouns,3.3
1008,jour,לילה,nouns,1.7
1009,circonstance,מצב,nouns,4.75
1010,champ,שיבולת שועל,nouns,1.85
1011,paume,אצבע,nouns,1.95
1012,enquêter,לרדוף,verbs,1.5
1013,application,גלקסי,nouns,0.4
1014,illusion,מציאות,nouns,1.65
1015,attacher,לשזור,verbs,3.35
1016,animal de compagnie,חתול,nouns,3.45
1017,brûler,לחנוק,verbs,0.7
1018,hôtel,דירה,nouns,2.1
1019,détruire,ליצור,verbs,1.25
1020,fiablement,בערך,adverbs,0.65
1021,communiquer,להתפלל,verbs,1.15
1022,pardonner,לסלוח,verbs,5.85
1023,vouloir,להשאיל,verbs,0.6
1024,ceinture,לולאה,nouns,1.95
1025,chalet,מחנה,nouns,1.3
1026,soustraire,להפסיד,verbs,2.15
1027,ignorer,לבקש,verbs,0.9
1028,bras,כתף,nouns,2.4
1029,accepter,לסרב,verbs,1.4
1030,chaise,שרפרף,nouns,3.75
1031,histoire,עפרון,nouns,0.5
1032,clairement,בוודאי,adverbs,3.5
1033,auteur,קורא,nouns,1.75
1034,falaise,גבעה,nouns,2.5
1035,crocodile,לטאה,nouns,3.1
1036,bouche,אף,nouns,1.9
1037,force,יכולת,nouns,3.05
1038,opéra,קולנוע,nouns,2.7
1039,structure,טופולוגיה,nouns,3.15
1040,ruelle,רחוב,nouns,4.25
1041,exiger,להתווכח,verbs,1.35
1042,profondément,באופן משמעותי,adverbs,3.05
1043,unir,לחלק,verbs,1.45
1044,bible,המנון,nouns,0.55
1045,chiffre,מספר,nouns,5.2
1046,sûr,חוקי,adjectives,1.5
1047,ordinateur,דיסק,nouns,1.65
1048,préjugé,דעה,nouns,3.45
1049,déguiser,לכסות,verbs,3.05
1050,décennie,עידן,nouns,2.75
1051,emballage,מחסה,nouns,1.4
1052,boîte,כובע,nouns,0.7
1053,découvert,מכוסה,adjectives,1.35
1054,honnêtement,בכנות,adverbs,5.75
1055,roi,נפוטיזם,nouns,1.7
1056,rabbin,שר,nouns,1.25
1057,feuille,נבט,nouns,1.6
1058,fourrure,אישה,nouns,0.45
1059,voler,לקנות,verbs,1.15
1060,adorer,להתפעל,verbs,4.15
1061,créer,לצייר,verbs,2.5
1062,molécule,אוויר,nouns,1.8
1063,lézard,ממשלה,nouns,0.05
1064,canapé,כיסא,nouns,2.9
1065,laisser,לנדוד,verbs,0.95
1066,glace,שלג,nouns,3.55
1067,revenu,מס,nouns,1.65
1068,diable,אל,nouns,2.15
1069,enseigner,להעניש,verbs,0.85
1070,national,גדול,adjectives,0.5
1071,dollar,מיליונר,nouns,1.6
1072,crier,לצרוח,verbs,5.0
1073,os,שריר,nouns,1.65
1074,faible,חזק,adjectives,1.2
1075,écosystème,כלכלה,nouns,1.25
1076,tiroir,בגדים,nouns,1.25
1077,auberge,מוטל,nouns,4.45
1078,rabbin,מורה,nouns,2.05
1079,polyèdre,שחקן,nouns,0.6
1080,rugueux,נוקשה,adjectives,1.0
1081,autobus,מונית,nouns,2.7
1082,taureau,עגל,nouns,2.85
1083,névrose,נפש,nouns,1.45
1084,prendre,לשאת,verbs,1.9
1085,bague,אירוסין,nouns,2.25
1086,lire,להבין,verbs,1.1
1087,feu,אפוקליפסה,nouns,1.35
1088,apprendre,לספוג,verbs,2.2
1089,voiture,גשר,nouns,0.7
1090,pistolet,תותח,nouns,2.85
1091,maire,נשיא,nouns,2.35
1092,bas,פסגה,nouns,1.75
1093,injustement,בהגינות,adverbs,1.3
1094,cheville,עצם,nouns,2.05
1095,sorcier,כבל,nouns,0.15
1096,ciel,שמש,nouns,1.9
1097,détacher,לפצל,verbs,1.8
1098,professeur,חבר,nouns,1.15
1099,mince,רזה,adjectives,5.15
1100,fraternité,גברים,nouns,1.4
1101,mère,רעיה,nouns,2.9
1102,loucher,לבהות,verbs,0.9
1103,mathématicien,הצגה,nouns,0.15
1104,secourir,להציל,verbs,5.75
1105,fille,עוזרת,nouns,0.85
1106,agréable,אכזרי,adjectives,0.95
1107,enterrer,לכסות,verbs,3.0
1108,flexible,אלסטי,adjectives,5.15
1109,dispositif,סיר,nouns,0.55
1110,soigneusement,באופן מסוכן,adverbs,0.85
1111,moine,צלב,nouns,1.55
1112,suspecter,לעצור,verbs,1.2
1113,paisiblement,בגאווה,adverbs,0.55
1114,chapeau,קופסה,nouns,0.7
1115,souris,מיכל,nouns,0.05
1116,taxi,מכונית,nouns,3.35
1117,débuter,החל,verbs,5.65
1118,chaise,ספסל,nouns,3.1
1119,ouvrier,מצלמה,nouns,0.15
1120,précis,שגוי,adjectives,0.75
1121,semis,עלה,nouns,1.6
1122,inhabituel,נדיר,adjectives,4.9
1123,ongle,אגודל,nouns,2.2
1124,chevaucher,לרוץ,verbs,1.25
1125,prédire,לשער,verbs,3.5
1126,gomme,מנטה,nouns,1.1
1127,situation,נסיבות,nouns,4.75
1128,émotion,תשוקה,nouns,3.45
1129,agripper,אחז,verbs,5.25
1130,bizarre,נורמלי,adjectives,1.4
1131,gestion,עכבר,nouns,0.0
1132,tête,ציפורן,nouns,0.95
1133,glace,מים,nouns,3.2
1134,nier,לשקר,verbs,1.95
1135,organiser,לארגן,verbs,4.9
1136,poignet,זרוע,nouns,2.2
1137,scientifique,אחות,nouns,0.95
1138,richesse,עוני,nouns,1.45
1139,jamais,שלילי,adjectives,1.7
1140,manifeste,חבוי,adjectives,0.9
1141,inutile,הכרחי,adjectives,1.4
1142,grand,גדול,adjectives,3.9
1143,timide,יקר,adjectives,0.15
1144,section,צבא,nouns,2.25
1145,dire,לאמת,verbs,0.9
1146,récompense,תשלום,nouns,4.15
1147,article,כתב יד,nouns,2.45
1148,gâcher,להריח,verbs,0.15
1149,bras,ברך,nouns,1.85
1150,poli,ראוי,adjectives,1.6
1151,volley-ball,כדור,nouns,2.1
1152,livre,ספרות,nouns,2.55
1153,boîte,מקור,nouns,0.0
1154,désordonné,נקי,adjectives,1.2
1155,acteur,פאון,nouns,0.6
1156,étoile,אסטרואיד,nouns,2.55
1157,vieux,טרי,adjectives,0.65
1158,coucher de soleil,זריחה,nouns,2.45
1159,mettre,לתת,verbs,1.3
1160,bière,שמפניה,nouns,2.7
1161,sortie,זכות בחירה,nouns,0.3
1162,diviser,לנתק,verbs,1.8
1163,difficile,קל,adjectives,1.3
1164,écouter,ללמוד,verbs,2.0
1165,orage,הוריקן,nouns,3.6
1166,rue,מכונית,nouns,1.2
1167,battre,לנצח,verbs,4.1
1168,dictionnaire,מילה,nouns,2.3
1169,cave,דלת,nouns,1.05
1170,certainement,בוודאי,adverbs,5.8
1171,nature,צמחייה,nouns,3.05
1172,astuce,גודל,nouns,0.0
1173,fureur,כעס,nouns,5.2
1174,dur,קל,adjectives,1.2
1175,plage,ים,nouns,2.9
1176,téléphone,טלפון סלולרי,nouns,5.0
1177,récemment,בזמן האחרון,adverbs,5.7
1178,donner,לקבל,verbs,1.65
1179,lire,לנשוך,verbs,0.0
1180,chalet,ביתן,nouns,3.6
1181,fromage,לחם,nouns,1.65
1182,pluie,ערפל,nouns,2.55
1183,incroyablement,באופן פנטסטי,adverbs,5.5
1184,radiateur,חיישן,nouns,0.9
1185,choix,בחירות,nouns,3.3
1186,intelligent,מטומטם,adjectives,1.25
1187,garder,להשאיל,verbs,1.5
1188,pistolet,מחברת,nouns,0.1
1189,faisable,בלתי אפשרי,adjectives,1.35
1190,bal,תחפושת,nouns,1.15
1191,foule,המון,nouns,5.05
1192,activement,במדוייק,adverbs,0.9
1193,rationaliser,לטעון,verbs,3.4
1194,fenêtre,דלת,nouns,2.05
1195,ampoule,הדגמה,nouns,0.15
1196,généreux,נחמד,adjectives,1.9
1197,maison,מפתח,nouns,1.4
1198,différer,להסכים,verbs,1.25
1199,immédiatement,פעם אחת,adverbs,0.85
1200,calme,ניטרלי,adjectives,1.8
1201,passivement,במרץ,adverbs,1.1
1202,large,טרי,adjectives,0.1
1203,succès,מסגרת,nouns,0.1
1204,chaîne,שקיעה,nouns,0.0
1205,spécialement,באופן משמעותי,adverbs,2.45
1206,partir,לפנות,verbs,1.7
1207,nuage,תחזית,nouns,1.85
1208,champagne,בירה,nouns,2.7
1209,os,צוואר,nouns,1.55
1210,content,כועס,adjectives,1.15
1211,parasite,מדביר,nouns,1.65
1212,vaste,צר,adjectives,1.05
1213,facile,גדול,adjectives,0.55
1214,tambour,קרן,nouns,1.6
1215,chien,סוס,nouns,1.7
1216,attraper,לרדוף,verbs,1.75
1217,saisir,לקרוא,verbs,1.1
1218,garder,להפסיד,verbs,1.1
1219,laisser,לפגוש,verbs,0.7
1220,nez,גרון,nouns,1.95
1221,neveu,דודה,nouns,1.9
1222,désorganisé,מסודר,verbs,1.35
1223,annoncer,להכריז,verbs,5.15
1224,randonner,לטפס,verbs,2.15
1225,chat,אריה,nouns,2.5
1226,justice,בית דין,nouns,2.95
1227,se fracasser,לרסק,verbs,5.25
1228,centime,גודל,nouns,0.15
1229,pull-over,כותנה,nouns,1.55
1230,émotionnellement,בעצב,adverbs,1.65
1231,femme,מזכירה,nouns,1.5
1232,coin,אזור,nouns,1.2
1233,fer,ויטמין,nouns,2.2
1234,manette,רדאר,nouns,0.2
1235,vison,פרווה,nouns,3.35
1236,cockpit,טייס משנה,nouns,1.6
1237,joue,לשון,nouns,1.65
1238,uniforme,חסר צורה,adjectives,0.6
1239,fourrure,אקדח,nouns,0.05
1240,voler,לתת,verbs,1.1
1241,taille,גודל,nouns,4.0
1242,devenir,להראות,verbs,0.85
1243,panier,כדור,nouns,1.15
1244,dîner,ארוחת בוקר,nouns,3.25
1245,diviser,לאחד,verbs,1.45
1246,devoir,להיכנס,verbs,0.15
1247,arme,קסדה,nouns,1.7
1248,effrayé,נרגש,adjectives,1.35
1249,engloutir,לגמוע,verbs,2.65
1250,accident,אסון,nouns,4.5
1251,baignoire,רעיה,nouns,0.1
1252,aggraver,לתקוף,verbs,1.1
1253,vraiment,לחלוטין,adverbs,2.25
1254,couverture,סערה,nouns,0.45
1255,bizarrement,בטבעיות,adverbs,1.2
1256,revêtement,אופניים,nouns,0.3
1257,éroder,לאפשר,verbs,0.2
1258,pesticide,מזיק,nouns,1.65
1259,croître,להתכווץ,verbs,1.45
1260,réprimander,לדרוש,verbs,1.45
1261,poterie,קרמיקה,nouns,4.3
1262,copilote,שוטר,nouns,1.0
1263,pacte,תנאי,nouns,1.85
1264,ongle,ראש,nouns,0.95
1265,barrière,מעקה,nouns,3.95
1266,probablement,ייתכן,adverbs,5.0
1267,anxieux,חושש,adjectives,4.1
1268,persuader,לרדוף,verbs,0.6
1269,droit,לימודים,nouns,1.35
1270,président,זיהום,nouns,0.3
1271,envoyer,להגיע,verbs,0.7
1272,heureux,משוגע,adjectives,1.1
1273,parfaitement,באמת,adverbs,2.25
1274,molécule,אטום,nouns,3.3
1275,démon,מלאך,nouns,1.7
1276,prétendre,להראות,verbs,1.55
1277,fouetter,להכות,verbs,4.55
1278,boîte,תא,nouns,2.45
1279,pont,עכבר,nouns,0.1
1280,pathogène,חיידק,nouns,3.55
1281,appartement,בית,nouns,4.2
1282,improbable,באופן ידידותי,adverbs,0.0
1283,hiver,קיץ,nouns,2.05
1284,fier,עצוב,adjectives,0.9
1285,prêtre,אל,nouns,1.7
1286,cabine,תיבה,nouns,2.45
1287,plafond,קתדרלה,nouns,0.65
1288,principauté,דוכסות,nouns,4.4
1289,frapper,להעניש,verbs,2.4
1290,brut,מכוער,adjectives,1.3
1291,émeute,ציור,nouns,0.25
1292,ballon,כדורעף,nouns,2.1
1293,fenêtre,ענן,nouns,0.7
1294,patient,פגישה,nouns,0.65
1295,coeur,ניתוח,nouns,1.35
1296,héros,גיבורה,nouns,4.15
1297,concrètement,באופן אידיאלי,adverbs,1.4
1298,extraterrestre,זר,nouns,2.85
1299,moine,כומר,nouns,4.3
1300,symbole,סימן,nouns,5.1
1301,couvrir,להסוות,verbs,3.05
1302,eau,קרח,nouns,3.2
1303,collecte de fonds,פיתוח,nouns,1.35
1304,nihilisme,סרט,nouns,0.3
1305,docteur,רופא,nouns,5.5
1306,basket,מדליה,nouns,0.75
1307,attacher,לאחד,verbs,3.55
1308,fierté,שמחה,nouns,2.6
1309,dire,לבטא,verbs,4.8
1310,préchauffage,חימום מחדש,nouns,3.15
1311,obtenir,להשאיר,verbs,0.55
1312,nécessaire,מיותר,adjectives,1.4
1313,arbre,עלה,nouns,2.0
1314,extraverti,נחמד,adjectives,2.4
1315,certainement,בברור,adverbs,3.5
1316,manquer,לפגוע,verbs,1.6
1317,bonheur,מזל,nouns,1.85
1318,rigide,קל,adjectives,0.6
1319,information,ספר,nouns,1.8
1320,code,סמל,nouns,2.9
1321,illustration,שלפוחית,nouns,0.15
1322,créateur,יוצר,nouns,5.15
1323,tâche,עבודה,nouns,4.25
1324,citron,תה,nouns,1.25
1325,chœur,כנסייה,nouns,2.1
1326,médecin,פרופסור,nouns,2.95
1327,important,זעיר,adjectives,1.15
1328,réveiller,לנחור,verbs,1.15
1329,action,משחק,nouns,2.85
1330,commencer,להפסיק,verbs,1.3
1331,construire,להרוס,verbs,1.45
1332,rassembler,להגיע,verbs,1.2
1333,bouillir,לטגן,verbs,2.35
1334,capturer,לתפוס,verbs,5.5
1335,terrasse,קומה,nouns,2.4
1336,rencontrer,לשחות,verbs,0.35
1337,août,חודש,nouns,2.8
1338,sans abri,מיליונר,nouns,1.2
1339,débattre,להתווכח,verbs,1.95
1340,découvrir,לנבוע,verbs,0.55
1341,officiellement,חשוב,adverbs,0.8
1342,clé,מנעול,nouns,2.1
1343,passivement,בשקט,adverbs,1.55
1344,frère,אחות,nouns,3.0
1345,apparaître,לעזוב,verbs,0.4
1346,assistant,מורה,nouns,2.05
1347,artiste,יצירה,nouns,2.0
1348,construire,ליצור,verbs,4.55
1349,tuyau,גינה,nouns,1.15
1350,sculpture,אנדרטה,nouns,4.65
1351,sournois,פיקח,adjectives,2.35
1352,cuillère,כוס,nouns,1.7
1353,présence,דלת,nouns,0.3
1354,nager,להיפגש,verbs,0.35
1355,offenser,להטריד,verbs,2.25
1356,garçon,שותף,nouns,1.6
1357,significativement,במיוחד,adverbs,2.45
1358,normalement,באופן שגרתי,adverbs,3.75
1359,jupe,שעון,nouns,0.6
1360,étrange,רגיל,adjectives,1.3
1361,portable,טלפון,nouns,5.0
1362,psychologie,מדע,nouns,2.25
1363,adulte,ילדותי,adjectives,1.2
1364,intelligent,מטומטם,adjectives,1.35
1365,mécanique,חשמלי,adjectives,1.9
1366,chrétien,פרוטסטנט,nouns,3.25
1367,érable,אלון,nouns,2.75
1368,bleu,אדום,adjectives,1.9
1369,tempête,שלג,nouns,2.5
1370,liqueur,יין,nouns,2.35
1371,montre,חצאית,nouns,0.6
1372,secouer,לאסוף,verbs,0.25
1373,strictement,לגמרי,adverbs,2.5
1374,privé,אישי,adjectives,5.25
1375,souvent,לעיתים רחוקות,adverbs,1.4
1376,maternelle,גן חובה,nouns,3.0
1377,cuisiner,לאבד,verbs,0.05
1378,frais,תשלום,nouns,3.25
1379,paresseux,עסוק,adjectives,0.85
1380,incroyablement,בחוזקה,adverbs,1.0
1381,victime,טלפון,nouns,0.25
1382,prier,לבקש,verbs,3.2
1383,dessiner,ליצור,verbs,2.5
1384,stupide,אינטליגנטי,adjectives,1.3
1385,circoncision,עורלה,nouns,2.0
1386,réchauffage,חימום מראש,nouns,3.15
1387,soleil couchant,חוט,nouns,0.0
1388,cou,עצם,nouns,1.55
1389,gouverneur,קיסר,nouns,3.65
1390,poursuivre,לחקור,verbs,1.5
1391,marrant,עצוב,adjectives,1.1
1392,fête,אנשים,nouns,1.35
1393,retenir,להישאר,verbs,1.25
1394,bruyamment,בעדינות,adverbs,0.85
1395,tomber,להיפצע,verbs,1.55
1396,hélium,אוויר,nouns,2.3
1397,obtenir,לשים,verbs,0.65
1398,récemment,באופן מציאותי,adverbs,0.25
1399,tête,אף,nouns,2.05
1400,émotion,מצב רוח,nouns,3.5
1401,coucher de soleil,שולחן,nouns,0.0
1402,canonnière,חוף,nouns,0.8
1403,artificiel,מזוייף,adjectives,4.1
1404,mer,נהר,nouns,2.5
1405,innocent,חופשי,adjectives,0.95
1406,honteux,בר מזל,adjectives,0.45
1407,corruption,הונאה,nouns,3.6
1408,approuver,להרשות,verbs,4.15
1409,météo,ענן,nouns,1.85
1410,propre,ללא רבב,adjectives,4.8
1411,beauté,סונטה,nouns,0.6
1412,sagesse,אינטליגנציה,nouns,4.7
1413,pièce,תא,nouns,3.35
1414,sol,דלת,nouns,0.85
1415,fenêtre,גג,nouns,1.5
1416,renoncer,לנשל,verbs,2.65
1417,contraire,ייחודי,adjectives,0.4
1418,planète,ירח,nouns,2.25
1419,irriter,להרגיז,verbs,5.25
1420,battre,להצליף,verbs,4.55
