ID,CMN,FRA,PoS,score
776,词性变化,infection,nouns,0.15
777,器官,rein,nouns,4.28
778,制服,informe,adjectives,0.5
779,半学年,trimestre,nouns,3.77
780,标识,club,nouns,0.25
781,电影,pop-corn,nouns,1.13
782,天空,rêve,nouns,0.49
783,地心引力,météore,nouns,0.7
784,叫喊,débattre,verbs,1.6
785,宽广,étroit,adjectives,0.64
786,开朗,agréable,adjectives,1.49
787,不同,être d'accord,verbs,0.7
788,新,vieux,adjectives,0.98
789,粗鲁,agressif,adjectives,1.78
790,任务,autoroute,nouns,0.05
791,听见,écouter,verbs,4.48
792,脏,incroyable,adjectives,0.35
793,避免,nier,verbs,0.83
794,自己,confiance,nouns,1.18
795,杀,défendre,verbs,0.83
796,橙子,agrume,nouns,3.83
797,完全地,strictement,adverbs,3.88
798,猎物,dieu,nouns,0.05
799,准确地,précisément,adverbs,5.63
800,副手,officier,nouns,1.83
801,带来,se plaindre,verbs,0.19
802,慷慨地,jamais,adverbs,0.05
803,杂,vieux,adjectives,0.05
804,走,envoyer,verbs,0.49
805,灵活的,élastique,adjectives,4.08
806,节奏,mélodie,nouns,3.87
807,一次,immédiatement,adverbs,0.65
808,使气馁,encourager,verbs,1.03
809,合理的解释,débattre,verbs,2.69
810,大型会议,rassemblement,nouns,3.01
811,云,lac,nouns,0.45
812,数,chiffre,nouns,4.88
813,波浪,météo,nouns,0.49
814,离开,errer,verbs,0.29
815,屋,tapis,nouns,0.7
816,减肥,salade,nouns,1.13
817,分离,partir,verbs,2.04
818,混乱,anarchie,nouns,3.66
819,锁匙,maison,nouns,0.75
820,冠军,gagnant,nouns,5.42
821,大声地,subtilement,adverbs,0.65
822,门,ouverture,nouns,3.37
823,无聊,fatigué,adjectives,0.89
824,公寓,maison,nouns,4.13
825,线索,mot,nouns,0.89
826,特别,significativement,adverbs,2.65
827,厂,voiture,nouns,0.64
828,自信,attitude,nouns,1.78
829,读,mordre,verbs,0.0
830,罐子,tasse,nouns,2.4
831,静脉,estomac,nouns,0.79
832,蔗糖,glucide,nouns,4.08
833,淋透,réduire,verbs,0.05
834,出租车,taxi,nouns,5.36
835,英寸,mètre,nouns,2.8
836,允许,aller,verbs,0.2
837,跛行,marcher,verbs,2.92
838,酒,cocktail,nouns,3.58
839,手,poignet,nouns,2.65
840,减去,perdre,verbs,2.06
841,猎鹰,aigle,nouns,3.54
842,布料,vêtement,nouns,1.88
843,游泳,rencontrer,verbs,0.3
844,大规模,ouvertement,adverbs,1.1
845,大概,peut-être,adverbs,4.32
846,加剧,agresser,verbs,0.83
847,羞辱,conforter,verbs,0.54
848,狭窄,sale,adjectives,0.1
849,颚,os,nouns,2.17
850,遇见,nager,verbs,0.3
851,机器人技术,simulation,nouns,1.02
852,对抗,irriter,verbs,4.69
853,离开,expulser,verbs,2.38
854,大,flexible,adjectives,0.29
855,难看,désordonné,adjectives,0.57
856,防守,tuer,verbs,0.83
857,坚硬,dense,adjectives,2.22
858,孤独,pauvre,adjectives,0.64
859,不准确地,précisément,adverbs,0.93
860,羞耻,chanceux,adjectives,0.45
861,烟草,cigarette,nouns,4.66
862,离开,battre en retraite,verbs,4.18
863,糟糕,mal,adjectives,3.82
864,奇怪,bizarre,adjectives,5.72
865,激情,émotion,nouns,3.49
866,明显,apparent,adjectives,4.71
867,讨论,expliquer,verbs,2.45
868,默默地,passivement,adverbs,1.32
869,速度,courrier,nouns,0.0
870,旧,nouveau,adjectives,0.98
871,一分钱,taille,nouns,0.05
872,高高兴兴,activement,adverbs,0.57
873,小亭,téléphone,nouns,0.75
874,获得,voler,verbs,1.58
875,认真地,grandement,adverbs,1.46
876,当然,parfois,adverbs,0.65
877,桥,voiture,nouns,0.39
878,好斗,incurvé,adjectives,0.09
879,人,enfant,nouns,2.43
880,男人,fraternité,nouns,1.58
881,允许,réfuter,verbs,0.25
882,演员,actrice,nouns,4.08
883,演员,télévision,nouns,1.12
884,慷慨地,gentiment,adverbs,2.67
885,疾病,fièvre,nouns,2.88
886,名誉,richesse,nouns,1.75
887,打赌,parier,verbs,4.97
888,演员,chanteur,nouns,2.58
889,异族,étranger,nouns,3.56
890,同意,accepter,verbs,3.92
891,阳光,ciel,nouns,1.66
892,惱火,malheureux,adjectives,2.83
893,妻子,centime,nouns,0.23
894,旅行,voyage,nouns,3.94
895,井井有条,désorganisé,verbs,1.03
896,翻译者,étranger,nouns,0.98
897,忠诚地,honnêtement,adverbs,4.38
898,书,littérature,nouns,2.6
899,危险,maladie,nouns,0.92
900,大教堂,église,nouns,5.13
901,薄荷,gomme,nouns,0.82
902,承认,parler,verbs,0.53
903,指控,reprocher,verbs,4.03
904,棉,polyester,nouns,1.75
905,类别,chaos,nouns,0.15
906,基底,pied,nouns,3.19
907,开心,enjoué,adjectives,5.27
908,奇怪,bizarre,adjectives,5.32
909,击中,viser,verbs,2.35
910,无礼,critique,adjectives,0.67
911,兄弟,âme,nouns,0.3
912,出席,débattre,verbs,0.64
913,旋律,musique,nouns,4.37
914,宽,frais,adjectives,0.1
915,苹果,soleil,nouns,0.39
916,生日,anniversaire,nouns,2.17
917,日常,normalement,adverbs,2.69
918,海啸,mer,nouns,1.73
919,发送,aller,verbs,0.49
920,说谎,accuser,verbs,0.64
921,突变体,sociobiologie,nouns,0.47
922,肉桂,bonbon,nouns,0.84
923,想,se renseigner,verbs,0.69
924,灾难,mort,nouns,2.49
925,家牛,vache,nouns,3.82
926,妻子,paille,nouns,0.09
927,器官,foie,nouns,2.97
928,星,astéroïde,nouns,3.1
929,吸引,frapper,verbs,0.55
930,毛线衣,coton,nouns,1.27
931,完成,être diplômé,verbs,2.73
932,岩石,mine,nouns,1.91
933,安全地,soigneusement,adverbs,2.08
934,科学家,infirmier,nouns,0.79
935,脊柱,corps,nouns,1.78
936,玫瑰,papillon,nouns,0.63
937,海滩,mer,nouns,3.02
938,公牛,veau,nouns,3.14
939,疯,fou,adjectives,5.49
940,星系,application,nouns,0.1
941,门,portail,nouns,5.17
942,瓶子,canette,nouns,2.97
943,替换,échange,nouns,5.02
944,毯,bois,nouns,0.15
945,共和国,duc,nouns,0.3
946,家伙,partenaire,nouns,2.04
947,自行车,chambre à coucher,nouns,0.05
948,线,soleil couchant,nouns,0.0
949,打扰,offenser,verbs,2.31
950,机灵,stupide,adjectives,0.84
951,系统,faute,nouns,0.2
952,圣经,livre,nouns,3.03
953,麻布,tissu,nouns,3.15
954,圣歌,paille,nouns,0.1
955,和平,soldat,nouns,0.74
956,得出结论,décider,verbs,3.88
957,沐浴,pièce,nouns,0.8
958,欺骗,tricher,verbs,3.26
959,花,croyance,nouns,0.09
960,马,jument,nouns,4.03
961,从不,généreusement,adverbs,0.05
962,积极地,passivement,adverbs,1.03
963,管理,administration,nouns,4.32
964,混乱,pacifiquement,adverbs,0.5
965,惩罚,obéir,verbs,0.89
966,难以置信地,fermement,adverbs,0.2
967,状态,situation,nouns,4.31
968,死亡,catastrophe,nouns,2.49
969,海军,île,nouns,0.7
970,脆弱,facile,adjectives,0.59
971,城市,ville,nouns,4.56
972,树木,érable,nouns,4.48
973,表,coucher de soleil,nouns,0.0
974,乐队,alcool,nouns,0.15
975,告诉,rappeler,verbs,3.16
976,容易,flexible,adjectives,1.13
977,交谈,communication,nouns,4.61
978,伤害,tomber,verbs,1.08
979,总是,deux fois,adverbs,0.75
980,谷,dépression,nouns,1.83
981,最近,dernièrement,adverbs,5.53
982,允许,éroder,verbs,0.15
983,年,siècle,nouns,2.4
984,清醒,ronfler,verbs,0.88
985,基质,molécule,nouns,0.61
986,蜥蜴,gouvernement,nouns,0.0
987,担心,gaspiller,verbs,0.15
988,害羞,effrayé,adjectives,1.56
989,巨大,stupide,adjectives,0.7
990,创建,construire,verbs,4.82
991,优胜者,présence,nouns,0.25
992,拒绝,éviter,verbs,1.92
993,老鼠,gestion,nouns,0.0
994,培根,haricot,nouns,0.65
995,哨,arrêter,verbs,0.25
996,准许,approuver,verbs,3.71
997,避免,rejeter,verbs,1.92
998,律师,galerie,nouns,0.05
999,罕见,stupide,adjectives,0.15
1000,大海,rivière,nouns,2.44
1001,香芹,muffin,nouns,0.3
1002,电动,doux,adjectives,0.2
1003,每当,parfois,adverbs,0.53
1004,人,pistolet,nouns,0.2
1005,好,épicé,adjectives,0.15
1006,逃逸,trouver,verbs,0.3
1007,精彩,délicieux,adjectives,3.27
1008,上衣,vêtement,nouns,3.84
1009,谨慎地,soigneusement,adverbs,3.88
1010,笔记本,ordinateur portable,nouns,3.84
1011,建立,créer,verbs,4.82
1012,风,bourrasque,nouns,3.51
1013,无知,ordinaire,adjectives,0.49
1014,键盘,lumière,nouns,0.15
1015,承认,nier,verbs,0.98
1016,车,voiture,nouns,5.91
1017,沙丘,désert,nouns,3.06
1018,自然地,bizarrement,adverbs,0.93
1019,国王,dirigeant,nouns,4.95
1020,旧,frais,adjectives,0.24
1021,峡谷,vallée,nouns,4.14
1022,阴谋家,stratège,nouns,3.16
1023,生物学,biotope,nouns,1.64
1024,漫游,errer,verbs,2.85
1025,脏,étroit,adjectives,0.1
1026,马上,autrefois,adverbs,0.65
1027,老鼠,réceptacle,nouns,0.05
1028,杀,se battre,verbs,1.69
1029,走开,partir,verbs,4.29
1030,蝴蝶,rose,nouns,0.63
1031,成长,rétrécir,verbs,0.89
1032,刀,pistolet,nouns,2.5
1033,孩子,fille,nouns,2.5
1034,手机,téléphone,nouns,5.13
1035,手臂,veine,nouns,0.8
1036,群落生境,biologie,nouns,1.64
1037,演员,polyèdre,nouns,0.0
1038,精彩,beau,adjectives,3.93
1039,失去,obtenir,verbs,0.88
1040,加入,participer,verbs,3.69
1041,懒,précieux,adjectives,0.15
1042,打印,ignorer,verbs,0.1
1043,黎明,jour,nouns,3.37
1044,完全必要,nécessaire,adjectives,5.57
1045,似乎,devenir,verbs,0.94
1046,服从,punir,verbs,0.89
1047,强大,puissant,adjectives,4.98
1048,坚固,sournois,adjectives,0.39
1049,船,pont,nouns,1.21
1050,飓风,orage,nouns,3.12
1051,茅屋,hutte,nouns,3.01
1052,狭窄,long,adjectives,0.98
1053,态度,confiance,nouns,1.78
1054,玻璃,badge,nouns,0.29
1055,日期,calendrier,nouns,2.87
1056,雾,nuage,nouns,2.88
1057,否定,jamais,adjectives,1.75
1058,血液学,pathologie,nouns,2.44
1059,事件,collecte de fonds,nouns,1.43
1060,退休,rétracter,verbs,1.56
1061,头脑,cerveau,nouns,4.17
1062,充分,au fond,adverbs,0.92
1063,高度,conversion,nouns,0.24
1064,过去,antécédent,nouns,4.5
1065,理解,savoir,verbs,3.29
1066,加冕礼,eau,nouns,0.29
1067,胜利,triomphe,nouns,5.17
1068,想要,emprunter,verbs,0.64
1069,保持,perdre,verbs,0.84
1070,评估,apprendre,verbs,0.93
1071,制服,crochet,nouns,0.28
1072,争论,justifier,verbs,3.31
1073,山谷,canyon,nouns,4.14
1074,光标,transparent,nouns,0.19
1075,脆弱,impuissant,adjectives,2.65
1076,黎明,pistolet,nouns,0.05
1077,椅子,télescope,nouns,0.2
1078,喝,élever,verbs,0.05
1079,有趣,triste,adjectives,0.65
1080,加入,acquérir,verbs,0.65
1081,证明,expliquer,verbs,3.83
1082,插图,ampoule,nouns,0.15
1083,寻求,viser,verbs,3.08
1084,统计资料,tennis,nouns,0.25
1085,编织,bouger,verbs,0.15
1086,相机,suite,nouns,0.2
1087,等待,s'arrêter,verbs,2.63
1088,房间,cellule,nouns,2.94
1089,糖,miel,nouns,2.72
1090,携带,prendre,verbs,2.36
1091,货币,concours,nouns,0.7
1092,参与,rejoindre,verbs,3.69
1093,酒,whisky,nouns,3.57
1094,十四行诗,beauté,nouns,0.45
1095,光线电话机,homophone,nouns,0.25
1096,不耐烦地,approximativement,adverbs,0.4
1097,传记,fiction,nouns,2.47
1098,男人,vainqueur,nouns,0.83
1099,选举权,sortie,nouns,0.48
1100,读,saisir,verbs,0.87
1101,木材,rondin,nouns,3.94
1102,策略家,conspirateur,nouns,3.16
1103,肯定,certain,adjectives,5.59
1104,微妙地,bruyamment,adverbs,0.65
1105,肚子,corps,nouns,2.31
1106,使气馁,frustrer,verbs,4.02
1107,易损坏,frigide,adjectives,0.2
1108,奇怪,sournois,adjectives,1.22
1109,成功,échouer,verbs,1.08
1110,帽子,manteau,nouns,1.83
1111,严酷,cruel,adjectives,4.08
1112,金属,étain,nouns,3.17
1113,说服,poursuivre,verbs,0.44
1114,伙伴,type,nouns,2.04
1115,异常,étrangement,adverbs,3.12
1116,非自然,naturellement,adverbs,0.93
1117,查询,chercher,verbs,4.16
1118,国会,parlement,nouns,3.42
1119,毁灭,tuer,verbs,3.24
1120,幼稚,innocent,adjectives,4.61
1121,电梯,transporter,verbs,1.92
1122,小马,cheval,nouns,3.88
1123,原木,bain,nouns,0.0
1124,世纪,année,nouns,2.4
1125,强大,fort,adjectives,4.98
1126,丑陋,brut,adjectives,0.82
1127,男孩,gosse,nouns,3.88
1128,汽车,pont,nouns,0.39
1129,能力,compétence,nouns,5.54
1130,成为,organiser,verbs,0.15
1131,容器,bouteille,nouns,3.56
1132,沐浴,astuce,nouns,0.0
1133,明亮,étoile,nouns,0.79
1134,美丽,merveilleux,adjectives,3.93
1135,报纸,mot,nouns,1.82
1136,拒绝,élire,verbs,0.55
1137,柔软,violent,adjectives,0.65
1138,理想地,mécaniquement,adverbs,0.24
1139,云,météo,nouns,2.34
1140,兄弟,sœur,nouns,2.59
1141,偏见,incliner,verbs,2.68
1142,剧院,batterie,nouns,0.05
1143,果汁,cuillère,nouns,0.5
1144,分离,attacher,verbs,0.93
1145,走廊,couloir,nouns,4.83
1146,愤怒,humeur,nouns,2.73
1147,高速公路,tâche,nouns,0.05
1148,见面,recueillir,verbs,0.87
1149,日落,table,nouns,0.0
1150,咖啡,haricot,nouns,0.53
1151,军队,marine,nouns,3.86
1152,力量,aptitude,nouns,3.16
1153,摇动,recueillir,verbs,0.2
1154,珍贵,paresseux,adjectives,0.15
1155,得罪,déranger,verbs,2.31
1156,球,sphère,nouns,3.45
1157,公共汽车,véhicule,nouns,3.5
1158,男人,sentinelle,nouns,2.35
1159,撤退,descendre,verbs,0.34
1160,多面体,acteur,nouns,0.0
1161,沙发,chaise,nouns,2.84
1162,玩,combattre,verbs,0.88
1163,烧伤,étouffer,verbs,0.48
1164,守规矩,obéir,verbs,3.75
1165,卖,rappeler,verbs,0.2
1166,尺寸,centime,nouns,0.05
1167,谦虚,honteux,adjectives,0.73
1168,描绘,décider,verbs,0.75
1169,娱乐,apprécier,verbs,1.0
1170,电池,théâtre,nouns,0.05
1171,人物,personne,nouns,4.48
1172,墙壁,décoration,nouns,1.27
1173,酸奶,bétail,nouns,0.43
1174,小心地,dangereusement,adverbs,0.58
1175,房间,lit,nouns,0.6
1176,显著的,évident,adjectives,3.79
1177,争论,rationaliser,verbs,2.69
1178,胸部,corps,nouns,2.25
1179,同意,satisfaire,verbs,2.15
1180,钻石,argent,nouns,1.75
1181,穿,déchirer,verbs,0.19
1182,乱,laid,adjectives,0.57
1183,灰濛蒙,prévision,nouns,0.55
1184,行星,étoile,nouns,3.44
1185,简单,facile,adjectives,4.98
1186,想,essayer,verbs,0.43
1187,农业,plante,nouns,1.49
1188,谦逊地,fièrement,adverbs,1.13
1189,母鸡,dinde,nouns,2.83
1190,智力,logique,nouns,3.5
1191,包装纸,port,nouns,0.45
1192,宽广,gros,adjectives,3.44
1193,电缆,sorcier,nouns,0.0
1194,静脉,choix,nouns,0.29
1195,技巧,intelligence,nouns,3.08
1196,同音词,photophone,nouns,0.25
1197,软管,jardin,nouns,0.55
1198,股票,actif,nouns,3.27
1199,男孩,condition,nouns,0.18
1200,坠落,blesser,verbs,1.08
1201,秒,minute,nouns,2.65
1202,钩针编织,uniforme,nouns,0.28
1203,岛,princesse,nouns,0.25
1204,被动地,silencieusement,adverbs,1.32
1205,新闻,éditorial,nouns,3.02
1206,乐器,violon,nouns,3.42
1207,棒,brillant,adjectives,5.32
1208,兔子,chat,nouns,1.23
1209,训斥,exiger,verbs,0.54
1210,字母,stylo,nouns,0.55
1211,关键,important,adjectives,5.21
1212,恢复,apporter,verbs,0.15
1213,音节,lemme,nouns,1.6
1214,写,griffonner,verbs,4.08
1215,裙子,danse,nouns,0.54
1216,外国人,extraterrestre,nouns,3.56
1217,雨,bruine,nouns,4.03
1218,加入,attacher,verbs,1.41
1219,从不,honnêtement,adverbs,0.05
1220,带来,venir,verbs,1.31
1221,意识,attention,nouns,3.12
1222,安全,fastidieux,adjectives,0.2
1223,高高兴兴地,mortellement,adverbs,0.48
1224,傻,puéril,adjectives,3.25
1225,酒,cognac,nouns,3.62
1226,优胜者,champion,nouns,5.42
1227,飞机场,pièce,nouns,0.1
1228,果园,autruche,nouns,0.05
1229,确定,sûr,adjectives,5.59
1230,碗,assiette,nouns,2.36
1231,真诚地,généralement,adverbs,0.2
1232,手工业,tradition,nouns,2.69
1233,车辆,autobus,nouns,3.5
1234,哨兵,homme,nouns,2.35
1235,酒,vin,nouns,3.67
1236,带,boucle,nouns,2.89
1237,温和,tranchant,adjectives,0.7
1238,失败,réussir,verbs,1.08
1239,放,obtenir,verbs,0.25
1240,海,océan,nouns,5.36
1241,电话,portable,nouns,5.13
1242,拥有,absorber,verbs,0.72
1243,尝试,convaincre,verbs,0.82
1244,害怕,nerveux,adjectives,1.85
1245,月亮,planète,nouns,2.62
1246,博物馆,menthe,nouns,0.0
1247,王座,épée,nouns,0.72
1248,天气,vague,nouns,0.49
1249,电视,cinéma,nouns,2.88
1250,遇见,laisser,verbs,0.53
1251,狡猾,intelligent,adjectives,1.95
1252,疯狂,heureux,adjectives,1.1
1253,床,pièce,nouns,0.6
1254,大炮,pistolet,nouns,2.42
1255,副驾驶,flic,nouns,0.45
1256,母马,cheval,nouns,4.03
1257,同意,différer,verbs,0.7
1258,警察,shérif,nouns,3.91
1259,漂移,couler,verbs,2.2
1260,基督教,protestant,nouns,3.31
1261,新,frais,adjectives,4.0
1262,房子,appartement,nouns,4.13
1263,辣,bien,adjectives,0.15
1264,灵魂,frère,nouns,0.3
1265,化学,théorie,nouns,1.27
1266,气球,peuple,nouns,0.0
1267,舱,cabane,nouns,1.18
1268,实现,recevoir,verbs,0.15
1269,毁灭,faire,verbs,0.79
1270,岛,marine,nouns,0.7
1271,汽车,usine,nouns,0.64
1272,铝,métal,nouns,3.15
1273,犹豫,courroucé,adjectives,0.63
1274,儿童,garçon,nouns,3.65
1275,不同意,être d'accord,verbs,1.03
1276,男人,suspect,nouns,1.02
1277,重要,nécessaire,adjectives,4.26
1278,尾巴,chapitre,nouns,0.0
1279,小旅馆,motel,nouns,3.88
1280,分析,comparer,verbs,3.12
1281,狗,cheval,nouns,1.46
1282,减少,mouiller,verbs,0.05
1283,臀部,lèvre,nouns,0.55
1284,词,littérature,nouns,2.15
1285,元,personne,nouns,0.05
1286,球状物,ballon,nouns,3.45
1287,主机板,carte graphique,nouns,3.44
1288,按下,libérer,verbs,0.2
1289,脏,bon marché,adjectives,0.47
1290,蜜糖,sucre,nouns,2.72
1291,不同的,curieusement,adverbs,1.03
1292,羞愧,modeste,adjectives,0.73
1293,臭氧,atmosphère,nouns,3.37
1294,牛油,pomme de terre,nouns,0.98
1295,事实,perspicacité,nouns,0.59
1296,笔记本,pistolet,nouns,0.1
1297,享受,divertir,verbs,1.0
1298,奇怪,étrange,adjectives,5.87
1299,日历,date,nouns,2.87
1300,防御,protéger,verbs,4.75
1301,书,histoire,nouns,2.77
1302,豆,café,nouns,0.53
1303,吉他,truite,nouns,0.05
1304,植物,agriculture,nouns,1.49
1305,米饭,garçon,nouns,0.05
1306,妻子,trou,nouns,0.42
1307,充电器,disque,nouns,0.65
1308,异常地,normalement,adverbs,0.75
1309,被动地,sérieusement,adverbs,0.35
1310,信息,entropie,nouns,1.18
1311,教,punir,verbs,0.63
1312,搜索,chercher,verbs,3.08
1313,案件,électricité,nouns,0.7
1314,海岸,plage,nouns,3.4
1315,死亡,tragédie,nouns,2.79
1316,牙,marteau,nouns,0.0
1317,宪法,empereur,nouns,0.65
1318,猛烈地,fortement,adverbs,2.86
1319,秘书,femme,nouns,1.17
1320,品质,parapluie,nouns,0.1
1321,电影,nihilisme,nouns,0.43
1322,拒绝,donner,verbs,0.2
1323,谦虚,humble,adjectives,5.63
1324,菜单,commande,nouns,1.88
1325,拿,obtenir,verbs,3.28
1326,有趣,football,nouns,0.39
1327,肚子,chambre,nouns,0.05
1328,到达,laisser,verbs,0.34
1329,薄荷,musée,nouns,0.0
1330,听,comprendre,verbs,2.03
1331,无形,amorphe,adjectives,2.97
1332,壁,château,nouns,0.97
1333,有意义地,spécialement,adverbs,2.65
1334,氦气,air,nouns,2.67
1335,首词,syntaxe,nouns,0.88
1336,尝试,penser,verbs,0.43
1337,搏斗,tuer,verbs,1.69
1338,门,fraternité,nouns,0.0
1339,草,mousse,nouns,2.22
1340,生物学,anatomie,nouns,3.02
1341,酒,gin,nouns,3.76
1342,晚餐,poulet,nouns,0.98
1343,留,obtenir,verbs,0.24
1344,让,permettre,verbs,4.18
1345,获得,joindre,verbs,0.65
1346,服从,se comporter,verbs,3.75
1347,任务,femme,nouns,0.05
1348,自信,soi,nouns,1.18
1349,基本上,pleinement,adverbs,0.92
1350,鸟,poule,nouns,2.32
1351,柑橘,orange,nouns,3.83
1352,跟随,chasser,verbs,2.76
1353,收藏,sauvegarder,verbs,3.88
1354,发动机,moteur,nouns,3.08
1355,日期,date,nouns,2.17
1356,卡,pont,nouns,0.43
1357,毛,femme,nouns,0.25
1358,奴隶,serviteur,nouns,3.83
1359,有时候,souvent,adverbs,2.34
1360,电影,télévision,nouns,2.88
1361,散热器,capteur,nouns,0.68
1362,沐浴,femme,nouns,0.05
1363,可靠地,grossièrement,adverbs,0.54
1364,笨,énorme,adjectives,0.7
1365,长凳,chaise,nouns,3.67
1366,护士,scientifique,nouns,0.79
1367,大,vaste,adjectives,3.44
1368,救,noyer,verbs,0.8
1369,合金,acier,nouns,3.71
1370,弯曲,agressif,adjectives,0.09
1371,智力,sagesse,nouns,4.05
1372,正文,livre,nouns,3.27
1373,儿童,homme,nouns,2.43
1374,条件,pacte,nouns,2.29
1375,警告,arrêter,verbs,0.74
1376,无家可归,milliardaire,nouns,0.75
1377,支持者,criquet,nouns,0.35
1378,获胜者,candidat,nouns,2.39
1379,世纪,liqueur,nouns,0.05
1380,威士忌酒,champagne,nouns,2.88
1381,收割,gagner,verbs,2.97
1382,医生,caractère,nouns,0.0
1383,不道德,mal,adjectives,3.56
1384,湖,nuage,nouns,0.45
1385,否认,admettre,verbs,0.98
1386,忘记,apprendre,verbs,0.75
1387,白色,étroit,adjectives,0.23
1388,汽车旅馆,auberge,nouns,3.88
1389,脑,nerf,nouns,2.01
1390,和平,bonheur,nouns,2.79
1391,编译器,fonction,nouns,1.36
1392,说话,reconnaître,verbs,0.53
1393,英雄,héroïne,nouns,4.35
1394,问,ignorer,verbs,0.64
1395,算术,rythme,nouns,0.15
1396,男人,oncle,nouns,2.44
1397,诚实,coupable,adjectives,0.65
1398,撤退,partir,verbs,4.18
1399,稻草,tâche,nouns,0.0
1400,正式地,grandement,adverbs,0.85
1401,简单,vulnérable,adjectives,0.59
1402,不诚实,véridique,adjectives,0.55
1403,本来,créativement,adverbs,0.15
1404,足球,plaisir,nouns,0.39
1405,坏,génial,adjectives,0.3
1406,给予,nier,verbs,0.2
1407,碗,queue,nouns,0.05
1408,主要,surtout,adverbs,4.7
1409,实质上,sévèrement,adverbs,0.43
1410,小行星,étoile,nouns,3.1
1411,深深地,surtout,adverbs,0.73
1412,街,voiture,nouns,0.79
1413,有时,sûrement,adverbs,0.65
1414,意外,registre,nouns,0.3
1415,鼠,souris,nouns,5.02
1416,蠢,idiot,adjectives,5.91
1417,降落,battre en retraite,verbs,0.34
1418,床,hôpital,nouns,1.03
1419,母亲,ami,nouns,0.98
1420,平凡,ordinaire,adjectives,5.36
1421,肾,organe,nouns,4.28
1422,得到,rester,verbs,0.24
1423,决定,conclure,verbs,3.88
1424,口香糖,menthe,nouns,0.82
1425,取得,acquérir,verbs,4.88
1426,每周,mensuel,adjectives,2.22
1427,旅程,promenade,nouns,3.94
1428,大致地,facilement,adverbs,0.25
1429,简直,apparemment,adverbs,1.35
1430,土豆,beurre,nouns,0.98
1431,草,lame,nouns,0.1
1432,加,joindre,verbs,4.01
1433,敬礼,accomplir,verbs,0.1
1434,沉闷,terne,adjectives,1.79
1435,显然,grossièrement,adverbs,0.73
1436,社论,nouvelle,nouns,3.02
1437,查询,penser,verbs,0.69
1438,应用,galaxie,nouns,0.1
1439,焦虑,impatient,adjectives,2.97
1440,掩盖,enterrer,verbs,2.88
1441,雕塑家,château,nouns,0.3
1442,原谅,accepter,verbs,2.33
1443,进来,extraverti,adjectives,0.24
1444,尾巴,bol,nouns,0.05
1445,谦虚,flexible,adjectives,0.52
1446,容易地,approximativement,adverbs,0.25
1447,灵活,lâche,adjectives,1.51
1448,章节,nuit,nouns,0.1
1449,得到,acheter,verbs,1.26
1450,沟通,prier,verbs,0.82
1451,盗窃,criminalité,nouns,3.13
1452,弱,puissant,adjectives,0.7
1453,这里,maintenant,adverbs,1.95
1454,编织,attacher,verbs,2.65
1455,显然,localement,adverbs,0.15
1456,仁慈地,gentiment,adverbs,3.48
1457,犯罪者,criminel,nouns,4.91
1458,弱,épicé,adjectives,0.1
1459,仁慈地,gentiment,adverbs,5.17
1460,凳子,chaise,nouns,4.88
1461,本地,attentivement,adverbs,0.24
1462,存在,gagnant,nouns,0.25
1463,地板,terrasse,nouns,2.48
1464,一分钱,femme,nouns,0.23
1465,打败,gagner,verbs,4.17
1466,文明,mode de vie,nouns,2.26
1467,顽固,stupide,adjectives,1.86
1468,军官,adjoint,nouns,1.83
1469,经常,parfois,adverbs,2.34
1470,争论,prouver,verbs,2.17
1471,最佳,cinquième,adjectives,0.2
1472,火山,magma,nouns,2.02
1473,购买,voler,verbs,1.08
1474,罗盘,éléphant,nouns,0.04
1475,争论,persuader,verbs,1.54
1476,任务,île,nouns,0.05
1477,河谷,rivière,nouns,1.97
1478,害羞,coûteux,adjectives,0.1
1479,进入,devoir,verbs,0.15
1480,现实地,récemment,adverbs,0.15
1481,心情,émotion,nouns,3.49
1482,酒,siècle,nouns,0.05
1483,戏法,bain,nouns,0.0
1484,法律,école,nouns,1.03
1485,离开,arriver,verbs,0.34
1486,亿万富翁,sans abri,nouns,0.75
1487,搏斗,mordre,verbs,1.77
1488,明显,perceptible,adjectives,3.79
1489,歇斯底里,désarroi,nouns,2.47
1490,辣,faible,adjectives,0.1
1491,普通,froid,adjectives,0.2
1492,前进,promouvoir,verbs,2.17
1493,笨,idiot,adjectives,5.63
1494,冷静地,fermement,adverbs,0.68
1495,发现,provenir,verbs,0.34
1496,来源,boîte,nouns,0.0
1497,陷害,succès,nouns,0.15
1498,抓住,terminer,verbs,0.34
1499,关键地,principalement,adverbs,0.43
1500,书,thème,nouns,1.56
1501,直觉,sentiment,nouns,4.04
1502,小提琴,instrument,nouns,3.42
1503,海,tsunami,nouns,1.73
1504,大声地,follement,adverbs,2.86
1505,沙拉,régime,nouns,1.13
1506,主题,hashtag,nouns,3.2
1507,付款,acheter,verbs,3.51
1508,撤离,déterminer,verbs,0.2
1509,收入,impôt,nouns,1.37
1510,粗暴,frigide,adjectives,0.2
1511,大灾变,feu,nouns,1.26
1512,假设,prétendre,verbs,2.63
1513,赢家,objectif,nouns,0.65
1514,舒服地,facilement,adverbs,1.63
1515,耐力,force,nouns,3.02
1516,平淡,ennuyé,adjectives,1.79
1517,病人,session,nouns,0.28
1518,便士,occasion,nouns,0.2
1519,保存,collecter,verbs,3.88
1520,悲伤,honte,nouns,1.7
