ID,EST,POL,PoS,score
701,uks,otwór drzwiowy,nouns,3.7
702,miljardär,bezdomny,nouns,0.4
703,kaneel,cukierek,nouns,0.45
704,metall,blacha,nouns,3.1
705,veresoon,żyła,nouns,3.25
706,lennuk,lotnisko,nouns,1.25
707,säär,ramię,nouns,1.15
708,järv,chmura,nouns,0.4
709,hiir,kierownictwo,nouns,0.05
710,jää,śnieg,nouns,2.4
711,maja,stodoła,nouns,1.0
712,jahtima,szukać,verbs,2.4
713,tööriist,praca,nouns,1.0
714,vihm,zamieć,nouns,1.15
715,tõsine,śmieszny,adjectives,0.45
716,võitma,zrealizować,verbs,1.75
717,refrään,piosenkarz,nouns,0.8
718,õlg,głowa,nouns,0.9
719,hoiatama,zatrzymywać,verbs,0.35
720,viha,nastrój,nouns,1.85
721,ekraan,monitor,nouns,4.9
722,rebima,nosić,verbs,0.05
723,asukohta määrama,znaleźć,verbs,3.25
724,pöörane,nieszczęśliwy,adjectives,0.55
725,tagasi võtma,absorbować,verbs,0.05
726,otsekohe,raz,adverbs,0.15
727,õppima,edukować,verbs,3.55
728,püüdma,otrzymywać,verbs,1.05
729,minema,zezwalać,verbs,0.35
730,kurb,dumny,adjectives,0.0
731,riiklik,znany,adjectives,0.75
732,ori,służący,nouns,2.7
733,tõld,samochód,nouns,2.05
734,meelespea,różnica,nouns,0.95
735,kinnas,piłka,nouns,0.3
736,kits,krowa,nouns,1.1
737,uus,nieużywany,adjectives,4.75
738,müts,płaszcz,nouns,0.7
739,karm,przebiegły,adjectives,0.95
740,tehislik,fałszywy,adjectives,4.25
741,siin,teraz,adverbs,1.45
742,piirama,redukować,verbs,4.05
743,lisama,mnożyć,verbs,0.7
744,valima,chcieć,verbs,1.35
745,õhtueine,śniadanie,nouns,0.7
746,mahl,jabłko,nouns,1.15
747,lagi,dach,nouns,2.8
748,dieet,sałatka,nouns,0.65
749,klaaspurk,butelka,nouns,1.75
750,süütu,wolny,adjectives,1.1
751,tunnistama,osądzać,verbs,0.75
752,ilm,chmura,nouns,1.15
753,klaviatuur,światło,nouns,0.1
754,uskumus,kwiat,nouns,0.05
755,ütlema,przypomnieć,verbs,1.65
756,hõivatud,leniwy,adjectives,0.15
757,vägivaldne,bierny,adjectives,0.25
758,unustama,przypominać,verbs,0.35
759,ilmselgelt,lokalnie,adverbs,0.05
760,ignoreerima,pytać,verbs,0.1
761,organiseeritud,chaotyczny,verbs,0.35
762,senat,konstytucja,nouns,0.95
763,põgenema,znaleźć,verbs,0.2
764,kombain,trzcina cukrowa,nouns,0.5
765,seaduslik,nielegalny,adjectives,0.35
766,tõbi,infekcja,nouns,2.9
767,lõpetama,decydować,verbs,1.6
768,külg,wierzch,nouns,0.6
769,aju,nerw,nouns,1.25
770,liha,wołowina,nouns,3.65
771,andma,pożyczać,verbs,2.4
772,segatud,stary,adjectives,0.15
773,odav,niedrogi,adjectives,5.45
774,armee,legion,nouns,3.15
775,jumal,ofiara,nouns,0.1
776,essee,praca domowa,nouns,2.15
777,õun,cytryna,nouns,0.75
778,mõõk,tron,nouns,0.35
779,närviline,pewien,adjectives,0.15
780,diskreetselt,oczywiście,adverbs,0.25
781,lihas,kość,nouns,0.8
782,emotsionaalselt,smutno,adverbs,1.3
783,uurima,badać,verbs,3.15
784,koridor,przejście,nouns,3.35
785,lahtine,giętki,adjectives,1.65
786,riided,płaszcz,nouns,2.3
787,näima,stać się,verbs,0.5
788,ketas,komputer,nouns,0.95
789,pärast,przed,adverbs,0.5
790,kehatu,duchowy,adjectives,4.15
791,taevas,wrzechświat,nouns,1.7
792,korratu,zorganizowany,verbs,0.35
793,õnnelikult,śmiertelnie,adverbs,0.05
794,muretsema,marnować,verbs,0.15
795,salat,dieta,nouns,0.65
796,pära,klif,nouns,0.0
797,patoloogia,hematologia,nouns,0.7
798,ärkama,chrapać,verbs,0.55
799,sajand,trunek,nouns,0.05
800,penn,okazja,nouns,0.1
801,homofoon,fotofon,nouns,0.15
802,teesklema,wydawać się,verbs,1.65
803,ausalt,niesprawiedliwie,adverbs,0.25
804,simulatsioon,robotyka,nouns,1.15
805,mõõk,środowisko,nouns,0.0
806,fakt,dowód,nouns,3.3
807,maks,organ,nouns,2.8
808,pilv,mgła,nouns,1.9
809,käsi,szyja,nouns,0.65
810,anuma,pytać,verbs,2.3
811,atsetüülkoliin,tęczówka,nouns,0.65
812,monarhia,demokracja,nouns,0.9
813,komm,cynamon,nouns,0.45
814,tütar,niemowlę,nouns,2.05
815,valuuta,współbieżność,nouns,0.05
816,alumiinium,metal,nouns,2.55
817,kana,stek,nouns,0.8
818,pehmelt,twardo,adverbs,0.3
819,mitte kunagi,negatywny,adjectives,0.45
820,ilmselt,prosto,adverbs,1.25
821,sviiter,kurtka,nouns,1.25
822,jalaga lööma,ranić,verbs,1.5
823,mäss,rysunek,nouns,0.05
824,portreteerima,udawać,verbs,0.6
825,kadents,rytm,nouns,1.35
826,kaitsma,zabić,verbs,0.45
827,pank,siedzenie,nouns,0.35
828,elegantselt,pięknie,adverbs,3.3
829,süda,chirurgia,nouns,0.45
830,trumm,róg,nouns,0.85
831,keskpärane,zły,adjectives,2.05
832,mood,styl,nouns,4.35
833,domineerima,wygrać,verbs,2.25
834,passiivselt,aktywnie,adverbs,0.25
835,otsima,dowiadywać się,verbs,1.7
836,uks,okno,nouns,1.1
837,pliiats,opowieść,nouns,0.3
838,vangla,wybór,nouns,0.25
839,lugu,temat ,nouns,1.5
840,poeg,ojciec,nouns,1.45
841,kümnend,era,nouns,2.4
842,sukelduma,tworzyć,verbs,0.15
843,hool,ostrożność,nouns,3.15
844,kalender,data,nouns,1.75
845,kerge,skomplikowany,adjectives,0.25
846,meeleheide,nędza,nouns,1.9
847,nõustuma,różnić się,verbs,0.2
848,ruumikas,duży,adjectives,4.8
849,kogunema,uczęszczać,verbs,1.75
850,võit,triumf,nouns,5.35
851,surm,tragedia,nouns,2.35
852,paber,karton,nouns,3.15
853,jõgi,dolina,nouns,0.95
854,relv,działo,nouns,1.9
855,keel,mięsień,nouns,1.05
856,juht,menadżer,nouns,4.2
857,onu,kuzyn,nouns,1.55
858,lõpetama,robić,verbs,0.65
859,vaidlema,zgadzać się,verbs,0.35
860,saabuma,odchodzić,verbs,0.4
861,magamistuba,rower,nouns,0.05
862,optimistlikult,możliwie,adverbs,1.1
863,lahkuma,przyłączyć się,verbs,0.15
864,juhtkang,radar,nouns,0.2
865,paraad,zespół,nouns,0.55
866,graafik,diagram,nouns,4.2
867,mõtlema,kontemplować,verbs,3.4
868,sigar,pudełko,nouns,0.25
869,kuulama,rozumieć,verbs,1.2
870,meeter,jard,nouns,2.05
871,kursor,frytki,nouns,0.2
872,auto,rower,nouns,0.75
873,peen,dojrzały,adjectives,1.35
874,tundma,wierzyć,verbs,1.3
875,ümbermaailmareis,bagaż,nouns,0.45
876,õun,sos,nouns,0.25
877,ajaleht,informacja,nouns,1.55
878,loom,osoba,nouns,0.75
879,kahanema,zniknąć,verbs,2.0
880,ümbrik,dekoracja,nouns,0.35
881,matemaatik,widowisko,nouns,0.05
882,kergelt,swobodnie,adverbs,1.9
883,palavik,grypa,nouns,1.9
884,auto,wąż (ogrodowy),nouns,0.45
885,auto,most,nouns,0.3
886,poliitik,prezydent,nouns,3.6
887,ehitamine,destrukcja,nouns,0.45
888,kardin,pręt,nouns,0.15
889,hing,brat,nouns,0.45
890,teekond,podbój,nouns,0.8
891,ruupor,bęben,nouns,0.85
892,putka,telefon,nouns,1.25
893,lõdvestunud,spokojny,adjectives,3.9
894,sammal,trawa,nouns,1.4
895,vähendama,ograniczać,verbs,4.05
896,võileib,mięso,nouns,0.5
897,jurist,prawnik,nouns,4.3
898,raam,hit,nouns,0.25
899,märksõna,składnia,nouns,0.7
900,täht,jasność,nouns,1.25
901,mehed,braterstwo,nouns,1.1
902,lisama,złączyć,verbs,2.3
903,õhupall,wanna,nouns,0.1
904,palk,wanna,nouns,0.0
905,uskumus,wartość,nouns,1.95
906,karistama,uczyć,verbs,0.1
907,kroonimine,woda,nouns,0.1
908,valelik,prawdomówny,adjectives,0.3
909,hankima,nabyć,verbs,4.0
910,õlu,szampan,nouns,1.35
911,ohtlikult,ostrożnie,adverbs,0.2
912,ühinema,poślubić,verbs,2.0
913,kalkun,ptak,nouns,2.7
914,sessioon,pacjent,nouns,0.4
915,number,liczba,nouns,4.6
916,kuluma,zezwalać,verbs,0.1
917,teemaviide,temat,nouns,2.3
918,eksamineerima,skontrolować,verbs,2.95
919,käsikiri,książka,nouns,2.75
920,keeglimängija,kręglarstwo,nouns,1.7
921,mängima,kłócić się,verbs,0.35
922,nakkus,fleksja,nouns,0.05
923,kabel,iglica,nouns,1.0
924,varastama,brać,verbs,1.6
925,arheoloogia,antropologia,nouns,1.45
926,raputama,zbierać,verbs,0.1
927,vabadus,wolność,nouns,5.35
928,operatsioon,serce,nouns,0.45
929,poolsaar,wyspa,nouns,1.85
930,imlselgelt,pobieżnie,adverbs,0.2
931,ilu,wiek,nouns,0.4
932,eelsoojendama,odgrzewać,nouns,1.45
933,lagunema,niszczyć,verbs,1.75
934,tava,zasada,nouns,2.95
935,rahumeelselt,chaotycznie,adverbs,0.25
936,mööbel,mieszkanie,nouns,0.85
937,kinnitama,uzasadniać,verbs,1.6
938,päästma,chronić,verbs,2.7
939,portreteerima,decydować,verbs,0.25
940,ebavajalik,konieczny,adjectives,0.25
941,jääma,zatrzymywać,verbs,1.3
942,tugevalt,miękko,adverbs,0.3
943,süüdistama,osądzać,verbs,3.65
944,maailm,glob,nouns,4.0
945,nõbu,wujek,nouns,1.55
946,tunnistama,zaprzeczać,verbs,0.35
947,abielluma,jednoczyć,verbs,1.55
948,jard,cal,nouns,1.1
949,kaamera,prezydent,nouns,0.2
950,selgitama,tłumaczyć,verbs,5.05
951,lõikama,zyskać,verbs,1.1
952,haru,ramię,nouns,0.4
953,siiralt,poważnie,adverbs,2.0
954,ohutu,legalny,adjectives,2.6
955,teispoolsus,czyściec,nouns,1.8
956,keegel,kręglarz,nouns,1.7
957,murdma,pękać,verbs,2.5
958,prints,król,nouns,1.65
959,uks,podłoga,nouns,0.8
960,oht,dolegliwość,nouns,0.5
961,pingutus,trudność,nouns,2.9
962,süsinik,atom,nouns,1.35
963,täna õhtul,dzisiaj,adverbs,2.45
964,nina,usta,nouns,0.95
965,lennundus,awionika,nouns,2.65
966,ignorantne,regularny,adjectives,0.2
967,küpselt,słusznie,adverbs,1.35
968,sein,cegła,nouns,0.95
969,kaart,kwadrat,nouns,0.25
970,põlgama,obciążać,verbs,0.1
971,paat,kotwica,nouns,1.1
972,ettenägematu,nieoczekiwany,adjectives,5.1
973,mäletama,myśleć,verbs,1.25
974,täiskasvanu,opiekun,nouns,2.65
975,relv,trik,nouns,0.25
976,käsi,gałęź,nouns,0.4
977,kartser,cela,nouns,4.05
978,kuu,planeta,nouns,1.65
979,seelik,zegarek,nouns,0.15
980,kutt,dziewczyna,nouns,0.5
981,suu,ząb,nouns,0.95
982,mitte kunagi,szczerze,adverbs,0.0
983,rahulik,neutralny,adjectives,2.0
984,ennustama,przypuszczać,verbs,3.0
985,ehitama,tworzyć,verbs,3.9
986,kriitiline,niegrzeczny,adjectives,0.9
987,loominguline,nowatorski,adjectives,3.85
988,surmavalt,głównie,adverbs,0.0
989,torm,huragan,nouns,3.05
990,kuningas,książę,nouns,1.65
991,õpilane,nauczyciel,nouns,0.75
992,härrasmees,dama,nouns,1.1
993,paindlik,łatwy,adjectives,0.8
994,sent,rozmiar,nouns,0.35
995,ebaloomulikult,naturalnie,adverbs,0.25
996,televisioon,kino,nouns,1.55
997,pea,paznokieć,nouns,0.4
998,teostatav,niemożliwy,adjectives,0.3
999,menüü,zamówienie,nouns,1.1
1000,ihaldama,chcieć,verbs,4.95
1001,imperaator,konstytucja,nouns,0.4
1002,vahepeal,często,adverbs,0.65
1003,kirjanik,dar,nouns,0.3
1004,proovima,powieść się,verbs,0.75
1005,põlv,kość,nouns,1.25
1006,kivi,drewno,nouns,0.65
1007,relv,hełm,nouns,0.6
1008,kitarr,bęben,nouns,1.05
1009,professor,doktor,nouns,2.05
1010,kaklema,nie zgadzać się,verbs,1.9
1011,neutraalne,spokojny,adjectives,2.0
1012,oluliselt,poważnie,adverbs,2.65
1013,käelaba,nadgarstek,nouns,1.85
1014,entroopia,informacja,nouns,0.85
1015,rumal,łatwowierny,adjectives,2.7
1016,teraapia,behawioryzm,nouns,1.3
1017,proovima,przekonywać,verbs,1.35
1018,järg,kamera,nouns,0.05
1019,haruldane,egzotyczny,adjectives,4.4
1020,alustama,rezygnować,verbs,0.3
1021,valvur,mężczyzna,nouns,1.2
1022,osariik,dom ,nouns,0.3
1023,lipp,weksylologia,nouns,1.2
1024,lubama,erodować,verbs,0.1
1025,soovitama,akceptować,verbs,0.45
1026,relv,świt,nouns,0.05
1027,taju,wizja,nouns,2.25
1028,jõllitama,zezować,verbs,0.65
1029,korvpall,baseball,nouns,1.55
1030,müüma,iść,verbs,0.15
1031,puus,warga,nouns,0.4
1032,järv,bagno,nouns,0.75
1033,rünnak,szturm,nouns,4.75
1034,kaklema,gryźć,verbs,1.0
1035,võlts,prawdziwy,adjectives,0.25
1036,välja tõstma,wychodzić,verbs,0.9
1037,advokaat,bankier,nouns,0.8
1038,kõht,kurs,nouns,0.05
1039,sile,ostry,adjectives,0.55
1040,mantel,ubrania,nouns,2.3
1041,kõrs,żona,nouns,0.0
1042,lõdvestunud,zestresowany,adjectives,0.3
1043,tõmbama,pchać,verbs,0.55
1044,õhk,hel,nouns,1.35
1045,palvetama,komunikować,verbs,0.5
1046,välja vihastama,napadać,verbs,1.1
1047,võti,zamek,nouns,0.95
1048,näts,mięta,nouns,0.55
1049,vahepeal,kiedykolwiek,adverbs,1.35
1050,lift,samochód,nouns,0.35
1051,neer,organ,nouns,2.8
1052,turvama,chronić,verbs,4.85
1053,eelarvamus,szowinista,nouns,1.3
1054,kasv,nawóz,nouns,1.0
1055,valitsus,jaszczurka,nouns,0.0
1056,maantee,droga,nouns,4.8
1057,vihkama,gardzić,verbs,4.35
1058,summa,unia,nouns,1.35
1059,jätma,spotykać,verbs,0.0
1060,patarei,energia,nouns,1.9
1061,kirikutorn,kaplica,nouns,1.0
1062,robootika,symulacja,nouns,1.15
1063,tõuk,jedwabnik,nouns,2.75
1064,tulemus,poziom,nouns,2.3
1065,vältima,ignorować,verbs,3.75
1066,forell,gitara,nouns,0.0
1067,tänav,samochód,nouns,0.55
1068,ükskord,natychmiast,adverbs,0.15
1069,saama,pozostać,verbs,0.0
1070,ilm,śnieg,nouns,0.85
1071,rand,morze,nouns,1.25
1072,võtma,kraść,verbs,1.6
1073,ignoreerima,zostawić,verbs,1.6
1074,mõistma,wybaczać,verbs,2.15
1075,kaaspiloot,glina,nouns,0.15
1076,kultuur,społeczeństwo,nouns,1.95
1077,aed,poręcz,nouns,0.4
1078,noor,szczęśliwy,adjectives,0.55
1079,puur,łódź,nouns,0.1
1080,tušš,klasztor,nouns,0.1
1081,sõna,wskazówka,nouns,0.8
1082,ilmuma,wychodzić,verbs,0.45
1083,algebra,operacja,nouns,0.9
1084,imetlema,uwielbiać,verbs,3.75
1085,naine,dżinsy,nouns,0.15
1086,nõudma,ganić,verbs,1.0
1087,mõni,para,nouns,4.5
1088,hoidma,pożyczać,verbs,0.25
1089,sõna,słownik,nouns,1.25
1090,puudumine,obecność,nouns,0.45
1091,kandma,brać,verbs,0.55
1092,iil,koc,nouns,0.25
1093,teadustama,ogłaszać,verbs,3.6
1094,teema,hasztag,nouns,2.3
1095,kõver,prosty,adjectives,0.3
1096,kannatamatult,pobieżnie,adverbs,0.8
1097,jagama,mnożyć,verbs,0.45
1098,paratsetamol,bronchit,nouns,0.75
1099,kohalikult,oczywiście,adverbs,0.05
1100,abikaasa (mees),mężczyzna,nouns,2.8
1101,saatma,uczęszczać,verbs,0.35
1102,laenama,zachować,verbs,0.25
1103,klass,koledż,nouns,0.95
1104,dollar,milioner,nouns,0.7
1105,jahikoer,lis,nouns,0.6
1106,pall,kosz,nouns,0.7
1107,iidne,współczesny,adjectives,0.3
1108,keelduma,odmawiać,verbs,4.45
1109,haruldane,tępy,adjectives,0.0
1110,vabadus,oaza,nouns,0.65
1111,aluspesu,ciało,nouns,0.55
1112,ära ütlema,odrzucać,verbs,4.45
1113,kolledž,klasa,nouns,0.95
1114,ära tõukama,dać,verbs,0.2
1115,kallutama,wpłynąć,verbs,3.5
1116,põhjendamatult,niesprawiedliwie,adverbs,1.9
1117,voodi,pokój,nouns,0.5
1118,illustratsioon,pęcherz,nouns,0.05
1119,võmm,szeryf,nouns,3.55
1120,semu,przyjaciel,nouns,4.65
1121,tavaline,zimny,adjectives,0.2
1122,lööma,karać,verbs,1.55
1123,mehaaniliselt,idealnie,adverbs,0.5
1124,kõva,hardy,adjectives,3.2
1125,võitja,obecność,nouns,0.4
1126,koer,kot,nouns,0.75
1127,hammustama,czytać,verbs,0.1
1128,naksama,chrzęścić,verbs,1.1
1129,jalg,baza,nouns,0.55
1130,puuvill,sweter,nouns,1.0
1131,suurepärane,okropny,adjectives,0.25
1132,raevukas,niepewny,adjectives,0.4
1133,paber,plakat,nouns,1.55
1134,luuletus,rytm,nouns,0.95
1135,hoidma,przytulić,verbs,1.65
1136,tüütama,drażnić,verbs,2.15
1137,kohtuotsus,rozprawa,nouns,1.9
1138,omama,brać,verbs,2.1
1139,häbi,smutek,nouns,0.85
1140,häll,żłób,nouns,2.55
1141,kahur,pistolet,nouns,1.9
1142,püüdma,przejąć,verbs,0.0
1143,luuletaja,dziennikarz,nouns,0.95
1144,jalg,głowa,nouns,0.6
1145,hiir,szczur,nouns,1.75
1146,kohtumine,zobowiązanie,nouns,0.85
1147,jumal,ksiądz,nouns,1.0
1148,ründama,winić,verbs,3.8
1149,kommunikatsioon,telewizja,nouns,1.7
1150,katteta,zakryty,adjectives,0.3
1151,iganädalane,miesięczny,adjectives,0.85
1152,ostma,kraść,verbs,0.3
1153,lahkelt,miło,adverbs,3.85
1154,tark,inteligentny,adjectives,5.05
1155,andestama,zapominać,verbs,1.4
1156,realistlikult,niedawno,adverbs,0.15
1157,nisu,zboże ,nouns,3.8
1158,kino,popcorn,nouns,0.75
1159,mutant,socjobiologia,nouns,0.5
1160,väljuma,oddzielać,verbs,0.3
1161,vein,brandy,nouns,1.55
1162,segama,trząść,verbs,2.1
1163,liikuma,tkać,verbs,0.2
1164,administratsioon,kierownictwo,nouns,4.0
1165,ilmuma,stać się,verbs,1.1
1166,tragöödia,śmierć,nouns,2.35
1167,valima,odrzucić,verbs,0.65
1168,definitisioon,słownik,nouns,1.7
1169,põngerjas,chłopiec,nouns,3.1
1170,märk,szklanka,nouns,0.2
1171,viiul,gitara,nouns,1.4
1172,mootor,tłok,nouns,1.85
1173,veendunud,nerwowy,adjectives,0.15
1174,passiivselt,niezawodnie,adverbs,0.3
1175,naps,stulecie,nouns,0.05
1176,vein,alkohol,nouns,2.75
1177,kõri,nos,nouns,1.0
1178,klass,szkoła,nouns,1.15
1179,sein,dekoracja,nouns,0.7
1180,nutitelefon,ananas,nouns,0.05
1181,käsivars,nadgarstek,nouns,1.6
1182,toores,brzydki,adjectives,0.8
1183,välistama,dążyć,verbs,0.0
1184,deemon,anioł,nouns,0.8
1185,põllumajandus,roślina,nouns,0.95
1186,vesi,sól,nouns,0.65
1187,õigustama,weryfikować,verbs,1.6
1188,lahustama,wymieszać,verbs,0.95
1189,auto,ulica,nouns,0.55
1190,kari,owca,nouns,1.55
1191,igav,mierny,adjectives,2.0
1192,ümberlõikus,napletek,nouns,1.3
1193,laenaja,kredyt,nouns,1.55
1194,parlament,kongres,nouns,2.6
1195,onu,ciotka,nouns,1.2
1196,lammutama,rozwalić,verbs,4.35
1197,rünnak,przestępstwo,nouns,2.15
1198,mesilane,insekt,nouns,2.8
1199,mõnikord,pewnie,adverbs,0.1
1200,liigutatav,giętki,adjectives,1.7
1201,lukk,klucz,nouns,0.95
1202,aritmeetika,logika,nouns,1.15
1203,illegaalne,niemoralny,adjectives,1.9
1204,haarama,zaciskać,verbs,0.55
1205,pühak,grzesznik,nouns,0.4
1206,bioloogia,biotop,nouns,0.85
1207,eksootiline,rzadki,adjectives,4.4
1208,puhas,nieskazitelny,adjectives,4.8
1209,frustreerima,zniechęcać,verbs,2.25
1210,veen,wybór,nouns,0.05
1211,tüssama,oszukać,verbs,4.95
1212,kaklema,bawić się,verbs,0.35
1213,nutma,śmiać się,verbs,0.6
1214,taassoojendama,nagrzewać,nouns,1.45
1215,pehme,gwałtowny,adjectives,0.0
1216,maksma,traktować,verbs,0.35
1217,isa,brat,nouns,0.9
1218,issi,matka,nouns,1.05
1219,firma,biznes,nouns,4.4
1220,täpselt,aktywnie,adverbs,0.55
1221,sõbralik,nieprawdopodobny,adverbs,0.05
1222,käsi,ciało,nouns,1.25
1223,kongress,parlament,nouns,2.6
1224,hoomama,wiedzieć,verbs,3.1
1225,mees,wartownik,nouns,1.2
1226,naine,mężczyzna,nouns,0.65
1227,katus,podłoga,nouns,0.8
1228,korrapärane,niechlujny,adjectives,0.25
1229,koostööd tegema,złączyć,verbs,1.45
1230,liha,krew,nouns,0.8
1231,tõstma,holować,verbs,1.2
1232,sügavalt,przeważnie,adverbs,0.35
1233,sõjakus,walka,nouns,2.15
1234,omandama,dostać,verbs,2.95
1235,puhtalt,kompletnie,adverbs,2.1
1236,päästma,niszczyć,verbs,0.15
1237,pahkluu,okno,nouns,0.0
1238,maakera,świat,nouns,4.0
1239,äädikas,sałatka,nouns,0.4
1240,mõistma,słuchać,verbs,1.2
1241,küsima,pomagać,verbs,0.45
1242,õnnetus,awaria,nouns,3.25
1243,teostama,wygrać,verbs,1.75
1244,heidutama,frustrować,verbs,2.25
1245,lihas,język ,nouns,1.05
1246,rahvuslik,duży,adjectives,0.45
1247,küllus,mnóstwo,nouns,4.45
1248,tekk,mysz,nouns,0.15
1249,tossud,medal,nouns,0.2
1250,liputeadus,flaga,nouns,1.2
1251,ülestunnistus,wyparcie,nouns,0.65
1252,geiser,źródło,nouns,3.25
1253,kaliiber,parasol,nouns,0.05
1254,jõgi,morze,nouns,1.5
1255,tõstma,pić,verbs,0.5
1256,käsipuu,płot,nouns,0.4
1257,pädevus,umiejętność,nouns,3.95
1258,kasvama,kurczyć się,verbs,0.3
1259,vestlus,komunikacja,nouns,3.3
1260,valitseja,król,nouns,5.0
1261,panema,dostać,verbs,0.1
1262,rõõmustav,wspaniały,adjectives,2.6
1263,kino,opera,nouns,1.15
1264,süntaks,hasło,nouns,0.7
1265,taganema,zstępować,verbs,1.3
1266,sihtima,uderzyć,verbs,1.75
1267,jard,metr,nouns,2.05
1268,tants,sukienka,nouns,0.45
1269,tulema,przynieść,verbs,0.55
1270,arvamus,przekonanie,nouns,3.3
1271,vann,balon,nouns,0.1
1272,sõjamees,mężczyzna,nouns,1.55
1273,trikk,rozmiar,nouns,0.05
1274,täring,sześcian,nouns,1.9
1275,kirjutama,bazgrać,verbs,2.6
1276,vägev,mocny,adjectives,4.55
1277,märk,klub,nouns,0.35
1278,karp,kapelusz,nouns,0.25
1279,mais,ziarno,nouns,1.35
1280,harva,nigdy,adverbs,0.6
1281,magamistuba,żołądek,nouns,0.1
1282,teadlane,pielęgniarka,nouns,0.1
1283,loomulikult,nienaturalnie,adverbs,0.25
1284,väsinud,nudny,adjectives,0.9
1285,rikkuma,śmierdzieć,verbs,0.6
1286,massiivselt,otwarcie,adverbs,0.3
1287,suur,narodowy,adjectives,0.45
1288,raske,łatwy,adjectives,0.25
1289,ignoreerima,zapominać,verbs,1.5
1290,meeter,cal,nouns,1.45
1291,sularaha,pieniądze,nouns,5.05
1292,kole,niechlujny,adjectives,1.4
1293,isa,mężczyzna,nouns,2.2
1294,laadima,gardzić,verbs,0.1
1295,täkkvarss,koń,nouns,3.35
1296,täpselt,dokładnie,adverbs,5.6
1297,skulptor,posiadłość,nouns,0.1
1298,toll,metr,nouns,1.45
1299,haarama,brać,verbs,2.5
1300,põngerjas,córka,nouns,1.7
1301,naljakas,poważny,adjectives,0.45
1302,kodu,stan,nouns,0.3
1303,vöö,pętla,nouns,0.8
1304,hirmus,zły,adjectives,2.5
1305,andur,kaloryfer,nouns,0.15
1306,hümn,słoma,nouns,0.0
1307,toll,jard,nouns,1.1
1308,tüdruk,dziecko,nouns,1.35
1309,ala,narożnik,nouns,0.5
1310,kaitsma,bronić,verbs,4.85
1311,kritiseerima,nienawidzić,verbs,1.4
1312,steik,mięso,nouns,4.1
1313,ilmselgelt,najwyraźniej,adverbs,2.35
1314,sfäär,piłka,nouns,2.05
1315,lind,jastrząb,nouns,3.05
1316,suund,żołądek,nouns,0.05
1317,vedelik,dysza,nouns,0.6
1318,pankrot,porażka,nouns,2.1
1319,šampus,piwo,nouns,1.35
1320,arvamus,pomysł,nouns,2.0
1321,rass,weekend,nouns,0.0
1322,lill,przekonanie,nouns,0.05
1323,alkohol,piwo,nouns,3.15
1324,nüri,znudzony,adjectives,1.85
1325,tõstma,wznosić,verbs,2.35
1326,preester,prorok,nouns,0.85
1327,väsinud,głodny,adjectives,0.6
1328,kõndima,stać  ,verbs,0.25
1329,kamp,tłum,nouns,3.15
1330,jõukus,prestiż,nouns,1.55
1331,alluma,słuchać,verbs,1.35
1332,oaas,wolność,nouns,0.65
1333,kurjategija,przestępca,nouns,4.95
1334,kaks korda,wielokrotnie,adverbs,1.35
1335,kallama,kapać,verbs,1.25
1336,säilitama,zapominać,verbs,0.6
1337,ebatavaline,rzadki,adjectives,4.6
1338,krõmpsutama,trzasnąć,verbs,1.1
1339,vältima,odrzucić,verbs,2.0
1340,leidma,nabyć,verbs,1.6
1341,uks,kuchnia,nouns,0.35
1342,tool,łóżko,nouns,0.6
1343,relv,sierżant,nouns,0.55
1344,hiljutine,nowy,adjectives,3.8
1345,laskuma,obniżać,verbs,1.35
1346,tööandja,robotnik,nouns,1.0
1347,sõber,nauczyciel,nouns,0.7
1348,tegema,rezygnować,verbs,0.65
1349,seeme,musztarda,nouns,0.55
1350,jõud,moc,nouns,4.05
1351,paat,drzewo,nouns,0.1
1352,märgatav,oczywisty,adjectives,3.4
1353,flööt,muzyka,nouns,0.95
1354,korruptsioon,oszustwo,nouns,3.5
1355,vahetama,przywrócić,verbs,0.95
1356,naiivne,niewinny,adjectives,1.4
1357,mõte,projekt,nouns,2.2
1358,kohtuma,odchodzić,verbs,0.0
1359,naine,zadanie,nouns,0.05
1360,tõesti,znacząco,adverbs,1.3
1361,sent,żona,nouns,0.1
1362,eitamine,wyznanie,nouns,0.65
1363,valk,uchwyt,nouns,0.0
1364,kaval,dziwny,adjectives,0.5
1365,legaalne,dozwolony,adjectives,5.0
1366,president,zanieczyszczenie,nouns,0.15
1367,ausalt,nigdy,adverbs,0.0
1368,munk,krzyż,nouns,0.7
1369,akustika,dźwięk,nouns,2.15
1370,rong,tramwaj,nouns,1.85
1371,küsima,prosić,verbs,2.3
1372,tänav,zaułek,nouns,3.5
1373,võimlemine,szermierka,nouns,1.2
1374,karp,cygaro,nouns,0.25
1375,luu,mięsień,nouns,0.8
1376,molekul,matryca,nouns,0.45
1377,onu,mężczyzna,nouns,1.9
1378,keeruline,łatwy,adjectives,0.3
1379,tihti,czasem,adverbs,0.65
1380,naljakas,nudny,adjectives,0.1
1381,mõjutama,skłaniać,verbs,3.5
1382,maksma,kupować,verbs,2.35
1383,kõikvõimsus,supremacja,nouns,2.25
1384,puit,papier,nouns,1.2
1385,elevant,kompas,nouns,0.55
1386,lükkama,ciągnąć,verbs,0.55
1387,oletama,przewidywać,verbs,3.3
1388,kuulama,słyszeć,verbs,2.6
1389,president,burmistrz,nouns,1.5
