ID,ENG,POL,PoS,score
756,carbon,atom,nouns,1.35
757,hard,łatwy,adjectives,0.04
758,normal,inny,adjectives,0.1
759,writer,dar,nouns,0.0
760,lawyer,galeria,nouns,0.0
761,weird,osobliwy,adjectives,4.43
762,august,miesiąc,nouns,2.1
763,eye,brew,nouns,0.88
764,cent,ludzie,nouns,0.05
765,wisdom,inteligencja,nouns,4.17
766,honey,nabiał,nouns,0.21
767,slide,wskaźnik,nouns,0.0
768,listen,uczyć się,verbs,0.64
769,explain,udowodnić,verbs,1.96
770,symbol,kryptogram,nouns,2.89
771,cloud,mgiełka,nouns,2.04
772,put,dać,verbs,0.35
773,underwear,ciało,nouns,0.3
774,walk,utykać,verbs,1.06
775,completely,marginalnie,adverbs,0.14
776,deteriorate,wycierać,verbs,0.2
777,hand,kciuk,nouns,1.27
778,bathroom,kuchnia,nouns,0.57
779,menu,zamówienie,nouns,0.81
780,powerful,potężny,adjectives,4.86
781,snake,jaszczurka,nouns,0.99
782,cousin,wujek,nouns,0.76
783,fundraiser,wydarzenie,nouns,1.44
784,payment,notatka,nouns,0.31
785,stop,gwizdać,verbs,0.05
786,democracy,monarchia,nouns,0.76
787,sharp,łagodny,adjectives,0.0
788,opera,kino,nouns,1.07
789,mood,emocja,nouns,3.66
790,hose,ogród,nouns,0.33
791,dentist,ortodonta,nouns,3.5
792,weather,chmura,nouns,0.82
793,boy,syn,nouns,1.89
794,paragraph,list,nouns,0.27
795,exam,sylabus,nouns,0.56
796,app,galaktyka,nouns,0.0
797,righteously,dojrzale,adverbs,1.33
798,significant,pomniejszy,adjectives,0.04
799,cursor,frytki,nouns,0.0
800,loud,niegrzeczny,adjectives,0.79
801,defend,chronić,verbs,4.55
802,express,powiedzieć,verbs,3.37
803,weekend,wyścig,nouns,0.0
804,boat,drzewo,nouns,0.1
805,bad,świetny,adjectives,0.04
806,economy,ekosystem,nouns,0.24
807,note,opłata,nouns,0.31
808,awareness,uwaga,nouns,3.26
809,clean,niechlujny,adjectives,0.04
810,union,kombinacja,nouns,1.71
811,irregularly,zwykle,adverbs,0.17
812,separate,wyruszyć,verbs,0.5
813,bring,wysyłać,verbs,0.04
814,topic,hasztag,nouns,1.39
815,father,syn,nouns,0.86
816,card,brydż,nouns,0.5
817,gravity,meteor,nouns,0.27
818,maid,pomocnik,nouns,1.94
819,copilot,glina,nouns,0.04
820,zinc,złoto,nouns,0.51
821,urgently,szybko,adverbs,3.75
822,subtly,głośno,adverbs,0.04
823,catastrophe,śmierć,nouns,1.29
824,adult,niemowlę,nouns,0.15
825,meal,talia,nouns,0.05
826,dirty,wąski,adjectives,0.0
827,bubble,mydliny,nouns,2.34
828,collect,organizować,verbs,1.65
829,pollution,atmosfera,nouns,0.35
830,serious,śmieszny,adjectives,0.0
831,class,chaos,nouns,0.05
832,choice,żyła,nouns,0.0
833,reject,unikać,verbs,1.43
834,bed,szpital,nouns,0.15
835,car,szosa,nouns,0.3
836,accept,otrzymywać,verbs,1.79
837,needy,niepewny,adjectives,0.89
838,television,aktor,nouns,0.44
839,hear,mówić,verbs,0.44
840,large,duży,adjectives,5.66
841,madly,głośno,adverbs,0.69
842,state,dom ,nouns,0.27
843,car,ulica,nouns,0.54
844,twice,wielokrotnie,adverbs,1.02
845,essential,konieczny,adjectives,5.24
846,fresh,szeroki,adjectives,0.05
847,mediocre,nudny,adjectives,1.58
848,day,noc,nouns,0.21
849,smash,roztrzaskać,verbs,4.38
850,battery,energia,nouns,1.77
851,relaxed,zestresowany,adjectives,0.04
852,destroy,konstruować,verbs,0.04
853,fifth,czołowy,adjectives,0.0
854,stomach,kurs,nouns,0.0
855,chief,burmistrz,nouns,1.58
856,sob,płakać,verbs,4.79
857,champion,zwycięzca,nouns,4.82
858,easy,giętki,adjectives,1.13
859,water,lód,nouns,1.43
860,discussion,argument,nouns,1.74
861,create,nurkować,verbs,0.0
862,normal,dziwaczny,adjectives,0.04
863,ride,biegać,verbs,0.29
864,old,nowy,adjectives,0.04
865,shoulder,głowa,nouns,0.81
866,curved,prosty,adjectives,0.07
867,nail,ręka,nouns,0.19
868,mad,nieszczęśliwy,adjectives,1.02
869,guardian,matka,nouns,2.67
870,god,duch,nouns,2.21
871,tail,miska,nouns,0.0
872,dentist,pułkownik,nouns,0.04
873,simulation,robotyka,nouns,0.95
874,comfort,poniżać,verbs,0.04
875,knee,ramię,nouns,0.34
876,calmly,subtelnie,adverbs,1.74
877,water,koronacja,nouns,0.0
878,sea,plaża,nouns,0.76
879,naturally,chicho,adverbs,0.04
880,fry,gotować,verbs,2.46
881,weather,fala,nouns,0.05
882,punish,przestrzegać,verbs,0.4
883,locally,blisko,adverbs,3.12
884,wine,alkohol,nouns,2.44
885,cuddle,przytulić,verbs,5.19
886,bush,kwiat,nouns,1.21
887,key,zamek,nouns,0.39
888,oak,klon,nouns,1.48
889,proudly,pokornie,adverbs,0.37
890,knife,pistolet,nouns,0.81
891,body,krew,nouns,0.41
892,minor,istotny,adjectives,0.04
893,company,biznes,nouns,4.5
894,train,tramwaj,nouns,2.23
895,soccer,piłka nożna,nouns,5.47
896,area,region,nouns,5.09
897,forgive,rozumieć,verbs,1.39
898,helium,powietrze,nouns,1.25
899,might,siła,nouns,4.63
900,wave,pogoda,nouns,0.05
901,seriously,znacząco,adverbs,2.56
902,wife,matka,nouns,1.44
903,flower,cebulka,nouns,1.19
904,quickly,pilnie,adverbs,3.75
905,ignorance,inteligencja,nouns,0.04
906,sometimes,pewnie,adverbs,0.04
907,night,rozdział,nouns,0.0
908,curve,kąt,nouns,0.73
909,ideally,realistycznie,adverbs,0.72
910,agriculture,monokultura,nouns,1.39
911,fashion,styl,nouns,4.46
912,renounce,wyrzec się,verbs,4.37
913,specially,znacząco,adverbs,2.36
914,school,ocena,nouns,0.51
915,toy,sześcian,nouns,0.05
916,steal,dać,verbs,0.04
917,leave,czekać,verbs,0.0
918,remind,powiedzieć,verbs,1.51
919,steal,brać,verbs,1.64
920,avionics,aeronautyka,nouns,2.84
921,enter,iść,verbs,2.4
922,coast,kanonierka,nouns,0.04
923,notify,ukazywać,verbs,0.65
924,deny,kłamać,verbs,1.02
925,sword,środowisko,nouns,0.0
926,win,pobić,verbs,2.69
927,understand,pojmować,verbs,4.54
928,crowd,parada,nouns,1.93
929,patient,sesja,nouns,0.07
930,president,zanieczyszczenie,nouns,0.22
931,bone,szyja,nouns,0.32
932,minute,sekunda,nouns,0.99
933,army,oddział,nouns,2.46
934,poorly,pokornie,adverbs,0.24
935,belief,opinia,nouns,3.66
936,listen,przestrzegać,verbs,1.52
937,ashamed,pomyślny,adjectives,0.05
938,incredibly,ciasno,adverbs,0.3
939,broad,duży,adjectives,2.36
940,hat,pudełko,nouns,0.14
941,incline,wpłynąć,verbs,2.41
942,succeed,wygrać,verbs,2.84
943,please,zgadzać się,verbs,0.74
944,rain,mgiełka,nouns,1.39
945,kindly,chojnie,adverbs,2.64
946,argue,wrzeszczeć,verbs,2.44
947,legal,dozwolony,adjectives,4.61
948,smother,przytulić,verbs,0.57
949,people,przyjęcie,nouns,0.59
950,danger,zagrożenie,nouns,5.29
951,dream,niebo,nouns,0.07
952,come,uczęszczać,verbs,2.97
953,camera,soczewka,nouns,0.8
954,stay,czekać,verbs,2.02
955,mostly,głęboko,adverbs,0.15
956,condition,pakt,nouns,1.15
957,deny,przyznawać,verbs,0.04
958,door,dzwon,nouns,0.22
959,lemon,herbata,nouns,0.09
960,soup,kolacja,nouns,1.34
961,bed,sypialnia,nouns,1.36
962,flight,lotnictwo,nouns,2.46
963,bar,więzienie,nouns,0.19
964,umbrella,grzejnik,nouns,0.0
965,thumb,paznokieć,nouns,0.94
966,undecided,neutralny,adjectives,2.32
967,communicate,modlić się,verbs,0.54
968,session,pacjent,nouns,0.07
969,leave,pojawić się,verbs,0.29
970,book,tekst,nouns,2.16
971,rhythm,melodia,nouns,2.03
972,blood,mięso,nouns,0.88
973,wonderful,piękny,adjectives,2.96
974,rude,krytyczny,adjectives,0.72
975,field,owies,nouns,0.6
976,vacate,eksmitować,verbs,1.99
977,difficult,łatwy,adjectives,0.04
978,trick,pistolet,nouns,0.05
979,pilot,kierowca,nouns,2.09
980,belt,pętla,nouns,0.65
981,husband,mężczyzna,nouns,1.86
982,tooth,usta,nouns,0.82
983,child,dziewczyna,nouns,1.48
984,tomorrow,dzisiaj wieczorem,adverbs,0.12
985,president,polityk,nouns,3.34
986,delta,morze,nouns,0.72
987,reburial,grób,nouns,1.0
988,birthday,rok,nouns,0.62
989,proper,grzeczny,adjectives,2.39
990,meter,cal,nouns,0.98
991,join,współpracować,verbs,1.39
992,scribble,pisać,verbs,2.5
993,note,zlecenie,nouns,0.41
994,logic,inteligencja,nouns,2.54
995,government,jaszczurka,nouns,0.0
996,keep,posiadać,verbs,2.59
997,furniture,mieszkanie,nouns,0.45
998,mood,gniew,nouns,1.39
999,kill,walczyć,verbs,0.84
1000,ankle,łokieć,nouns,0.59
1001,tie,tkać,verbs,1.71
1002,grass,mech,nouns,1.36
1003,incredible,zwykły,adjectives,0.09
1004,tower,dzwon,nouns,0.33
1005,bad,niemoralny,adjectives,3.36
1006,archer,zwiadowca,nouns,0.91
1007,man,mąż,nouns,1.86
1008,rescue,ratować,verbs,5.26
1009,tail,tył,nouns,3.06
1010,boy,ryż,nouns,0.0
1011,snow,lawina,nouns,1.77
1012,biology,anatomia,nouns,2.54
1013,crash,zderzyć się,verbs,1.77
1014,adult,opiekun,nouns,2.27
1015,retain,zapominać,verbs,0.3
1016,impatiently,pobieżnie,adverbs,1.14
1017,lunch,kanapka,nouns,1.08
1018,engagement,pierścień,nouns,1.0
1019,fame,bogactwo,nouns,0.92
1020,remark,krytykować,verbs,1.0
1021,wine,brandy,nouns,1.39
1022,guardian,dorosły,nouns,2.27
1023,window,kostka,nouns,0.0
1024,fade,erodować,verbs,1.87
1025,bring,narzekać,verbs,0.0
1026,obviously,najwyraźniej,adverbs,3.39
1027,differently,nieuleczalnie,adverbs,0.34
1028,want,wybierać,verbs,1.01
1029,cent,żona,nouns,0.05
1030,bread,ser,nouns,0.13
1031,cannon,bal,nouns,0.36
1032,melt,rozpuszczać,verbs,3.14
1033,determine,ewakuować,verbs,0.0
1034,fence,poręcz,nouns,0.84
1035,cover,zakopać,verbs,2.35
1036,performance,kamea,nouns,0.84
1037,water,sól,nouns,0.38
1038,easily,swobodnie,adverbs,2.65
1039,flu,gorączka,nouns,1.66
1040,breathe,dusić,verbs,0.0
1041,mainly,przeważnie,adverbs,4.44
1042,trick,wanna,nouns,0.0
1043,firmly,miękko,adverbs,0.0
1044,bunch,tłum,nouns,2.82
1045,credit,pożyczkobiorca,nouns,0.85
1046,reef,plaża,nouns,0.59
1047,book,temat,nouns,0.42
1048,novel,pisarz,nouns,0.45
1049,throat,nos,nouns,0.54
1050,boy,żołnierz,nouns,0.04
1051,want,pragnąć,verbs,5.46
1052,kill,dusić,verbs,1.5
1053,course,żołądek,nouns,0.0
1054,search,znaleźć,verbs,1.36
1055,suds,bańka,nouns,2.34
1056,blood,wirus,nouns,0.56
1057,yard,cal,nouns,0.93
1058,rational,trzeźwy,adjectives,3.06
1059,book,manuskrypt,nouns,2.81
1060,childish,niemądry,adjectives,2.14
1061,stressed,zrelaksowany,adjectives,0.04
1062,storm,chmura,nouns,0.67
1063,boy,dziecko,nouns,2.48
1064,understand,wybaczać,verbs,1.39
1065,hymn,podbój,nouns,0.0
1066,director,kinematografia,nouns,0.98
1067,stumble,upaść,verbs,2.62
1068,wife,mąż,nouns,1.12
1069,shy,przestraszony,adjectives,1.69
1070,interest,uwaga,nouns,3.41
1071,argument,porozumienie,nouns,0.24
1072,illegal,niemoralny,adjectives,1.71
1073,obvious,zauważalny,adjectives,3.79
1074,coat,ubrania,nouns,2.07
1075,noise,brzęk,nouns,2.77
1076,happiness,pokój,nouns,2.12
1077,christian,protestant,nouns,2.38
1078,needy,bezradny,adjectives,2.21
1079,try,myśleć,verbs,0.25
1080,container,mysz,nouns,0.05
1081,kid,córka,nouns,1.7
1082,house,dywan,nouns,0.14
1083,plane,helikopter,nouns,1.61
1084,send,przynieść,verbs,0.04
1085,monthly,tygodniowy,adjectives,0.64
1086,polish,informować,verbs,0.0
1087,bring,przyjść,verbs,0.09
1088,baseball,koszykówka,nouns,1.12
1089,teacher,instruktor,nouns,4.77
1090,fox,ogar,nouns,0.48
1091,king,księżniczka,nouns,0.98
1092,nail,kciuk,nouns,0.94
1093,new,stary,adjectives,0.04
1094,probably,może,adverbs,3.96
1095,right,sprawiedliwość,nouns,1.5
1096,snow,pogoda,nouns,0.61
1097,valley,depresja,nouns,1.2
1098,arm,ciało,nouns,0.91
1099,complain,kłócić się,verbs,1.59
1100,screen,monitor,nouns,4.68
1101,create,niszczyć,verbs,0.04
1102,camera,prezydent,nouns,0.0
1103,release,naciskać,verbs,0.0
1104,absorb,uczyć się,verbs,1.38
1105,haunt,wystraszyć,verbs,1.59
1106,college,klasa,nouns,0.61
1107,acetylcholine,tęczówka,nouns,0.3
1108,lamp,dżin,nouns,0.69
1109,caliber,parasol,nouns,0.0
1110,paragraph,strona,nouns,0.59
1111,sip,przełykać,verbs,1.52
1112,thumb,ręka,nouns,1.27
1113,succeed,nawalić,verbs,0.04
1114,alloy,stal,nouns,2.21
1115,moral,legenda,nouns,0.52
1116,homophone,fotofon,nouns,0.09
1117,sticky,brudny,adjectives,1.35
1118,wife,wanna,nouns,0.0
1119,bike,skóra,nouns,0.0
1120,sunset,sznurek,nouns,0.0
1121,print,ignorować,verbs,0.0
1122,germ,patogen,nouns,4.08
1123,win,zrealizować,verbs,2.44
1124,tomb,ponowny pochówek,nouns,1.0
1125,parcel,ciężarówka,nouns,0.5
1126,news,medium,nouns,0.6
1127,milkshake,sok,nouns,0.69
1128,finish,rywalizować,verbs,0.74
1129,drawing,zamieszki,nouns,0.0
1130,jail,wybór,nouns,0.05
1131,verify,uzasadniać,verbs,1.35
1132,disturb,naprzykrzać się,verbs,3.92
1133,deck,mysz,nouns,0.0
1134,sea,tsunami,nouns,0.85
1135,neglect,wyrzec się,verbs,1.1
1136,stand,chodzić,verbs,0.19
1137,valuable,specjalny,adjectives,2.52
1138,cinema,opera,nouns,1.07
1139,box,cygaro,nouns,0.07
1140,public,prywatny,adjectives,0.04
1141,monarchy,demokracja,nouns,0.76
1142,celebrate,zaskoczyć,verbs,0.39
1143,constitution,cesarz,nouns,0.07
1144,river,morze,nouns,1.39
1145,protect,zachować,verbs,1.35
1146,keep,chronić,verbs,1.35
1147,mustard,nasienie,nouns,0.34
1148,management,administracja,nouns,3.47
1149,application,aplikant,nouns,0.65
1150,side,wierzch,nouns,0.3
1151,crude,brzydki,adjectives,0.91
1152,normally,codziennie,adverbs,2.21
1153,clothes,szuflada,nouns,0.3
1154,people,dolar,nouns,0.0
1155,border,odgraniczenie,nouns,4.13
1156,vocalist,personel,nouns,0.05
1157,law,szkoła,nouns,0.17
1158,thread,przędza,nouns,3.41
1159,will,intencja,nouns,3.34
1160,mine,skała,nouns,0.57
1161,diet,sałatka,nouns,0.63
1162,hungry,zmęczony,adjectives,0.27
1163,crochet,mundur,nouns,0.0
1164,cup,rożek,nouns,0.34
1165,narrow,szeroki,adjectives,0.04
1166,chicken,ryż,nouns,0.09
1167,accept,odrzucić,verbs,0.04
1168,building,pokój,nouns,0.76
1169,boy,dziecko,nouns,2.83
1170,waste,martwić,verbs,0.0
1171,stud,facet,nouns,1.09
1172,dull,ekscytujący,adjectives,0.04
1173,logic,arytmetyka,nouns,1.27
1174,management,mysz,nouns,0.05
1175,bowl,ogon,nouns,0.0
1176,quit,zaczynać,verbs,0.04
1177,campaign,małpa,nouns,0.0
1178,unite,dzielić,verbs,0.04
1179,foolish,dziecinny,adjectives,2.14
1180,long,wąski,adjectives,0.26
1181,beast,zwierzę,nouns,3.25
1182,humbly,marnie,adverbs,0.24
1183,blizzard,deszcz,nouns,0.9
1184,frigid,kruchy,adjectives,0.15
1185,helpless,potrzebujący,adjectives,2.21
1186,hospital,łóżko,nouns,0.15
1187,narrow,długi,adjectives,0.26
1188,insight,fakt,nouns,1.73
1189,average,regularny,adjectives,3.55
1190,pretend,ukazywać,verbs,0.56
1191,dumb,rzadki,adjectives,0.0
1192,juice,mleko,nouns,0.61
1193,rapid,szybki,adjectives,5.54
1194,vomit,zamykać,verbs,0.0
1195,asteroid,gwiazda,nouns,1.47
1196,engine,motor,nouns,3.8
1197,narrow,szeroki,adjectives,0.04
1198,sign,symbol,nouns,5.23
1199,decompose,niszczyć,verbs,1.26
1200,argue,debatować,verbs,4.23
1201,ox,koń,nouns,1.15
1202,say,wyrażać,verbs,3.37
1203,admire,uwielbiać,verbs,2.77
1204,drum,gitara,nouns,0.76
1205,hurt,atakować,verbs,2.42
1206,accept,polecać,verbs,0.2
1207,impatient,zaniepokojony,adjectives,1.79
1208,accept,odmawiać,verbs,0.04
1209,retain,pozostać,verbs,0.9
1210,exit,otwór drzwiowy,nouns,3.0
1211,multiply,dodawać,verbs,0.48
1212,encyclopedia,słownik,nouns,1.89
1213,clothes,kurtka,nouns,1.87
1214,fence,skakanie,nouns,0.1
1215,stir,trząść,verbs,1.57
1216,corridor,hol,nouns,5.51
1217,charcoal,węgiel,nouns,3.29
1218,search,wędrować,verbs,1.04
1219,cop,drugi pilot,nouns,0.04
1220,abdomen,brzuch,nouns,3.09
1221,dinner,kurczak,nouns,0.54
1222,arithmetic,rytm,nouns,0.0
1223,intelligence,umiejętność,nouns,1.98
1224,apple,światło słoneczne,nouns,0.05
1225,go,przyjść,verbs,1.26
1226,cheap,brudny,adjectives,0.09
1227,sip,pić,verbs,3.07
1228,glare,zezować,verbs,0.54
1229,softly,głośno,adverbs,0.04
1230,drink,wznosić,verbs,0.1
1231,disappear,znikać,verbs,4.87
1232,medium,wiadomości,nouns,0.6
1233,argument,dyskusja,nouns,1.74
1234,microscope,biolog,nouns,0.42
1235,mouse,pokład,nouns,0.0
1236,wander,włóczyć się,verbs,4.47
1237,oddly,inaczej,adverbs,1.94
1238,depth,wielkość,nouns,1.81
1239,steel,stop ,nouns,2.21
1240,leave,brać,verbs,0.04
1241,beverage,piwo,nouns,2.34
1242,window,drzwi,nouns,0.69
1243,discourage,zachęcać,verbs,0.04
1244,sunset,wschód słońca,nouns,0.42
1245,idea,projekt,nouns,3.17
1246,passively,aktywnie,adverbs,0.09
1247,chaos,lekcja,nouns,0.05
1248,give,zaprzeczać,verbs,0.0
1249,alley,miska,nouns,0.04
1250,demand,argumentować,verbs,0.44
1251,senate,konstytucja,nouns,0.57
1252,coast,plaża,nouns,3.04
1253,regular,przeciętny,adjectives,3.55
1254,television,komunikacja,nouns,0.79
1255,cautiously,ostrożnie,adverbs,4.54
1256,forget,ignorować,verbs,1.08
1257,drown,ratować,verbs,0.0
1258,conquest,bitwa,nouns,2.42
1259,normally,nienormalnie,adverbs,0.04
1260,go,sprzedawać,verbs,0.0
1261,bus,taksówka,nouns,1.19
1262,shapeless,amorficzny,adjectives,5.14
1263,jet,samolot,nouns,4.39
1264,cent,rozmiar,nouns,0.0
1265,bring,nieść,verbs,2.15
1266,go,wysyłać,verbs,0.15
1267,bridge,samochód,nouns,0.0
1268,balloon,ludzie,nouns,0.05
1269,umbrella,kaliber,nouns,0.0
1270,football,futbol,nouns,5.47
1271,corner,obszar,nouns,0.56
1272,mother,tata,nouns,1.0
1273,door,korytarz,nouns,0.14
1274,watch,obserwować,verbs,4.92
1275,alphabet,długopis,nouns,0.09
1276,emperor,konstytucja,nouns,0.07
1277,allowed,legalny,adjectives,4.61
1278,join,nabyć,verbs,0.26
1279,destroy,zabić,verbs,2.09
1280,importantly,oficjalnie,adverbs,1.8
1281,glad,szczęśliwy,adjectives,4.93
1282,clean,nieskazitelny,adjectives,5.34
1283,save,niszczyć,verbs,0.0
1284,tiny,ogromny,adjectives,0.07
1285,fabric,ubrania,nouns,1.32
1286,keep,hołubić,verbs,0.71
1287,cloud,burza,nouns,0.67
1288,tired,nudny,adjectives,0.3
1289,orchard,struś,nouns,0.0
1290,biology,biotop,nouns,0.54
1291,foreigner,tłumacz,nouns,0.35
1292,frightened,podekscytowany,adjectives,0.32
1293,boat,motor,nouns,0.61
1294,unused,nowy,adjectives,4.87
1295,door,kuchnia,nouns,0.14
1296,replacement,wymiana,nouns,3.05
1297,harm,ból,nouns,2.81
1298,get,kłaść,verbs,0.04
1299,friend,facet,nouns,1.06
1300,angle,krzywa,nouns,0.73
1301,give,otrzymywać,verbs,0.24
1302,log,formuła,nouns,0.53
1303,obviously,lokalnie,adverbs,0.0
1304,real,fałszywy,adjectives,0.04
1305,achieve,próbować,verbs,0.39
1306,condemn,odrzucić,verbs,2.2
1307,chicken,kolacja,nouns,0.54
1308,island,księżniczka,nouns,0.0
1309,debate,argumentować,verbs,4.23
1310,cruel,srogi,adjectives,3.74
1311,girl,facet,nouns,0.39
1312,always,dwukrotnie,adverbs,0.13
1313,receive,wysyłać,verbs,0.29
1314,car,automobil,nouns,5.54
1315,bottom,wierzch,nouns,0.15
1316,do,rezygnować,verbs,0.04
1317,cat,lew,nouns,2.19
1318,flexible,elastyczny,adjectives,4.58
1319,care,ostrożność,nouns,3.34
1320,cop,szeryf,nouns,3.61
1321,cord,drut,nouns,3.61
1322,sad,dumny,adjectives,0.0
1323,adult,rodzic,nouns,1.8
1324,rate,wartość,nouns,1.07
1325,car,łódź,nouns,0.57
1326,election,wybór,nouns,2.06
1327,explore,ignorować,verbs,0.0
1328,entertain,zadowalać,verbs,2.04
1329,bored,nudny,adjectives,1.94
1330,reject,wycofać,verbs,1.75
1331,weak,pikantny,adjectives,0.0
1332,insecure,potrzebujący,adjectives,0.89
1333,bath,polano,nouns,0.0
1334,floor,drzwi,nouns,0.24
1335,apple,dieta,nouns,0.24
1336,strange,osobliwy,adjectives,5.04
1337,arrive,odchodzić,verbs,0.04
1338,yarn,nić,nouns,3.41
1339,sky,wrzechświat,nouns,1.15
1340,dawn,dzień,nouns,2.16
1341,worker,mechanik,nouns,2.06
1342,circumcision,napletek,nouns,0.94
1343,impression,przekonanie,nouns,2.1
1344,cheap,niedrogi,adjectives,5.47
1345,physician,doktor,nouns,5.04
1346,become,organizować,verbs,0.05
1347,rhythm,wiersz,nouns,0.41
1348,roughly,łatwo,adverbs,0.15
1349,spine,ciało,nouns,0.59
1350,happy,obłąkany,adjectives,0.0
1351,bad,straszny,adjectives,3.6
1352,bed,pokój,nouns,0.34
1353,home,stan,nouns,0.27
1354,imagine,tworzyć,verbs,1.89
1355,anchor,łódź,nouns,0.66
1356,sailor,kapitan,nouns,2.54
1357,sculptor,posiadłość,nouns,0.0
1358,aeronautics,awionika,nouns,2.84
1359,decade,era,nouns,2.23
1360,valley,kanion,nouns,3.53
1361,historiographer,historyk,nouns,2.87
1362,detach,rozdzielić,verbs,3.19
1363,weave,wiązać,verbs,1.71
1364,science,psychologia,nouns,1.66
1365,guilty,uczciwy,adjectives,0.0
1366,island,zadanie,nouns,0.0
1367,give,kraść,verbs,0.04
1368,plane,lotnisko,nouns,0.74
1369,illusion,rzeczywistość,nouns,0.22
1370,rabbi,nauczyciel,nouns,2.11
1371,politician,policjant,nouns,0.13
1372,topic,książka,nouns,0.42
1373,doorway,wyjście,nouns,3.0
1374,article,książka,nouns,0.84
1375,elastic,giętki,adjectives,4.58
1376,proud,arogancki,adjectives,2.95
1377,stamen,zapylanie,nouns,0.44
1378,sadly,emocjonalnie,adverbs,1.38
1379,ordinary,zimny,adjectives,0.0
1380,second,minuta,nouns,0.99
1381,modest,pokorny,adjectives,4.45
1382,class,koledż,nouns,0.61
1383,pair,dwójka,nouns,5.17
1384,reprimand,rządać,verbs,0.74
1385,amorphous,bezkształtny,adjectives,5.14
1386,go,wchodzić,verbs,2.4
1387,magnitude,rozmiar,nouns,4.91
1388,opposite,inny,adjectives,1.07
1389,learn,słuchać,verbs,0.64
1390,polyester,bawełna,nouns,0.72
1391,give,zachować,verbs,0.1
1392,sharp,gładki,adjectives,0.15
1393,base,kwas,nouns,0.27
1394,pure,skromny,adjectives,0.67
1395,dictionary,słowo,nouns,0.74
1396,fact,dowód,nouns,2.87
1397,usually,nieregularnie,adverbs,0.17
1398,hit,celować,verbs,1.06
1399,rude,prymitywny,adjectives,1.16
1400,search,dowiadywać się,verbs,2.06
1401,geyser,źródło,nouns,2.88
1402,elect,odrzucić,verbs,0.2
1403,factorization,rozszczepienie,nouns,0.89
1404,alcohol,koktajl,nouns,2.17
1405,different,normalny,adjectives,0.1
1406,dermatitis,egzema,nouns,2.99
1407,gather,uczęszczać,verbs,1.22
1408,agree,nie zgadzać się,verbs,0.04
1409,year,urodziny,nouns,0.62
1410,promise,przysięgać,verbs,4.67
1411,style,elegancja,nouns,3.96
1412,hallway,klasa,nouns,0.24
1413,keyboard,światło,nouns,0.0
1414,beef,bydło,nouns,3.29
1415,brightness,gwiazda,nouns,0.86
1416,concurrency,waluta,nouns,0.04
1417,word,słownik,nouns,0.74
1418,straw,zadanie,nouns,0.0
1419,plane,płachta,nouns,0.25
1420,fairly,niesprawiedliwie,adverbs,0.04
1421,try,powieść się,verbs,0.43
1422,manuscript,artykuł,nouns,1.32
1423,story,temat ,nouns,0.95
1424,man,kobieta,nouns,0.26
1425,manuscript,książka,nouns,2.81
1426,sing,śmiać się,verbs,0.26
1427,diamond,pieniądze,nouns,0.41
1428,room,budynek,nouns,0.76
1429,disprove,zezwalać,verbs,0.0
1430,pain,krzywda,nouns,2.81
1431,holiday,kalendarz,nouns,0.61
1432,parade,tłum ,nouns,1.93
1433,begin,zapoczątkować,verbs,3.85
1434,discourage,zmartwić,verbs,0.89
1435,ceiling,katedra,nouns,0.25
1436,meal,kolacja,nouns,3.26
1437,clothes,sukno,nouns,1.44
1438,attack,przestępstwo,nouns,1.84
1439,leave,przyłączyć się,verbs,0.04
1440,avalanche,śnieg,nouns,1.77
1441,splash,lepkość,nouns,0.15
1442,secure,nużący,adjectives,0.04
1443,salt,woda,nouns,0.38
1444,lizard,krokodyl,nouns,1.65
1445,theory,chemia,nouns,0.59
1446,article,czasopismo,nouns,1.65
1447,tear,nosić,verbs,0.31
1448,carefully,przezornie,adverbs,4.54
1449,job,zadanie,nouns,3.69
1450,innovative,kreatywny,adjectives,4.27
1451,listen,rozumieć,verbs,1.09
1452,mob,tłum,nouns,4.12
1453,later,nigdy,adverbs,0.57
1454,perceive,słyszeć,verbs,0.84
1455,carefully,niebezpiecznie,adverbs,0.0
1456,song,wykonawca,nouns,0.64
1457,cab,samochód,nouns,3.17
1458,delicately,obecnie,adverbs,0.0
1459,charge,gardzić,verbs,0.1
1460,huge,tępy,adjectives,0.04
1461,year,stulecie,nouns,0.62
1462,hug,udusić,verbs,0.57
1463,brother,chłopiec,nouns,1.4
1464,imagine,udawać,verbs,2.38
1465,skirt,zegarek,nouns,0.05
1466,kindly,miło,adverbs,4.47
1467,era,dekada,nouns,2.23
1468,century,dekada,nouns,0.69
1469,powerful,słaby,adjectives,0.04
1470,archaeology,antropologia,nouns,1.18
1471,dull,ostry,adjectives,0.04
1472,zone,obszar,nouns,5.2
1473,cinematography,reżyser,nouns,0.98
1474,wife,kobieta,nouns,1.56
1475,coronation,woda,nouns,0.0
1476,read,gryźć,verbs,0.0
1477,obtain,nabyć,verbs,4.86
1478,confident,pewny,adjectives,4.71
1479,frame,hit,nouns,0.0
1480,say,weryfikować,verbs,0.59
1481,truck,pakunek,nouns,0.5
1482,unfairly,sprawiedliwie,adverbs,0.04
1483,gate,drzwi,nouns,3.38
1484,spoil,śmierdzieć,verbs,0.64
1485,foot,głowa,nouns,0.19
1486,clothes,schowek,nouns,0.36
1487,cigar,rura,nouns,0.79
