ID,SPA,YUE,PoS,score
767,psicología,科學,nouns,0.9
768,después,之前,adverbs,0.1
769,traer,恢復,verbs,0.23
770,robo,犯罪,nouns,3.28
771,autopista,任務,nouns,0.05
772,hecho,洞察力,nouns,0.57
773,visón,毛,nouns,1.27
774,minúsculo,巨大,adjectives,0.15
775,presionar,放開,verbs,0.19
776,empezar,戒除,verbs,0.15
777,manzana,醬,nouns,0.48
778,rabino,部長,nouns,0.65
779,argumento,批評,nouns,2.58
780,cantar,浮動,verbs,0.0
781,cárcel,單身牢房,nouns,0.8
782,suerte,幸福,nouns,0.8
783,curvo,好鬥,adjectives,0.0
784,presa,神,nouns,0.0
785,seguramente,有時,adverbs,0.45
786,información,報紙,nouns,2.32
787,arrogante,自豪,adjectives,3.29
788,cena,雞,nouns,0.94
789,estresado,輕鬆,adjectives,0.28
790,fácil,靈活,adjectives,1.99
791,abrazar,擁抱,verbs,4.67
792,sinceramente,平時,adverbs,0.63
793,diputado,軍官,nouns,0.84
794,vulnerable,無助,adjectives,1.8
795,autobús,車輛,nouns,2.34
796,gato,兔子,nouns,1.27
797,esencial,必須,adjectives,5.23
798,cañita,聖歌,nouns,0.23
799,antiguo,新,adjectives,0.19
800,encantador,精彩,adjectives,3.01
801,juez,裁判官,nouns,3.65
802,felizmente,死氣沈沈的,adverbs,0.1
803,disco,電腦,nouns,1.29
804,rodilla,骨頭,nouns,0.91
805,princesa,餅乾,nouns,0.0
806,concluir,決定,verbs,3.08
807,riñón,器官,nouns,3.33
808,día,黎明,nouns,2.58
809,mantener,擁有,verbs,1.98
810,hija,父親,nouns,0.57
811,pasillo,大廳,nouns,0.39
812,delicadamente,目前,adverbs,0.18
813,apurarse,匆忙,verbs,5.08
814,cintura,肚,nouns,1.97
815,real,假,adjectives,0.18
816,herir,踢,verbs,1.92
817,ahogar,救,verbs,0.2
818,desalentar,失敗,verbs,0.63
819,lógica,算術,nouns,2.33
820,llorar,哭泣,verbs,4.68
821,cama,睡房,nouns,1.43
822,bombardeo aéreo,攻擊,nouns,2.94
823,pacíficamente,冷靜地,adverbs,3.58
824,construir,做,verbs,3.25
825,a veces,經常,adverbs,2.79
826,obviamente,大致,adverbs,0.95
827,negar,斷絕父子關係,verbs,0.8
828,pájaro,母雞,nouns,1.45
829,jugar,搏鬥,verbs,0.38
830,fondo,上面,nouns,0.1
831,escultor,大廈,nouns,0.35
832,aburrido,平淡,adjectives,3.51
833,hacer senderismo,爬,verbs,0.96
834,teoría,化學,nouns,0.64
835,terminado,完結,adjectives,3.73
836,agua,冰,nouns,1.49
837,criminal,犯罪者,nouns,5.03
838,ganado,牛肉,nouns,2.84
839,cubrir,埋葬,verbs,2.92
840,mantener,給,verbs,0.44
841,semilla,芥末,nouns,1.45
842,discutir,同意,verbs,0.25
843,dentista,正牙醫生,nouns,4.27
844,rezar,問,verbs,0.93
845,vaca,家牛,nouns,3.34
846,empresa,商業,nouns,4.15
847,arce,樹木,nouns,3.98
848,enfermedad,傳染病,nouns,3.19
849,noche,白天,nouns,0.64
850,profesor,教練,nouns,2.64
851,impaciente,焦慮,adjectives,3.78
852,galaxia,天文學家,nouns,1.89
853,serpiente,蜥蜴,nouns,1.01
854,tormenta,颶風,nouns,3.19
855,raqueta,球,nouns,1.02
856,decidir,想,verbs,1.12
857,celebracion,儀式,nouns,3.37
858,estupendo,瘋狂,adjectives,0.05
859,atención,意識,nouns,2.16
860,mar,海洋,nouns,4.88
861,ruidoso,無禮貌,adjectives,0.73
862,empleado,僱主,nouns,0.63
863,juego,樂趣,nouns,0.78
864,cerebro,神經,nouns,1.04
865,visado,全球化,nouns,0.58
866,historia,歌曲,nouns,0.34
867,circuncisión,包皮,nouns,1.82
868,pierna,手臂,nouns,0.48
869,orilla,沙灘,nouns,2.67
870,carne,三明治,nouns,0.49
871,escoba,灰塵,nouns,0.91
872,casa,地毯,nouns,0.38
873,largo,短,adjectives,0.24
874,obrero,機器匠,nouns,2.15
875,palanca de mando,雷達,nouns,0.29
876,temporada,冬天,nouns,2.63
877,zinc,金,nouns,1.79
878,mucama,幫手,nouns,2.34
879,ir,賣,verbs,0.1
880,mujer,牛仔褲,nouns,0.24
881,apertura,缺口,nouns,3.36
882,base,底部,nouns,2.78
883,innovador,有創意,adjectives,4.53
884,bote,電動機,nouns,0.29
885,seguramente,大致,adverbs,0.82
886,ancla,船,nouns,0.82
887,salvar,花费,verbs,0.05
888,piso,屋頂,nouns,0.64
889,guardián,母親,nouns,2.4
890,fuente,盒子,nouns,0.15
891,intestino,神經,nouns,0.48
892,acusar,責怪,verbs,2.61
893,tubo,雪茄,nouns,0.29
894,aburrido,尖,adjectives,0.09
895,freír,烘烤,verbs,1.93
896,vestir,撕開,verbs,0.0
897,ángulo,彎曲,nouns,2.06
898,innecesario,必須,adjectives,0.15
899,perezoso,忙碌,adjectives,0.24
900,gallina,鳥,nouns,1.45
901,denso,堅硬,adjectives,2.46
902,ordinario,冷,adjectives,0.05
903,pecho,身體,nouns,1.42
904,morder,讀,verbs,0.09
905,rock,礦,nouns,0.46
906,pacíficamente,混亂,adverbs,0.05
907,choza,避難所,nouns,0.28
908,topología,結構,nouns,0.8
909,creador,製作者,nouns,3.9
910,frontera,分界線,nouns,4.42
911,crecido,未成熟的,adjectives,0.29
912,truco,尺寸,nouns,0.0
913,cero,無窮,nouns,0.57
914,capilla,尖頂,nouns,0.77
915,deshonesto,真實,adjectives,0.1
916,enojado,開心,adjectives,0.24
917,sacerdote,天神,nouns,1.12
918,adivinar,刺激,verbs,0.18
919,pieza,飛機場,nouns,0.0
920,amplio,窄小,adjectives,0.19
921,fiebre,疾病,nouns,2.23
922,asa,蛋白質,nouns,0.2
923,seguramente,清楚地,adverbs,3.64
924,cielo,夢想,nouns,0.25
925,emoción,激情,nouns,2.59
926,enfermedad,發燒,nouns,2.23
927,evaluar,分析,verbs,4.53
928,freír,煮沸,verbs,0.63
929,renacimiento,墳墓,nouns,0.65
930,artificial,假,adjectives,3.38
931,ganar,做,verbs,0.25
932,arzobispo,主教,nouns,3.54
933,accidente,大災難,nouns,3.16
934,atmósfera,污染,nouns,0.97
935,hombre,父親,nouns,2.32
936,suave,暴力,adjectives,0.1
937,furia,生氣,nouns,4.19
938,infantil,傻,adjectives,2.33
939,teclado,光,nouns,0.34
940,virus,血液,nouns,0.88
941,enfado,懊惱,nouns,4.62
942,nunca,稍後,adverbs,0.2
943,competir,完成,verbs,0.19
944,campus,大學,nouns,2.98
945,asustado,害羞,adjectives,2.38
946,bandera,杆,nouns,0.52
947,música,長笛,nouns,1.63
948,vector,矩陣,nouns,1.23
949,crecer,收縮,verbs,0.1
950,diferentemente,終末,adverbs,0.04
951,comunicación,語言,nouns,1.63
952,desformado,制服,adjectives,0.3
953,avergonzado,謙虛,adjectives,0.58
954,gente,氣球,nouns,0.25
955,nuevo,沒用過,adjectives,5.08
956,banda,管弦樂隊,nouns,3.97
957,creativo,創新,adjectives,4.53
958,disminuir,接受,verbs,0.0
959,hombro,頭,nouns,1.02
960,lograr,收到,verbs,0.29
961,nube,天氣,nouns,0.67
962,decidir,描繪,verbs,0.3
963,hombro,身體,nouns,0.86
964,cuenco,小巷,nouns,0.0
965,centavo,妻子,nouns,0.15
966,teléfono móvil,電話,nouns,4.73
967,negocio,工業,nouns,2.87
968,oro,鋅,nouns,1.79
969,significativo,次要,adjectives,0.24
970,en la zona,明顯地,adverbs,0.09
971,destruir,創建,verbs,0.1
972,teatro,電池,nouns,0.19
973,delito,詐騙,nouns,2.82
974,obviamente,不顯眼地,adverbs,0.24
975,ligeramente,十足地,adverbs,0.1
976,caer,傷害,verbs,0.73
977,permitir,侵蝕,verbs,0.0
978,ayudante,女僕,nouns,2.34
979,raro,難得,adjectives,3.77
980,explicar,證明,verbs,2.65
981,estar de acuerdo,使滿意,verbs,1.82
982,velocidad,郵件,nouns,0.2
983,único,非一般,adjectives,3.71
984,poema,韻律,nouns,0.86
985,aumentar,喝,verbs,0.0
986,castigar,教,verbs,0.47
987,relajado,強調,adjectives,0.28
988,diablo,天神,nouns,0.34
989,piano,和聲,nouns,0.47
990,póster,紙,nouns,2.17
991,cazar,嚇,verbs,0.1
992,cuerpo,脊柱,nouns,0.57
993,pedir prestado,乞求,verbs,0.97
994,uña,拇指,nouns,1.8
995,manta,床,nouns,0.64
996,ruta,旅行,nouns,4.25
997,molestar,加劇,verbs,0.55
998,oír,說話,verbs,0.44
999,cine,爆谷,nouns,1.37
1000,construir,加,verbs,0.82
1001,simple,困難,adjectives,0.24
1002,carreras,哲學家,nouns,0.24
1003,cuello,骨頭,nouns,0.43
1004,alterar,更改,verbs,4.19
1005,sangre,骨髓,nouns,0.97
1006,barato,髒,adjectives,0.28
1007,divertido,足球,nouns,0.78
1008,bien,聞名,adjectives,0.7
1009,universidad,級數,nouns,0.8
1010,cama,幼兒床,nouns,3.23
1011,fondo,牆紙,nouns,1.89
1012,mujer,妻子,nouns,2.58
1013,fuego,大災變,nouns,0.58
1014,crear,潛水,verbs,0.04
1015,desaparecer,消失,verbs,4.97
1016,de acuerdo,不同,verbs,0.2
1017,permitir,走,verbs,0.2
1018,canela,糖果,nouns,0.58
1019,recordar,忘記,verbs,0.1
1020,pacíficamente,自豪地,adverbs,0.38
1021,aceptar,推介,verbs,0.4
1022,romper,裂開,verbs,1.7
1023,biología,群落生境,nouns,0.58
1024,vaso,徽章,nouns,0.44
1025,insultar,得罪,verbs,4.03
1026,joven,開心,adjectives,0.1
1027,comida,晚餐,nouns,3.31
1028,madre,監護人,nouns,2.4
1029,situación,狀態,nouns,3.92
1030,hoja,平面,nouns,0.36
1031,impotente,貧困,adjectives,1.0
1032,nube,湖,nouns,0.33
1033,fórmula,等式,nouns,3.67
1034,enseñar,懲罰,verbs,0.47
1035,loco,生病,adjectives,0.74
1036,pasillo,走廊,nouns,4.7
1037,juicio,判決書,nouns,3.15
1038,obtener,獲得,verbs,4.67
1039,capturar,抓住,verbs,3.38
1040,pobreza,財富,nouns,0.24
1041,habitación,肚,nouns,0.15
1042,disco,充電器,nouns,0.2
1043,rectamente,成熟地,adverbs,0.69
1044,callejón,街,nouns,3.3
1045,desayuno,晚餐,nouns,1.3
1046,gusano de seda,毛毛蟲,nouns,2.83
1047,informar,通知,verbs,5.04
1048,museo,薄荷,nouns,0.04
1049,actor,歌手,nouns,1.54
1050,fallar,成功,verbs,0.1
1051,bicicleta,汽車,nouns,1.07
1052,cuidadosamente,謹慎地,adverbs,4.62
1053,cirugía,心臟,nouns,0.86
1054,casa,鎖匙,nouns,0.48
1055,inmencionable,婚外,adjectives,0.38
1056,decoración,牆壁,nouns,0.58
1057,empezar,起源,verbs,3.59
1058,norte,南,nouns,0.89
1059,galería,律師,nouns,0.1
1060,fácil,困難,adjectives,0.15
1061,tranvía,火車,nouns,2.77
1062,techo,地板,nouns,0.64
1063,débiles,強大,adjectives,0.2
1064,rescatar,拯救,verbs,5.43
1065,ayudar,問,verbs,0.25
1066,necesario,完全必要,adjectives,5.23
1067,confianza,態度,nouns,1.36
1068,tarea,女人,nouns,0.15
1069,acantilado,尾巴,nouns,0.04
1070,pronóstico,灰濛蒙,nouns,0.74
1071,manojo,人群,nouns,0.4
1072,mantequilla,土豆,nouns,0.39
1073,oficial,副手,nouns,0.84
1074,diccionario,字,nouns,0.96
1075,triunfo,勝利,nouns,4.88
1076,pie,手,nouns,1.46
1077,vender,提醒,verbs,0.0
1078,impuesto,收入,nouns,0.53
1079,duna,沙漠,nouns,2.43
1080,poseer,攞,verbs,2.51
1081,cuna,床,nouns,3.23
1082,molécula,空氣,nouns,0.77
1083,sucio,核突,adjectives,0.71
1084,capturar,追逐,verbs,0.83
1085,alcalde,首領,nouns,2.16
1086,hacer trampas,欺騙,verbs,3.37
1087,fama,財富,nouns,1.17
1088,retirar,吸收,verbs,0.15
1089,habitación,大厦,nouns,0.54
1090,hematología,病理學,nouns,2.12
1091,pasivamente,可靠地,adverbs,0.0
1092,rezar,溝通,verbs,0.43
1093,confusión,歇斯底里,nouns,2.03
1094,ayuda,保護,verbs,1.97
1095,ropa,抽屜,nouns,0.88
1096,rutinariamente,一般,adverbs,3.96
1097,patata,牛油,nouns,0.39
1098,comprar,偷,verbs,0.1
1099,simpático,不會,adverbs,0.0
1100,tamaño,一分錢,nouns,0.15
1101,desconocer,給,verbs,0.1
1102,tomar,獲得,verbs,3.36
1103,listo,醒目,adjectives,4.79
1104,horrible,偉大,adjectives,0.19
1105,ilustración,起泡,nouns,0.04
1106,poderoso,弱,adjectives,0.2
1107,terapia,行動主義,nouns,0.45
1108,estar de acuerdo,拗撬,verbs,0.25
1109,presidente,市長,nouns,2.55
1110,información,書,nouns,1.1
1111,feliz,嬲,adjectives,0.24
1112,increíble,普通,adjectives,0.1
1113,similar,相像,adjectives,3.4
1114,ruidosamente,猛烈地,adverbs,1.42
1115,preocuparse,浪費,verbs,0.05
1116,con confianza,偷偷,adverbs,0.55
1117,solicitante,申請,nouns,1.13
1118,alfabeto,鋼筆,nouns,0.4
1119,comprender,知道,verbs,3.0
1120,ministro,拉比,nouns,0.65
1121,esta noche,明天,adverbs,0.34
1122,irregularmente,平時,adverbs,0.48
1123,millonario,元,nouns,0.73
1124,mal,謙遜地,adverbs,0.24
1125,tonto,巨大,adjectives,0.09
1126,frijol,煙肉,nouns,0.15
1127,rechazar,接受,verbs,0.28
1128,prado,草原,nouns,4.43
1129,esposa,洞,nouns,0.0
1130,descender,撤退,verbs,0.49
1131,caja,小亭,nouns,0.6
1132,recibir,實現,verbs,0.29
1133,bar,籠子,nouns,0.38
1134,ignorar,離開,verbs,0.29
1135,opinión,主意,nouns,4.32
1136,ladrillo,牆,nouns,1.06
1137,niño,狀態,nouns,0.1
1138,extrañamente,異常,adverbs,2.79
1139,fresco,寬,adjectives,0.05
1140,fin de semana,種族,nouns,0.0
1141,rápido,快,adjectives,5.58
1142,bien,平庸,adjectives,0.19
1143,frase,字,nouns,1.3
1144,ausencia,在场,nouns,0.24
1145,pelota,手套,nouns,0.64
1146,desarrollo,募捐,nouns,0.49
1147,vestir,舞蹈,nouns,0.15
1148,partido,人們,nouns,0.77
1149,conejo,貓,nouns,1.27
1150,cámara,總統,nouns,0.45
1151,agarrar,握緊,verbs,2.62
1152,tener éxito,嘗試,verbs,0.34
1153,lluvia,毛毛雨,nouns,4.33
1154,infinito,零,nouns,0.57
1155,resistencia,樂隊,nouns,0.05
1156,marido,老婆,nouns,1.84
1157,valle,河,nouns,2.88
1158,profesor,學生,nouns,0.43
1159,declarar,宣告,verbs,3.46
1160,mezclar,打,verbs,0.0
1161,administración,老鼠,nouns,0.04
1162,agujero,妻子,nouns,0.0
1163,difícil,堅硬,adjectives,4.28
1164,imprimir,無視,verbs,0.0
1165,sabueso,狐狸,nouns,1.23
1166,deslumbrar,瞇,verbs,0.29
1167,princesa,島,nouns,0.05
1168,impacientemente,大致,adverbs,0.23
1169,compañero,伴侶,nouns,3.74
1170,sinceramente,誠實地,adverbs,4.58
1171,gestión,管理,nouns,3.33
1172,en tono rimbombante,正式地,adverbs,0.61
1173,sol,蘋果,nouns,0.25
1174,activo,股票,nouns,2.94
1175,deambular,離開,verbs,0.74
1176,helio,空氣,nouns,1.02
1177,arroz,男孩,nouns,0.04
1178,veloz,迅速,adjectives,5.58
1179,planta de semilla,葉,nouns,1.29
1180,agosto,月,nouns,2.68
1181,alto,大,adjectives,2.94
1182,ropa,衣櫃,nouns,1.21
1183,creencia,概念,nouns,1.55
1184,ayudante,老師,nouns,0.78
1185,separar,連接,verbs,0.05
1186,lagartija,鱷魚,nouns,2.3
1187,castillo,壁,nouns,0.39
1188,número,數字,nouns,4.45
1189,leyenda,道德,nouns,0.34
1190,neutral,未定,adjectives,1.27
1191,límite,國境,nouns,4.42
1192,nube,風暴,nouns,1.37
1193,vender,交易,verbs,0.91
1194,pistola,黎明,nouns,0.0
1195,esposa,沖涼,nouns,0.15
1196,pareja,男孩,nouns,0.48
1197,marido,男人,nouns,2.04
1198,esfera,球,nouns,3.31
1199,cubierto,沒有冚住的,adjectives,0.15
1200,críticamente,實質上,adverbs,0.73
1201,ventana,踝,nouns,0.14
1202,desear,借,verbs,0.59
1203,contribución,給予,nouns,3.2
1204,robar,獲得,verbs,0.57
1205,nariz,喉嚨,nouns,0.43
1206,herir,搞到唔開心,verbs,0.73
1207,capturar,模仿,verbs,0.2
1208,silbar,停,verbs,0.39
1209,0,真實,adjectives,0.18
1210,nariz,頭,nouns,0.54
1211,avalancha,雪,nouns,1.98
1212,obedecer,守規矩,verbs,3.08
1213,parásito,農藥,nouns,0.61
1214,mucho,豐富,nouns,4.32
1215,mujer,毛,nouns,0.15
1216,normalmente,常規地,adverbs,3.96
1217,dientes,鎚,nouns,0.1
1218,viaje,旅程,nouns,4.25
1219,dolor,痛苦,nouns,4.34
1220,seguramente,明顯地,adverbs,3.25
1221,reunión creativa,望遠鏡,nouns,0.04
1222,piel,女人,nouns,0.15
1223,manzana,檸檬,nouns,0.57
1224,novio,新娘,nouns,2.88
1225,brazo,骨頭,nouns,0.63
1226,matemático,節目,nouns,0.1
1227,precisamente,積極地,adverbs,1.04
1228,fútbol,有趣,nouns,0.78
1229,dios,牧師,nouns,1.12
1230,pegajoso,脏,adjectives,1.08
1231,estúpido,頑固,adjectives,0.57
1232,discusión,協議,nouns,0.69
1233,sucio,非常好,adjectives,0.0
1234,muerte,葬禮,nouns,1.98
1235,llorar,大笑,verbs,0.15
1236,carboncillo,煤,nouns,2.83
1237,mundano,普通,adjectives,4.5
1238,persona,人物,nouns,3.53
1239,ahogarse,呼吸,verbs,0.61
1240,explicar,討論,verbs,1.06
1241,aplazar,完成,verbs,0.29
1242,circunnavegación,行李,nouns,0.78
1243,cañón,球,nouns,0.29
1244,susurrar,說話,verbs,1.34
1245,economía,生態系統,nouns,0.34
1246,locamente,大聲地,adverbs,1.42
1247,cena,餐,nouns,3.25
1248,constitución,參議院,nouns,1.16
1249,rodela,屏蔽,nouns,0.93
1250,deber,進入,verbs,0.0
1251,aritmética,邏輯,nouns,2.33
1252,olvidar,學習,verbs,0.1
1253,enjuagar,洗,verbs,3.85
1254,aire,氦氣,nouns,1.02
1255,yogur,家牛,nouns,0.48
1256,mapa,廣場,nouns,0.38
1257,músculo,手臂,nouns,0.97
1258,estómago,靜脈,nouns,0.34
1259,papel pintado,背景,nouns,1.89
1260,graduarse,完成,verbs,1.21
1261,océano,海,nouns,4.88
1262,teléfono,受害者,nouns,0.04
1263,norte,西方,nouns,0.29
1264,colegio,年級,nouns,1.02
1265,a veces,一致地,adverbs,0.15
1266,tejer,绑,verbs,0.55
1267,sufragio,出口,nouns,0.1
1268,oeste,北,nouns,0.29
1269,violento,柔軟,adjectives,0.1
1270,barco de cañón,海岸,nouns,0.39
1271,inteligencia,洞察力,nouns,1.88
1272,negar,接受,verbs,0.55
1273,ancho,大,adjectives,2.41
1274,libro,主題,nouns,0.68
1275,mezcla,喝,verbs,0.34
1276,cumpleaños,日期,nouns,1.65
1277,hueso,手臂,nouns,0.63
1278,calendario,假日,nouns,0.92
1279,soneto,美,nouns,0.25
1280,unión,組合,nouns,3.74
1281,ganancia,收割,verbs,1.04
1282,papá,母親,nouns,2.06
1283,precalentamiento,再熱,nouns,1.98
1284,hígado,器官,nouns,2.47
1285,silla,長凳,nouns,3.43
1286,inteligencia,技巧,nouns,2.19
1287,injusto,殘忍,adjectives,1.27
1288,televisión,電影,nouns,2.56
1289,dejar,開始,verbs,0.15
1290,extranjero,翻譯者,nouns,0.39
1291,madre,妻子,nouns,2.42
1292,con rapidez,紧急,adverbs,4.06
1293,ligeramente,明亮地,adverbs,0.14
1294,operación,代數,nouns,0.8
1295,justamente,不公平,adverbs,0.1
1296,alfombra,屋,nouns,0.38
1297,cena,早餐,nouns,1.3
1298,parasicología,神經心理學,nouns,0.6
1299,aproximadamente,容易地,adverbs,0.42
1300,objetivo,尋求,nouns,0.73
1301,máquina,電腦,nouns,3.26
1302,ciudad,城鎮,nouns,3.13
1303,danza,裙,nouns,0.15
1304,grande,容易,adjectives,0.0
1305,garganta,舌頭,nouns,1.05
1306,descolorarse,侵蝕,verbs,1.14
1307,calma,中性,adjectives,0.83
1308,semilla,磨坊,nouns,0.89
1309,energía,電池,nouns,2.83
1310,prestar,欠,verbs,0.47
1311,ejército,班,nouns,0.55
1312,realizar,達到,verbs,3.69
1313,hacer huelga,未打中,verbs,0.15
1314,cárcel,選擇,nouns,0.15
1315,actor,電視,nouns,0.76
1316,amanecer,槍,nouns,0.0
1317,instantáneamente,一次,adverbs,0.54
1318,extraordinariamente,奇怪地,adverbs,2.79
1319,matar,毀滅,verbs,1.98
1320,espada,王座,nouns,0.2
1321,construir,毀滅,verbs,0.33
1322,ignorar,打印,verbs,0.0
1323,censura,自由,nouns,0.15
1324,jugar,打賭,verbs,3.35
1325,opuesto,獨特,adjectives,0.73
1326,programa informático,案件,nouns,0.39
1327,tarjeta,橋,nouns,0.0
1328,ahogar,擁抱,verbs,0.39
1329,himno,征服,nouns,0.15
1330,limón,茶,nouns,0.39
1331,boca,鼻子,nouns,0.58
1332,campo,燕麥,nouns,0.76
1333,dinosaurio,大象,nouns,0.63
1334,imaginar,創建,verbs,0.74
1335,escapar,搵到,verbs,0.15
1336,matrícula,獎學金,nouns,0.96
1337,cruel,和藹,adjectives,0.05
1338,atacar,傷害,verbs,2.8
1339,actuación,客串角色,nouns,0.0
1340,aviónica,航空學,nouns,3.18
1341,inteligencia,智慧,nouns,3.9
1342,macizamente,公開地,adverbs,0.33
1343,normal,奇怪,adjectives,0.19
1344,homófono,光線電話機,nouns,0.4
1345,sinceramente,認真地,adverbs,2.75
1346,resistencia,強度,nouns,2.91
1347,gallina,火雞,nouns,1.49
1348,encoger,減少,verbs,3.7
1349,cuerpo,胸部,nouns,1.42
1350,fiscal,律師,nouns,3.07
1351,ansiosamente,緊張地,adverbs,3.68
1352,quemar,扼殺,verbs,0.28
1353,amplio,新鮮,adjectives,0.05
1354,silaba,考試,nouns,0.7
1355,papel,海報,nouns,2.17
1356,zorro,獵狗,nouns,1.23
1357,habitación,廁所,nouns,0.92
1358,reconocer,通知,verbs,0.78
1359,yarda,米,nouns,2.19
1360,agua,乾旱,nouns,0.5
1361,agresivo,彎曲,adjectives,0.0
1362,planeta,星星,nouns,2.25
1363,alcalde,總統,nouns,2.55
1364,enfermedad,危險,nouns,0.77
1365,evacuar,確定,verbs,0.35
1366,carbohidrato,蔗糖,nouns,1.94
1367,fresco,新,adjectives,3.32
1368,conversión,高度,nouns,0.39
1369,organizado,雜亂無章,verbs,0.1
1370,estúpido,笨,adjectives,5.08
1371,refutar,允許,verbs,0.25
1372,absorber,退出,verbs,0.15
1373,bronquitis,對乙酰氨基酚,nouns,0.4
1374,naturaleza,植物群,nouns,1.83
1375,estómago,腰,nouns,1.97
1376,deber,借,verbs,0.47
1377,entierro,死亡,nouns,1.98
1378,ordinario,平凡,adjectives,4.5
1379,cortés,合乎體統,adjectives,3.08
1380,cansado,飢餓,adjectives,0.78
1381,urgentemente,迅速地,adverbs,4.06
1382,violento,被動,adjectives,0.15
1383,necesitado,缺乏信心,adjectives,0.57
1384,iglesia,合唱團,nouns,0.92
1385,periódico,字,nouns,1.05
1386,cargar,蔑視,verbs,0.3
1387,flauta,音樂,nouns,1.63
1388,escalar,遠足,verbs,0.96
1389,restaurar,帶來,verbs,0.23
1390,perder,煮,verbs,0.1
1391,0,人造,adjectives,3.38
1392,tamaño,量,nouns,4.28
1393,vender,走,verbs,0.1
1394,capacidad,才能,nouns,3.54
1395,descubrir,探索,verbs,2.92
1396,tomar,擁有,verbs,2.51
1397,olvidar,保留,verbs,0.2
1398,hostilidad,侵略,nouns,3.23
1399,arrestar,懷疑,verbs,0.58
1400,cocina,門,nouns,0.53
1401,dios,心靈,nouns,0.75
1402,abrazar,擠壓,verbs,0.49
1403,cuerpo,肚,nouns,2.03
1404,sobrio,醉酒,adjectives,0.19
1405,salvar,救援,verbs,5.43
1406,sátira,神話,nouns,1.27
1407,pretender,想像,verbs,0.74
1408,ópera,電影,nouns,2.06
1409,juego,行動,nouns,1.06
1410,pasado,前情,nouns,3.2
1411,volar,螞蟻,nouns,0.66
1412,unirse,加,verbs,3.27
1413,página,段,nouns,1.07
1414,generalmente,不定期地,adverbs,0.48
1415,enano,短小,adjectives,4.26
1416,recibir,給予,verbs,0.33
1417,accidente,緊急情況,nouns,3.19
1418,altitud,換算,nouns,0.39
1419,robótica,模擬,nouns,0.68
1420,belleza,年齡,nouns,0.29
1421,emocionante,平淡,adjectives,0.28
1422,ir,允許,verbs,0.2
1423,con optimismo,可能,adverbs,0.83
1424,entretener,享受,verbs,1.35
1425,generalmente,真誠地,adverbs,0.63
1426,firmemente,輕輕的,adverbs,0.2
1427,en tono rimbombante,真實地,adverbs,0.28
1428,retirarse,降落,verbs,0.49
1429,reducir,淋透,verbs,0.04
1430,aproximadamente,可靠地,adverbs,0.82
1431,estaño,金屬,nouns,2.04
1432,abogado,檢察官,nouns,3.07
1433,tabaco,香煙,nouns,3.62
1434,pegajoso,濕,adjectives,1.18
1435,a veces,肯定地,adverbs,0.45
1436,negativo,從未,adjectives,1.26
1437,banda,酒,nouns,0.25
1438,mañana,今晚,adverbs,0.34
1439,leer,咬,verbs,0.09
1440,hígado,肺,nouns,0.53
1441,hotel,公寓,nouns,1.5
1442,mostaza,種子,nouns,1.45
1443,mojado,黏,adjectives,1.18
1444,satisfacer,理解,verbs,0.35
1445,conducir,停,verbs,0.34
1446,yo,自信,nouns,0.92
1447,llave,王冠,nouns,0.15
1448,mano,手腕,nouns,2.83
1449,descubierto,冚住,adjectives,0.15
1450,informe,不定形,adjectives,2.74
1451,satisfacer,使滿意,verbs,5.09
1452,camafeo,性能,nouns,0.0
1453,contaminación,大氣層,nouns,0.97
1454,ajedrez,檢查,nouns,0.1
1455,aire,分子,nouns,0.77
1456,intercambio,貨幣,nouns,1.08
1457,salir,攞,verbs,0.24
1458,visión,智力,nouns,1.88
1459,invierno,季節,nouns,2.63
1460,remover,混合,verbs,3.78
1461,retratar,模仿,verbs,1.6
1462,motor,活塞,nouns,1.47
1463,noticias,社論,nouns,2.17
1464,agujero,協議,nouns,0.0
1465,cerrar,嘔吐,verbs,0.0
1466,ritmo,算術,nouns,0.45
1467,eléctrico,機械,adjectives,1.92
1468,antinaturalmente,自然地,adverbs,0.1
1469,profesor,學生,nouns,0.76
1470,radar,操縱桿,nouns,0.29
1471,ganado,牛,nouns,3.34
1472,hombre,哨兵,nouns,0.95
1473,compositor,作家,nouns,2.33
1474,depresión,谷,nouns,2.82
1475,aprender,迷惑,verbs,0.1
1476,hijo,男孩子,nouns,2.92
1477,niebla,雨,nouns,0.72
1478,empapar,减少,verbs,0.04
1479,condición,協議,nouns,2.13
1480,carne,牛扒,nouns,3.89
1481,patear,傷害,verbs,1.92
1482,locamente,可悲的是,adverbs,0.39
1483,capitán,水手,nouns,0.93
1484,padre,男人,nouns,2.32
1485,dinero,現金,nouns,4.79
1486,ecuación,公式,nouns,3.67
1487,notificar,承認,verbs,0.78
1488,feo,亂,adjectives,0.71
1489,actor,多面體,nouns,0.28
1490,generosamente,從未,adverbs,0.04
1491,behaviorismo,治療,nouns,0.45
1492,sucio,黏,adjectives,1.08
1493,nunca,慷慨地,adverbs,0.04
1494,veraz,不誠實,adjectives,0.1
1495,casa,穀倉,nouns,0.77
1496,dos veces,多,adverbs,0.79
1497,antiguo,新,adjectives,0.19
1498,dientes,骨頭,nouns,1.85
1499,repisa,山,nouns,0.2
1500,galleta,公主,nouns,0.0
1501,buscar,搜索,verbs,2.63
1502,montaña,窗台,nouns,0.2
1503,cubo,骰子,nouns,3.21
