ID,ENG,RUS,PoS,score
788,apple,лимон,nouns,0.51
789,press,освобождать,verbs,0.0
790,asset,акции,nouns,2.87
791,weak,мощный,adjectives,0.09
792,achieve,пытаться,verbs,1.09
793,lunch,бутерброд,nouns,1.44
794,precious,ленивый,adjectives,0.0
795,often,редко,adverbs,0.17
796,proud,печальный,adjectives,0.05
797,retain,оставаться,verbs,0.9
798,joy,гордость,nouns,1.56
799,naturally,неестественно,adverbs,0.09
800,currency,обмен,nouns,1.09
801,alloy,сталь,nouns,2.12
802,news,носитель,nouns,0.2
803,polish,сообщить,verbs,0.0
804,omnipotence,примат,nouns,0.71
805,historiographer,историк,nouns,3.22
806,student,учитель,nouns,0.6
807,cab,автомобиль,nouns,2.83
808,sultan,министерство,nouns,0.15
809,inaccurately,точно,adverbs,0.04
810,massively,открыто,adverbs,0.15
811,captain,моряк,nouns,1.89
812,valuable,особый,adjectives,2.32
813,boy,партнер,nouns,0.48
814,simply,видимо,adverbs,0.92
815,openly,массивно,adverbs,0.15
816,grass,корень,nouns,0.66
817,neat,чистый,adjectives,3.46
818,umbrella,нагреватель,nouns,0.0
819,crime,атака,nouns,1.09
820,precisely,неаккуратно,adverbs,0.04
821,tunnel,дорожка,nouns,0.72
822,storm,туча,nouns,0.87
823,sea,река,nouns,1.09
824,wine,бренди,nouns,1.34
825,raise,пить,verbs,0.0
826,organ,почка,nouns,2.1
827,tree,лист,nouns,0.81
828,guy,бабник,nouns,1.14
829,grow,сжиматься,verbs,0.04
830,week,выходной,nouns,0.61
831,emotion,страсть,nouns,2.46
832,brandy,вино,nouns,1.34
833,obviously,конечно,adverbs,3.25
834,cheerful,восхитительный,adjectives,2.9
835,surely,иногда,adverbs,0.19
836,rationalize,думать,verbs,2.3
837,bee,муравей,nouns,0.51
838,sometimes,конечно,adverbs,0.19
839,supremacy,всемогущество,nouns,0.71
840,ball,перчатка,nouns,0.32
841,turkey,курица,nouns,1.07
842,arm,шея,nouns,0.34
843,pact,соглашение,nouns,4.75
844,attend,посылать,verbs,0.1
845,evict,покидать,verbs,0.57
846,environment,меч,nouns,0.2
847,lucky,пристыженный,adjectives,0.0
848,agreement,пакт,nouns,4.75
849,narrow,белый,adjectives,0.0
850,bath,жена,nouns,0.0
851,want,желать,verbs,5.61
852,jacket,свитер,nouns,1.82
853,apple,сок,nouns,0.89
854,leave,присоединиться,verbs,0.04
855,money,наличные,nouns,4.46
856,rice,курятина,nouns,0.34
857,wonderful,потрясающий,adjectives,5.11
858,worker,работодатель,nouns,1.54
859,squint,пялиться,verbs,0.89
860,depression,долина,nouns,0.5
861,palace,небоскреб,nouns,0.57
862,breakfast,ужин,nouns,0.71
863,kitchen,ванная,nouns,0.62
864,buddy,друг,nouns,4.41
865,keep,лелеять,verbs,1.41
866,boy,состояние,nouns,0.0
867,cigarette,табак,nouns,1.98
868,cover,закапывать,verbs,1.5
869,trainers,медаль,nouns,0.19
870,hard,легкий,adjectives,0.09
871,bad,виноватый,adjectives,0.89
872,short,длинный,adjectives,0.09
873,tribunal,справедливость,nouns,1.85
874,restore,заменять,verbs,2.04
875,possibly,скорее всего,adverbs,3.39
876,wife,ванна,nouns,0.0
877,cloud,окно,nouns,0.2
878,pray,просить,verbs,1.49
879,vein,рука,nouns,0.44
880,obviously,благоразумно,adverbs,0.29
881,region,область,nouns,4.74
882,comprehend,читать,verbs,1.33
883,predict,полагать,verbs,1.81
884,sea,дельта,nouns,0.37
885,calf,бык,nouns,1.91
886,sly,странный,adjectives,0.72
887,year,юбилей,nouns,0.97
888,give,красть,verbs,0.04
889,messy,чистый,adjectives,0.04
890,brick,стена,nouns,0.81
891,vector,матрица,nouns,1.75
892,good,пряный,adjectives,0.35
893,bone,мускул,nouns,0.38
894,accident,бедствие,nouns,3.42
895,fraud,коррупция,nouns,2.79
896,teeth,молоток,nouns,0.05
897,belt,петля,nouns,0.79
898,wander,покидать,verbs,0.32
899,door,присутствие,nouns,0.1
900,play,драться,verbs,0.05
901,threat,опасность,nouns,4.83
902,sweet,электрический,adjectives,0.0
903,destroy,создавать,verbs,0.09
904,dirty,удивительный,adjectives,0.0
905,fabric,лен,nouns,2.13
906,border,рубеж,nouns,4.63
907,surely,очевидно,adverbs,3.25
908,appear,посещать,verbs,0.82
909,army,флот,nouns,2.24
910,thumb,ноготь,nouns,1.08
911,ceiling,собор,nouns,0.15
912,area,угол,nouns,0.31
913,supper,завтрак,nouns,0.54
914,neck,кость,nouns,0.32
915,guy,друг,nouns,1.26
916,fur,ружье,nouns,0.05
917,floor,крыша,nouns,0.45
918,circumnavigation,багаж,nouns,0.57
919,intelligence,проницательность,nouns,2.14
920,frustrate,отговаривать,verbs,0.84
921,door,подвал,nouns,0.34
922,bring,приходить,verbs,0.34
923,boy,ребенок,nouns,2.47
924,ideally,механически,adverbs,0.05
925,suspect,арестовывать,verbs,0.22
926,cow,коза,nouns,0.68
927,snow,погода,nouns,1.01
928,satisfy,понимать,verbs,0.28
929,powerful,слабый,adjectives,0.09
930,application,кандидат,nouns,0.44
931,inn,мотель,nouns,3.81
932,gentleman,госпожа,nouns,1.21
933,twice,один раз,adverbs,0.55
934,woman,мех,nouns,0.2
935,enter,задолжать,verbs,0.0
936,money,капитал,nouns,3.59
937,alien,чужеземец,nouns,2.63
938,street,автомобиль,nouns,0.79
939,increase,расти,verbs,3.87
940,accept,получать,verbs,2.33
941,collect,встряхивать,verbs,0.0
942,aluminium,металл,nouns,1.71
943,book,история,nouns,1.36
944,worker,механик,nouns,1.86
945,roughly,нетерпеливо,adverbs,0.99
946,stock,актив,nouns,2.87
947,fence,прыжки,nouns,0.3
948,watch,юбка,nouns,0.1
949,add,строить,verbs,0.94
950,word,страница,nouns,0.67
951,baseball,баскетбол,nouns,0.77
952,fury,злость,nouns,4.82
953,wizard,кабель,nouns,0.0
954,undisclosed,открытый,adjectives,0.42
955,avoid,игнорировать,verbs,3.28
956,horn,автомобиль,nouns,0.91
957,crocodile,ящерица,nouns,1.4
958,humiliate,утешать,verbs,0.09
959,deny,признавать,verbs,0.09
960,chapter,конец,nouns,0.1
961,sell,продаваться,verbs,0.4
962,rational,трезвый,adjectives,2.46
963,impression,мнение,nouns,2.6
964,awful,прекрасный,adjectives,0.04
965,peacefully,спокойно,adverbs,4.55
966,plead,умолять,verbs,4.33
967,tongue,щека,nouns,0.84
968,citrus,апельсин,nouns,3.38
969,car,автострада,nouns,0.71
970,acknowledge,принимать,verbs,2.71
971,box,шляпа,nouns,0.29
972,foot,голова,nouns,0.34
973,molecule,воздух,nouns,0.72
974,tower,колокол,nouns,0.48
975,cat,кролик,nouns,0.46
976,overt,неизвестный,adjectives,0.42
977,death,трагедия,nouns,1.72
978,decline,принимать,verbs,0.04
979,become,организовывать,verbs,0.15
980,factory,автомобиль,nouns,0.2
981,law,факультет,nouns,0.48
982,discuss,объяснять,verbs,1.4
983,vehicle,автобус,nouns,1.91
984,day,ночь,nouns,0.26
985,think,решать,verbs,1.67
986,teacher,раввин,nouns,1.56
987,elevator,автомобиль,nouns,0.44
988,pen,алфавит,nouns,0.29
989,scornful,пренебрежительный,adjectives,4.14
990,fraternity,мужчины,nouns,0.54
991,leave,входить,verbs,0.04
992,strength,мощь,nouns,4.58
993,volleyball,мяч,nouns,1.4
994,runner,спортсмен,nouns,2.12
995,doctor,самообладание,nouns,0.15
996,sunset,вечер,nouns,2.16
997,try,думать,verbs,0.15
998,television,сценарист,nouns,0.77
999,helper,служанка,nouns,2.94
1000,people,шар,nouns,0.0
1001,stomach,курс,nouns,0.1
1002,hard,прочный,adjectives,3.44
1003,horse,жеребенок,nouns,2.59
1004,convocation,сбор,nouns,4.13
1005,intimate,личный,adjectives,3.54
1006,choke,дышать,verbs,0.25
1007,spicy,хороший,adjectives,0.35
1008,happy,рассерженный,adjectives,0.05
1009,dinner,завтрак,nouns,0.71
1010,man,воин,nouns,0.97
1011,burn,душить,verbs,0.0
1012,censorship,свобода,nouns,0.46
1013,newspaper,известие,nouns,0.72
1014,task,пустяк,nouns,0.05
1015,verify,говорить,verbs,0.65
1016,baby,дочь,nouns,1.63
1017,honestly,никогда,adverbs,0.0
1018,monthly,еженедельный,adjectives,0.48
1019,smell,портить,verbs,0.04
1020,loudly,мягко,adverbs,0.04
1021,teacher,преподаватель,nouns,4.87
1022,happy,злой,adjectives,0.04
1023,dive,создавать,verbs,0.0
1024,mist,дождь,nouns,1.99
1025,weird,нормальный,adjectives,0.09
1026,realistically,недавно,adverbs,0.0
1027,giggle,смеяться,verbs,4.08
1028,fog,облако,nouns,2.27
1029,assignment,примечание,nouns,0.46
1030,abdomen,брюшко,nouns,4.34
1031,choke,убивать,verbs,1.65
1032,notify,признавать,verbs,0.79
1033,flexible,свободный,adjectives,1.4
1034,cheerful,счастливый,adjectives,4.66
1035,teacher,ученик,nouns,0.6
1036,sweater,хлопок,nouns,0.56
1037,sick,сумасшедший,adjectives,0.91
1038,boil,жарить,verbs,1.12
1039,god,жертва,nouns,0.15
1040,television,кино,nouns,2.09
1041,perform,приветствовать,verbs,0.55
1042,huge,крошечный,adjectives,0.07
1043,saving,бережливый человек,nouns,1.33
1044,currency,совпадение,nouns,0.04
1045,whistle,останавливаться,verbs,0.0
1046,declare,объявлять,verbs,4.97
1047,build,добавлять,verbs,0.94
1048,entertain,угождать,verbs,1.19
1049,pathology,гематология,nouns,1.11
1050,basket,мяч,nouns,0.4
1051,curved,прямой,adjectives,0.13
1052,novel,писатель,nouns,0.66
1053,patient,сессия,nouns,0.22
1054,sentry,человек,nouns,0.94
1055,rare,немой,adjectives,0.0
1056,salt,вода,nouns,0.28
1057,dress,танец,nouns,0.35
1058,whiskey,шампанское,nouns,0.91
1059,dull,острый,adjectives,0.09
1060,away,домой,adverbs,0.26
1061,construct,делать,verbs,3.55
1062,dog,кошка,nouns,0.51
1063,brow,глаз,nouns,0.97
1064,house,ковер,nouns,0.44
1065,digit,число,nouns,4.88
1066,container,мышь,nouns,0.0
1067,know,верить,verbs,1.25
1068,now,здесь,adverbs,1.36
1069,bedroom,желудок,nouns,0.0
1070,shapeless,аморфный,adjectives,4.25
1071,potato,масло,nouns,0.41
1072,visa,глобализм,nouns,0.39
1073,window,крыша,nouns,0.57
1074,bicycle,спальня,nouns,0.0
1075,ordinary,странный,adjectives,0.09
1076,normally,ненормально,adverbs,0.04
1077,season,зима,nouns,1.66
1078,unlikely,дружелюбно,adverbs,0.0
1079,iris,ацетилхолин,nouns,0.0
1080,nicely,любезно,adverbs,4.53
1081,great,выдающийся,adjectives,4.1
1082,multiple,дважды,adverbs,0.81
1083,keep,терять,verbs,0.05
1084,mostly,глубоко,adverbs,0.15
1085,seldom,никогда,adverbs,1.48
1086,ankle,локоть,nouns,0.44
1087,piece,аэропорт,nouns,0.0
1088,woman,секретарь,nouns,0.39
1089,cook,микшировать,verbs,0.46
1090,arrow,мишень,nouns,0.69
1091,steel,сплав,nouns,2.12
1092,policeman,политик,nouns,0.17
1093,once,дважды,adverbs,0.55
1094,fight,играть,verbs,0.05
1095,nail,шляпка,nouns,0.6
1096,immature,взрослый,adjectives,0.09
1097,similar,подобный,adjectives,5.62
1098,affix,суффикс,nouns,1.41
1099,nature,флора,nouns,2.72
1100,rescue,спасать,verbs,4.61
1101,steak,курятина,nouns,0.86
1102,crowd,орава,nouns,4.27
1103,course,желудок,nouns,0.1
1104,hen,птица,nouns,1.67
1105,helper,наставник,nouns,2.13
1106,yard,дюйм,nouns,1.13
1107,diode,конденсатор,nouns,1.31
1108,inform,полировать,verbs,0.0
1109,humbly,неудачно,adverbs,0.19
1110,amazing,грязный,adjectives,0.0
1111,punish,учить,verbs,0.0
1112,princess,король,nouns,0.83
1113,wood,одеяло,nouns,0.0
1114,deck,мышь,nouns,0.4
1115,neck,рука,nouns,0.34
1116,elegance,стиль,nouns,3.55
1117,replace,восстанавливать,verbs,2.04
1118,freedom,оазис,nouns,0.26
1119,bite,драться,verbs,0.69
1120,task,женщина,nouns,0.0
1121,parsley,маффин,nouns,0.1
1122,key,замок,nouns,0.64
1123,twice,всегда,adverbs,0.13
1124,outgoing,приходящий,adjectives,0.09
1125,punch,ущипнуть,verbs,0.62
1126,gun,рассвет,nouns,0.0
1127,fact,доказательство,nouns,2.81
1128,probably,возможно,adverbs,3.55
1129,lung,печень,nouns,0.74
1130,elegantly,красиво,adverbs,3.26
1131,gold,цинк,nouns,0.46
1132,reburial,гробница,nouns,0.91
1133,decomposition,факторизация,nouns,1.04
1134,appliance,кастрюля,nouns,0.59
1135,baby,взрослый,nouns,0.56
1136,remain,покидать,verbs,0.12
1137,mink,масло,nouns,0.2
1138,tax,доход,nouns,0.51
1139,forgive,помиловать,verbs,4.29
1140,box,сигара,nouns,0.53
1141,judge,суд,nouns,1.3
1142,image,отражение,nouns,1.91
1143,succeed,достигать,verbs,3.05
1144,crowd,парад,nouns,1.73
1145,discover,осознавать,verbs,2.99
1146,frigid,ранимый,adjectives,0.0
1147,burial,смерть,nouns,1.27
1148,victor,человек,nouns,0.76
1149,leaf,саженец,nouns,0.79
1150,box,лифт,nouns,0.39
1151,fraud,преступление,nouns,2.1
1152,paper,дерево,nouns,0.86
1153,text,книга,nouns,2.16
1154,insight,факт,nouns,2.48
1155,overcast,прогноз,nouns,0.76
1156,unclear,смутный,adjectives,4.84
1157,management,мышь,nouns,0.35
1158,priest,пророк,nouns,1.25
1159,inquire,искать,verbs,1.66
1160,snake,ящерица,nouns,1.19
1161,protect,хранить,verbs,1.45
1162,union,комбинация,nouns,2.46
1163,teacher,помощник,nouns,2.13
1164,treat,платить,verbs,0.29
1165,hammer,зубы,nouns,0.05
1166,rain,морось,nouns,3.76
1167,boat,дерево,nouns,0.3
1168,blue,красный,adjectives,0.36
1169,sea,цунами,nouns,0.95
1170,eye,слеза,nouns,0.57
1171,chase,следовать,verbs,2.78
1172,man,победитель,nouns,0.76
1173,loose,гибкий,adjectives,1.4
1174,avoid,отрицать,verbs,0.29
1175,argue,жаловаться,verbs,1.19
1176,night,глава,nouns,0.0
1177,spend,копить,verbs,0.09
1178,water,коронация,nouns,0.0
1179,cloud,дымка,nouns,2.46
1180,flexible,крупный,adjectives,0.0
1181,fault,система,nouns,0.17
1182,crime,кража,nouns,2.21
1183,long,короткий,adjectives,0.09
1184,aunt,дядя,nouns,1.34
1185,find,искать,verbs,1.61
1186,staff,вокалист,nouns,0.0
1187,advise,рекомендовать,verbs,4.77
1188,day,утро,nouns,1.65
1189,differ,соответствовать,verbs,0.04
1190,valley,река,nouns,0.77
1191,safely,счастливо,adverbs,0.17
1192,pilot,водитель,nouns,1.89
1193,come,прибывать,verbs,2.71
1194,trip,путешествие,nouns,4.77
1195,create,представлять,verbs,0.94
1196,lion,кот,nouns,1.19
1197,people,население,nouns,2.67
1198,wagon,контейнер,nouns,0.21
1199,breathe,задыхаться,verbs,0.25
1200,win,доминировать,verbs,1.56
1201,football,развлечение,nouns,0.55
1202,intelligence,навык,nouns,1.18
1203,probably,положительно,adverbs,0.24
1204,adore,восхищаться,verbs,3.17
1205,cry,рыдать,verbs,4.22
1206,join,сотрудничать,verbs,2.38
1207,freedom,свобода,nouns,5.62
1208,biscuit,принцесса,nouns,0.0
1209,lake,болото,nouns,0.82
1210,cardboard,бумага,nouns,2.75
1211,dentist,полковник,nouns,0.04
1212,fly,муравей,nouns,0.61
1213,wood,камень,nouns,0.14
1214,wrist,рука,nouns,1.27
1215,blame,толкать,verbs,0.0
1216,creative,инновационный,adjectives,3.97
1217,before,после,adverbs,0.04
1218,ignore,исследовать,verbs,0.0
1219,save,тонуть,verbs,0.05
1220,age,красота,nouns,0.38
1221,cabin,коттедж,nouns,3.99
1222,pain,вред,nouns,1.91
1223,define,уточнить,verbs,3.42
1224,class,колледж,nouns,0.76
1225,hymn,солома,nouns,0.0
1226,gain,пожинать,verbs,2.39
1227,politely,благоразумно,adverbs,1.33
1228,winner,кандидат,nouns,0.79
1229,bride,жених,nouns,1.19
1230,beauty,возраст,nouns,0.38
1231,laugh,хихикать,verbs,4.08
1232,fantasy,реальность,nouns,0.44
1233,beer,напиток,nouns,1.99
1234,proudly,мирно,adverbs,0.15
1235,stomach,тело,nouns,1.14
1236,prince,король,nouns,1.61
1237,millionaire,доллар,nouns,0.71
1238,combine,смешивать,verbs,4.0
1239,agreement,прореха,nouns,0.0
1240,program,питание,nouns,0.25
1241,hostility,агрессивность,nouns,4.74
1242,distance,перспектива,nouns,1.09
1243,monster,демон,nouns,4.21
1244,sad,гордый,adjectives,0.05
1245,newspaper,информация,nouns,1.56
1246,protestant,кристиан,nouns,2.17
1247,destroy,спасти,verbs,0.0
1248,move,ткать,verbs,0.19
1249,formula,уравнение,nouns,3.64
1250,become,казаться,verbs,0.55
1251,manner,привычка,nouns,3.46
1252,bed,больница,nouns,0.5
1253,yogurt,коро́ва,nouns,0.42
1254,god,отец,nouns,0.99
1255,north,запад,nouns,0.65
1256,ballad,песня,nouns,3.46
1257,cooperate,участвовать,verbs,2.38
1258,bad,посредственный,adjectives,1.06
1259,congress,парламент,nouns,2.41
1260,sandwich,мясо,nouns,0.46
1261,soldier,мир,nouns,0.3
1262,compass,слон,nouns,0.0
1263,say,участвовать,verbs,0.45
1264,ball,костюм,nouns,0.5
1265,ecosystem,экономика,nouns,0.54
1266,battleship,дредноут,nouns,2.42
1267,give,получать,verbs,0.09
1268,whenever,иногда,adverbs,0.32
1269,medium,незначительный,adjectives,1.48
1270,liquor,век,nouns,0.0
1271,modern,старинный,adjectives,0.09
1272,money,жемчуг,nouns,0.27
1273,neglect,отрекаться,verbs,0.5
1274,sucrose,углевод,nouns,1.88
1275,astronomer,галактика,nouns,1.02
1276,animal,зверь,nouns,4.55
1277,crime,нарушение,nouns,3.42
1278,lover,спутник,nouns,1.77
1279,usually,искренне,adverbs,0.05
1280,hurt,падать,verbs,0.6
1281,people,доллар,nouns,0.0
1282,syllabus,экзамен,nouns,0.76
1283,cat,собака,nouns,0.51
1284,money,зарплата,nouns,2.79
1285,find,исчезать,verbs,0.0
1286,motor,лодка,nouns,0.76
1287,bedroom,ванная,nouns,0.81
1288,separate,отходить,verbs,0.7
1289,originate,открывать,verbs,0.47
1290,confusion,истерика,nouns,1.76
1291,ancient,новый,adjectives,0.04
1292,leave,забирать,verbs,0.09
1293,prophet,священник,nouns,1.25
1294,lawful,нелегальный,adjectives,0.14
1295,car,подъемник,nouns,0.44
1296,sociobiology,мутант,nouns,0.25
1297,meat,говядина,nouns,2.46
1298,determine,предсказывать,verbs,1.59
1299,quest,цель,nouns,1.38
1300,appear,становиться,verbs,0.39
1301,believe,знать,verbs,1.25
1302,bone,рука,nouns,0.57
1303,kill,бороться,verbs,0.49
1304,boy,рис,nouns,0.0
1305,assignment,задача,nouns,4.41
1306,month,август,nouns,2.35
1307,accuse,осуждать,verbs,4.22
1308,deadly,счастливо,adverbs,0.1
1309,heavy,большой,adjectives,1.96
1310,clothes,ящик,nouns,0.51
1311,find,убегать,verbs,0.0
1312,actively,точно,adverbs,0.04
1313,anthropology,археология,nouns,0.82
1314,retreat,покидать,verbs,2.76
1315,dice,куб,nouns,2.29
1316,cinema,телевидение,nouns,2.09
1317,receive,достигать,verbs,0.64
1318,personal,частный,adjectives,4.01
1319,balloon,ванна,nouns,0.0
1320,sticky,мокрый,adjectives,0.67
1321,head,гвоздь,nouns,0.6
1322,finish,соревноваться,verbs,0.69
1323,stressed,расслабленный,adjectives,0.09
1324,add,соединять,verbs,2.0
1325,bicycle,автомобиль,nouns,0.69
1326,sadly,безумно,adverbs,0.19
1327,independently,ответственно,adverbs,0.34
1328,leave,выселять,verbs,0.57
1329,monarchy,демократия,nouns,0.51
1330,cop,штурман,nouns,0.04
1331,mathematician,показ,nouns,0.0
1332,insight,ум,nouns,2.14
1333,recommend,советовать,verbs,4.77
1334,belief,представление,nouns,1.42
1335,cry,реветь,verbs,4.44
1336,remain,сохранять,verbs,0.9
1337,ball,ракетка,nouns,0.94
1338,news,редакционный,nouns,1.26
1339,lazy,занятый,adjectives,0.05
1340,participate,сотрудничать,verbs,2.38
1341,street,переулок,nouns,2.78
1342,pearl,деньги,nouns,0.27
1343,cube,игрушка,nouns,0.35
1344,case,аппара́тное обеспече́ние,nouns,0.3
1345,collect,организовать,verbs,1.65
1346,slave,слуга,nouns,2.44
1347,emotionally,грустно,adverbs,1.33
1348,table,закат,nouns,0.0
1349,punish,ударять,verbs,0.76
1350,juice,яблоко,nouns,0.89
1351,information,энтропия,nouns,0.43
1352,sticky,грязный,adjectives,1.4
1353,weather,облако,nouns,0.82
1354,conversion,высота,nouns,0.0
1355,article,книга,nouns,0.84
1356,verdict,разбирательство,nouns,1.31
1357,personal,интимный,adjectives,3.54
1358,bishop,архиепископ,nouns,3.24
1359,king,правитель,nouns,3.58
1360,alley,улица,nouns,2.78
1361,rely,провалиться,verbs,0.0
1362,offering,пожертвование,nouns,4.1
1363,ball,корзина,nouns,0.4
1364,helmet,оружие,nouns,0.74
1365,pursue,убеждать,verbs,0.59
1366,biography,роман,nouns,0.84
1367,meat,бекон,nouns,2.04
1368,maple,дуб,nouns,0.97
1369,important,необходимый,adjectives,3.75
1370,house,амбар,nouns,0.93
1371,division,умножение,nouns,0.77
1372,aim,ударять,verbs,0.61
1373,anchor,лодка,nouns,0.6
1374,costume,бал,nouns,0.5
1375,cryptogram,символ,nouns,2.19
1376,agreement,спор,nouns,0.29
1377,forget,помнить,verbs,0.05
1378,smartphone,ананас,nouns,0.0
1379,glass,хрусталь,nouns,2.19
1380,harbor,обертка,nouns,0.1
1381,occasionally,регулярно,adverbs,0.67
1382,gun,тетрадь,nouns,0.0
1383,gallery,адвокат,nouns,0.0
1384,obey,слушаться,verbs,2.81
1385,gun,мех,nouns,0.05
1386,reject,принимать,verbs,0.09
1387,winner,присутствие,nouns,0.05
1388,fragile,бесстрастный,adjectives,0.0
1389,drizzle,дождь,nouns,3.76
1390,poster,бумага,nouns,1.84
1391,bring,посылать,verbs,0.19
1392,modest,чистый,adjectives,0.47
1393,meet,плавать,verbs,0.27
1394,hut,домик,nouns,2.88
1395,mix,пить,verbs,0.05
1396,school,класс,nouns,0.6
1397,elect,выбирать,verbs,4.29
1398,saint,грешник,nouns,0.22
1399,body,желудок,nouns,1.14
1400,globalism,виза,nouns,0.39
1401,withdraw,поглощать,verbs,0.0
1402,truthful,нечестный,adjectives,0.04
1403,dumb,сообразительный,adjectives,0.19
1404,princess,остров,nouns,0.0
1405,fire,апокалипсис,nouns,0.74
1406,say,подтверждать,verbs,0.65
1407,scared,стеснительный,adjectives,0.94
1408,pointer,слайд,nouns,0.0
1409,constitution,сенат,nouns,0.46
1410,boss,директор,nouns,3.94
1411,writer,дар,nouns,0.4
1412,body,грудь,nouns,1.13
1413,cancer,болезнь,nouns,2.12
1414,borrow,держать,verbs,0.22
1415,push,обвинять,verbs,0.0
1416,hotel,квартира,nouns,0.82
1417,mind,невроз,nouns,0.53
1418,quietly,естественно,adverbs,0.09
1419,bell,башня,nouns,0.48
1420,unique,противоположный,adjectives,0.54
1421,island,задача,nouns,0.0
1422,arrive,посещать,verbs,1.09
1423,repair,восстановить,verbs,4.11
1424,thirsty,голодный,adjectives,0.98
1425,easily,удобно,adverbs,2.35
1426,artwork,художник,nouns,0.98
1427,root,трава,nouns,0.66
1428,chair,кровать,nouns,0.37
1429,episode,серия,nouns,2.11
1430,grown,незрелый,adjectives,0.09
1431,town,город,nouns,3.27
1432,arm,нога,nouns,0.61
1433,ceiling,крыша,nouns,3.0
1434,body,нижняя одежда,nouns,0.3
1435,glad,рассерженный,adjectives,0.05
1436,big,национальный,adjectives,0.17
1437,busy,ленивый,adjectives,0.05
1438,senate,конституция,nouns,0.46
1439,ask,умолять,verbs,2.95
1440,bed,одеяло,nouns,0.91
1441,reduce,ограничивать,verbs,2.29
1442,accept,прощать,verbs,1.15
1443,score,уровень,nouns,0.46
1444,cent,размер,nouns,0.3
1445,actress,актер,nouns,3.15
1446,brain,нерв,nouns,0.77
1447,take,оставлять,verbs,0.09
1448,champagne,виски,nouns,0.91
1449,soon,немедленно,adverbs,2.5
1450,man,отец,nouns,1.66
1451,terrific,рассерженный,adjectives,0.25
1452,idea,образ,nouns,1.23
1453,woman,джинсы,nouns,0.15
1454,house,квартира,nouns,3.53
1455,song,баллада,nouns,3.46
1456,parliament,конгресс,nouns,2.41
1457,guest,друг,nouns,1.56
1458,give,разрешать,verbs,0.91
1459,cheek,язык,nouns,0.84
1460,retreat,спускаться,verbs,0.97
1461,frame,удар,nouns,0.0
1462,zinc,золото,nouns,0.46
1463,machine,двигатель,nouns,2.14
1464,poor,гордый,adjectives,0.05
1465,charge,презирать,verbs,0.15
1466,give,отказывать,verbs,0.05
1467,child,девочка,nouns,1.73
1468,north,юг,nouns,0.51
1469,upset,обижать,verbs,3.19
1470,presence,победитель,nouns,0.05
1471,intuition,чувство,nouns,4.25
1472,contemptuous,презрительный,adjectives,4.14
1473,officially,важно,adverbs,1.4
1474,officially,сильно,adverbs,0.35
1475,create,нырять,verbs,0.0
1476,meadow,пастбище,nouns,2.34
1477,condition,ситуация,nouns,2.24
1478,straw,жена,nouns,0.0
1479,national,известный,adjectives,0.05
1480,bed,спальня,nouns,1.31
1481,inspect,изучать,verbs,4.25
1482,incredible,обычный,adjectives,0.14
1483,passively,активно,adverbs,0.09
1484,beach,остров,nouns,0.85
1485,wife,мать,nouns,1.83
1486,forget,прощать,verbs,0.72
1487,send,запускать,verbs,2.25
1488,beast,животное,nouns,4.55
1489,delightful,прекрасный,adjectives,4.85
1490,simple,тяжелый,adjectives,0.04
1491,big,тяжелый,adjectives,1.96
1492,organize,устраивать,verbs,4.84
1493,walk,стоять,verbs,0.29
1494,pretend,воображать,verbs,2.44
1495,song,исполнитель,nouns,0.74
1496,atom,молекула,nouns,1.39
1497,add,умножать,verbs,0.54
1498,editorial,новости,nouns,1.26
1499,righteously,зрело,adverbs,0.69
1500,dumb,глупый,adjectives,3.31
1501,defend,защищать,verbs,4.05
1502,wallpaper,фон,nouns,2.49
1503,smash,сносить,verbs,2.89
1504,definitely,конечно,adverbs,3.95
1505,apple,диета,nouns,0.49
1506,horn,барабан,nouns,0.51
1507,vague,неясный,adjectives,4.84
1508,medium,новость,nouns,0.2
1509,chaos,анархия,nouns,3.83
1510,strength,выносливость,nouns,2.83
1511,advance,продвигать,verbs,1.84
1512,book,эссе,nouns,1.35
1513,cinnamon,конфеты,nouns,0.32
1514,steal,покупать,verbs,0.12
1515,owe,одалживать,verbs,0.69
1516,psychology,наука,nouns,1.56
1517,strawberry,вишня,nouns,0.79
1518,clearly,конечно,adverbs,3.4
1519,become,завершать,verbs,0.49
1520,sunrise,закат,nouns,0.57
1521,island,флот,nouns,0.35
1522,known,национальный,adjectives,0.05
1523,bad,потрясающий,adjectives,0.19
1524,hand,запястье,nouns,1.8
1525,aggravate,нападать,verbs,0.42
1526,vanish,исчезать,verbs,5.21
1527,bowl,дорожка,nouns,0.04
1528,tiny,огромный,adjectives,0.07
1529,year,век,nouns,0.67
1530,molecule,матрица,nouns,0.54
1531,will,намерение,nouns,2.64
1532,speak,слышать,verbs,0.19
1533,accept,рекомендовать,verbs,0.25
1534,boundary,граница,nouns,4.63
1535,argue,требовать,verbs,0.64
1536,sunset,рассвет,nouns,0.57
1537,quit,начинать,verbs,0.09
1538,leg,конечность,nouns,2.58
1539,electricity,ящик,nouns,0.3
1540,violent,мягкий,adjectives,0.0
1541,feel,верить,verbs,1.49
1542,learn,забывать,verbs,0.14
1543,cherry,клубника,nouns,0.79
1544,school,юриспруденция,nouns,0.48
1545,vexillology,флаг,nouns,1.21
1546,essay,домашнее задание,nouns,2.36
1547,college,профессия,nouns,0.54
